timestep,obs,human_obs,actions,rewards,original_rewards,logstd_action_dist,avg_action_dist
0,"[ 0.92737166  2.23601407  0.17341596 -0.41041912 -1.41039878  0.21773514
 -0.61861839 -0.37784395  2.75001525 -0.13162909  0.        ]","[[ 0.04874584  0.08819648 -0.16260413  0.02514478]
 [-0.00054379 -0.00055142  0.          0.        ]]",[ 4.73746665  2.13057617],-4.26588,-0.371492705393,[-0.44143271 -0.3374539 ],[ 4.18232107  3.51532698]
1,"[ 0.92338732  2.23004228  0.23622733 -0.26657585 -1.41039732  0.21773506
 -0.47488034  0.16746727  2.73559    -0.02335064  0.        ]","[[ 0.08841027  0.12789798 -0.16260413  0.02514478]
 [ 3.95383225  3.95751505  0.          0.        ]]",[ 4.34590234  2.62421287],-4.29104,-0.369722943801,[-0.44143271 -0.3374539 ],[ 3.74911928  3.23350525]
2,"[ 0.89800652  2.19946777  0.42135296  0.15602483 -1.41039587  0.21773499
 -0.33398021  0.70198404  2.65383931  0.28854918  0.        ]","[[ 0.20637859  0.24597477 -0.16260413  0.02514478]
 [ 7.83013495  7.83723243  0.          0.        ]]",[ 3.18519208  3.15217317],-4.35786,-0.362033610452,[-0.44143271 -0.3374539 ],[ 3.58089972  2.95136929]
3,"[ 0.81276933  2.10813498  0.71585079  0.82382259 -1.41039441  0.21773491
 -0.19585001  1.22591104  2.40221925  0.74198948  0.        ]","[[  0.40110757   0.4408749   -0.16260413   0.02514478]
 [ 11.63023448  11.64008985   0.           0.        ]]",[ 3.72210008  3.80211024],-4.35315,-0.341678010192,[-0.44143271 -0.3374539 ],[ 3.46341801  2.57465124]
4,"[ 0.61123966  1.90362621  1.08318438  1.64720334 -1.41039296  0.21773483
 -0.06040992  1.73943869  1.87184905  1.16612438  0.        ]","[[  0.67109452   0.71107524  -0.16260413   0.02514478]
 [ 15.35632658  15.36747558   0.           0.        ]]",[ 2.71232692  2.08401611],-4.20838,-0.299095030278,[-0.44143271 -0.3374539 ],[ 3.04321432  2.09120083]
5,"[ 0.23684051  1.53494381  1.44443818  2.43913663 -1.4103915   0.21773475
  0.07243036  2.24274568  1.08225089  1.26357257  0.        ]","[[  1.01488382   1.05507948  -0.16260413   0.02514478]
 [ 19.01089544  19.02069491   0.           0.        ]]",[ 2.34908726  1.28225722],-3.7223,-0.225682204519,[-0.44143271 -0.3374539 ],[ 2.30613899  1.51713789]
6,"[-0.33254416  0.98583895  1.66799816  2.89516372 -1.41039005  0.21773467
  0.2027576   2.73601349  0.33870832  0.77637597  0.        ]","[[  1.43106963   1.47141739  -0.16260413   0.02514478]
 [ 22.59632797  22.60107548   0.           0.        ]]",[ 2.18790717  0.06630607],-2.94635,-0.121819539046,[-0.44143271 -0.3374539 ],[ 1.68721795  0.97784072]
7,"[-1.03585253  0.36860062  1.58858806  2.69122951 -1.41038859  0.21773459
  0.33061554  2.7101117   0.13601229 -0.10211925  0.        ]","[[  1.91828691e+00   1.92155354e+00  -1.62604128e-01   2.51447802e-02]
 [  2.61138278e+01   2.24131268e+01   0.00000000e+00   0.00000000e+00]]",[ 2.2834086   1.16187431],-2.2786,-0.0443319525548,[-0.44143271 -0.3374539 ],[ 1.47491288  0.82890379]
8,"[-1.68885466 -0.18503501  1.07737147  1.71669969 -1.41038714  0.21773451
  0.45595959  3.19407855  0.60006229 -0.70587244  0.        ]","[[  2.47516086e+00   2.40506145e+00  -1.62604128e-01   2.51447802e-02]
 [  2.95621691e+01   2.59260446e+01   0.00000000e+00   0.00000000e+00]]",[ 1.96614117 -0.14735337],-2.6909,-0.125031035627,[-0.44143271 -0.3374539 ],[ 1.80608273  0.88951606]
9,"[-2.00123584 -0.50992124  0.16158092  0.0960124  -1.41038569  0.21773443
  0.57875707  3.04271547  1.12995524 -0.52124554  0.        ]","[[  3.10030628e+00   2.91255716e+00  -1.62604128e-01   2.51447802e-02]
 [  3.29404527e+01   2.48274645e+01   0.00000000e+00   0.00000000e+00]]",[ 1.71447349 -0.19033525],-2.97232,-0.176059989676,[-0.44143271 -0.3374539 ],[ 1.60152197  0.56854016]
