timestep,obs,human_obs,actions,rewards,original_rewards,logstd_action_dist,avg_action_dist
0,"[ 0.91909486  1.53979852  0.0433056  -0.63413232  1.41723642 -0.16040035
 -0.49076558 -0.34008326  0.03661467 -0.01497614  0.        ]","[[-0.04756725  0.00386811  0.16376234 -0.01842909]
 [ 0.0017003   0.00450959  0.          0.        ]]",[-1.01934633  0.02575609],-4.02588,-0.046866330201,[-0.86200136 -0.80104899],[-0.63426602  0.75056428]
1,"[ 0.9147606   1.53979162 -0.01720805 -0.63139067  1.41723572 -0.16040033
 -0.6395248  -0.32379066  0.03161168 -0.10094363  0.        ]","[[-0.08722448  0.00499609  0.16376234 -0.01842909]
 [-3.95425137  0.107938    0.          0.        ]]",[ 0.21764686  0.79246182],-4.0643,-0.0454912855215,[-0.86200136 -0.80104899],[ 0.3789838   0.92779464]
2,"[ 0.90099548  1.53890539 -0.12295946 -0.54970955  1.41723502 -0.1604003
 -0.60425285  0.17010001  0.01992819 -0.21510351  0.        ]","[[-0.1568985   0.03861253  0.16376234 -0.01842909]
 [-3.01626961  3.24325826  0.          0.        ]]",[-0.50213452  0.30154547],-4.0371,-0.0453965044335,[-0.86200136 -0.80104899],[ 0.0792464  0.1726892]
3,"[ 0.87573222  1.5318503  -0.24241873 -0.36507614  1.41723432 -0.16040027
 -0.67672182  0.34818591  0.00490653 -0.30108683  0.        ]","[[-0.23655973  0.11482068  0.16376234 -0.01842909]
 [-4.94343801  4.37378456  0.          0.        ]]",[-0.40858697  0.49503385],-4.03819,-0.0464252123085,[-0.86200136 -0.80104899],[ 0.47916561  0.0463382 ]
4,"[ 0.82216379  1.51039603 -0.40939224 -0.11052083  1.41723361 -0.16040024
 -0.73385315  0.64340284 -0.0270647  -0.4247702   0.        ]","[[-0.350672    0.22109989  0.16376234 -0.01842909]
 [-6.46273355  6.24788309  0.          0.        ]]",[ 1.08487397 -0.7638939 ],-4.09452,-0.049469145722,[-0.86200136 -0.80104899],[ 0.85072142 -0.26384628]
5,"[ 0.76708277  1.48056687 -0.53397272  0.10820632  1.41723291 -0.16040022
 -0.58024294  0.14720356 -0.05824168 -0.5045427   0.        ]","[[-0.43894127  0.31445269  0.16376234 -0.01842909]
 [-2.37778843  3.0979089   0.          0.        ]]",[-0.24856458 -0.24409874],-4.04683,-0.052083949703,[-0.86200136 -0.80104899],[ 0.30914181  0.0771426 ]
6,"[ 0.72544698  1.45974419 -0.61171794  0.22652699  1.41723221 -0.16040019
 -0.6154367  -0.01465692 -0.08298651 -0.56398498  0.        ]","[[-0.49588726  0.36610142  0.16376234 -0.01842909]
 [-3.31369801  2.07038565  0.          0.        ]]",[ 0.69831577 -0.19515777],-4.09869,-0.0546734332956,[-0.86200136 -0.80104899],[ 0.72507995  0.29086429]
7,"[ 0.69516602  1.44475149 -0.66216303  0.30145124  1.4172315  -0.16040016
 -0.50907827 -0.14300705 -0.1011298  -0.60401171  0.        ]","[[-0.53378327  0.39933398  0.16376234 -0.01842909]
 [-0.48531717  1.25559298  0.          0.        ]]",[ 0.84905175  0.33944716],-4.10831,-0.0566509544955,[-0.86200136 -0.80104899],[ 0.20839423  0.30777064]
8,"[ 0.71464663  1.42593126 -0.63022614  0.38657865  1.4172308  -0.16040014
 -0.38242808  0.06460519 -0.08323693 -0.51034654  0.        ]","[[-0.5096976   0.43766937  0.16376234 -0.01842909]
 [ 2.88268187  2.57355728  0.          0.        ]]",[-0.65609246 -0.05592985],-4.02063,-0.0506996382633,[-0.86200136 -0.80104899],[-0.84590966 -0.16212046]
9,"[ 0.7385393   1.39968117 -0.58843084  0.49262516  1.4172301  -0.16040011
 -0.48217007  0.02184542 -0.06677217 -0.38943945  0.        ]","[[-0.47865654  0.48641702  0.16376234 -0.01842909]
 [ 0.2302468   2.30210973  0.          0.        ]]",[-0.76736353 -0.28494793],-4.01085,-0.0440632419358,[-0.86200136 -0.80104899],[-0.4048132  -0.12704551]
10,"[ 0.71870218  1.37970081 -0.62334579  0.56558726  1.41722939 -0.16040008
 -0.59648206 -0.16289386 -0.07833886 -0.40373077  0.        ]","[[-0.50455167  0.52069259  0.16376234 -0.01842909]
 [-2.80964759  1.12934785  0.          0.        ]]",[ 0.1791874   0.81883434],-4.03799,-0.0439483988534,[-0.86200136 -0.80104899],[ 0.42969769  0.18992555]
11,"[ 0.67896721  1.34514997 -0.68743256  0.67943785  1.41722869 -0.16040005
 -0.56777856  0.34427392 -0.10143568 -0.44046267  0.        ]","[[-0.55308625  0.57558284  0.16376234 -0.01842909]
 [-2.04634075  4.34894969  0.          0.        ]]",[ 0.03698786 -0.68212079],-4.0497,-0.0444992744001,[-0.86200136 -0.80104899],[ 0.08420813 -0.39240992]
12,"[ 0.64463804  1.30460058 -0.73761955  0.79738932  1.41722799 -0.16040003
 -0.56071735 -0.09476285 -0.12194399 -0.45183331  0.        ]","[[-0.59212898  0.63459802  0.16376234 -0.01842909]
 [-1.85856577  1.56185769  0.          0.        ]]",[ 0.87616304  0.34754396],-4.08409,-0.0437917802899,[-0.86200136 -0.80104899],[ 0.27546352  0.01432824]
13,"[ 0.64279761  1.27160789 -0.74019216  0.88345325  1.41722728 -0.1604
 -0.42900466  0.11695159 -0.12582124 -0.40441298  0.        ]","[[-0.59415763  0.67931994  0.16376234 -0.01842909]
 [ 1.6440574   2.90586257  0.          0.        ]]",[-0.93623015 -0.27968656],-4.00616,-0.0402354549757,[-0.86200136 -0.80104899],[-0.7115252  -0.42564976]
14,"[ 0.63860029  1.23535846 -0.74601803  0.96959188  1.41722658 -0.16039997
 -0.56949722 -0.06636359 -0.13280523 -0.36026687  0.        ]","[[-0.59876179  0.72576129  0.16376234 -0.01842909]
 [-2.09205333  1.742142    0.          0.        ]]",[-0.52726545  0.2403861 ],-4.00845,-0.0368426387322,[-0.86200136 -0.80104899],[ 0.19535452 -0.13225496]
15,"[ 0.57899215  1.19917079 -0.82307624  1.04808928  1.41722588 -0.16039995
 -0.64639662  0.07824201 -0.16503461 -0.43423134  0.        ]","[[-0.66112071  0.76981468  0.16376234 -0.01842909]
 [-4.13703678  2.66012649  0.          0.        ]]",[ 0.81296827 -1.57484789],-4.12728,-0.0395538151838,[-0.86200136 -0.80104899],[ 0.74408823 -0.18332398]
16,"[ 0.52797499  1.18822195 -0.88181654  1.07052108  1.41722517 -0.16039992
 -0.52232067 -0.55396067 -0.19111552 -0.51683875  0.        ]","[[-0.71075624  0.78274987  0.16376234 -0.01842909]
 [-0.83749842 -1.35321888  0.          0.        ]]",[ 0.76733605  0.57219195],-4.13283,-0.0445619753446,[-0.86200136 -0.80104899],[ 0.43503171  0.41112012]
17,"[ 0.54253994  1.19168496 -0.86564508  1.06348696  1.41722447 -0.16039989
 -0.4075648  -0.19300163 -0.18347142 -0.49447287  0.        ]","[[-0.69688771  0.77867623  0.16376234 -0.01842909]
 [ 2.21419209  0.93821832  0.          0.        ]]",[-1.1637408  -0.34851382],-4.04326,-0.043136740567,[-0.86200136 -0.80104899],[-0.50894552 -0.13503605]
18,"[ 0.54685545  1.18764856 -0.86076483  1.07167736  1.41722377 -0.16039986
 -0.55797023 -0.4131038  -0.18175434 -0.48079924  0.        ]","[[-0.69273422  0.78342155  0.16376234 -0.01842909]
 [-1.78552881 -0.45903286  0.          0.        ]]",[-0.45610731  0.37878339],-4.05695,-0.0421313458941,[-0.86200136 -0.80104899],[ 0.5207302   0.27042532]
19,"[ 0.48968182  1.18254803 -0.9222661   1.08191711  1.41722307 -0.16039984
 -0.62451817 -0.17532489 -0.21152166 -0.57784645  0.        ]","[[-0.74620077  0.78938593  0.16376234 -0.01842909]
 [-3.55523554  1.05043273  0.          0.        ]]",[ 1.39272717 -0.03100557],-4.18532,-0.0487996156863,[-0.86200136 -0.80104899],[ 0.98957199  0.15304315]
20,"[ 0.45529967  1.16561507 -0.95625254  1.11505782  1.41722236 -0.16039981
 -0.47309547 -0.19814626 -0.23097442 -0.61410466  0.        ]","[[-0.7769038   0.80894088  0.16376234 -0.01842909]
 [ 0.47153081  0.90555814  0.          0.        ]]",[ 0.39995722 -0.41186682],-4.16966,-0.0512351878326,[-0.86200136 -0.80104899],[ 0.12749606  0.00652921]
21,"[ 0.48362196  1.16424686 -0.92840878  1.11767847  1.41722166 -0.16039978
 -0.41392187 -0.45794633 -0.21585479 -0.56403288  0.        ]","[[-0.75168479  0.81050448  0.16376234 -0.01842909]
 [ 2.04512646 -0.7437022   0.          0.        ]]",[ 0.0874226 -0.3799996],-4.14209,-0.0474100061873,[-0.86200136 -0.80104899],[-0.19656411  0.19018984]
22,"[ 0.53119064  1.18998038 -0.87828291  1.06694916  1.41722096 -0.16039976
 -0.40241914 -0.69266378 -0.18932179 -0.5132774   0.        ]","[[-0.70771317  0.78068047  0.16376234 -0.01842909]
 [ 2.35101511 -2.23373368  0.          0.        ]]",[-0.57439324 -0.12460193],-4.09249,-0.044360657912,[-0.86200136 -0.80104899],[-0.24564481  0.44224057]
23,"[ 0.55590208  1.23073248 -0.85039773  0.98000728  1.41722025 -0.16039973
 -0.48961742 -0.76329671 -0.17345486 -0.52342864  0.        ]","[[-0.68395877  0.7315069   0.16376234 -0.01842909]
 [ 0.03215812 -2.68212598  0.          0.        ]]",[ 0.12614663  0.80457453],-4.10145,-0.0460475888282,[-0.86200136 -0.80104899],[ 0.3228575   0.68327582]
