timestep,obs,logstd_action_dist,actions,rewards,original_rewards,human_obs,avg_action_dist
0,"[ 0.95101975  2.46579436 -0.09362352 -0.52865677 -0.32599894  1.4445329
 -0.6437427  -0.38520127  1.73631324 -1.61220459  0.        ]",[-0.25734153 -0.27488008],[ 4.87679282  3.70353017],-3.52813,-0.304828398975,"[[-0.09255584  0.0738212  -0.0369832   0.16797441]
 [-0.00347758 -0.00341293  0.          0.        ]]",[ 4.30466557  3.40531802]
1,"[ 0.95515984  2.46028005 -0.03145463 -0.37333263 -0.32599878  1.44453094
 -0.494747    0.15160358  1.73713189 -1.50564359  0.        ]",[-0.25734153 -0.27488008],[ 2.91224087  4.0911643 ],-3.527,-0.297647815867,"[[-0.05294953  0.11346603 -0.0369832   0.16797441]
 [ 3.95095199  3.95470934  0.          0.        ]]",[ 3.68913674  3.16594362]
2,"[ 0.95414096  2.43020004  0.15401935  0.08396972 -0.32599862  1.44452899
 -0.34869336  0.67778249  1.70093565 -1.19193224  0.        ]",[-0.25734153 -0.27488008],[ 3.02890532  3.33963261],-3.39155,-0.274380135366,"[[ 0.06496164  0.23148726 -0.0369832   0.16797441]
 [ 7.82729862  7.8344824   0.          0.        ]]",[ 2.61501312  2.89817715]
3,"[ 0.90896344  2.33684442  0.45591796  0.80851126 -0.32599846  1.44452703
 -0.20551157  1.19353694  1.52082636 -0.71441066  0.        ]",[-0.25734153 -0.27488008],[ 1.41612387  3.34047561],-3.18433,-0.230494917182,"[[  0.2596342    0.42633296  -0.0369832    0.16797441]
 [ 11.62742536  11.63739616   0.           0.        ]]",[ 1.09101069  2.51320553]
4,"[ 0.76014602  2.12383652  0.84693262  1.70572458 -0.32599831  1.44452508
 -0.065119    1.69905418  1.06876183 -0.22029222  0.        ]",[-0.25734153 -0.27488008],[-0.12312323  2.3392902 ],-2.74597,-0.16106954524,"[[  0.52956507   0.69647999  -0.0369832    0.16797441]
 [ 15.35352466  15.36483883   0.           0.        ]]",[-0.42939365  1.92687273]
5,"[ 0.49086649  1.73570289  1.21193471  2.57586707 -0.32599815  1.44452312
 -0.09485947  2.19473136  0.38443348 -0.01146878  0.        ]",[-0.25734153 -0.27488008],[-0.15565994  1.79385589],-2.10243,-0.0730449762201,"[[  0.82871328   1.04044799  -0.0369832    0.16797441]
 [ 14.56419477  19.01974889   0.           0.        ]]",[-1.11462486  1.30915928]
6,"[ 0.15711909  1.15326209  1.46228531  3.09090316 -0.32599799  1.44452117
 -0.12879994  2.68057552 -0.26121508 -0.25995721  0.        ]",[-0.25734153 -0.27488008],[-1.70164681 -0.78567844],-1.75389,-0.0216563899242,"[[  1.11095645   1.45678694  -0.0369832    0.16797441]
 [ 13.6633943   22.60219104   0.           0.        ]]",[-1.44482732  0.77376509]
7,"[-0.15481409  0.54194558  1.58470837  2.93795    -0.32599783  1.44451921
 -0.28794057  2.19798017 -0.56377746 -0.76511141  0.        ]",[-0.25734153 -0.27488008],[-1.97537202  0.06204445],-1.98414,-0.0932142264201,"[[  1.34185181   1.87312825  -0.0369832    0.16797441]
 [  9.43971157  19.04380669   0.           0.        ]]",[-1.13640308  0.67887914]
8,"[-0.36385902  0.04797938  1.62052365  2.23641946 -0.32599767  1.44451726
 -0.44403299  2.1801698  -0.52968192 -1.20104261  0.        ]",[-0.25734153 -0.27488008],[-2.04198326 -1.16893177],-2.28595,-0.138187659025,"[[  1.48908309   2.25268721  -0.0369832    0.16797441]
 [  5.29692938  18.912522     0.           0.        ]]",[-0.80243051  0.61316717]
9,"[-0.45748807 -0.27897638  1.62555767  1.25191123 -0.32599751  1.4445153
 -0.59710255  1.59238765 -0.33697147 -1.45462412  0.        ]",[-0.25734153 -0.27488008],[-0.50904693  1.25854358],-2.41498,-0.161898927845,"[[  1.55426395   2.5874532   -0.0369832    0.16797441]
 [  1.23437342  14.57850322   0.           0.        ]]",[-0.54307252  0.58382034]
10,"[-0.46356775 -0.46359338  1.625651    0.06191889 -0.32599736  1.44451335
 -0.67393865  2.09023067 -0.08058181 -1.57517645  0.        ]",[-0.25734153 -0.27488008],[-0.8661315  -0.07223161],-2.55813,-0.17531013,"[[  1.55849113   2.91585475  -0.0369832    0.16797441]
 [ -0.80490779  18.2494089    0.           0.        ]]",[-0.85979199  0.08539546]
11,"[-0.39119681 -0.49947953  1.62267897 -0.62507733 -0.3259972   1.44451139
 -0.80257217 -0.1825338   0.070895   -1.59785495  0.        ]",[-0.25734153 -0.27488008],[-1.8678113   0.90022459],-2.63881,-0.180399930724,"[[ 1.50813863  3.09231811 -0.0369832   0.16797441]
 [-4.21892228  1.49104574  0.          0.        ]]",[-0.84347862  1.18760085]
12,"[-0.21536262 -0.49843977  1.59863941 -0.57557714 -0.32599704  1.44450944
 -0.94860933 -0.60490374  0.04669545 -1.58786038  0.        ]",[-0.25734153 -0.27488008],[-0.39382784  0.81237281],-2.58714,-0.17870439316,"[[ 1.38487128  3.07972029 -0.0369832   0.16797441]
 [-8.0948435  -1.62332523  0.          0.        ]]",[-0.5225445   1.45642877]
13,"[ 0.02796122 -0.49471694  1.52383568 -0.44934168 -0.32599688  1.44450748
 -1.00132081 -0.57511528  0.01026314 -1.56129189  0.        ]",[-0.25734153 -0.27488008],[-0.11750149  1.52996191],-2.55796,-0.174884304987,"[[ 1.20893756  3.04754388 -0.0369832   0.16797441]
 [-9.49385631 -1.4036809   0.          0.        ]]",[-0.32678613  1.38739848]
14,"[ 0.27612174 -0.49131819  1.38991468 -0.36388752 -0.32599672  1.44450553
 -1.01176589 -0.49324659 -0.01063786 -1.52693904  0.        ]",[-0.25734153 -0.27488008],[ 0.58862165  2.30736819],-2.52256,-0.170485797828,"[[ 1.0162788   3.02570879 -0.0369832   0.16797441]
 [-9.77109779 -0.80001991  0.          0.        ]]",[-0.16407627  1.26616192]
15,"[ 0.47220252 -0.48922234  1.23031641 -0.31849532 -0.32599657  1.44450357
 -0.91666592 -0.43886104 -0.01701637 -1.49634934  0.        ]",[-0.25734153 -0.27488008],[-1.05448336  0.61157029],-2.51642,-0.166778437849,"[[ 0.8461808   3.01408834 -0.0369832   0.16797441]
 [-7.24711602 -0.39900704  0.          0.        ]]",[-0.1995312   1.14216352]
16,"[ 0.65248344 -0.48805982  1.02049941 -0.29503776 -0.32599641  1.44450162
 -1.06043811 -0.41376215 -0.01398959 -1.46660054  0.        ]",[-0.25734153 -0.27488008],[-0.3946664   0.26514977],-2.48673,-0.163321505699,"[[  0.66295319   3.00807651  -0.0369832    0.16797441]
 [-11.06292878  -0.21394077   0.           0.        ]]",[ 0.37414479  1.13293386]
17,"[  8.27298360e-01  -4.87372876e-01   7.05397481e-01  -2.81668126e-01
  -3.25996250e-01   1.44449966e+00  -1.11106101e+00  -4.02226885e-01
  -5.93514073e-04  -1.43338684e+00   0.00000000e+00]",[-0.25734153 -0.27488008],[ 0.35354434  1.86442751],-2.49382,-0.159644599529,"[[  0.42821398   3.00464792  -0.0369832    0.16797441]
 [-12.4065148   -0.12888652   0.           0.        ]]",[ 0.88478732  1.12207425]
18,"[ 0.92946913 -0.48714523  0.35926157 -0.27731507 -0.32599609  1.44449771
 -1.04906442 -0.38638557  0.02002028 -1.40672017  0.        ]",[-0.25734153 -0.27488008],[ 1.25141789  0.63520574],-2.45439,-0.156915213484,"[[  0.19659249   3.00353127  -0.0369832    0.16797441]
 [-10.76111962  -0.01208136   0.           0.        ]]",[ 1.17527938  1.10803437]
19,"[ 0.95678773 -0.48707306  0.08839068 -0.27594574 -0.32599593  1.44449575
 -0.89185795 -0.38721139  0.03894509 -1.39105333  0.        ]",[-0.25734153 -0.27488008],[ 2.37057767 -0.04512439],-2.4362,-0.15549474984,"[[ 0.02323235  3.00318    -0.0369832   0.16797441]
 [-6.58879834 -0.01817202  0.          0.        ]]",[ 1.1220901   1.06911874]
20,"[ 0.95389841 -0.48662854 -0.0543478  -0.26756324 -0.32599578  1.4444938
 -0.73776405 -0.41137192  0.05013726 -1.38252103  0.        ]",[-0.25734153 -0.27488008],[ 1.55380786  0.60252957],-2.47348,-0.154762807081,"[[-0.06751016  3.00102909 -0.0369832   0.16797441]
 [-2.49908155 -0.1963221   0.          0.        ]]",[ 0.92325675  1.04006243]
21,"[ 0.95288217 -0.48669782 -0.06966942 -0.26886669 -0.32599562  1.44449184
 -0.58671968 -0.34127312  0.05045659 -1.38631001  0.        ]",[-0.25734153 -0.27488008],[ 1.12256389  0.49660517],-2.48278,-0.155212819277,"[[-0.0772704   3.00136363 -0.0369832   0.16797441]
 [ 1.50970275  0.32055244  0.          0.        ]]",[ 0.59259367  0.93923366]
22,"[ 0.9571314  -0.48721501  0.0397851  -0.27866672 -0.32599546  1.44448989
 -0.43866682 -0.38313281  0.04246171 -1.38944118  0.        ]",[-0.25734153 -0.27488008],[-0.20253092  1.95707741],-2.52572,-0.155388398137,"[[-0.00765154  3.00387815 -0.0369832   0.16797441]
 [ 5.43909244  0.01189736  0.          0.        ]]",[ 0.10081255  0.89050323]
23,"[ 0.95108891 -0.48723907  0.19643259 -0.27913168 -0.3259953   1.44448793
 -0.47293699 -0.38444274  0.03110586 -1.39747635  0.        ]",[-0.25734153 -0.27488008],[-0.69627563  0.72933777],-2.49925,-0.156070521675,"[[  9.20044651e-02   3.00399747e+00  -3.69832041e-02   1.67974413e-01]
 [  4.52953879e+00   2.23713410e-03   0.00000000e+00   0.00000000e+00]]",[ 0.00192922  0.89262843]
