timestep,obs,human_obs,actions,rewards,original_rewards,logstd_action_dist,avg_action_dist
0,"[ 0.9574929   2.45007626  0.08769873 -0.64947753  1.65836377 -0.71554164
 -0.63447013 -0.38201632 -0.03666664  0.65860272  0.        ]","[[ 0.01979289  0.03793018  0.19183896 -0.08314826]
 [-0.00326043  0.00209302  0.          0.        ]]",[-1.44280828 -1.20340762],-2.17681,-0.0932195665797,[-0.25633132 -0.2757338 ],[-2.07220578 -0.43114763]
1,"[ 0.95748771  2.45113001  0.02519422 -0.80255691  1.65836109 -0.71554118
 -0.78276093 -0.9181559  -0.03544667  0.55147615  0.        ]","[[ -1.99467307e-02  -1.74078060e-03   1.91838956e-01  -8.31482604e-02]
 [ -3.95754018e+00  -3.95600274e+00   0.00000000e+00   0.00000000e+00]]",[-2.30997918 -0.11997528],-2.1193,-0.0808297186458,[-0.25633132 -0.2757338 ],[-1.78177905 -0.25938934]
2,"[ 0.94408655  2.44580901 -0.1598138  -1.122842    1.65835841 -0.71554071
 -0.92817081 -0.9716894  -0.06358069  0.2673197   0.        ]","[[-0.1380012  -0.0848262   0.19183896 -0.08314826]
 [-7.83500288 -4.35122373  0.          0.        ]]",[-1.64181183 -0.26464382],-1.98909,-0.0473583731909,[-0.25633132 -0.2757338 ],[-1.04080355 -0.09076518]
3,"[ 0.87876546  2.42683689 -0.45735231 -1.49245985  1.65835572 -0.71554024
 -1.07069874 -1.10175289 -0.18816339 -0.14365293  0.        ]","[[ -0.33283381  -0.18148486   0.19183896  -0.08314826]
 [-11.63562338  -5.31143486   0.           0.        ]]",[ 0.39245442 -0.64968405],-1.94562,-0.00395338288983,[-0.25633132 -0.2757338 ],[ 0.01941061  0.19784331]
4,"[ 0.74722328  2.37951846 -0.76244518 -1.98233549  1.65835304 -0.71553978
 -1.00381709 -1.43603638 -0.44552003 -0.55409661  0.        ]","[[-0.54765243 -0.31247475  0.19183896 -0.08314826]
 [-9.85220652 -7.77932153  0.          0.        ]]",[-0.04825632  1.57685288],-2.00703,-0.0627618575931,[-0.25633132 -0.2757338 ],[ 0.65161186  0.58252573]
5,"[ 0.57671048  2.31848955 -1.00947427 -2.39350648  1.65835036 -0.71553931
 -1.00373315 -0.87881088 -0.76253063 -0.83818219  0.        ]","[[-0.74467467 -0.4267866   0.19183896 -0.08314826]
 [-9.84999131 -3.66556592  0.          0.        ]]",[ 1.82000355  0.11939955],-2.25085,-0.114444184956,[-0.25633132 -0.2757338 ],[ 1.35615945  0.55233586]
6,"[ 0.41299031  2.27389238 -1.17559836 -2.62803554  1.65834768 -0.71553884
 -0.84807993 -0.80513066 -1.03322749 -0.98592631  0.        ]","[[-0.90003079 -0.49464025  0.19183896 -0.08314826]
 [-5.69942021 -3.12162024  0.          0.        ]]",[ 2.14755413  0.9002555 ],-2.40585,-0.151326661709,[-0.25633132 -0.2757338 ],[ 1.38866329  0.61402673]
7,"[ 0.32814289  2.25515587 -1.24378379 -2.71592401  1.658345   -0.71553838
 -0.6955421  -0.31410824 -1.16302698 -1.03410288  0.        ]","[[-0.973209   -0.52070172  0.19183896 -0.08314826]
 [-1.63191811  0.50338894  0.          0.        ]]",[ 1.09265591  0.58960308],-2.45374,-0.167589086239,[-0.25633132 -0.2757338 ],[ 1.30452609  0.44116539]
8,"[  3.36891770e-01   2.27897976e+00  -1.23722476e+00  -2.60311768e+00
   1.65834232e+00  -7.15537911e-01  -5.46003623e-01   5.76674160e-04
  -1.12367329e+00  -1.02691472e+00   0.00000000e+00]","[[-0.96583922 -0.4873247   0.19183896 -0.08314826]
 [ 2.35560694  2.82657334  0.          0.        ]]",[ 1.21834065  0.16300906],-2.42794,-0.163210245606,[-0.25633132 -0.2757338 ],[ 0.98435336  0.26976353]
9,"[ 0.43594745  2.31962144 -1.15526776 -2.38681752  1.65833963 -0.71553744
 -0.39940348  0.0802368  -0.9456576  -0.95664789  0.        ]","[[-0.879505   -0.42489278  0.19183896 -0.08314826]
 [ 6.26478128  3.41467002  0.          0.        ]]",[ 0.60635043  0.55130599],-2.30485,-0.140818837052,[-0.25633132 -0.2757338 ],[ 0.36640251  0.12012213]
