timestep,obs,human_obs,actions,rewards,original_rewards,logstd_action_dist,avg_action_dist
0,"[ 0.91816744  1.52101525  0.24345136 -0.69646338  0.89432403 -1.34150025
 -0.4830736  -0.33899475  0.60299874  1.69249911  0.        ]","[[ 0.08235844 -0.0236546   0.10329507 -0.15508717]
 [-0.00349776 -0.00100493  0.          0.        ]]",[-2.52309459 -2.56240197],-5.21598,-0.20023592614,[-0.87809414 -0.80830228],[-2.23951435 -2.3173182 ]
1,"[ 0.92221149  1.51892894  0.18295125 -0.79166756  0.89432378 -1.34149965
 -0.63302226 -0.96642814  0.60690836  1.5577722   0.        ]","[[ 0.0426141  -0.0633869   0.10329507 -0.15508717]
 [-3.95777803 -3.95903826  0.          0.        ]]",[-2.08429535 -1.2451526 ],-5.15001,-0.189820422841,[-0.87809414 -0.80830228],[-1.70528603 -1.61345792]
2,"[ 0.91905653  1.50153424  0.00302342 -1.07267138  0.89432352 -1.34149905
 -0.78000891 -1.5814417   0.57120882  1.16033627  0.        ]","[[-0.07543191 -0.18149386  0.10329507 -0.15508717]
 [-7.8339489  -7.83872747  0.          0.        ]]",[-1.67518642 -0.30307782],-4.92766,-0.157718950478,[-0.87809414 -0.80830228],[-0.97622526 -0.0440135 ]
3,"[ 0.8645427   1.44872412 -0.28923723 -1.45934856  0.89432326 -1.34149845
 -0.92413962 -1.74682844  0.38095551  0.57650982  0.        ]","[[ -0.27024541  -0.34873647   0.10329507  -0.15508717]
 [-11.63480777  -8.88204227   0.           0.        ]]",[ 0.91039086  2.24034519],-4.63987,-0.104897828469,[-0.87809414 -0.80830228],[ 0.66591054  1.38373697]
4,"[ 0.75100902  1.38226514 -0.56535242 -1.75774734  0.894323   -1.34149785
 -0.77890967 -1.09147032  0.07372734  0.11265188  0.        ]","[[-0.46451638 -0.48489764  0.10329507 -0.15508717]
 [-7.8049736  -4.74785361  0.          0.        ]]",[ 0.32988274  0.8087467 ],-4.42841,-0.0543033638516,[-0.87809414 -0.80830228],[ 0.57350951  0.89632571]
5,"[ 0.6335145   1.3454383  -0.7508032  -1.88685331  0.89432275 -1.34149725
 -0.72361596 -0.56900159 -0.17743834 -0.13395709  0.        ]","[[-0.60598628 -0.54678599  0.10329507 -0.15508717]
 [-6.34683538 -1.45196837  0.          0.        ]]",[ 1.11970279  0.0925479 ],-4.39663,-0.0236737010254,[-0.87809414 -0.80830228],[ 0.72568113  0.52001452]
6,"[ 0.54885124  1.32937658 -0.855262   -1.93785628  0.89432249 -1.34149665
 -0.56884214 -0.50657653 -0.33436838 -0.25255364  0.        ]","[[-0.69197203 -0.57187422  0.10329507 -0.15508717]
 [-2.26531948 -1.05817348  0.          0.        ]]",[ 0.27812365  0.24909747],-4.40133,-0.015248587475,[-0.87809414 -0.80830228],[ 0.1212346   0.48660266]
7,"[ 0.51297288  1.32209137 -0.8944192  -1.96008447  0.89432223 -1.34149605
 -0.52543236 -0.34696491 -0.39990118 -0.2944735   0.        ]","[[-0.72579284 -0.58293537  0.10329507 -0.15508717]
 [-1.12056921 -0.05129718  0.          0.        ]]",[-0.25652821  0.65821747],-4.40771,-0.0175304932367,[-0.87809414 -0.80830228],[-0.02975827  0.30255204]
8,"[ 0.47731537  1.33846609 -0.93082455 -1.90933492  0.89432197 -1.34149545
 -0.56311071  0.06640255 -0.42783622 -0.32194633  0.        ]","[[-0.75817348 -0.557798    0.10329507 -0.15508717]
 [-2.11418263  2.55634508  0.          0.        ]]",[ 0.86505982 -0.6951561 ],-4.45848,-0.0203364208456,[-0.87809414 -0.80830228],[ 0.20468992 -0.27475917]
9,"[ 0.46885859  1.35287569 -0.93911995 -1.86221822  0.89432172 -1.34149484
 -0.43171162 -0.37815138 -0.41722083 -0.32304276  0.        ]","[[-0.76569065 -0.53480833  0.10329507 -0.15508717]
 [ 1.35092131 -0.24803048  0.          0.        ]]",[ 0.21145775  0.69932882],-4.42876,-0.0203065166312,[-0.87809414 -0.80830228],[-0.35832399  0.17804915]
