timestep,obs,logstd_action_dist,actions,rewards,original_rewards,human_obs,avg_action_dist
0,"[ 0.93524799  2.38505472  0.23084664 -0.45772452  1.60775298 -0.65722337
 -0.63580304 -0.38321108 -0.02391265  0.806092    0.        ]",[-0.320537  -0.2872633],[-1.17915893 -0.44488979],-2.44016,-0.107882556131,"[[ 0.09986319  0.08321117  0.18638478 -0.07576762]
 [-0.00283567 -0.00398154  0.          0.        ]]",[-1.7652247  -0.59510648]
1,"[ 0.93985307  2.38696169  0.16820817 -0.52563978  1.60775072 -0.657223
 -0.782078   -0.62291568 -0.01381836  0.71936662  0.        ]",[-0.320537  -0.2872633],[-0.88284117  0.38514575],-2.38016,-0.0981885870232,"[[ 0.06012335  0.06547323  0.18638478 -0.07576762]
 [-3.95798003 -1.76395291  0.          0.        ]]",[-1.24491644 -0.35777009]
2,"[ 0.94041357  2.38854019 -0.01105493 -0.6008308   1.60774846 -0.65722263
 -0.90836633 -0.41027506 -0.00674931  0.49892293  0.        ]",[-0.320537  -0.2872633],[-1.34065194 -1.64238691],-2.26861,-0.0734739521572,"[[-0.05329726  0.04585882  0.18638478 -0.07576762]
 [-7.3727094  -0.20269604  0.          0.        ]]",[-0.59641922 -0.4810816 ]
3,"[ 0.90125529  2.39005738 -0.30111593 -0.76865682  1.60774621 -0.65722227
 -1.04921805 -0.94881709 -0.05190669  0.13063106  0.        ]",[-0.320537  -0.2872633],[ 1.59566532 -0.08637363],-2.14575,-0.0316992676613,"[[ -2.38963360e-01   2.13207607e-03   1.86384775e-01  -7.57676248e-02]
 [ -1.11812241e+01  -4.15680418e+00   0.00000000e+00   0.00000000e+00]]",[ 0.40099996  0.05166411]
4,"[ 0.81600754  2.38497948 -0.57261131 -1.09754849  1.60774395 -0.6572219
 -0.89473238 -0.98440692 -0.18115538 -0.24777296  0.        ]",[-0.320537  -0.2872633],[-0.17309751  1.04344623],-2.01496,-0.0182647289296,"[[-0.42067749 -0.08362595  0.18638478 -0.07576762]
 [-7.00410108 -4.41811869  0.          0.        ]]",[ 0.52904159  0.26851079]
5,"[ 0.71607287  2.37753298 -0.77518031 -1.27982429  1.60774169 -0.65722153
 -0.91499129 -0.43317207 -0.32913887 -0.50548989  0.        ]",[-0.320537  -0.2872633],[ 1.70899289 -1.24320289],-2.11784,-0.0516700197492,"[[-0.56625584 -0.13138051  0.18638478 -0.07576762]
 [-7.55189999 -0.3708237   0.          0.        ]]",[ 1.12653446 -0.01183444]
6,"[ 0.62340117  2.36697654 -0.91635102 -1.45842812  1.60773943 -0.65722116
 -0.76310758 -0.97167356 -0.47377714 -0.68596671  0.        ]",[-0.320537  -0.2872633],[ 3.21274474  0.73556138],-2.25056,-0.0785930465971,"[[-0.67608928 -0.17846687  0.18638478 -0.07576762]
 [-3.44512777 -4.324633    0.          0.        ]]",[ 0.98751432  0.52651167]
7,"[ 0.59703976  2.3501569  -0.95114676 -1.67043656  1.60773717 -0.65722079
 -0.61432599 -0.56354128 -0.54521622 -0.75423471  0.        ]",[-0.320537  -0.2872633],[ 1.09326135  1.41768672],-2.2571,-0.0900290443922,"[[-0.70462907 -0.23489371  0.18638478 -0.07576762]
 [ 0.5777692  -1.32803256  0.          0.        ]]",[ 0.6132589   0.30028969]
8,"[ 0.64360184  2.35455803 -0.88825136 -1.62025987  1.60773492 -0.65722042
 -0.4685005  -0.02087498 -0.47628563 -0.68327821  0.        ]",[-0.320537  -0.2872633],[ 0.21198588 -0.17039774],-2.18276,-0.0784608888689,"[[-0.6535127  -0.22147783  0.18638478 -0.07576762]
 [ 4.52073814  2.65634908  0.          0.        ]]",[-0.0508489 -0.1937117]
9,"[ 0.72431006  2.36767864 -0.76088051 -1.44777839  1.60773266 -0.65722005
 -0.44078348 -0.11996775 -0.34364412 -0.52152395  0.        ]",[-0.320537  -0.2872633],[-1.38497684 -0.17417254],-2.03756,-0.054087927512,"[[-0.55557865 -0.17565073  0.18638478 -0.07576762]
 [ 5.27017259  1.92878691  0.          0.        ]]",[-0.51099354 -0.24443418]
