timestep,obs,human_obs,actions,rewards,original_rewards,logstd_action_dist,avg_action_dist
0,"[ 0.90479445  1.7059652   0.17918227 -0.52296125  0.12376046  1.41160863
 -0.54482978 -0.35433779  1.38725933 -1.55125305  0.        ]","[[ 0.04222809  0.05133631  0.01420721  0.16245854]
 [ 0.00028563  0.00445766  0.          0.        ]]",[ 3.19495431  3.9229056 ],-4.75118,-0.244957065352,[-0.70871013 -0.7419073 ],[ 3.55643988  3.96624136]
1,"[ 0.90094187  1.70246756  0.24108337 -0.41557625  0.12376043  1.41160776
 -0.40240717  0.24063284  1.37472339 -1.42776235  0.        ]","[[ 0.08190887  0.09113699  0.01420721  0.16245854]
 [ 3.95463497  3.96242319  0.          0.        ]]",[ 2.49371358  1.76098691],-4.70416,-0.236393396347,[-0.70871013 -0.7419073 ],[ 2.69310308  3.06622219]
2,"[ 0.87502269  1.68064997  0.42356941 -0.09968715  0.1237604   1.41160688
 -0.26279728  0.8238264   1.29370858 -1.07052999  0.        ]","[[ 0.19989282  0.20931096  0.01420721  0.16245854]
 [ 7.83089004  7.84204408  0.          0.        ]]",[ 0.78961092  1.65836391],-4.49418,-0.209502814483,[-0.70871013 -0.7419073 ],[ 0.99790913  1.72756386]
3,"[ 0.79085709  1.60807413  0.70209001  0.40237594  0.12376038  1.41160601
 -0.15591014  1.39551567  1.03608916 -0.55928596  0.        ]","[[  0.38628546   0.40430967   0.01420721   0.16245854]
 [ 10.79860069  11.64513778   0.           0.        ]]",[-1.43937056 -0.69168737],-4.15076,-0.16262362627,[-0.70871013 -0.7419073 ],[ -1.01916564e+00  -8.56339931e-04]
4,"[ 0.66674756  1.48679653  0.94406849  0.88220166  0.12376035  1.41160514
 -0.30602942  0.9493578   0.6603223  -0.18256476  0.        ]","[[ 0.56043897  0.6074335   0.01420721  0.16245854]
 [ 6.63055167  8.67713289  0.          0.        ]]",[-0.44452776 -0.38311607],-3.73685,-0.113912102781,[-0.70871013 -0.7419073 ],[-1.092026   -0.17087823]
5,"[ 0.56383216  1.36452121  1.08886591  1.20973703  0.12376033  1.41160427
 -0.37405949  0.6955803   0.34713492 -0.01517105  0.        ]","[[ 0.67409903  0.76403771  0.01420721  0.16245854]
 [ 4.74170118  6.98891239  0.          0.        ]]",[-0.88929549 -0.6493574 ],-3.41856,-0.0789813289274,[-0.70871013 -0.7419073 ],[-0.95152944 -0.39666921]
6,"[ 0.50451134  1.26292586  1.15871509  1.41735884  0.1237603   1.41160339
 -0.50412161  0.28844191  0.1459731   0.03722388  0.        ]","[[ 0.73270191  0.87664139  0.01420721  0.16245854]
 [ 1.13053668  4.28047784  0.          0.        ]]",[-1.12283178 -0.52788963],-3.28179,-0.0576993780728,[-0.70871013 -0.7419073 ],[-0.27984181 -0.16319728]
7,"[ 0.52245179  1.20083673  1.13845303  1.52346159  0.12376027  1.41160252
 -0.64740406 -0.03832419  0.11071182  0.02144701  0.        ]","[[ 0.71539831  0.94044097  0.01420721  0.16245854]
 [-2.84768966  2.10670939  0.          0.        ]]",[ 0.90772504  1.26555051],-3.31134,-0.0534678252438,[-0.70871013 -0.7419073 ],[ 0.62669414  0.31046599]
8,"[  5.43113121e-01   1.11732220e+00   1.11421310e+00   1.64591776e+00
   1.23760249e-01   1.41160165e+00  -5.16059394e-01   5.50459113e-01
   6.31115823e-02  -1.32614806e-03   0.00000000e+00]","[[ 0.69503297  1.02187356  0.01420721  0.16245854]
 [ 0.7990761   6.02351289  0.          0.        ]]",[-0.38061648 -1.0485981 ],-3.26399,-0.0477343568984,[-0.70871013 -0.7419073 ],[-0.26403362 -0.66989654]
9,"[ 0.54238583  1.03161271  1.11508282  1.75078017  0.12376022  1.41160077
 -0.57082724 -0.06261934 -0.01465158 -0.01677406  0.        ]","[[ 0.69575808  1.10142372  0.01420721  0.16245854]
 [-0.72155103  1.9450906   0.          0.        ]]",[ 0.48071286  0.46714069],-3.25834,-0.038872913595,[-0.70871013 -0.7419073 ],[ 0.24235129  0.02949536]
