timestep,obs,human_obs,actions,rewards,original_rewards,logstd_action_dist,avg_action_dist
0,"[ 0.90057857  1.94814574  0.27320091 -0.64228355  1.39284965 -1.71174106
 -0.58717226 -0.36867707  0.11117052  1.91217988  0.        ]","[[ 0.09683064  0.01317514  0.15978005 -0.19691538]
 [ 0.00138003  0.00190098  0.          0.        ]]",[-0.2612181  -1.34527124],-3.10809,-0.224101534419,[-0.5439626  -0.53576142],[-0.41259283 -1.81882977]
1,"[ 0.90199961  1.94780064  0.25684226 -0.76694226  1.39284855 -1.71173925
 -0.62406655 -0.9367819   0.1158954   1.85293292  0.        ]","[[ 0.08650553 -0.02651102  0.15978005 -0.19691538]
 [-1.0304605  -3.95732379  0.          0.        ]]",[-1.39590869 -1.14966345],-3.06696,-0.217885158275,[-0.5439626  -0.53576142],[-0.54622298 -1.32001424]
2,"[ 0.90709781  1.93474374  0.16141891 -1.13628426  1.39284745 -1.71173745
 -0.76473165 -1.49347689  0.11396349  1.62020749  0.        ]","[[ 0.02642524 -0.14458389  0.15978005 -0.19691538]
 [-4.96449307 -7.83703706  0.          0.        ]]",[-0.2667262  -0.20008425],-2.92967,-0.193028724156,[-0.5439626  -0.53576142],[-0.44845909 -0.6099633 ]
3,"[ 0.90251153  1.88743528 -0.01167576 -1.63513347  1.39284635 -1.71173565
 -0.79894489 -1.58483468  0.04826284  1.25820468  0.        ]","[[-0.08246482 -0.30771287  0.15978005 -0.19691538]
 [-5.92135472 -8.47373593  0.          0.        ]]",[-0.95344506 -0.89105418],-2.73275,-0.152622980872,[-0.5439626  -0.53576142],[-0.37075165 -0.14235282]
4,"[ 0.8653863   1.78292336 -0.25502885 -2.21966069  1.39284526 -1.71173384
 -0.92959491 -2.06680874 -0.15035364  0.81831749  0.        ]","[[ -0.23755172  -0.51088947   0.15978005  -0.19691538]
 [ -9.57529565 -11.83271986   0.           0.        ]]",[-0.33585917  1.77989494],-2.59261,-0.100165758954,[-0.5439626  -0.53576142],[ 0.5571571   1.19405556]
5,"[ 0.76404426  1.63921083 -0.55904101 -2.72048711  1.39284416 -1.71173204
 -0.97040976 -1.46494278 -0.50393561  0.41329855  0.        ]","[[ -0.44051098  -0.70545916   0.15978005  -0.19691538]
 [-10.71679061  -7.63821309   0.           0.        ]]",[ 1.56794814  1.12848755],-2.53044,-0.0591373989654,[-0.5439626  -0.53576142],[ 1.41296983  1.17828357]
6,"[ 0.6337514   1.53965082 -0.79603742 -2.97400577  1.39284306 -1.71173024
 -0.82142736 -0.87525068 -0.82860646  0.19851627  0.        ]","[[-0.61304294 -0.81698959  0.15978005 -0.19691538]
 [-6.55016639 -3.5285413   0.          0.        ]]",[ 1.27955961  1.08202246],-2.57944,-0.0695853703536,[-0.5439626  -0.53576142],[ 1.33199191  0.77911985]
7,"[ 0.55097879  1.51078601 -0.90931749 -3.03777862  1.39284196 -1.71172844
 -0.6753748  -0.29724575 -0.98577406  0.12399411  0.        ]","[[-0.70306384 -0.84714381  0.15978005 -0.19691538]
 [-2.46547883  0.49968243  0.          0.        ]]",[ 0.06630204 -0.40564751],-2.63505,-0.0842341807783,[-0.5439626  -0.53576142],[ 1.01770473  0.23003894]
8,"[ 0.50486276  1.50473123 -0.96425494 -3.05066603  1.39284087 -1.71172663
 -0.66423308 -0.52914787 -1.06005409  0.0928582   0.        ]","[[-0.74924701 -0.85336572  0.15978005 -0.19691538]
 [-2.15388232 -1.11648766  0.          0.        ]]",[ 0.86196673  0.4219564 ],-2.67745,-0.0920126439551,[-0.5439626  -0.53576142],[ 1.09529257  0.54226637]
9,"[ 0.49617966  1.49949313 -0.97404627 -3.06168395  1.39283977 -1.71172483
 -0.54078786 -0.28639318 -1.07770775  0.08778135  0.        ]","[[-0.75768552 -0.8587211   0.15978005 -0.19691538]
 [ 1.29853999  0.57531382  0.          0.        ]]",[ 0.46620892  0.51453417],-2.67902,-0.093956256628,[-0.5439626  -0.53576142],[ 0.61285347  0.23543763]
