timestep,obs,human_obs,actions,rewards,original_rewards,logstd_action_dist,avg_action_dist
0,"[ 0.97812355  2.43940696 -0.02175436 -1.05200643 -0.17696174  0.37411507
 -0.6321348  -0.38250345  1.59282249 -0.59811996  0.        ]","[[-0.04036365 -0.06386    -0.02164966  0.04382905]
 [-0.00381113 -0.0038649   0.          0.        ]]",[ 2.78299845  3.27540836],-2.89123,-0.238464263081,[-0.24992129 -0.26504028],[ 1.08937037  2.2799933 ]
1,"[ 0.97928511  2.44197387  0.04006692 -0.89998425 -0.17696165  0.37411485
 -0.47926003  0.15484915  1.5977959  -0.49213185  0.        ]","[[ -7.64037703e-04  -2.42241112e-02  -2.16496586e-02   4.38290502e-02]
 [  3.95060921e+00   3.95426731e+00   0.00000000e+00   0.00000000e+00]]",[ 1.32988613  2.44793459],-2.88651,-0.236268229432,[-0.24992129 -0.26504028],[ 0.57706881  2.10431218]
2,"[ 0.96950004  2.43591216  0.2237661  -0.44742073 -0.17696156  0.37411464
 -0.3294071   0.68156619  1.57392921 -0.17755707  0.        ]","[[ 0.11713957  0.09378845 -0.02164966  0.04382905]
 [ 7.82686489  7.83405932  0.          0.        ]]",[-0.98126904  2.42779522],-2.8379,-0.228709137807,[-0.24992129 -0.26504028],[-0.11976814  1.91125965]
3,"[ 0.94064871  2.38132968  0.40207502  0.28596189 -0.17696147  0.37411443
 -0.48550927  1.19826641  1.46400118  0.18463336  0.        ]","[[  0.23316293   0.28865671  -0.02164966   0.04382905]
 [  3.78894899  11.64007366   0.           0.        ]]",[ 0.62232239  0.86213783],-2.89928,-0.217001160852,[-0.24992129 -0.26504028],[-0.34194562  1.74276733]
4,"[ 0.90090367  2.2221096   0.55154045  1.21090661 -0.17696138  0.37411422
 -0.39325423  1.63029466  1.24306165  0.51942836  0.        ]","[[  0.33288357   0.55338758  -0.02164966   0.04382905]
 [  6.1753113   14.82240774   0.           0.        ]]",[-0.3069203   2.83317255],-2.85918,-0.199939882991,[-0.24992129 -0.26504028],[-0.64125645  1.45959628]
5,"[ 0.84147053  1.8993101   0.71061082  2.16833616 -0.17696128  0.37411401
 -0.44491567  2.1280491   0.87640329  0.78576752  0.        ]","[[  0.4429804    0.886623    -0.02164966   0.04382905]
 [  4.83897448  18.48890393   0.           0.        ]]",[-0.53303005  0.41475707],-2.80136,-0.174137171205,[-0.24992129 -0.26504028],[-0.85340011  1.12841117]
6,"[ 0.79221773  1.40489675  0.81400134  2.85913098 -0.17696119  0.37411379
 -0.53009095  2.30137531  0.46440977  0.84649598  0.        ]","[[  0.51765396   1.26921157  -0.02164966   0.04382905]
 [  2.63573229  19.765678     0.           0.        ]]",[-0.5446347   0.74481417],-2.58782,-0.14145695635,[-0.24992129 -0.26504028],[-0.77974153  0.84256279]
7,"[ 0.77003273  0.79072149  0.85513369  3.00506594 -0.1769611   0.37411358
 -0.61536608  2.64866894  0.10832871  0.6920992   0.        ]","[[  5.48236828e-01   1.69019318e+00  -2.16496586e-02   4.38290502e-02]
 [  4.29905736e-01   2.23239263e+01   0.00000000e+00   0.00000000e+00]]",[-0.45529782  2.43335946],-2.20441,-0.102348300816,[-0.24992129 -0.26504028],[-0.7611689   0.44676828]
8,"[ 0.77708263  0.13175749  0.84236895  2.35924726 -0.17696101  0.37411337
 -0.68529096  3.12622135 -0.13391644  0.34646659  0.        ]","[[  5.38687214e-01   2.17196718e+00  -2.16496586e-02   4.38290502e-02]
 [ -1.37885664e+00   2.58417191e+01   0.00000000e+00   0.00000000e+00]]",[-0.68096202  0.24173408],-1.7029,-0.0539529839083,[-0.24992129 -0.26504028],[-0.93208635  0.12308615]
9,"[ 0.81505126 -0.36349376  0.76839053  0.85719858 -0.17696092  0.37411316
 -0.78839609  3.18669151 -0.19053862 -0.11146336  0.        ]","[[  4.84353503e-01   2.69327236e+00  -2.16496586e-02   4.38290502e-02]
 [ -4.04589656e+00   2.62872766e+01   0.00000000e+00   0.00000000e+00]]",[-2.89341033 -0.18252495],-1.34749,-0.00124746898112,[-0.24992129 -0.26504028],[-1.0906378   0.05234218]
