timestep,obs,human_obs,actions,rewards,original_rewards,logstd_action_dist,avg_action_dist
0,"[ 0.97548499  2.43658467 -0.06782276 -1.01892139 -0.74760185  0.95080706
 -0.63663592 -0.38099537  2.10016715 -1.19370215  0.        ]","[[-0.06609183 -0.05795169 -0.08507574  0.10866754]
 [-0.004321   -0.0005888   0.          0.        ]]",[ 3.86284883  2.35628097],-3.38399,-0.321019769022,[-0.25006437 -0.26394039],[ 3.3649137   2.58263969]
1,"[ 0.97809986  2.4388056  -0.00606191 -0.8671771  -0.74760126  0.95080614
 -0.48350734  0.15563013  2.10725706 -1.08801593  0.        ]","[[-0.02650232 -0.01825094 -0.08507574  0.10866754]
 [ 3.95010913  3.95747817  0.          0.        ]]",[ 2.69432466  2.12725034],-3.37135,-0.317011878977,[-0.25006437 -0.26394039],[ 2.79817891  2.37349534]
2,"[ 0.97264175  2.43170279  0.17786174 -0.41614862 -0.74760067  0.95080523
 -0.33340548  0.68163441  2.08966063 -0.77355006  0.        ]","[[ 0.09139142  0.09982519 -0.08507574  0.10866754]
 [ 7.82637803  7.83720583  0.          0.        ]]",[ 1.33565244  1.72258797],-3.31259,-0.303036094047,[-0.25006437 -0.26394039],[ 1.9793787   2.18271089]
3,"[ 0.9205854   2.37546421  0.47600199  0.31376767 -0.74760008  0.95080431
 -0.18626071  1.19721972  1.93758766 -0.28402137  0.        ]","[[  0.28604363   0.29472503  -0.08507574   0.10866754]
 [ 11.62628262  11.64009101   0.           0.        ]]",[ 1.75019078  2.23830435],-3.14611,-0.273718603131,[-0.25006437 -0.26394039],[ 1.07292628  2.01609564]
4,"[ 0.76357571  2.20995803  0.85956546  1.2504706  -0.74759949  0.9508034
 -0.04198943  1.70257315  1.51155233  0.24500053  0.        ]","[[  0.55594793   0.56492583  -0.08507574   0.10866754]
 [ 15.35198151  15.36752215   0.           0.        ]]",[ 0.68576836  1.15970655],-3.00222,-0.222091790638,[-0.25006437 -0.26394039],[ 0.32088214  1.80808496]
5,"[ 0.45261451  1.87079401  1.24617318  2.22014451 -0.74759891  0.95080248
  0.05136281  2.19793257  0.78352972  0.5203282   0.        ]","[[  0.8871714    0.90893614  -0.08507574   0.10866754]
 [ 17.76273373  19.02126557   0.           0.        ]]",[-0.76233467  0.3934151 ],-2.66864,-0.145194053712,[-0.25006437 -0.26394039],[-0.18393454  1.42040706]
6,"[ 0.05662604  1.35735012  1.4958378   2.88966137 -0.74759832  0.95080157
 -0.07891265  2.3580542   0.07294808  0.30058734  0.        ]","[[  1.20867107   1.30121184  -0.08507574   0.10866754]
 [ 14.39846822  20.20235823   0.           0.        ]]",[ 0.23235145  1.60673239],-2.00691,-0.0590521584309,[-0.25006437 -0.26394039],[-0.5388844   1.12919092]
7,"[-0.35252631  0.71501663  1.59354135  2.97255699 -0.74759773  0.95080065
 -0.054175    2.84050234 -0.30813913 -0.28434547  0.        ]","[[  1.50304696   1.74096342  -0.08507574   0.10866754]
 [ 15.03729818  23.76093335   0.           0.        ]]",[-1.03543131  0.76422539],-1.62789,-0.0267331627045,[-0.25006437 -0.26394039],[-0.67599237  0.78233856]
8,"[-0.71931912  0.04796935  1.56891329  2.19844644 -0.74759714  0.95079974
 -0.2187923   3.18692226 -0.21478097 -0.90145899  0.        ]","[[  1.76114312   2.24181993  -0.08507574   0.10866754]
 [ 10.78618322  26.31622632   0.           0.        ]]",[-0.33166809  0.16030981],-1.89374,-0.0940962687893,[-0.25006437 -0.26394039],[-0.51896149  0.60364491]
9,"[-0.99305174 -0.40863303  1.47937249  0.59410292 -0.74759655  0.95079883
 -0.27778516  3.20229081  0.2065728  -1.17117552  0.        ]","[[  1.96158595   2.76928289  -0.08507574   0.10866754]
 [  9.26273617  26.42971814   0.           0.        ]]",[-2.54574578  0.62423786],-2.11074,-0.135373807046,[-0.25006437 -0.26394039],[-0.41721135  0.35235953]
