timestep,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist,avg_action_dist
0,"[ 0.95421967  1.75651202  0.05385593 -0.72203572  0.80915979 -0.72388071
  0.27597287 -0.353051    0.5970963   0.74488906  0.        ]",[-0.47465845  0.99527784],-0.148545849111,-0.148545849111,"[[ 0.00813175  0.07288356  0.09403015 -0.08356501]
 [-0.00216234  0.00375733  0.          0.        ]]",[-0.20668079 -0.28624216],[-1.94641185  0.69798774]
1,"[ 0.95418029  1.75183913  0.02484397 -0.61113258  0.80915841 -0.72387958
  0.09989283  0.23550232  0.59526885  0.74856615  0.        ]",[-0.55620318  0.41068948],-0.148621490929,-0.148621490929,"[[-0.01076587  0.11250552  0.09403015 -0.08356501]
 [-1.88133748  3.94529929  0.          0.        ]]",[-0.20668079 -0.28624216],[-1.91724491  0.37081313]
2,"[ 0.95056556  1.73272818 -0.06616251 -0.3490955   0.80915703 -0.72387844
 -0.10284482  0.4667815   0.58919506  0.72832815  0.        ]",[-0.85047744  1.13785662],-0.146764804516,-0.146764804516,"[[-0.07010137  0.20695197  0.09403015 -0.08356501]
 [-4.04501008  5.4941779   0.          0.        ]]",[-0.20668079 -0.28624216],[-1.71166968  0.2942799 ]
3,"[ 0.92884156  1.68032707 -0.23947624  0.05169712  0.80915565 -0.7238773
 -0.41073873  1.04196636  0.57159539  0.6555655   0.        ]",[-0.23227296 -0.95635055],-0.140563539266,-0.140563539266,"[[-0.18397019  0.35548431  0.09403015 -0.08356501]
 [-7.33093987  9.34619777  0.          0.        ]]",[-0.20668079 -0.28624216],[-1.1724174  -0.09880494]
4,"[ 0.86885296  1.6025565  -0.46820744  0.42735544  0.80915426 -0.72387616
 -0.48312407  0.44892075  0.53818515  0.50379888  0.        ]",[ 0.33876555 -0.73884251],-0.128509747693,-0.128509747693,"[[-0.33833967  0.50255987  0.09403015 -0.08356501]
 [-8.10346107  5.37458308  0.          0.        ]]",[-0.20668079 -0.28624216],[-0.53178883  0.44354951]
5,"[ 0.78027897  1.55206456 -0.67483749  0.61300945  0.80915288 -0.72387503
 -0.34243371 -0.0039062   0.49574896  0.29978738  0.        ]",[ 0.09000091  0.90359167],-0.114176791104,-0.114176791104,"[[-0.48534418  0.57962464  0.09403015 -0.08356501]
 [-6.60198331  2.34200962  0.          0.        ]]",[-0.20668079 -0.28624216],[-0.22023717  0.79555714]
6,"[ 0.68038101  1.49119835 -0.84127783  0.80108956  0.8091515  -0.72387389
 -0.29695641  0.52337802  0.44126099  0.14723746  0.        ]",[ 1.20350727 -0.21565129],-0.102610867488,-0.102610867488,"[[-0.61251433  0.66189463  0.09403015 -0.08356501]
 [-6.11664249  5.8732229   0.          0.        ]]",[-0.20668079 -0.28624216],[-0.07077479  0.24297741]
7,"[ 0.60585159  1.40131595 -0.94051645  1.02948418  0.80915012 -0.72387275
  0.08511746  0.37829981  0.39673474  0.11262253  0.        ]",[ 1.27501929 -0.33960388],-0.0966486772368,-0.0966486772368,"[[-0.69393597  0.76961059  0.09403015 -0.08356501]
 [-2.03906333  4.90164163  0.          0.        ]]",[-0.20668079 -0.28624216],[-0.6035462   0.10187163]
8,"[ 0.60519937  1.32424247 -0.94131192  1.1911573   0.80914874 -0.72387161
  0.45966571  0.16282635  0.38711429  0.19968625  0.        ]",[ 0.23660185  0.03241993],-0.098593751273,-0.098593751273,"[[-0.69461172  0.85316504  0.09403015 -0.08356501]
 [ 1.95820177  3.45862497  0.          0.        ]]",[-0.20668079 -0.28624216],[-1.33435965  0.06991683]
9,"[ 0.65028727  1.25538755 -0.88337615  1.31488078  0.80914736 -0.72387047
  0.54375806  0.1717257   0.38881119  0.35868021  0.        ]",[-1.93905495  0.22851289],-0.106020271071,-0.106020271071,"[[-0.6464433   0.92293552  0.09403015 -0.08356501]
 [ 2.85566033  3.51822476  0.          0.        ]]",[-0.20668079 -0.28624216],[-1.75668049 -0.05213936]
10,"[ 0.66540299  1.1731956  -0.8625985   1.44140327  0.80914598 -0.72386934
  0.16770842  0.29660923  0.36844647  0.46819778  0.        ]",[-1.83454832 -0.49078907],-0.110237450498,-0.110237450498,"[[-0.62959619  1.00169139  0.09403015 -0.08356501]
 [-1.15761376  4.35456571  0.          0.        ]]",[-0.20668079 -0.28624216],[-1.31443071 -0.07803018]
11,"[ 0.60750738  1.10019665 -0.93847342  1.53715625  0.8091446  -0.7238682
 -0.20084569 -0.00628561  0.33364025  0.42448125  0.        ]",[ 0.37625758  0.44028472],-0.10434771484,-0.10434771484,"[[-0.69221187  1.06843068  0.09403015 -0.08356501]
 [-5.09089433  2.32609608  0.          0.        ]]",[-0.20668079 -0.28624216],[-0.50188011  0.33196658]
12,"[ 0.52076241  1.02815065 -1.03623093  1.61813698  0.80914322 -0.72386706
 -0.05195594  0.2470827   0.29126451  0.34063121  0.        ]",[ 0.24669282 -0.0450959 ],-0.0954578602178,-0.0954578602178,"[[-0.77808722  1.13197695  0.09403015 -0.08356501]
 [-3.5019173   4.02288934  0.          0.        ]]",[-0.20668079 -0.28624216],[-0.63553065 -0.03499895]
