timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[ 0.23554751  1.42058742],[ 0.00436115  1.51379326],-0.305437871256,-0.305437871256,"[ 1.08589494  1.97195477 -0.09361923 -0.46548978 -0.69620991 -0.84724487
  0.21864629 -0.34412918  1.86721507  0.69891027  0.        ]","[[-0.05333072  0.08085662 -0.08082064 -0.09623148]
 [-0.00282954 -0.00413248  0.          0.        ]]",[-0.03717213 -0.24843675]
1,[ 0.1605477   1.37343895],[ 0.69212985  1.48840053],-0.306616038463,-0.306616038463,"[ 1.08589518  1.96666466 -0.09346533 -0.35189469 -0.69620672 -0.84724038
  0.21987401  0.20384988  1.86568825  0.73395004  0.        ]","[[-0.05322905  0.12050257 -0.08082064 -0.09623148]
 [ 0.01295056  3.95553056  0.          0.        ]]",[-0.03717213 -0.24843675]
2,[ 0.01619115  1.29419208],[ 0.68605627  2.07149374],-0.311113010532,-0.311113010532,"[ 1.08740787  1.93882494 -0.05156695 -0.01759262 -0.69620353 -0.84723588
  0.43288442  0.74083371  1.85019326  0.88314571  0.        ]","[[-0.02551624  0.23854467 -0.08082064 -0.09623148]
 [ 2.74924779  7.83575225  0.          0.        ]]",[-0.03717213 -0.24843675]
3,[-0.13314022  1.2179482 ],[ 1.58998635  1.56238727],-0.317370322808,-0.317370322808,"[ 1.08565875  1.85410966  0.07193951  0.51142884 -0.69620034 -0.84723139
  0.63983565  1.26718444  1.77342139  1.1765392   0.        ]","[[  0.05614107   0.43342076  -0.08082064  -0.09623148]
 [  5.40771893  11.63918296   0.           0.        ]]",[-0.03717213 -0.24843675]
4,[-0.23130451  1.15263295],[-0.88459967  1.38489049],-0.319389334462,-0.319389334462,"[ 1.05925926  1.66263419  0.29195555  1.16516161 -0.69619714 -0.84722689
  0.93944567  1.78303561  1.54692187  1.57237138  0.        ]","[[  0.20290898   0.70360534  -0.08082064  -0.09623148]
 [  9.25648542  15.36684445   0.           0.        ]]",[-0.03717213 -0.24843675]
5,[-0.18389198  1.14510679],[-1.45449499  2.28245706],-0.307546580937,-0.307546580937,"[ 1.00283557  1.31555987  0.50742552  1.79663348 -0.69619395 -0.84722239
  0.65278259  2.28898901  1.16142921  1.8607681   0.        ]","[[  0.35109174   1.04762744  -0.08082064  -0.09623148]
 [  5.57413971  19.02316259   0.           0.        ]]",[-0.03717213 -0.24843675]
6,[-0.15653801  1.0749383 ],[ 0.28629565  1.64693538],-0.278358304552,-0.278358304552,"[ 0.96571239  0.79660856  0.60647524  2.16542775 -0.69619076 -0.8472179
  0.33626733  2.78488068  0.75739731  1.88282532  0.        ]","[[  0.42178084   1.46404942  -0.08082064  -0.09623148]
 [  1.50830754  22.60704744   0.           0.        ]]",[-0.03717213 -0.24843675]
7,[-0.21961237  0.92173052],[ 0.1301855  -0.13429564],-0.231448045268,-0.231448045268,"[ 0.94109534  0.16548856  0.66288548  1.97567581 -0.69618757 -0.8472134
  0.42234251  3.27074887  0.39496556  1.66064641  0.        ]","[[  0.46303853   1.95142562  -0.08082064  -0.09623148]
 [  2.61401667  26.11888514   0.           0.        ]]",[-0.03717213 -0.24843675]
8,[-0.31297836  0.76552463],[-1.22253664 -0.54385027],-0.173587271296,-0.173587271296,"[ 0.90363276 -0.37200045  0.73885835  1.10895494 -0.69618437 -0.84720891
  0.45865026  3.12549656  0.18318628  1.25410884  0.        ]","[[  0.52000056   2.46327926  -0.08082064  -0.09623148]
 [  3.08043311  25.06998177   0.           0.        ]]",[-0.03717213 -0.24843675]
9,[-0.37210891  0.66565609],[-0.02717534 -0.24952439],-0.127766101348,-0.127766101348,"[ 0.888615   -0.63700653  0.76663613 -0.11611023 -0.69618118 -0.84720441
  0.14577858  2.75874325  0.21054077  0.83794873  0.        ]","[[  0.54128892   2.93809227  -0.08082064  -0.09623148]
 [ -0.93857276  22.42012584   0.           0.        ]]",[-0.03717213 -0.24843675]
