timestep,rewards,actions,original_rewards,avg_action_dist,human_obs,obs,logstd_action_dist
0,-0.0299443323278,[-2.25092223  0.64977104],-0.0299443323278,[-0.59330326  0.79942453],"[[ 0.02552171 -0.024804    0.18423265 -0.0126788 ]
 [-0.00264906 -0.00107536  0.          0.        ]]","[  9.62565508e-01   1.80265390e+00   9.21086489e-02  -9.80468893e-01
   1.60780946e+00  -1.01042929e-01   2.85592349e-01  -3.57952661e-01
  -1.79981581e-01  -7.91350998e-04   0.00000000e+00]",[-0.18258108 -0.27909893]
1,-0.0275506988395,[-0.06887594 -0.13347283],-0.0275506988395,[ 0.04620758  0.69929105],"[[ -1.42312801e-02   1.00415440e-03   1.84232645e-01  -1.26787997e-02]
 [ -3.95947213e+00   2.57330583e+00   0.00000000e+00   0.00000000e+00]]","[ 0.96289711  1.80303715  0.03094976 -0.90539846  1.60780293 -0.10104281
 -0.07470778  0.02248113 -0.17987279 -0.05232836  0.        ]",[-0.18258108 -0.27909893]
2,-0.0252783357606,[ 0.46021788  1.16652404],-0.0252783357606,[ 0.36477169  0.80263186],"[[-0.09536643  0.04665727  0.18423265 -0.0126788 ]
 [-4.15339799  1.99393575  0.          0.        ]]","[ 0.95628836  1.80164024 -0.09366303 -0.77264127  1.6077964  -0.1010427
 -0.09236619 -0.06313635 -0.18463738 -0.16465647  0.        ]",[-0.18258108 -0.27909893]
3,-0.0253876185498,[-1.04814258  0.6846614 ],-0.0253876185498,[ 0.09260073  0.17753085],"[[-0.15935914  0.1258603   0.18423265 -0.0126788 ]
 [-2.25219532  5.91330802  0.          0.        ]]","[ 0.94420089  1.79292549 -0.1913079  -0.54315517  1.60778986 -0.10104258
  0.08075373  0.51605651 -0.19091171 -0.20844373  0.        ]",[-0.18258108 -0.27909893]
4,-0.0243197613533,[ 0.53340774 -0.53205678],-0.0243197613533,[ 0.69491768 -0.06091887],"[[-0.24365691  0.270167    0.18423265 -0.0126788 ]
 [-6.16456441  8.50869653  0.          0.        ]]","[ 0.9191162   1.75671829 -0.31834628 -0.13192594  1.60778333 -0.10104247
 -0.27549946  0.89959407 -0.20493344 -0.22389706  0.        ]",[-0.18258108 -0.27909893]
5,-0.0235616883372,[ 0.07975892  0.08382558],-0.0235616883372,[ 0.5889833 -0.0218865],"[[-0.34454481  0.41750444  0.18423265 -0.0126788 ]
 [-3.93165548  6.23264296  0.          0.        ]]","[ 0.87564231  1.6933803  -0.46684425  0.27122793  1.6077768  -0.10104235
 -0.07217436  0.5632442  -0.23172845 -0.26649886  0.        ]",[-0.18258108 -0.27909893]
6,-0.0216530919537,[-0.19787863  0.06372186],-0.0216530919537,[ 0.59750307 -0.18928334],"[[-0.41923274  0.54424774  0.18423265 -0.0126788 ]
 [-3.53844346  6.44099358  0.          0.        ]]","[ 0.83425815  1.61860302 -0.57345565  0.59789209  1.60777027 -0.10104224
 -0.03636904  0.5940328  -0.25995964 -0.27802257  0.        ]",[-0.18258108 -0.27909893]
7,-0.0196660910548,[ 0.54610244 -0.12488161],-0.0196660910548,[ 0.77410376 -0.29612419],"[[-0.49715443  0.67432189  0.18423265 -0.0126788 ]
 [-4.25135928  6.56599815  0.          0.        ]]","[ 0.78301394  1.52366239 -0.68095178  0.9079711   1.60776374 -0.10104212
 -0.10128601  0.61250471 -0.29629163 -0.29032908  0.        ]",[-0.18258108 -0.27909893]
8,-0.0160819153069,[ 0.57291942  0.54934402],-0.0160819153069,[ 0.45617089 -0.49970767],"[[-0.55965845  0.7993684   0.18423265 -0.0126788 ]
 [-2.0064948   5.94075221  0.          0.        ]]","[ 0.73615906  1.41649091 -0.76398969  1.17719186  1.60775721 -0.101042
  0.10312824  0.52010661 -0.33486136 -0.2778754   0.        ]",[-0.18258108 -0.27909893]
9,-0.00378290628128,[-1.217989   -1.83560318],-0.00378290628128,[-0.16978142 -1.08691168],"[[-0.57665293  0.93882025  0.18423265 -0.0126788 ]
 [ 0.29943047  7.99759118  0.          0.        ]]","[ 0.72255942  1.28067106 -0.78602786  1.43884053  1.60775068 -0.10104189
  0.31310256  0.82406005 -0.37621148 -0.17096144  0.        ]",[-0.18258108 -0.27909893]
