timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[ 0.69607157  1.32592273],[ 1.67059668 -0.086295  ],-0.318670220794,-0.318670220794,"[ 1.06257879  1.68789685 -0.05287834 -0.82025666 -0.4842533   1.41222747
  0.05274887 -0.29081672  1.57777175 -1.42748618  0.        ]","[[-0.01997742 -0.09870722 -0.05558239  0.16228451]
 [ 0.0023616   0.00062737  0.          0.        ]]",[ 0.02123713 -0.19496071]
1,[ 0.68069232  1.31370878],[ 0.11315021  1.40746391],-0.314657668918,-0.314657668918,"[ 1.06257144  1.6874287   0.00792854 -0.8284333  -0.48424978  1.41220257
  0.39086068 -0.33778332  1.58051881 -1.36688042  0.        ]","[[ 0.01976126 -0.10213851 -0.05558239  0.16228451]
 [ 3.95833436 -0.34260538  0.          0.        ]]",[ 0.02123713 -0.19496071]
2,[ 0.62568682  1.26701224],[ 0.82043344  1.43395484],-0.303702402191,-0.303702402191,"[ 1.05551425  1.69091271  0.13444811 -0.74974178 -0.48424626  1.41217768
  0.42229148  0.20496768  1.57913675 -1.20673875  0.        ]","[[ 0.10261793 -0.06919609 -0.05558239  0.16228451]
 [ 4.32611026  3.62362935  0.          0.        ]]",[ 0.02123713 -0.19496071]
3,[ 0.53392708  1.20113587],[-0.26369275  1.72162339],-0.282429948679,-0.282429948679,"[ 1.02904726  1.69274848  0.31287985 -0.48266034 -0.48424274  1.41215278
  0.69223956  0.73682205  1.54012728 -0.92767305  0.        ]","[[ 0.22082978  0.04227226 -0.05558239  0.16228451]
 [ 7.48456904  7.51025335  0.          0.        ]]",[ 0.02123713 -0.19496071]
4,[ 0.43291438  1.12826836],[-1.37924239 -0.40252645],-0.249572653226,-0.249572653226,"[ 0.97436835  1.66071366  0.51469598 -0.03573233 -0.48423922  1.41212788
  0.59030962  1.25836241  1.41053486 -0.57901114  0.        ]","[[  0.35855579   0.23071776  -0.05558239   0.16228451]
 [  6.29204884  11.32158748   0.           0.        ]]",[ 0.02123713 -0.19496071]
5,[ 0.41216177  1.11712122],[ 2.52301031  1.59267679],-0.218518983842,-0.218518983842,"[ 0.92827974  1.57533472  0.63428539  0.43486536 -0.4842357   1.41210299
  0.24163185  1.00977662  1.23810993 -0.33775225  0.        ]","[[ 0.44346647  0.4389243  -0.05558239  0.16228451]
 [ 2.21257029  9.5051102   0.          0.        ]]",[ 0.02123713 -0.19496071]
6,[ 0.29034704  1.01849473],[ 1.00746685  1.61172944],-0.182771848612,-0.182771848612,"[ 0.87413216  1.42604958  0.74727133  0.89888878 -0.48423218  1.4120781
  0.57595273  1.52564386  1.00751345 -0.14933966  0.        ]","[[  0.526962     0.66685178  -0.05558239   0.16228451]
 [  6.1241234   13.27507944   0.           0.        ]]",[ 0.02123713 -0.19496071]
7,[ 0.12174599  0.86916977],[ 1.62798342  0.15690332],-0.123805386077,-0.123805386077,"[ 0.7465015   1.15109798  0.94930127  1.39286386 -0.48422866  1.41205321
  0.90377806  2.03126182  0.59744099  0.00713221  0.        ]","[[  0.68792502   0.9694299   -0.05558239   0.16228451]
 [  9.95972484  16.9704096    0.           0.        ]]",[ 0.02123713 -0.19496071]
8,[-0.01985544  0.72898746],[-0.0422658   1.67665176],-0.0480107812882,-0.0480107812882,"[ 0.50922053  0.76425179  1.19965156  1.73339691 -0.48422514  1.41202832
  1.22534744  2.07002592  0.07430567 -0.04409557  0.        ]","[[  0.92486728   1.31168533  -0.05558239   0.16228451]
 [ 13.72222687  17.25416026   0.           0.        ]]",[ 0.02123713 -0.19496071]
9,[-0.11881651  0.59781802],[-0.92090598 -1.26479021],-0.0440173433449,-0.0440173433449,"[ 0.18259896  0.29163831  1.40109558  1.79548639 -0.48422162  1.41200343
  1.18809157  2.5648927  -0.35551217 -0.39297977  0.        ]","[[  1.19493826   1.693062    -0.05558239   0.16228451]
 [ 13.28653747  20.87144935   0.           0.        ]]",[ 0.02123713 -0.19496071]
10,[-0.14079183  0.55462819],[-0.80436196  0.0410138 ],-0.106027443479,-0.106027443479,"[-0.12102004 -0.1504932   1.49087002  1.52465398 -0.4842181   1.41197854
  0.85437243  1.96647526 -0.48586957 -0.84365313  0.        ]","[[  1.42150038   2.06661579  -0.05558239   0.16228451]
 [  9.38217783  16.49852366   0.           0.        ]]",[ 0.02123713 -0.19496071]
11,[-0.16443181  0.51083583],[ 1.72823549  1.29343969],-0.144644376123,-0.144644376123,"[-0.33420414 -0.47317899  1.50784794  1.04422152 -0.48421459  1.41195365
  0.56649286  1.94393706 -0.39031275 -1.16855522  0.        ]","[[  1.57535292   2.39493757  -0.05558239   0.16228451]
 [  6.01408901  16.33420756   0.           0.        ]]",[ 0.02123713 -0.19496071]
12,[-0.18145779  0.4796254 ],[-0.26195823  0.31769168],-0.171644390276,-0.171644390276,"[-0.55406102 -0.71486687  1.48745723  0.31294164 -0.48421107  1.41192877
  0.89481644  2.4413593  -0.15115281 -1.37901949  0.        ]","[[  1.73417625   2.75810371  -0.05558239   0.16228451]
 [  9.85551285  19.97030679   0.           0.        ]]",[ 0.02123713 -0.19496071]
