timestep,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist,avg_action_dist
0,"[ 1.0636469   2.08702977  0.06827669 -0.53956066 -1.50115538  1.45736451
  0.30414813 -0.36379426  2.63450772 -1.37122201  0.        ]",[ 1.7535401   2.58176264],-0.410794974814,-0.410794974814,"[[ 0.03338122  0.07488782 -0.17289589  0.1658182 ]
 [-0.00402835 -0.00021644  0.          0.        ]]",[-0.10646171 -0.21165234],[ 2.66715336  2.6510272 ]
1,"[ 1.06067454  2.0819078   0.12808995 -0.4172439  -1.50114611  1.45735587
  0.62088691  0.18970457  2.62319593 -1.26536423  0.        ]",[ 2.15056384  2.78354174],-0.404947972056,-0.404947972056,"[[ 0.07297662  0.11459595 -0.17289589  0.1658182 ]
 [ 3.95041248  3.9578426   0.          0.        ]]",[-0.10646171 -0.21165234],[ 2.16996717  2.3608706 ]
2,"[ 1.03880987  2.05419917  0.30480364 -0.05754386 -1.50113684  1.45734723
  0.93137019  0.73224636  2.55273451 -0.9591153   0.        ]",[ 1.57467857  1.7078951 ],-0.385019298683,-0.385019298683,"[[ 0.19087713  0.23267922 -0.17289589  0.1658182 ]
 [ 7.82677087  7.83755361  0.          0.        ]]",[-0.10646171 -0.21165234],[ 1.46607137  2.00538206]
3,"[ 0.96089559  1.96851518  0.58670656  0.51211377 -1.50112757  1.45733859
  1.235746    1.26403657  2.32494272 -0.51015783  0.        ]",[-0.02189699  0.26482655],-0.344557341483,-0.344557341483,"[[  0.38553926   0.42758573  -0.17289589   0.1658182 ]
 [ 11.62691063  11.64040641   0.           0.        ]]",[-0.10646171 -0.21165234],[ 0.54752135  1.51790524]
4,"[ 0.80608188  1.79837228  0.89052161  1.14713576 -1.5011183   1.45732995
  1.21043304  1.37841427  1.90716009 -0.12570632  0.        ]",[-0.07510578  0.53087797],-0.285759777196,-0.285759777196,"[[  0.61490662   0.66860096  -0.17289589   0.1658182 ]
 [ 11.31095428  12.45837142   0.           0.        ]]",[-0.10646171 -0.21165234],[-0.00763288  1.17732596]
5,"[ 0.59971553  1.53765167  1.14017341  1.7212402  -1.50110903  1.45732131
  1.16877547  1.63783557  1.39582582  0.03243038  0.        ]",[ 0.57308305  0.82487905],-0.218529614952,-0.218529614952,"[[  0.83590705   0.93638233  -0.17289589   0.1658182 ]
 [ 10.79093306  14.31356879   0.           0.        ]]",[-0.10646171 -0.21165234],[-0.49362034  0.77252841]
6,"[ 0.32830524  1.15765231  1.34655156  2.16797178 -1.50109977  1.45731267
  1.33342326  2.05477868  0.84888096 -0.08504934  0.        ]",[-2.42251978  0.22997542],-0.145409700736,-0.145409700736,"[[  1.07234814   1.25257037  -0.17289589   0.1658182 ]
 [ 12.84661805  17.29527414   0.           0.        ]]",[-0.10646171 -0.21165234],[-0.80770588  0.42985988]
7,"[ 0.04889632  0.68743746  1.47012698  2.32158475 -1.5010905   1.45730403
  0.99631193  2.13426227  0.4637757  -0.46181644  0.        ]",[-0.76648195  0.19693065],-0.103478108201,-0.103478108201,"[[  1.28705456   1.60418027  -0.17289589   0.1658182 ]
 [  8.63788634  17.86382556   0.           0.        ]]",[-0.10646171 -0.21165234],[-0.7799257   0.30256295]
8,"[-0.1447817   0.21028027  1.51514369  2.08508213 -1.50108123  1.45729539
  0.73981876  2.19384947  0.36054192 -0.89690681  0.        ]",[ 1.36688032 -1.14164725],-0.124031603865,-0.124031603865,"[[  1.42768489   1.96573393  -0.17289589   0.1658182 ]
 [  5.435639    18.29011213   0.           0.        ]]",[-0.10646171 -0.21165234],[-0.7137146   0.23612149]
9,"[-0.35193879 -0.1599838   1.53058611  1.56061582 -1.50107196  1.45728675
  1.04842716  1.58944466  0.43039852 -1.26928622  0.        ]",[-1.46681937 -1.08680123],-0.16510322237,-0.16510322237,"[[  1.57505655   2.28817093  -0.17289589   0.1658182 ]
 [  9.28861221  13.9680032    0.           0.        ]]",[-0.10646171 -0.21165234],[-0.73964781  0.25090194]
10,"[-0.55456889 -0.37516997  1.51394481  1.01817382 -1.5010627   1.45727811
  0.71668105  0.99705597  0.57051153 -1.49321152  0.        ]",[-1.0556988   0.84036365],-0.197536849896,-0.197536849896,"[[ 1.71927551  2.52502728 -0.17289589  0.1658182 ]
 [ 5.1468459   9.73176187  0.          0.        ]]",[-0.10646171 -0.21165234],[-0.63659418  0.30570015]
11,"[-0.64086281 -0.52299604  1.49713169  0.40670651 -1.50105343  1.45726947
  0.39144505  1.43539981  0.75023462 -1.58721625  0.        ]",[-0.11905686 -0.27100277],-0.220391523465,-0.220391523465,"[[  1.78147261   2.75111432  -0.17289589   0.1658182 ]
 [  1.08634595  12.8664899    0.           0.        ]]",[-0.10646171 -0.21165234],[-0.64640129  0.25573966]
12,"[-0.6639659  -0.6106732   1.49160467 -0.31949219 -1.50104416  1.45726084
  0.35197761  1.24971686  0.95331817 -1.60216453  0.        ]",[-1.11422183 -0.95364967],-0.23886173387,-0.23886173387,"[[  1.79825621   2.99512179  -0.17289589   0.1658182 ]
 [  0.59361252  11.53868155   0.           0.        ]]",[-0.10646171 -0.21165234],[-0.64024913  0.28093427]
13,"[-0.62540449 -0.62355966  1.50056154 -0.61848525 -1.5010349   1.4572522
  0.03386596 -0.36477577  1.03544237 -1.58899925  0.        ]",[ 1.20498777  0.43103586],-0.245129953243,-0.245129953243,"[[ 1.77027994  3.09224974 -0.17289589  0.1658182 ]
 [-3.37793813 -0.00685993  0.          0.        ]]",[-0.10646171 -0.21165234],[-0.10233498  0.58892655]
