timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[-1.84503973  1.31795824],[-1.82108833  2.5299494 ],-0.239816784959,-0.239816784959,"[ 0.96537023  1.60152056 -0.09680175 -0.95627469 -0.08200942 -0.92682345
  0.25638903 -0.347946    1.5939334   0.83615533  0.        ]","[[-0.08131999  0.04309919 -0.01049518 -0.10758888]
 [ 0.00336552  0.00449559  0.          0.        ]]",[-0.28240812 -0.33673486]
1,[-1.88844645  0.98399007],[-0.68573329  1.69357042],-0.237917931252,-0.237917931252,"[ 0.95903493  1.59835199 -0.15552521 -0.8496533  -0.08200936 -0.92682221
 -0.14973773  0.28012197  1.59015072  0.79393898  0.        ]","[[-0.12095931  0.08293148 -0.01049518 -0.10758888]
 [-3.95411677  3.96552586  0.          0.        ]]",[-0.28240812 -0.33673486]
2,[-1.89970696  0.71251571],[-1.42065886  1.14399439],-0.232948216736,-0.232948216736,"[ 0.93017699  1.57723543 -0.31023831 -0.53582829 -0.0820093  -0.92682098
 -0.42024974  0.89567043  1.57330823  0.69712807  0.        ]","[[-0.22648932  0.20119225 -0.01049518 -0.10758888]
 [-6.59010862  7.84760288  0.          0.        ]]",[-0.28240812 -0.33673486]
3,[-1.87429547  0.47290939],[-2.14378495  0.91176986],-0.223614105322,-0.223614105322,"[ 0.84769227  1.50488396 -0.55119764 -0.03640913 -0.08200924 -0.92681974
 -0.81299962  1.49908593  1.52430978  0.55243657  0.        ]","[[ -3.96690009e-01   3.96327225e-01  -1.04951758e-02  -1.07588878e-01]
 [ -1.04172439e+01   1.16531753e+01   0.00000000e+00   0.00000000e+00]]",[-0.28240812 -0.33673486]
4,[-1.50379062 -0.02285612],[-0.85409797  0.30398171],-0.206644066516,-0.206644066516,"[ 0.6548404   1.33515665 -0.86834451  0.5796868  -0.08200918 -0.92681851
 -1.19799667  2.03510131  1.40874857  0.34798268  0.        ]","[[ -6.42675037e-01   6.63309513e-01  -1.04951758e-02  -1.07588878e-01]
 [ -1.41688424e+01   1.50337048e+01   0.00000000e+00   0.00000000e+00]]",[-0.28240812 -0.33673486]
5,[-0.39813584 -0.70758092],[-1.16603993  0.07727955],-0.180191433173,-0.180191433173,"[ 0.29929328  1.05103208 -1.19330151  1.14535075 -0.08200912 -0.92681728
 -1.51611906  2.17878166  1.19619342  0.10743794  0.        ]","[[ -9.57153380e-01   9.73077055e-01  -1.04951758e-02  -1.07588878e-01]
 [ -1.72688005e+01   1.59399107e+01   0.00000000e+00   0.00000000e+00]]",[-0.28240812 -0.33673486]
6,[ 0.94696391 -1.37770569],[ 1.68976457 -2.85741369],-0.14345633958,-0.14345633958,"[-0.2482299   0.68850409 -1.42509599  1.5066564  -0.08200906 -0.92681604
 -1.8872579   2.1771765   0.86771767 -0.13471971  0.        ]","[[ -1.33881400e+00   1.29177594e+00  -1.04951758e-02  -1.07588878e-01]
 [ -2.08854028e+01   1.59298439e+01   0.00000000e+00   0.00000000e+00]]",[-0.28240812 -0.33673486]
7,[ 1.2442317  -1.23325527],[ 2.8738425  -2.02281121],-0.105449648043,-0.105449648043,"[-0.83590602  0.34524367 -1.45002009  1.61037083 -0.082009   -0.92681481
 -1.4387869   1.49895558  0.50640291 -0.26847247  0.        ]","[[ -1.71267720e+00   1.56745533e+00  -1.04951758e-02  -1.07588878e-01]
 [ -1.65153245e+01   1.16525049e+01   0.00000000e+00   0.00000000e+00]]",[-0.28240812 -0.33673486]
8,[ 1.32843292 -0.89462662],[ 2.2226848   1.12227292],-0.0762986536303,-0.0762986536303,"[-1.27073486  0.10566727 -1.32991184  1.5632963  -0.08200894 -0.92681357
 -0.99910926  0.83429771  0.22707415 -0.29354933  0.        ]","[[ -1.99999804e+00   1.75844630e+00  -1.04951758e-02  -1.07588878e-01]
 [ -1.22309126e+01   7.46068527e+00   0.00000000e+00   0.00000000e+00]]",[-0.28240812 -0.33673486]
9,[ 0.93057442 -1.38593793],[ 2.23621243 -0.59990839],-0.0578499527446,-0.0578499527446,"[-1.54669634 -0.12119533 -1.17761884  1.42388659 -0.08200889 -0.92681234
 -0.5681698   1.43856464  0.05815989 -0.2007273   0.        ]","[[ -2.20248504e+00   1.94589584e+00  -1.04951758e-02  -1.07588878e-01]
 [ -8.03164088e+00   1.12716603e+01   0.00000000e+00   0.00000000e+00]]",[-0.28240812 -0.33673486]
