timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[-1.11501384  1.25951064],[-1.20192912  0.30923703],-0.238330574722,-0.238330574722,"[ 0.9547949   1.75734672 -0.0874387  -0.71008304 -0.06359605 -0.95077794
  0.28378766 -0.35427358  1.4694808   0.80369778  0.        ]","[[-0.09359964  0.07360696 -0.00798754 -0.10892659]
 [-0.00168457 -0.0018194   0.          0.        ]]",[-0.20363453 -0.28670785]
1,[-0.79118413  1.37162018],[-0.11872954  2.21018119],-0.235062065305,-0.235062065305,"[ 0.94803485  1.75610045 -0.14791309 -0.67521589 -0.06359598 -0.95077604
 -0.08197129 -0.17181647  1.46469569  0.73689815  0.        ]","[[-0.13332832  0.08587166 -0.00798754 -0.10892659]
 [-3.95800959  1.22419766  0.          0.        ]]",[-0.20363453 -0.28670785]
2,[-0.75226986  1.18221211],[-0.69738252  0.66654864],-0.229832067463,-0.229832067463,"[ 0.92631405  1.74655701 -0.27325957 -0.4940766  -0.06359591 -0.95077415
 -0.11829641  0.41386727  1.45111579  0.63821965  0.        ]","[[-0.21643084  0.14984174 -0.00798754 -0.10892659]
 [-4.35093034  5.15969185  0.          0.        ]]",[-0.20363453 -0.28670785]
3,[-0.54464817  1.18992746],[-1.42356977  1.11027805],-0.223924703008,-0.223924703008,"[ 0.88015852  1.71190071 -0.44111873 -0.13578468 -0.06359585 -0.95077225
 -0.3654806   0.79158871  1.42531918  0.54875116  0.        ]","[[-0.3302757   0.27850129 -0.00798754 -0.10892659]
 [-7.02465966  7.69779079  0.          0.        ]]",[-0.20363453 -0.28670785]
4,[-0.11386839  0.9992851 ],[-0.45776895  0.56228245],-0.212720673721,-0.212720673721,"[ 0.77083127  1.62287753 -0.69096721  0.37347035 -0.06359578 -0.95077035
 -0.71850672  1.35836728  1.36281034  0.40640678  0.        ]","[[ -5.09081674e-01   4.70669267e-01  -7.98753862e-03  -1.08926590e-01]
 [ -1.08432568e+01   1.15062711e+01   0.00000000e+00   0.00000000e+00]]",[-0.20363453 -0.28670785]
5,[ 0.35534537  0.64640772],[ 0.98286713 -0.73790424],-0.195610087585,-0.195610087585,"[ 0.56639842  1.44532988 -0.97957489  0.96249963 -0.06359571 -0.95076845
 -0.86619812  1.65582956  1.24533457  0.24392988  0.        ]","[[ -7.41975147e-01   7.20850111e-01  -7.98753862e-03  -1.08926590e-01]
 [ -1.24408098e+01   1.35051061e+01   0.00000000e+00   0.00000000e+00]]",[-0.20363453 -0.28670785]
6,[ 0.16851455  0.60081321],[-0.37361537  0.94045382],-0.178525771771,-0.178525771771,"[ 0.33367934  1.22107859 -1.1898786   1.41468499 -0.06359565 -0.95076655
 -0.48387765  1.18096657  1.11120263  0.14469823  0.        ]","[[ -9.49299844e-01   9.58937068e-01  -7.98753862e-03  -1.08926590e-01]
 [ -8.30536623e+00   1.03142886e+01   0.00000000e+00   0.00000000e+00]]",[-0.20363453 -0.28670785]
7,[ 0.3107909  -0.00363618],[-0.33740485  0.04139806],-0.162660825294,-0.162660825294,"[ 0.10179121  0.95158872 -1.32900478  1.73880053 -0.06359558 -0.95076465
 -0.60546951  1.70475813  0.97499318  0.12326498  0.        ]","[[ -1.12860327e+00   1.20053708e+00  -7.98753862e-03  -1.08926590e-01]
 [ -9.62059866e+00   1.38339496e+01   0.00000000e+00   0.00000000e+00]]",[-0.20363453 -0.28670785]
8,[ 0.36776263 -0.31333819],[ 0.59339288  0.83474409],-0.143125759244,-0.143125759244,"[-0.18651745  0.61263968 -1.43307455  1.91927851 -0.06359551 -0.95076275
 -0.71134027  1.68835881  0.80128167  0.13329233  0.        ]","[[ -1.33250473e+00   1.47611124e+00  -7.98753862e-03  -1.08926590e-01]
 [ -1.07657826e+01   1.37238000e+01   0.00000000e+00   0.00000000e+00]]",[-0.20363453 -0.28670785]
9,[ 0.23532486 -0.60917532],[-0.30819197 -1.7099502 ],-0.124857623913,-0.124857623913,"[-0.46808708  0.22816541 -1.47454984  1.8692609  -0.06359545 -0.95076085
 -0.47459647  2.13967914  0.61684063  0.22641416  0.        ]","[[ -1.52212904e+00   1.78101506e+00  -7.98753862e-03  -1.08926590e-01]
 [ -8.20500488e+00   1.67565402e+01   0.00000000e+00   0.00000000e+00]]",[-0.20363453 -0.28670785]
10,[ 0.16590506 -0.46505037],[-0.70877276 -0.49063236],-0.109834339887,-0.109834339887,"[-0.73006193 -0.1176909  -1.46420546  1.57978068 -0.06359538 -0.95075895
 -0.57233838  1.50100877  0.43074492  0.35051902  0.        ]","[[ -1.69683570e+00   2.07308761e+00  -7.98753862e-03  -1.08926590e-01]
 [ -9.26225657e+00   1.24650001e+01   0.00000000e+00   0.00000000e+00]]",[-0.20363453 -0.28670785]
11,[ 0.37152439 -0.36250934],[ 1.75031784 -0.11430162],-0.0951783555747,-0.0951783555747,"[-1.03885801 -0.35246043 -1.38987012  1.20602761 -0.06359531 -0.95075705
 -0.81480464  1.17512756  0.24693329  0.41248175  0.        ]","[[ -1.90839439e+00   2.30041747e+00  -7.98753862e-03  -1.08926590e-01]
 [ -1.18849504e+01   1.02752434e+01   0.00000000e+00   0.00000000e+00]]",[-0.20363453 -0.28670785]
12,[ 0.38471383 -0.12634358],[ 0.08929057 -0.07083309],-0.087689797062,-0.087689797062,"[-1.30493717 -0.5225712  -1.26365209  0.78844783 -0.06359524 -0.95075515
 -0.42708482  1.07744729  0.0921846   0.49469662  0.        ]","[[ -2.10401622e+00   2.49933623e+00  -7.98753862e-03  -1.08926590e-01]
 [ -7.69111874e+00   9.61889169e+00   0.00000000e+00   0.00000000e+00]]",[-0.20363453 -0.28670785]
13,[ 0.50305885  0.06892338],[-0.21695083 -0.03629889],-0.089551844849,-0.089551844849,"[-1.48826474 -0.64643789 -1.1336601   0.33244442 -0.06359518 -0.95075325
 -0.38033879  1.00734796 -0.02854458  0.61365807  0.        ]","[[ -2.25276555e+00   2.68698803e+00  -7.98753862e-03  -1.08926590e-01]
 [ -7.18548775e+00   9.14786950e+00   0.00000000e+00   0.00000000e+00]]",[-0.20363453 -0.28670785]
14,[ 0.59821707  0.21588959],[ 2.09872901 -0.1721614 ],-0.096397698486,-0.096397698486,"[-1.65285177 -0.72760762 -0.97496181 -0.14566793 -0.06359511 -0.95075136
 -0.44660642  0.95898766 -0.13542662  0.74039737  0.        ]","[[ -2.40366718e+00   2.86668510e+00  -7.98753862e-03  -1.08926590e-01]
 [ -7.90228764e+00   8.82292263e+00   0.00000000e+00   0.00000000e+00]]",[-0.20363453 -0.28670785]
15,[ 0.40596998  0.38451612],[-0.34070975 -0.01959937],-0.107199977598,-0.107199977598,"[-1.76302666 -0.76796178 -0.83589612 -0.61514758 -0.06359504 -0.95074946
 -0.06611997  0.62252326 -0.22188414  0.87508664  0.        ]","[[-2.52041951  3.03455261 -0.00798754 -0.10892659]
 [-3.78670268  6.56203689  0.          0.        ]]",[-0.20363453 -0.28670785]
16,[ 0.15380013  0.38175818],[ 1.12035655  0.44517428],-0.109590451461,-0.109590451461,"[-1.8355414  -0.77227606 -0.72225718 -0.72568501 -0.06359498 -0.95074756
 -0.18393203 -0.44697835 -0.24289449  0.90311658  0.        ]","[[-2.60894028  3.07346427 -0.00798754 -0.10892659]
 [-5.06103442 -0.6245398   0.          0.        ]]",[-0.20363453 -0.28670785]
17,[-0.00605524  0.44588327],[-0.14468626  0.98758354],-0.106461992256,-0.106461992256,"[-1.87929268 -0.76988713 -0.64104106 -0.6586349  -0.06359491 -0.95074566
  0.19136644 -0.5496467  -0.23412279  0.87066731  0.        ]","[[-2.66943123  3.04987785 -0.00798754 -0.10892659]
 [-1.00157126 -1.3144297   0.          0.        ]]",[-0.20363453 -0.28670785]
18,[ 0.05667365  0.45952794],[ 0.38421287  1.39051587],-0.104005520179,-0.104005520179,"[-1.89632446 -0.76705252 -0.60591216 -0.59675462 -0.06359484 -0.95074376
  0.14024069 -0.47957126 -0.22794181  0.84517832  0.        ]","[[-2.69501116  3.02806483 -0.00798754 -0.10892659]
 [-1.55457686 -0.84355897  0.          0.        ]]",[-0.20363453 -0.28670785]
19,[ 0.01052675  0.47099072],[-1.44513775  0.57207173],-0.10256863181,-0.10256863181,"[-1.90622267 -0.76514708 -0.58438608 -0.56117906 -0.06359478 -0.95074186
  0.28372402 -0.41984713 -0.2252312   0.83042121  0.        ]","[[ -2.71053091e+00   3.01550050e+00  -7.98753862e-03  -1.08926590e-01]
 [ -2.57193105e-03  -4.42243935e-01   0.00000000e+00   0.00000000e+00]]",[-0.20363453 -0.28670785]
20,[ 0.20893377  0.48291209],[ 1.17631786 -0.2484175 ],-0.101295884125,-0.101295884125,"[-1.93009838 -0.76404163 -0.5285265  -0.54210321 -0.06359471 -0.95073996
 -0.08230918 -0.39016181 -0.22668649  0.81827193  0.        ]","[[-2.75030659  3.00875542 -0.00798754 -0.10892659]
 [-3.96180292 -0.24277566  0.          0.        ]]",[-0.20363453 -0.28670785]
21,[ 0.00389114  0.52321076],[-0.71663323  0.16824293],-0.099226181325,-0.099226181325,"[-1.95123206 -0.76144065 -0.47325412 -0.50066309 -0.06359464 -0.95073806
  0.29097665 -0.53580414 -0.2271979   0.79805292  0.        ]","[[-2.78903131  2.99408076 -0.00798754 -0.10892659]
 [ 0.07587526 -1.22142786  0.          0.        ]]",[-0.20363453 -0.28670785]
22,[ 0.17898506  0.52944237],[-1.14473078  1.3373082 ],-0.0970143443165,-0.0970143443165,"[-1.96469799 -0.75798543 -0.43429239 -0.45135422 -0.06359457 -0.95073616
  0.02852498 -0.43308329 -0.2272598   0.77630377  0.        ]","[[-2.81599667  2.97657752 -0.00798754 -0.10892659]
 [-2.76295021 -0.53119668  0.          0.        ]]",[-0.20363453 -0.28670785]
23,[ 0.44059604  0.54322791],[-0.00302846  0.34566066],-0.0985683927373,-0.0985683927373,"[-2.00366331 -0.76353348 -0.29522839 -0.53370681 -0.06359451 -0.95073426
 -0.33244601  0.02254627 -0.24181133  0.79510493  0.        ]","[[-2.91043001  3.00578514 -0.00798754 -0.10892659]
 [-6.66741677  2.53041298  0.          0.        ]]",[-0.20363453 -0.28670785]
24,[ 0.3184579   0.62370086],[ 2.00570367  0.16211148],-0.0987715122288,-0.0987715122288,"[-2.03625853 -0.7663258  -0.09565973 -0.58286728 -0.06359444 -0.95073237
 -0.32136249 -0.36546157 -0.25645599  0.80032323  0.        ]","[[-3.04257587  3.02316376 -0.00798754 -0.10892659]
 [-6.54753535 -0.07681157  0.          0.        ]]",[-0.20363453 -0.28670785]
25,[ 0.15628177  0.69799435],[-0.01318789 -0.07634086],-0.096878919122,-0.096878919122,"[-2.04354485 -0.76531883  0.04187176 -0.56437142 -0.06359437 -0.95073047
  0.0566604  -0.4154436  -0.26687474  0.78399635  0.        ]","[[-3.13250141  3.01663022 -0.00798754 -0.10892659]
 [-2.45863727 -0.41266927  0.          0.        ]]",[-0.20363453 -0.28670785]
26,[ 0.14117712  0.7191999 ],[-0.66691636  0.43370529],-0.095065277243,-0.095065277243,"[-2.04238697 -0.76346791  0.11724953 -0.53268942 -0.06359431 -0.95072857
  0.05633181 -0.45921294 -0.27462541  0.76784938  0.        ]","[[-3.18170981  3.00542591 -0.00798754 -0.10892659]
 [-2.46219074 -0.70678112  0.          0.        ]]",[-0.20363453 -0.28670785]
27,[ 0.23216528  0.7087813 ],[ 2.40347973  2.28764955],-0.0939704420771,-0.0939704420771,"[-2.03359763 -0.76250511  0.23216443 -0.51722001 -0.06359424 -0.95072667
 -0.18327721 -0.33930073 -0.28548875  0.75922622  0.        ]","[[-3.25695733  2.99994913 -0.00798754 -0.10892659]
 [-5.05392669  0.0989651   0.          0.        ]]",[-0.20363453 -0.28670785]
28,[ 0.10060602  0.78478074],[ 1.57902264  0.9093068 ],-0.0939349819244,-0.0939349819244,"[-2.02043863 -0.76369663  0.32363745 -0.53650337 -0.06359417 -0.95072477
  0.19201416 -0.32670487 -0.29267673  0.76014012  0.        ]","[[-3.317307    3.00677612 -0.00798754 -0.10892659]
 [-0.99458515  0.18360025  0.          0.        ]]",[-0.20363453 -0.28670785]
29,[-0.09575197  0.77996159],[ 0.1086304  -0.53522034],-0.094131725428,-0.094131725428,"[-2.02539173 -0.76378266  0.2933681  -0.53795293 -0.06359411 -0.95072287
  0.5598748  -0.36254698 -0.28984502  0.76156188  0.        ]","[[-3.29727644  3.00728929 -0.00798754 -0.10892659]
 [ 2.98438398 -0.05724289  0.          0.        ]]",[-0.20363453 -0.28670785]
30,[-0.14760613  0.78822064],[-1.45309495 -0.54904952],-0.0922677448238,-0.0922677448238,"[-2.03716016 -0.759664    0.19697693 -0.47475597 -0.06359404 -0.95072097
  0.59416641 -0.67776546 -0.28625811  0.74281025  0.        ]","[[-3.23386716  2.98489276 -0.00798754 -0.10892659]
 [ 3.35530776 -2.17535143  0.          0.        ]]",[-0.20363453 -0.28670785]
31,[ 0.06357604  0.86425889],[ 0.93562383  1.16513097],-0.0854303268833,-0.0854303268833,"[-2.04031325 -0.74419546  0.15617526 -0.29303046 -0.06359397 -0.95071907
  0.22197613 -0.99491829 -0.29772204  0.67842164  0.        ]","[[-3.2071531   2.92000355 -0.00798754 -0.10892659]
 [-0.67047627 -4.30646356  0.          0.        ]]",[-0.20363453 -0.28670785]
