timestep,rewards,actions,original_rewards,avg_action_dist,human_obs,obs,logstd_action_dist
37,-0.215872708932,[-0.1910371   1.25637712],-0.215872708932,[ 0.04130185  1.1478653 ],"[[ 3.31822854  3.00121935 -0.15873529 -0.14635025]
 [-8.59892168  1.84001981  0.          0.        ]]","[-2.00950222 -0.75015268 -0.22155297 -0.51693369 -1.35955633 -1.25419549
 -0.50872741 -0.08360321  1.04294874  1.10774525  0.        ]",[-0.18927327 -0.28017133]
38,-0.213899386991,[-0.30185099  2.11525112],-0.213899386991,[-0.00435093  1.15698564],"[[ 3.14036806  3.01544256 -0.15873529 -0.14635025]
 [-9.1851493   0.05374418  0.          0.        ]]","[-2.03276856 -0.75255625  0.05032931 -0.55760762 -1.3595521  -1.25419197
 -0.56271373 -0.34897455  1.02282118  1.10600555  0.        ]",[-0.18927327 -0.28017133]
39,-0.210459319925,[-0.78631334  1.42779646],-0.210459319925,[-0.02108541  1.18890953],"[[  2.94649833   3.01280193  -0.15873529  -0.14635025]
 [-10.19844206  -0.20959705   0.           0.        ]]","[-2.0043767  -0.75212778  0.34632167 -0.55004952 -1.35954787 -1.25418844
 -0.65602938 -0.38809647  0.99783403  1.08864925  0.        ]",[-0.18927327 -0.28017133]
40,-0.206465866712,[-1.13766587 -0.37755827],-0.206465866712,[-0.00367424  1.21434999],"[[  2.713319     3.00893141  -0.15873529  -0.14635025]
 [-13.10978783  -0.16161626   0.           0.        ]]","[-1.89762752 -0.75148444  0.68657779 -0.53897624 -1.35954364 -1.25418492
 -0.92414083 -0.38096788  0.96372523  1.07557659  0.        ]",[-0.18927327 -0.28017133]
41,-0.200580172949,[ 0.10910575  0.95147096],-0.200580172949,[-0.02597332  1.21804786],"[[  2.41400179   2.99072878  -0.15873529  -0.14635025]
 [-16.80959648  -1.65368816   0.           0.        ]]","[-1.65389916 -0.74821043  1.0703626  -0.48698207 -1.35953941 -1.25418139
 -1.26486217 -0.60263204  0.90723727  1.06440526  0.        ]",[-0.18927327 -0.28017133]
42,-0.198390064999,[ 1.30340337  1.95069755],-0.198390064999,[ 0.0770582   1.31426907],"[[  2.08548459   2.99578187  -0.15873529  -0.14635025]
 [-16.04468722   2.14633644   0.           0.        ]]","[-1.27311733 -0.74915952  1.38592595 -0.50140124 -1.35953519 -1.25417787
 -1.19441658 -0.03809269  0.86377592  1.08908412  0.        ]",[-0.18927327 -0.28017133]
43,-0.199769744752,[-0.28710957  2.39805308],-0.199769744752,[ 0.03694814  1.35373688],"[[  1.80750142   3.01876     -0.15873529  -0.14635025]
 [-11.76787399   0.13569626   0.           0.        ]]","[-0.88747936 -0.75307405  1.54214102 -0.56710198 -1.35953096 -1.25417435
 -0.80055281 -0.33679736  0.85297489  1.12214114  0.        ]",[-0.18927327 -0.28017133]
44,-0.199630639173,[ 0.52911101  1.1297046 ],-0.199630639173,[ 0.0872944   1.35260105],"[[  1.5630757    3.01584031  -0.15873529  -0.14635025]
 [-12.67167825  -0.27025872   0.           0.        ]]","[-0.52509337 -0.75261214  1.58493444 -0.55874179 -1.35952673 -1.25417082
 -0.8837847  -0.39710647  0.82740344  1.15084309  0.        ]",[-0.18927327 -0.28017133]
45,-0.200524062474,[ 0.43926219  0.22050959],-0.200524062474,[ 0.1401273   1.36710548],"[[  1.33317795   3.01071953  -0.15873529  -0.14635025]
 [-10.32591345  -0.21737704   0.           0.        ]]","[-0.18448081 -0.751777    1.54179963 -0.54408719 -1.3595225  -1.2541673
 -0.66775621 -0.38924975  0.80832557  1.18491066  0.        ]",[-0.18927327 -0.28017133]
46,-0.202090593106,[-0.90855164  1.24610823],-0.202090593106,[ 0.21037012  1.39840055],"[[ 1.14616031  3.00651759 -0.15873529 -0.14635025]
 [-8.38232643 -0.18058836  0.          0.        ]]","[ 0.07973007 -0.75106677  1.44850712 -0.53206933 -1.35951827 -1.25416378
 -0.48876558 -0.38378385  0.79877985  1.21640494  0.        ]",[-0.18927327 -0.28017133]
47,-0.204550352521,[ 0.26551894  2.46941379],-0.204550352521,[ 0.23748124  1.42024493],"[[  0.94408673   3.00452615  -0.15873529  -0.14635025]
 [-11.81359848  -0.04642256   0.           0.        ]]","[ 0.34078883 -0.75072172  1.29296356 -0.52637569 -1.35951404 -1.25416025
 -0.80475914 -0.36385136  0.79676892  1.25095582  0.        ]",[-0.18927327 -0.28017133]
48,-0.207874751524,[ 1.41589467  2.82550071],-0.207874751524,[ 0.27883792  1.47903252],"[[  7.20708950e-01   3.00404620e+00  -1.58735289e-01  -1.46350255e-01]
 [ -1.05284629e+01  -9.72459147e-03   0.00000000e+00   0.00000000e+00]]","[ 0.58742734 -0.75063683  1.06241196 -0.52500314 -1.35950981 -1.25415673
 -0.68640642 -0.35839896  0.80315412  1.28752662  0.        ]",[-0.18927327 -0.28017133]
49,-0.210654665395,[-0.55981793  0.11636542],-0.210654665395,[ 0.30903924  1.51770234],"[[  5.51955744e-01   3.00396252e+00  -1.58735289e-01  -1.46350255e-01]
 [ -6.36074672e+00  -8.71244891e-04   0.00000000e+00   0.00000000e+00]]","[ 0.73727911 -0.75062095  0.85411069 -0.52476326 -1.35950558 -1.2541532
 -0.30258958 -0.35708324  0.81289069  1.313383    0.        ]",[-0.18927327 -0.28017133]
