timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[-3.31058693  0.1516497 ],[-4.21748704  1.66522046],-0.206270531615,-0.206270531615,"[ 0.97975269  1.53623433 -0.13236225 -1.02907096  0.56631252 -1.40791475
  0.23797179 -0.34687668  0.91599717  1.48175257  0.        ]","[[-0.09661056  0.04569368  0.06519466 -0.16273993]
 [-0.0029871   0.00265025  0.          0.        ]]",[-0.36553657 -0.40652201]
1,[-3.17639208 -0.18661189],[-4.14904763  0.71640812],-0.203141826968,-0.203141826968,"[ 0.9723434   1.5329211  -0.19038914 -0.9244515   0.56631207 -1.40791221
 -0.19062329  0.30446043  0.91145459  1.43670263  0.        ]","[[-0.13637567  0.08548943  0.06519466 -0.16273993]
 [-3.96034395  3.96371682  0.          0.        ]]",[-0.36553657 -0.40652201]
2,[-2.95799828 -0.54073608],[-3.66498094  1.11306863],-0.192563544047,-0.192563544047,"[ 0.93559411  1.51412265 -0.36054312 -0.64548233  0.56631161 -1.40790967
 -0.61069366  0.75824757  0.8882265   1.29044807  0.        ]","[[-0.2544981   0.19245269  0.06519466 -0.16273993]
 [-7.83899078  6.72339746  0.          0.        ]]",[-0.36553657 -0.40652201]
3,[-2.46019626 -1.14527631],[-2.78543285 -1.01974533],-0.173778567591,-0.173778567591,"[ 0.82804477  1.45379795 -0.62897115 -0.2081508   0.56631116 -1.40790712
 -1.02251183  1.38767001  0.82049655  1.05415465  0.        ]","[[ -0.44942882   0.36532664   0.06519466  -0.16273993]
 [-11.64144788  10.55120201   0.           0.        ]]",[-0.36553657 -0.40652201]
4,[-1.15469372 -0.74396265],[-1.11410849 -1.42493059],-0.14078921465,-0.14078921465,"[ 0.58977692  1.3605125  -0.95905267  0.19282514  0.56631071 -1.40790458
 -1.42589169  0.70239114  0.65965539  0.67195097  0.        ]","[[ -0.71962676   0.53453771   0.06519466  -0.16273993]
 [-15.3660041    6.38372687   0.           0.        ]]",[-0.36553657 -0.40652201]
5,[ 1.91874611  0.39360046],[ 1.11736727  0.91288768],-0.0874805008305,-0.0874805008305,"[ 0.16290449  1.30043477 -1.27494386  0.38407102  0.56631025 -1.40790204
 -1.82131085  0.0306085   0.31208972  0.11981783  0.        ]","[[ -1.06357915   0.62122284   0.06519466  -0.16273993]
 [-19.01707877   2.29832568   0.           0.        ]]",[-0.36553657 -0.40652201]
6,[ 2.89186811 -0.27026513],[ 2.72231384 -0.3996616 ],-0.0366376064069,-0.0366376064069,"[-0.34401139  1.23666502 -1.43866454  0.55390955  0.5663098  -1.4078995
 -1.35225993  0.61713482 -0.14754251 -0.27665582  0.        ]","[[ -1.40046766   0.7029768    0.06519466  -0.16273993]
 [-14.68619797   5.86524732   0.           0.        ]]",[-0.36553657 -0.40652201]
7,[ 3.10686517 -0.19021782],[ 2.55130146 -0.40757273],-0.0194635278952,-0.0194635278952,"[-0.74507028  1.14969453 -1.45513221  0.74651795  0.56630935 -1.40789695
 -0.89228193  0.3375159  -0.50746831 -0.42498443  0.        ]","[[ -1.65157941   0.80321967   0.06519466  -0.16273993]
 [-10.43907594   4.16476661   0.           0.        ]]",[-0.36553657 -0.40652201]
8,[ 2.96159482 -0.07521388],[ 3.99591706  0.44361748],-0.0348783900372,-0.0348783900372,"[-1.00886528  1.08729194 -1.41504322  0.86349341  0.5663089  -1.40789441
 -0.44137777  0.05833507 -0.7545873  -0.47259045  0.        ]","[[-1.81858915  0.86947978  0.06519466 -0.16273993]
 [-6.27573008  2.46694978  0.          0.        ]]",[-0.36553657 -0.40652201]
9,[ 2.15070415 -0.66632831],[ 1.67303602 -0.71137665],-0.041860430672,-0.041860430672,"[ -1.13873485e+00   1.02109206e+00  -1.37950627e+00   9.71945898e-01
   5.66308442e-01  -1.40789187e+00   5.10754566e-04   3.38925366e-01
  -8.50321481e-01  -4.58065928e-01   0.00000000e+00]","[[-1.9031672   0.93593922  0.06519466 -0.16273993]
 [-2.19562774  4.17333873  0.          0.        ]]",[-0.36553657 -0.40652201]
10,[ 0.95081103 -0.27869269],[ 0.90060446  1.14555175],-0.0365464612231,-0.0365464612231,"[-1.14444212  0.96445525 -1.37768655  1.05371625  0.56630799 -1.40788932
  0.43382424 -0.13802961 -0.80954462 -0.41925479  0.        ]","[[-1.90693734  0.99030359  0.06519466 -0.16273993]
 [ 1.80529891  1.27277604  0.          0.        ]]",[-0.36553657 -0.40652201]
11,[-0.54268181 -1.14625728],[-0.54398873 -1.27468689],-0.0172636765596,-0.0172636765596,"[-1.03500139  0.89414225 -1.40875848  1.14281589  0.56630754 -1.40788678
  0.81577861  0.50874917 -0.63177759 -0.33021861  0.        ]","[[-1.83544752  1.05522357  0.06519466 -0.16273993]
 [ 5.33201324  5.20610763  0.          0.        ]]",[-0.36553657 -0.40652201]
12,[-0.50563079 -0.37677792],[-0.68573513  0.65994641],-0.00558105226351,-0.00558105226351,"[-0.90371709  0.82296829 -1.4360008   1.2204711   0.56630708 -1.40788424
  0.57137022 -0.1592069  -0.44775049 -0.21066051  0.        ]","[[-1.75144869  1.11858913  0.06519466 -0.16273993]
 [ 3.07531718  1.14399174  0.          0.        ]]",[-0.36553657 -0.40652201]
