timestep,rewards,actions,original_rewards,avg_action_dist,human_obs,obs,logstd_action_dist
0,-0.255925688222,[-4.09749252  1.06572096],-0.255925688222,[-3.30365419  0.67663682],"[[ 0.03075857 -0.02452794  0.02859621 -0.17681765]
 [ 0.00108779  0.00147973  0.          0.        ]]","[ 1.00850131  1.46930627  0.04038265 -1.33569831  0.25125108 -1.5231353
  0.21170074 -0.34559531  1.35649936  1.99912575  0.        ]",[-0.50080228 -0.51275569]
1,-0.253180487765,[-3.05535329  0.55660816],-0.253180487765,[-3.28195643  0.24106619],"[[-0.00892583  0.01524465  0.02859621 -0.17681765]
 [-3.95634662  3.96257255  0.          0.        ]]","[ 1.00918904  1.46954229 -0.01743311 -1.23145499  0.25125095 -1.52313279
 -0.25157116  0.33774226  1.35693965  1.9502852   0.        ]",[-0.50080228 -0.51275569]
2,-0.243229956452,[-3.59428204 -0.16050109],-0.243229956452,[-3.16163468 -0.16031614],"[[-0.12696649  0.11583688  0.02859621 -0.17681765]
 [-7.83480846  6.08955131  0.          0.        ]]","[ 0.99645289  1.4610383  -0.18893029 -0.96846415  0.25125082 -1.52313029
 -0.70559805  0.70467217  1.34870749  1.78132523  0.        ]",[-0.50080228 -0.51275569]
3,-0.221732521476,[-3.76389166 -1.42910987],-0.221732521476,[-3.06924224 -0.38112   ],"[[ -0.32179609   0.23005608   0.02859621  -0.17681765]
 [-11.63551479   5.33485856   0.           0.        ]]","[ 0.92763462  1.43567477 -0.46525707 -0.67370499  0.25125068 -1.52312779
 -1.15052191  0.57447783  1.29982289  1.43798838  0.        ]",[-0.50080228 -0.51275569]
4,-0.182729105232,[-1.90435221  0.39521468],-0.182729105232,[-2.32492757  0.27171108],"[[ -0.59187369   0.2959781    0.02859621  -0.17681765]
 [-15.35984949   1.27085271   0.           0.        ]]","[ 0.73878758  1.41354979 -0.81735236 -0.5068859   0.25125055 -1.52312529
 -1.5865039  -0.12661436  1.13433358  0.86821699  0.        ]",[-0.50080228 -0.51275569]
5,-0.126334607524,[ 0.81663272 -0.15708145],-0.126334607524,[ 0.68570614  0.56706381],"[[ -0.93572032   0.33685399   0.02859621  -0.17681765]
 [-19.01266735   2.81155855   0.           0.        ]]","[ 0.36250338  1.39712867 -1.17740791 -0.40506988  0.25125042 -1.52312279
 -2.01411126  0.13917688  0.74571599  0.19372653  0.        ]",[-0.50080228 -0.51275569]
6,-0.0691873581331,[ 2.33322507  0.13549403],-0.0691873581331,[ 2.63273144  1.14981461],"[[ -1.27978575   0.3862678    0.02859621  -0.17681765]
 [-15.40587467   2.1321155    0.           0.        ]]","[-0.12453976  1.37456323 -1.40023288 -0.28393518  0.25125029 -1.52312029
 -1.59188459  0.02196427  0.20860455 -0.28775706  0.        ]",[-0.50080228 -0.51275569]
7,-0.0314664505212,[ 3.34971078  2.8288817 ],-0.0314664505212,[ 3.33807135  1.12989819],"[[ -1.54515677   0.43385025   0.02859621  -0.17681765]
 [-11.14540567   2.62452427   0.           0.        ]]","[-0.53997832  1.3500743  -1.46101519 -0.16956482  0.25125016 -1.52311779
 -1.09313825  0.10691106 -0.26433698 -0.49809437  0.        ]",[-0.50080228 -0.51275569]
8,-0.0248999980052,[ 2.87971503  0.22181549],-0.0248999980052,[ 2.83170056 -0.06969923],"[[-1.72617617  0.52553005  0.02859621 -0.17681765]
 [-6.97041381  6.53046968  0.          0.        ]]","[-0.82679968  1.29546898 -1.44393828  0.04354562  0.25125002 -1.52311529
 -0.60439898  0.78073658 -0.54057709 -0.53250068  0.        ]",[-0.50080228 -0.51275569]
9,-0.0230804933939,[ 1.71163565  0.01331614],-0.0230804933939,[ 1.7843926  -0.59096706],"[[-1.82451116  0.66363917  0.02859621 -0.17681765]
 [-2.87666805  7.277982    0.          0.        ]]","[-0.97982948  1.19567073 -1.41484409  0.34318538  0.25124989 -1.52311279
 -0.12517085  0.90969134 -0.59756737 -0.48731722  0.        ]",[-0.50080228 -0.51275569]
