timestep,original_rewards,human_obs,avg_action_dist,rewards,obs,logstd_action_dist,actions
0,-0.197052100466,"[[-0.00987331  0.07189638  0.12738066  0.18482605]
 [ 0.00155712 -0.00226251  0.          0.        ]]",[ 3.77773833  2.3650701 ],-1.57909,"[ 0.7716744   2.03458048  0.26923872 -0.15262637  1.11332149  1.60718449
  0.37577241 -0.13694704  0.35740791 -2.06165606  0.        ]",[-0.44035763 -0.40338558],[ 4.00200274  1.67473101]
1,-0.185229052627,"[[ 0.02983269  0.111564    0.12738066  0.18482605]
 [ 3.95588658  3.95583692  0.          0.        ]]",[ 2.85269737  1.8263061 ],-1.54884,"[ 0.77092434  2.02940818  0.33712006 -0.07985582  1.11332063  1.60718251
  0.68243551  0.31983404  0.3493494  -1.91845325  0.        ]",[-0.44035763 -0.40338558],[ 3.42683389  1.76129377]
2,-0.14909834137,"[[ 0.14784157  0.22960755  0.12738066  0.18482605]
 [ 7.83213402  7.83558768  0.          0.        ]]",[ 1.19276714  0.89287728],-1.43037,"[ 0.75112683  2.00091444  0.53797918  0.13434344  1.11331978  1.60718053
  0.98304298  0.76757319  0.28237373 -1.5019764   0.        ]",[-0.44035763 -0.40338558],[ 1.56586568  0.98740788]
3,-0.0879456024144,"[[  0.34261002   0.42397488   0.12738066   0.18482605]
 [ 11.63217845  11.58862012   0.           0.        ]]",[-1.2766974  -0.43647957],-1.24334,"[ 0.66180571  1.91229294  0.86052057  0.47295552  1.11331892  1.60717855
  1.27774032  1.20068798  0.04075111 -0.88349464  0.        ]",[-0.44035763 -0.40338558],[-1.00024388 -0.47078517]
4,-0.0328430162972,"[[ 0.53326705  0.63475512  0.12738066  0.18482605]
 [ 7.44739365  9.49637284  0.          0.        ]]",[-1.78523886 -0.89923763],-1.1687,"[ 0.50906577  1.76115165  1.1552943   0.80751875  1.11331806  1.60717657
  0.95320414  0.95923321 -0.34411495 -0.40641506  0.        ]",[-0.44035763 -0.40338558],[-1.39020239 -0.41536376]
5,-0.0372392726728,"[[ 0.64105371  0.80630763  0.12738066  0.18482605]
 [ 3.34484774  7.66497784  0.          0.        ]]",[-1.66246688 -1.14822197],-1.15772,"[ 0.39614321  1.60033067  1.30864651  1.04473485  1.1133172   1.60717459
  0.63504601  0.74788211 -0.65363761 -0.2147014   0.        ]",[-0.44035763 -0.40338558],[-1.03400589 -0.6568174 ]
6,-0.0536124243529,"[[ 0.66760145  0.93200323  0.12738066  0.18482605]
 [-0.67676931  4.91373874  0.          0.        ]]",[-0.71505052 -0.80689985],-1.16397,"[ 0.36557404  1.46384698  1.34466025  1.19411282  1.11331635  1.60717261
  0.32316413  0.43037731 -0.81324864 -0.18190103  0.        ]",[-0.44035763 -0.40338558],[-1.20275374 -1.07009216]
7,-0.0522643552301,"[[ 0.61451469  0.98958567  0.12738066  0.18482605]
 [-4.61881903  0.85799872  0.          0.        ]]",[ 0.60262948  0.15892348],-1.17592,"[ 0.42563378  1.39671386  1.27192061  1.25487809  1.11331549  1.60717063
  0.01745283 -0.03767236 -0.78991191 -0.23023845  0.        ]",[-0.44035763 -0.40338558],[-0.2824283  -0.31880076]
8,-0.0420992763035,"[[ 0.51184676  0.99391204  0.12738066  0.18482605]
 [-5.64455205 -0.42110661  0.          0.        ]]",[ 1.46680355  0.71257377],-1.17345,"[ 0.52929158  1.39156122  1.12355376  1.2592388   1.11331463  1.60716864
 -0.06209416 -0.18528655 -0.64801337 -0.33042972  0.        ]",[-0.44035763 -0.40338558],[ 0.13463399  0.33661002]
9,-0.0407438550524,"[[ 0.40541695  0.99894339  0.12738066  0.18482605]
 [-5.00057993  0.91977795  0.          0.        ]]",[ 1.88610816  0.72933954],-1.19174,"[ 0.61839705  1.38555094  0.96046183  1.2642739   1.11331377  1.60716666
 -0.01215322 -0.03054265 -0.51053552 -0.45300578  0.        ]",[-0.44035763 -0.40338558],[ 2.03399303  1.06305958]
10,-0.0450010419055,"[[ 0.34608486  1.05687188  0.12738066  0.18482605]
 [-0.94609157  4.85996561  0.          0.        ]]",[ 0.89604419 -0.17844266],-1.19108,"[ 0.6595851   1.3150013   0.86610683  1.31940079  1.11331292  1.60716468
  0.30227806  0.42417209 -0.4902231  -0.51579347  0.        ]",[-0.44035763 -0.40338558],[ 1.94852099 -1.17163876]
11,-0.0461844904261,"[[ 0.36706215  1.11336702  0.12738066  0.18482605]
 [ 3.03057446  0.8030738   0.          0.        ]]",[-0.16348009  0.01633196],-1.16289,"[ 0.64573111  1.24393578  0.89971653  1.36798065  1.11331206  1.6071627
  0.61067402 -0.0440111  -0.57020973 -0.48111256  0.        ]",[-0.44035763 -0.40338558],[-0.61219335 -1.05383531]
12,-0.044831095552,"[[ 0.40277861  1.0895476   0.12738066  0.18482605]
 [ 0.54933906 -3.17176233  0.          0.        ]]",[ 0.68288213  0.878676  ],-1.19197,"[ 0.62035878  1.27415441  0.95631243  1.34813111  1.1133112   1.60716072
  0.41825039 -0.50272467 -0.5932783  -0.44235679  0.        ]",[-0.44035763 -0.40338558],[ 1.5183356   1.58364009]
13,-0.044581594982,"[[ 0.45334476  1.06645917  0.12738066  0.18482605]
 [ 4.49413453  0.84950536  0.          0.        ]]",[-0.94020212 -0.17855358],-1.15181,"[ 0.58064925  1.30308918  1.03496038  1.32800631  1.11331034  1.60715874
  0.72417481 -0.03865235 -0.63775451 -0.3880984   0.        ]",[-0.44035763 -0.40338558],[-1.44795886  0.01986101]
14,-0.049330515471,"[[ 0.50263595  1.08408035  0.12738066  0.18482605]
 [ 0.44844897  0.91240962  0.          0.        ]]",[-0.11660524 -0.10965739],-1.18618,"[ 0.53775504  1.28103627  1.10978422  1.34344164  1.11330949  1.60715676
  0.41042562 -0.0313929  -0.72163589 -0.33705684  0.        ]",[-0.44035763 -0.40338558],[ 0.86511397  0.04406045]
15,-0.0556750039407,"[[ 0.54586047  1.10388828  0.12738066  0.18482605]
 [ 3.86264215  1.06786095  0.          0.        ]]",[-1.3408618  -0.51592195],-1.16035,"[ 0.496822    1.25600053  1.17375811  1.36018872  1.11330863  1.60715478
  0.67520119 -0.0134531  -0.80073663 -0.29844625  0.        ]",[-0.44035763 -0.40338558],[-1.48457424  0.16843891]
16,-0.0631902707092,"[[ 0.58264504  1.13173566  0.12738066  0.18482605]
 [-0.1707629   1.71472357  0.          0.        ]]",[-0.47857952 -0.56121314],-1.17864,"[ 0.45960515  1.22038146  1.22689896  1.38264037  1.11330777  1.6071528
  0.36240425  0.0611978  -0.8794293  -0.27216844  0.        ]",[-0.44035763 -0.40338558],[-0.4079779   0.61271377]
17,-0.0669354901886,"[[ 0.56306053  1.19003551  0.12738066  0.18482605]
 [-1.78232027  4.10728085  0.          0.        ]]",[-0.18672082 -1.00800097],-1.19371,"[ 0.47968883  1.14432707  1.19875853  1.42543861  1.11330691  1.60715082
  0.23742536  0.33730988 -0.90675664 -0.29862803  0.        ]",[-0.44035763 -0.40338558],[ 0.55141251 -0.95553456]
18,-0.0699289068789,"[[ 0.54966963  1.23339836  0.12738066  0.18482605]
 [ 0.43583873  0.24189348  0.          0.        ]]",[-0.51053286 -0.51419854],-1.18852,"[ 0.49306821  1.08657895  1.17931509  1.45350934  1.11330606  1.60714884
  0.40944696 -0.10877386 -0.92875334 -0.31883562  0.        ]",[-0.44035763 -0.40338558],[-0.34456121 -0.27261139]
19,-0.068638585578,"[[ 0.54462277  1.22736127  0.12738066  0.18482605]
 [-0.93595481 -0.84199144  0.          0.        ]]",[-0.08512121 -0.19813681],-1.19481,"[ 0.49803567  1.09467339  1.17194476  1.4497942   1.1133052   1.60714686
  0.30306204 -0.2338592  -0.91608446 -0.32086806  0.        ]",[-0.44035763 -0.40338558],[ 0.15044368 -0.07288469]
20,-0.0649933634847,"[[ 0.53206312  1.2077916   0.12738066  0.18482605]
 [-0.32205575 -1.11406784  0.          0.        ]]",[-0.08192889 -0.09318282],-1.18253,"[ 0.51021882  1.1207924   1.15350685  1.43732088  1.11330434  1.60714488
  0.35067079 -0.26525801 -0.88021025 -0.32571652  0.        ]",[-0.44035763 -0.40338558],[-0.35445548 -0.28370848]
21,-0.0591561890815,"[[ 0.51161649  1.1744639   0.12738066  0.18482605]
 [-1.71794709 -2.21503442  0.          0.        ]]",[ 0.41988295  0.34256613],-1.17998,"[ 0.52950165  1.16482374  1.1231999   1.41456416  1.11330348  1.6071429
  0.242417   -0.39231467 -0.82036172 -0.33628932  0.        ]",[-0.44035763 -0.40338558],[-0.12795521 -0.87335787]
22,-0.0480558377491,"[[ 0.47252852  1.09590768  0.12738066  0.18482605]
 [-2.18924375 -5.62920992  0.          0.        ]]",[ 1.05409193  1.32420206],-1.20607,"[ 0.56443896  1.26611113  1.06429965  1.35350796  1.11330263  1.60714092
  0.20586707 -0.78632655 -0.69183122 -0.36702871  0.        ]",[-0.44035763 -0.40338558],[ 2.08669911  1.81707135]
23,-0.0421405347348,"[[ 0.46886737  1.02415832  0.12738066  0.18482605]
 [ 1.80974821 -1.55929418  0.          0.        ]]",[-0.0324636   0.51345116],-1.17106,"[ 0.56758009  1.3551315   1.05871978  1.28890114  1.11330177  1.60713894
  0.51599554 -0.31663847 -0.61816522 -0.37450587  0.        ]",[-0.44035763 -0.40338558],[-0.10331698  0.17461467]
24,-0.0419028439235,"[[ 0.50059939  1.00022041  0.12738066  0.18482605]
 [ 1.36493754 -0.83690332  0.          0.        ]]",[-0.09057663  0.38358825],-1.17483,"[ 0.53960563  1.38400618  1.10672201  1.26552607  1.11330091  1.60713696
  0.48149949 -0.23327096 -0.63852578 -0.34198201  0.        ]",[-0.44035763 -0.40338558],[ 0.11874104  0.37500169]
25,-0.0440449140517,"[[ 0.53233665  0.99854522  0.12738066  0.18482605]
 [ 1.80731948  0.66438058  0.          0.        ]]",[-0.4982174   0.00437857],-1.16491,"[ 0.50995496  1.38600926  1.15390564  1.2638558   1.11330005  1.60713498
  0.51580676 -0.0600154  -0.68091839 -0.30868654  0.        ]",[-0.44035763 -0.40338558],[-0.72757569  1.48976663]
26,-0.0496668374643,"[[ 0.53922947  1.05143706  0.12738066  0.18482605]
 [-1.10832182  4.6116421   0.          0.        ]]",[-0.0818513 -0.6885075],-1.18363,"[ 0.50329707  1.32170583  1.16403852  1.31443355  1.1132992   1.607133
  0.2896935   0.39551796 -0.74125168 -0.30121607  0.        ]",[-0.44035763 -0.40338558],[ 0.81257676  0.01120181]
27,-0.0602201595383,"[[ 0.54954298  1.14318996  0.12738066  0.18482605]
 [ 2.12892998  4.56381733  0.          0.        ]]",[-1.20510983 -1.15563166],-1.15467,"[ 0.49319124  1.20558151  1.17912241  1.39148648  1.11329834  1.60713102
  0.54074796  0.38999859 -0.84336915 -0.3002515   0.        ]",[-0.44035763 -0.40338558],[-1.80936958 -0.65613238]
28,-0.067418941808,"[[ 0.55200572  1.20750328  0.12738066  0.18482605]
 [-1.86939352  1.8764589   0.          0.        ]]",[-0.03344829 -0.62744415],-1.17277,"[ 0.4907525   1.12116683  1.18270953  1.43712163  1.11329748  1.60712904
  0.23067062  0.07986391 -0.90772994 -0.31071754  0.        ]",[-0.44035763 -0.40338558],[-0.88563455  1.09947939]
29,-0.0672412795586,"[[ 0.47981751  1.28439568  0.12738066  0.18482605]
 [-5.33789805  5.79967658  0.          0.        ]]",[ 0.61803204 -1.21460629],-1.17762,"[ 0.55811604  1.01752884  1.07536973  1.48232278  1.11329662  1.60712706
 -0.03831829  0.53262284 -0.881117   -0.38289934  0.        ]",[-0.44035763 -0.40338558],[ 0.07442298 -1.41627363]
30,-0.0657578183227,"[[ 0.37708223  1.35950728  0.12738066  0.18482605]
 [-4.93696722  1.72506719  0.          0.        ]]",[ 1.21283102 -0.46145907],-1.19389,"[ 0.63883516  0.91399353  0.9156604   1.51639459  1.11329577  1.60712508
 -0.00722535  0.06239217 -0.81793661 -0.4825255   0.        ]",[-0.44035763 -0.40338558],[ 1.378944   -0.44181853]
31,-0.0639198235951,"[[ 0.31903079  1.37610411  0.12738066  0.18482605]
 [-0.88167182 -0.05941488  0.          0.        ]]",[ 0.79970396 -0.30017334],-1.19694,"[ 0.67629039  0.89086811  0.82236852  1.52255716  1.11329491  1.60712309
  0.30727038 -0.14354615 -0.76137662 -0.53684795  0.        ]",[-0.44035763 -0.40338558],[ 1.63556345  0.04480425]
32,-0.0651036792745,"[[ 0.34127641  1.37669901  0.12738066  0.18482605]
 [ 3.09299572  0.11830978  0.          0.        ]]",[-0.45256597 -0.60997909],-1.16261,"[ 0.66264574  0.89003721  0.85834855  1.52276714  1.11329405  1.60712111
  0.6155132  -0.12303577 -0.78932713 -0.51687056  0.        ]",[-0.44035763 -0.40338558],[-1.44617123 -0.10411873]
