timestep,original_rewards,human_obs,avg_action_dist,rewards,obs,logstd_action_dist,actions
0,-0.289577507323,"[[-0.0851647   0.07529979  0.00127594  0.19151264]
 [-0.0002768   0.00231875  0.          0.        ]]",[ 3.71157765  3.68048167],-1.82786,"[ 0.75352423  2.10967831  0.10085752 -0.12998509  0.01075402  1.65688119
  0.41656904 -0.14164748  1.41621629 -2.18278687  0.        ]",[-0.3178919  -0.28970405],[ 4.38716522  3.93063013]
1,-0.280916036024,"[[ -4.54950050e-02   1.15058121e-01   1.27593986e-03   1.91512641e-01]
 [  3.95408999e+00   3.96032765e+00   0.00000000e+00   0.00000000e+00]]",[ 2.97172427  3.34591889],-1.80528,"[ 0.75816399  2.10427324  0.16910994 -0.05254527  0.01075402  1.6568786
  0.69924027  0.30544553  1.41620161 -2.04742343  0.        ]",[-0.3178919  -0.28970405],[ 3.31033937  3.71514854]
2,-0.253397544209,"[[  7.24783224e-02   2.33190601e-01   1.27593986e-03   1.91512641e-01]
 [  7.83037617e+00   7.83998944e+00   0.00000000e+00   0.00000000e+00]]",[ 2.14732742  2.82769918],-1.73345,"[ 0.75531318  2.07503307  0.37239611  0.17498244  0.01075401  1.656876
  0.97632974  0.74368835  1.37464078 -1.64993764  0.        ]",[-0.3178919  -0.28970405],[ 1.84055217  2.98439904]
3,-0.203043639854,"[[  2.67211854e-01   4.28145341e-01   1.27593986e-03   1.91512641e-01]
 [  1.16304459e+01   1.16427939e+01   0.00000000e+00   0.00000000e+00]]",[ 0.76457804  1.78065658],-1.57891,"[ 0.69642471  1.98470023  0.70282286  0.53522225  0.01075401  1.65687341
  1.24797046  1.17324882  1.17708285 -1.04662326  0.        ]",[-0.3178919  -0.28970405],[ 1.04113426  2.42507883]
4,-0.126209366354,"[[  5.37202596e-01   6.98399250e-01   1.27593986e-03   1.91512641e-01]
 [  1.53564925e+01   1.53701291e+01   0.00000000e+00   0.00000000e+00]]",[-1.71892512  0.37273234],-1.35246,"[ 0.50761851  1.77906745  1.12991915  0.98098522  0.010754    1.65687082
  1.51431893  1.59428309  0.68736855 -0.42577994  0.        ]",[-0.3178919  -0.28970405],[-1.07846577  0.18804915]
5,-0.0439373225379,"[[  8.01608200e-01   1.01022727e+00   1.27593986e-03   1.91512641e-01]
 [  1.10982188e+01   1.58111975e+01   0.00000000e+00   0.00000000e+00]]",[-2.35222626 -0.7688604 ],-1.19709,"[ 0.21448148  1.444312    1.48640322  1.38008253  0.010754    1.65686822
  1.20992188  1.64410323  0.03113462 -0.17372213  0.        ]",[-0.3178919  -0.28970405],[-2.27518793 -0.51366897]
6,-0.0308357318739,"[[  9.81695836e-01   1.30291109e+00   1.27593986e-03   1.91512641e-01]
 [  6.92422618e+00   1.34650022e+01   0.00000000e+00   0.00000000e+00]]",[-2.27347875 -1.56784999],-1.17495,"[-0.03627279  1.06271677  1.68118772  1.60976354  0.01075399  1.65686563
  0.91155012  1.37907768 -0.46644015 -0.30583023  0.        ]",[-0.3178919  -0.28970405],[-1.98116549 -2.97600165]
7,-0.0681222705278,"[[  1.07912214e+00   1.52981597e+00   1.27593986e-03   1.91512641e-01]
 [  2.83177254e+00   9.23955943e+00   0.00000000e+00   0.00000000e+00]]",[-1.53600359 -1.91618216],-1.19403,"[-0.18591481  0.74294274  1.76757765  1.6779097   0.01075399  1.65686304
  0.61900736  0.90177539 -0.72534367 -0.54356172  0.        ]",[-0.3178919  -0.28970405],[-1.51519615 -0.76479196]
8,-0.0861961795124,"[[  1.09549683e+00   1.68239494e+00   1.27593986e-03   1.91512641e-01]
 [ -1.18108500e+00   6.02901769e+00   0.00000000e+00   0.00000000e+00]]",[-0.90321559 -1.91089058],-1.23435,"[-0.21189287  0.5252051   1.78069999  1.66737765  0.01075398  1.65686044
  0.33215454  0.53911562 -0.8043878  -0.71396943  0.        ]",[-0.3178919  -0.28970405],[-1.65639768 -1.1405094 ]
9,-0.0866755672083,"[[  1.03240520e+00   1.76205509e+00   1.27593986e-03   1.91512641e-01]
 [ -5.11503681e+00   1.95055934e+00   0.00000000e+00   0.00000000e+00]]",[-0.32662719 -1.36213219],-1.2495,"[-0.11306911  0.41267747  1.72789716  1.64386754  0.01075398  1.65685785
  0.05094219  0.07841701 -0.76374502 -0.76488381  0.        ]",[-0.3178919  -0.28970405],[-0.12107733 -0.56402966]
10,-0.076790778682,"[[  9.26314432e-01   1.77827046e+00   1.27593986e-03   1.91512641e-01]
 [ -5.49276990e+00  -3.21453748e-01   0.00000000e+00   0.00000000e+00]]",[ 0.0873843 -0.7990101],-1.23069,"[ 0.04466892  0.3899596   1.62594751  1.63758115  0.01075398  1.65685526
  0.02394051 -0.17822735 -0.65898242 -0.73049584  0.        ]",[-0.3178919  -0.28970405],[-0.44148642 -1.1340472 ]
11,-0.0608582943696,"[[  8.00023865e-01   1.73217796e+00   1.27593986e-03   1.91512641e-01]
 [ -7.13076546e+00  -4.27463468e+00   0.00000000e+00   0.00000000e+00]]",[ 0.76917797  0.35556871],-1.20643,"[ 0.21652039  0.45471753  1.48448628  1.65411673  0.01075397  1.65685266
 -0.09314907 -0.62477471 -0.50033866 -0.64297981  0.        ]",[-0.3178919  -0.28970405],[ 0.76279755  0.94412543]
12,-0.0516561419932,"[[  6.89111781e-01   1.68503633e+00   1.27593986e-03   1.91512641e-01]
 [ -3.97103840e+00  -4.52245203e-01   0.00000000e+00   0.00000000e+00]]",[ 0.83383876  0.0717883 ],-1.19896,"[ 0.35112968  0.52145294  1.34391805  1.66678493  0.01075397  1.65685007
  0.13271925 -0.19300087 -0.34586433 -0.58681214  0.        ]",[-0.3178919  -0.28970405],[ 0.60555829 -0.47354629]
13,-0.0500502916127,"[[  6.34529039e-01   1.65726417e+00   1.27593986e-03   1.91512641e-01]
 [ -1.49548023e+00  -2.31874221e+00   0.00000000e+00   0.00000000e+00]]",[ 0.87906986  0.53863448],-1.18892,"[ 0.41122927  0.56094711  1.26967919  1.67222648  0.01075396  1.65684748
  0.30968077 -0.40383862 -0.26340633 -0.56604288  0.        ]",[-0.3178919  -0.28970405],[-0.04711948  0.23248172]
14,-0.0495168360943,"[[  6.03044217e-01   1.62058606e+00   1.27593986e-03   1.91512641e-01]
 [ -1.65248369e+00  -1.35229033e+00   0.00000000e+00   0.00000000e+00]]",[ 1.01503372  0.58122069],-1.19702,"[ 0.44395243  0.61324718  1.22545655  1.67710932  0.01075396  1.65684489
  0.29845746 -0.29466885 -0.19993916 -0.54266863  0.        ]",[-0.3178919  -0.28970405],[ 1.21972805  0.78400448]
15,-0.0493195651467,"[[  6.10026184e-01   1.62494915e+00   1.27593986e-03   1.91512641e-01]
 [  2.33739691e+00   1.77816748e+00   0.00000000e+00   0.00000000e+00]]",[ 0.27320015  0.003034  ],-1.20063,"[ 0.4368207   0.60701898  1.23534683  1.67666315  0.01075395  1.65684229
  0.58366814  0.05894529 -0.21144453 -0.54469209  0.        ]",[-0.3178919  -0.28970405],[ 0.8427322 -0.5131555]
