timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
16,-0.194337368591,[ 1.94082757  1.67809414],-1.3221,"[[  9.15040371   3.00758875   0.17051093  -0.11794068]
 [ 54.75673957  -0.15476139   0.           0.        ]]","[-1.44135226 -0.46724378  0.30848799 -0.29211533  1.48028979 -1.0276911
 -0.32705292 -0.39104775 -1.35767229  0.71463247  0.        ]",[ 2.91663265  1.38270092],[-0.59029096 -0.42742014]
17,-0.191595286616,[ 2.80919811  1.79804302],-0.678251,"[[ 10.2743873    3.00550216   0.17051093  -0.11794068]
 [ 57.63203767  -0.066039     0.           0.        ]]","[-1.02144873 -0.46681343 -1.17822143 -0.28372817  1.48028828 -1.02769042
 -0.25195391 -0.37958078 -1.26413466  0.82275004  0.        ]",[ 3.08434772  1.45501125],[-0.59029096 -0.42742014]
18,-0.208626012573,[ 4.59008269  1.77373318],-0.470088,"[[  1.14553058e+01   3.00461911e+00   1.70510934e-01  -1.17940683e-01]
 [  6.04504164e+01  -2.76745456e-02   0.00000000e+00   0.00000000e+00]]","[ 0.51192175 -0.4666292  -1.38937636 -0.28017934  1.48028677 -1.02768975
 -0.17834156 -0.37462227 -1.32168605  0.96557567  0.        ]",[ 3.02422428  1.23783207],[-0.59029096 -0.42742014]
19,-0.224114146599,[ 2.91800638  1.6392884 ],-1.07902,"[[  1.26920320e+01   3.00425135e+00   1.70510934e-01  -1.17940683e-01]
 [  6.32130019e+01  -1.14394897e-02   0.00000000e+00   0.00000000e+00]]","[ 1.27362751 -0.46655203  0.09665749 -0.27870146  1.48028527 -1.02768908
 -0.10618646 -0.37252385 -1.47394432  0.95848111  0.        ]",[ 2.83937693  0.88714874],[-0.59029096 -0.42742014]
20,-0.217476260861,[ 3.55172547  2.34615915],-1.42026,"[[  1.39834612e+01   3.00410004e+00   1.70510934e-01  -1.17940683e-01]
 [  6.59208983e+01  -4.68008954e-03   0.00000000e+00   0.00000000e+00]]","[ 0.10828528 -0.46652011  1.35193324 -0.2780934   1.48028376 -1.0276884
 -0.03545977 -0.3716501  -1.51519903  0.79517582  0.        ]",[ 2.84938288  0.78765178],[-0.59029096 -0.42742014]
21,-0.195629479823,[ 2.43020918  1.01672246],-1.3726,"[[  1.53285106e+01   3.00403835e+00   1.70510934e-01  -1.17940683e-01]
 [  6.85751881e+01  -1.90138782e-03   0.00000000e+00   0.00000000e+00]]","[-1.39450651 -0.46650698  0.45318907 -0.2778454   1.48028226 -1.02768773
  0.0338668  -0.37129083 -1.37236861  0.70872087  0.        ]",[ 2.96831512  1.28600454],[-0.59029096 -0.42742014]
22,-0.192976423037,[ 3.3936068   1.01736414],-0.595205,"[[  1.67261185e+01   3.00401332e+00   1.70510934e-01  -1.17940683e-01]
 [  7.11769325e+01  -7.70704107e-04   0.00000000e+00   0.00000000e+00]]","[-0.83346973 -0.46650154 -1.32386841 -0.27774473  1.48028075 -1.02768706
  0.10182094 -0.37114457 -1.26109602  0.84533113  0.        ]",[ 3.17078352  1.37716973],[-0.59029096 -0.42742014]
23,-0.215791407416,[ 2.42070853  0.97338118],-0.723113,"[[  1.81752445e+01   3.00400315e+00   1.70510934e-01  -1.17940683e-01]
 [  7.37271716e+01  -3.14478696e-04   0.00000000e+00   0.00000000e+00]]","[ 0.98059207 -0.46649922 -0.99395674 -0.2777038   1.48027925 -1.02768638
  0.16842983 -0.37108547 -1.37473809  0.98703532  0.        ]",[ 3.02831459  1.01650715],[-0.59029096 -0.42742014]
24,-0.223623664389,[ 2.28358983  0.80824612],-1.28177,"[[  1.96748688e+01   3.00397074e+00   1.70510934e-01  -1.17940683e-01]
 [  7.62269249e+01  -2.08235602e-03   0.00000000e+00   0.00000000e+00]]","[ 0.83779449 -0.46649224  0.98322598 -0.27757346  1.48027774 -1.02768571
  0.23372009 -0.37131382 -1.52191551  0.87696881  0.        ]",[ 2.89811134  0.65092689],[-0.59029096 -0.42742014]
25,-0.201589342307,[ 2.6656437  0.886551 ],-1.47083,"[[  2.12239916e+01   3.00375877e+00   1.70510934e-01  -1.17940683e-01]
 [  7.86771906e+01  -1.35965340e-02   0.00000000e+00   0.00000000e+00]]","[-1.10424445 -0.46644749  0.92406263 -0.27672167  1.48027624 -1.02768503
  0.2977178  -0.37280183 -1.42329706  0.71059032  0.        ]",[ 2.96740961  1.08446169],[-0.59029096 -0.42742014]
26,-0.19124787205,[ 3.86390171  1.24495248],-0.657043,"[[  2.28216330e+01   3.00360161e+00   1.70510934e-01  -1.17940683e-01]
 [  8.10789509e+01  -3.99632480e-03   0.00000000e+00   0.00000000e+00]]","[-1.04122923 -0.46641423 -1.15965155 -0.27609009  1.48027473 -1.02768436
  0.36044859 -0.37156092 -1.26359731  0.81884314  0.        ]",[ 3.21869326  1.3303287 ],[-0.59029096 -0.42742014]
