timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
0,-0.206938579169,[ 2.02943178  4.83879111],-0.565463,"[[-0.08690404  0.03823418  0.0335653   0.09493337]
 [-0.00492046 -0.00286753  0.          0.        ]]","[ 1.28283781  2.61641504 -0.21045765 -0.68498681  0.29283161  0.81894063
 -1.79582047 -0.37131766  1.21694311 -0.97566259  0.        ]",[ 2.98583031  5.31087399],[-0.57583827 -0.40286842]
1,-0.200865252003,[ 2.98486337  3.88247948],-0.551457,"[[-0.04732637  0.0778898   0.0335653   0.09493337]
 [ 3.94952892  3.95524263  0.          0.        ]]","[ 1.28652608  2.61285434 -0.15308481 -0.52074426  0.29283153  0.81894028
 -1.69205942  0.13697673  1.21953706 -0.8740527   0.        ]",[ 2.86351204  4.89906359],[-0.57583827 -0.40286842]
2,-0.182100486085,[ 2.48796444  3.90168751],-0.397623,"[[ 0.07055638  0.1959216   0.0335653   0.09493337]
 [ 7.82587401  7.83500622  0.          0.        ]]","[ 1.28462316  2.58797337  0.01808715 -0.03589627  0.29283145  0.81893993
 -1.59034801  0.6352099   1.18964246 -0.57390188  0.        ]",[ 2.73587489  4.48477697],[-0.57583827 -0.40286842]
3,-0.150119853314,[ 2.60851656  5.36436758],0.0328296,"[[  0.26520012   0.39077771   0.0335653    0.09493337]
 [ 11.62596049  11.63791493   0.           0.        ]]","[ 1.23948702  2.50104632  0.29648698  0.73679765  0.29283136  0.81893957
 -1.49063777  1.12357313  1.02239864 -0.11398059  0.        ]",[ 2.63704777  4.09204578],[-0.57583827 -0.40286842]
4,-0.109595827203,[ 2.57983208  4.4693912 ],0.236243,"[[  0.53510089   0.6609351    0.0335653    0.09493337]
 [ 15.35197278  15.36535682   0.           0.        ]]","[ 1.0937844   2.29214928  0.65657524  1.70329203  0.29283128  0.81893922
 -1.39287134  1.60224418  0.58996133  0.36817806  0.        ]",[ 2.58837986  3.79616189],[-0.57583827 -0.40286842]
5,-0.0867983077013,[ 2.73798274  3.58023369],0.191125,"[[  0.87880188   1.00489753   0.0335653    0.09493337]
 [ 19.00641272  19.01863054   0.           0.        ]]","[ 0.78500907  1.90085242  1.03442126  2.65859655  0.2928312   0.81893887
 -1.29698306  2.07138911 -0.13602659  0.59538591  0.        ]",[ 2.55965853  3.3971858 ],[-0.57583827 -0.40286842]
6,-0.116297896092,[ 3.15147384  2.69303871],-0.174958,"[[  1.29489679   1.42119456   0.0335653    0.09493337]
 [ 22.59173297  22.5990463    0.           0.        ]]","[ 0.2767457   1.30268529  1.31369368  3.25904085  0.29283112  0.81893852
 -1.20290854  2.53117534 -0.91144085  0.27400836  0.        ]",[ 2.57014084  2.57428694],[-0.57583827 -0.40286842]
7,-0.15808258677,[ 2.80904186  1.97294443],-0.541909,"[[  1.78202125   1.90838382   0.0335653    0.09493337]
 [ 26.10948969  26.1081454    0.           0.        ]]","[-0.39332379  0.56062778  1.3363511   3.07119217  0.29283104  0.81893816
 -1.11060691  2.98179981 -1.22691774 -0.53870099  0.        ]",[ 2.58767462  1.55995274],[-0.57583827 -0.40286842]
8,-0.161910286299,[ 2.25314854  1.31527649],-0.739717,"[[  2.33882334   2.46505845   0.0335653    0.09493337]
 [ 29.55919191  29.5479797    0.           0.        ]]","[-1.06754816 -0.13241741  0.96076363  1.75405415  0.29283095  0.81893781
 -1.02009105  3.42352489 -0.80952791 -1.16497055  0.        ]",[ 2.60095334  0.78255236],[-0.57583827 -0.40286842]
9,-0.105256192603,[ 2.07492572 -0.59705594],-0.978107,"[[  2.96391451   3.08985894   0.0335653    0.09493337]
 [ 32.93739457  26.79549792   0.           0.        ]]","[-1.47000173 -0.47066888  0.17246012 -0.62903667  0.29283087  0.81893746
 -0.93145133  3.07004967 -0.29622918 -0.92195744  0.        ]",[ 2.65769958  0.31651121],[-0.57583827 -0.40286842]
10,-0.0844611833681,[ 3.41224441  2.82882331],-0.477968,"[[  3.65582822e+00   3.26178920e+00   3.35653011e-02   9.49333732e-02]
 [  3.62433107e+01  -1.64935677e+00   0.00000000e+00   0.00000000e+00]]","[-1.31211578 -0.46158798 -0.79903095 -1.34107078  0.29283079  0.8189371
 -0.84470838 -0.58276073 -0.35650151 -0.72547863  0.        ]",[ 3.41937065  1.3266257 ],[-0.57583827 -0.40286842]
