timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
0,-0.372925279463,[ 4.15267129  6.23283578],-1.59509,"[[-0.06832441  0.02054713 -0.10707552  0.18480464]
 [-0.00239859 -0.00235017  0.          0.        ]]","[ 1.28311892  2.60046091 -0.18356534 -0.7569463  -0.93985381  1.60335494
 -1.76979736 -0.37136868  2.28963586 -1.68456823  0.        ]",[ 3.14291     6.88453007],[-0.5923503  -0.42815787]
1,-0.366620545598,[ 2.97207467  6.08425736],-1.57654,"[[-0.02869682  0.06021299 -0.10707552  0.18480464]
 [ 3.95199777  3.95574953  0.          0.        ]]","[ 1.28578704  2.59799119 -0.12601289 -0.59419375 -0.93985329  1.60335325
 -1.66644748  0.13892544  2.29161677 -1.58274455  0.        ]",[ 3.07873225  6.50462341],[-0.5923503  -0.42815787]
2,-0.345514609954,[ 2.08675491  5.82147077],-1.3798,"[[ 0.0892347   0.17825483 -0.10707552  0.18480464]
 [ 7.82828044  7.83550403  0.          0.        ]]","[ 1.28083106  2.57639212  0.04529797 -0.11315243 -0.93985277  1.60335156
 -1.56513942  0.6391189   2.2598269  -1.28232016  0.        ]",[ 3.01496267  6.11367798],[-0.5923503  -0.42815787]
3,-0.303693946074,[ 2.14471648  4.71290344],-1.02464,"[[  0.2839258    0.37312082  -0.10707552   0.18480464]
 [ 11.62828636  11.6384059    0.           0.        ]]","[ 1.23074191  2.4948949   0.32305303  0.65566689 -0.93985224  1.60334987
 -1.46582512  1.1294038   2.08935267 -0.82260745  0.        ]",[ 2.91709018  5.59266567],[-0.5923503  -0.42815787]
4,-0.234182797989,[ 2.79239963  6.61179637],-0.00211489,"[[  0.5538721    0.64328799  -0.10707552   0.18480464]
 [ 15.35419565  15.36584315   0.           0.        ]]","[ 1.07867828  2.29321465  0.68056437  1.62199763 -0.93985172  1.60334818
 -1.36844756  1.60995851  1.65255964 -0.34201336  0.        ]",[ 2.76064754  4.83035088],[-0.5923503  -0.42815787]
5,-0.135458556396,[ 2.11623124  3.79612266],0.0165567,"[[  0.89761636   0.9872601   -0.10707552   0.18480464]
 [ 19.00851589  19.01911212   0.           0.        ]]","[ 0.76332658  1.90983845  1.0526178   2.58579325 -0.9398512   1.60334649
 -1.27294118  2.08094935  0.92195598 -0.1186656   0.        ]",[ 2.57204676  3.95739841],[-0.5923503  -0.42815787]
6,-0.0535961411831,[ 2.42450448  3.58570418],-0.00788331,"[[  1.31375216   1.40356666  -0.10707552   0.18480464]
 [ 22.59372229  22.59951696   0.           0.        ]]","[ 0.25039883  1.3181546   1.32207258  3.2080706  -0.93985068  1.60334481
 -1.17924125  2.54254348  0.14340627 -0.44652451  0.        ]",[ 2.40240765  2.93143249],[-0.5923503  -0.42815787]
7,-0.145252985659,[ 2.27698183  1.86960402],-0.322425,"[[  1.80091562   1.8907651   -0.10707552   0.18480464]
 [ 26.11141289  26.10858897   0.           0.        ]]","[-0.41958607  0.57804432  1.33151402  3.05691715 -0.93985016  1.60334312
 -1.08730599  2.99493717 -0.17166496 -1.267195    0.        ]",[ 2.49168062  1.82886362],[-0.5923503  -0.42815787]
8,-0.22850076513,[ 2.98435822  2.38915574],-0.725186,"[[  2.35775629   2.44744813  -0.10707552   0.18480464]
 [ 29.5611465   29.5483697    0.           0.        ]]","[-1.08651456 -0.12063728  0.94233128  1.78582979 -0.93984963  1.60334143
 -0.9971469   3.43839232  0.25049755 -1.90026306  0.        ]",[ 2.75317717  0.98052633],[-0.5923503  -0.42815787]
9,-0.225659342707,[ 2.70069805  1.76919125],-1.6807,"[[  2.9828879    3.07225564  -0.10707552   0.18480464]
 [ 32.93950693  26.86910959   0.           0.        ]]","[-1.47438072 -0.47299969  0.14551826 -0.55680594 -0.93984911  1.60333974
 -0.90885323  3.09296451  0.7713637  -1.66033318  0.        ]",[ 3.14478064  0.80530196],[-0.5923503  -0.42815787]
