timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
0,-0.1636332716,[ 3.15328766  1.14723142],-0.22108,"[[ 0.09687058 -0.0921912   0.05598594 -0.04638261]
 [ 0.00481961  0.00272368  0.          0.        ]]","[ 1.23854461  2.23457873  0.04454057 -1.06283926  0.47969401 -0.40123477
 -1.42185211 -0.36221357  0.99020902  0.34160986  0.        ]",[ 2.23841119  2.67980576],[-0.48102203 -0.2426012 ]
1,-0.167662935683,[ 1.69556327  1.28767042],-0.267795,"[[ 0.13664114 -0.05242483  0.05598594 -0.04638261]
 [ 3.95907205  3.96072773  0.          0.        ]]","[ 1.23215037  2.23860554  0.10273639 -0.93126225  0.4796934  -0.40123429
 -1.31763148  0.17444429  0.98401795  0.44064888  0.        ]",[ 2.20579171  2.56597567],[-0.48102203 -0.2426012 ]
2,-0.179897704888,[ 1.17096515  2.56224959],-0.112093,"[[ 0.25471223  0.06571569  0.05598594 -0.04638261]
 [ 7.8351462   7.84039596  0.          0.        ]]","[ 1.20049531  2.23748804  0.27328542 -0.53955586  0.47969279 -0.40123381
 -1.21547198  0.70048037  0.92947742  0.729347    0.        ]",[ 2.15546179  2.38210225],[-0.48102203 -0.2426012 ]
3,-0.199755925556,[ 2.77712948  2.38789043],0.111111,"[[  0.44953758   0.26067879   0.05598594  -0.04638261]
 [ 11.6348213   11.64322702   0.           0.        ]]","[ 1.10794009  2.19299077  0.54230532  0.09764826  0.47969218 -0.40123333
 -1.1153266   1.21609648  0.72808081  1.16143729  0.        ]",[ 2.08024597  2.08469915],[-0.48102203 -0.2426012 ]
4,-0.223288281775,[ 2.32221552  0.7767316 ],0.0947149,"[[  0.71960998   0.53094181   0.05598594  -0.04638261]
 [ 15.36024563  15.37060959   0.           0.        ]]","[ 0.90295351  2.04686064  0.8731496   0.92243235  0.47969157 -0.40123285
 -1.01713862  1.72147849  0.26549452  1.59205538  0.        ]",[ 1.99500108  1.65156174],[-0.48102203 -0.2426012 ]
5,-0.241213992039,[ 2.66273488  0.77885315],0.129095,"[[  1.06347171   0.86613878   0.05598594  -0.04638261]
 [ 19.01414682  18.13977743   0.           0.        ]]","[ 0.53567856  1.74506799  1.18986795  1.77003078  0.47969096 -0.40123236
 -0.92083605  2.0969325  -0.46057271  1.74889569  0.        ]",[ 1.98704863  1.28964019],[-0.48102203 -0.2426012 ]
6,-0.240324907926,[ 1.62882117  0.83177389],-0.184562,"[[  1.47971218   1.25624786   0.05598594  -0.04638261]
 [ 22.59847922  20.8619516    0.           0.        ]]","[-0.00909257  1.26910995  1.36933751  2.39737993  0.47969035 -0.40123188
 -0.82636732  2.4660071  -1.2015923   1.37869703  0.        ]",[ 2.02675581  1.03127384],[-0.48102203 -0.2426012 ]
7,-0.207079642159,[ 2.12171811  2.88510673],-0.26379,"[[  1.96695886   1.70235596   0.05598594  -0.04638261]
 [ 26.11498902  23.73918767   0.           0.        ]]","[-0.66692934  0.64943165  1.26132332  2.53146475  0.47968975 -0.4012314
 -0.73368634  2.85609513 -1.50434835  0.54993108  0.        ]",[ 2.0874238   0.84146392],[-0.48102203 -0.2426012 ]
8,-0.13503193727,[ 3.25456745  1.31491757],-0.209181,"[[  2.52386364   2.21211758   0.05598594  -0.04638261]
 [ 29.56425283  27.2253956    0.           0.        ]]","[-1.25920057 -0.00752882  0.75540357  1.90094558  0.47968914 -0.40123092
 -0.64277785  3.32873367 -1.10672935 -0.14441618  0.        ]",[ 2.13120317  0.72713798],[-0.48102203 -0.2426012 ]
9,-0.0531030502725,[ 2.03987283  2.22505084],-0.168844,"[[  3.14907065   2.79091761   0.05598594  -0.04638261]
 [ 32.94468238  30.64349627   0.           0.        ]]","[-1.51410889 -0.48700035 -0.10899859  0.38225701  0.47968853 -0.40123044
 -0.55368367  3.79211433 -0.50689258 -0.03285898  0.        ]",[ 2.14862275  0.68583328],[-0.48102203 -0.2426012 ]
