timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
0,-0.191340783665,[ 2.37984841  3.49114634],0.138511,"[[ 0.06644558 -0.0066673   0.12848236  0.18651459]
 [ 0.00208999  0.00461446  0.          0.        ]]","[ 1.26684286  2.44248074  0.00610308 -0.82675491  1.11540137  1.60462457
 -1.61432735 -0.3687564   0.48344305 -1.46835805  0.        ]",[ 2.49968004  3.3132987 ],[-0.52301365 -0.3180218 ]
1,-0.179418179001,[ 3.44895799  2.55620664],0.213212,"[[ 0.10616202  0.03313647  0.12848236  0.18651459]
 [ 3.95639437  3.96257645  0.          0.        ]]","[ 1.26210045  2.44169193  0.06395275 -0.67842971  1.11539992  1.60462126
 -1.5120072   0.15426605  0.47445494 -1.36787996  0.        ]",[ 2.45534611  3.1571126 ],[-0.52301365 -0.3180218 ]
2,-0.143018856589,[ 3.58684968  1.43989838],0.292964,"[[ 0.22418046  0.1513135   0.12848236  0.18651459]
 [ 7.8325709   7.84219776  0.          0.        ]]","[ 1.23524216  2.42559588  0.23406094 -0.24011416  1.11539848  1.60461795
 -1.41170911  0.66693604  0.41107753 -1.07643244  0.        ]",[ 2.37939024  2.93601394],[-0.52301365 -0.3180218 ]
3,-0.0814280968579,[ 2.1469827   2.23473806],0.502546,"[[  0.41895608   0.34631209   0.12848236   0.18651459]
 [ 11.6324433   11.64497225   0.           0.        ]]","[ 1.15012608  2.35468297  0.50381886  0.46314435  1.11539704  1.60461464
 -1.31338581  1.16945027  0.19467765 -0.64515736  0.        ]",[ 2.27789545  2.58039141],[-0.52301365 -0.3180218 ]
4,-0.028038078188,[ 1.97704941  2.37291875],0.747125,"[[  0.6889839    0.61660936   0.12848236   0.18651459]
 [ 15.35818527  15.37228783   0.           0.        ]]","[ 0.95400445  2.17012599  0.83856204  1.3532967   1.11539559  1.60461134
 -1.21698099  1.6619909  -0.28535791 -0.22547814  0.        ]",[ 2.20147991  2.0950532 ],[-0.52301365 -0.3180218 ]
5,-0.122363952643,[ 2.67436552  1.38549467],0.723377,"[[  1.03280605   0.96070917   0.12848236   0.18651459]
 [ 19.01231296  19.02543739   0.           0.        ]]","[ 0.5946692   1.81088571  1.16459163  2.25270349  1.11539415  1.60460803
 -1.12242948  2.14472709 -1.02704905 -0.09473534  0.        ]",[ 2.2691226   1.52960157],[-0.52301365 -0.3180218 ]
6,-0.227203357701,[ 2.96552867 -1.01554458],-0.0286732,"[[  1.4490159    1.377141     0.12848236   0.18651459]
 [ 22.5973351   22.60571604   0.           0.        ]]","[ 0.05329909  1.24816965  1.36029796  2.8553729   1.11539271  1.60460472
 -1.02966633  2.61782789 -1.75860334 -0.51404875  0.        ]",[ 2.5293982   1.09927607],[-0.52301365 -0.3180218 ]
7,-0.298640587879,[ 3.48657929  0.31570347],-0.840613,"[[  1.93625383   1.78500619   0.12848236   0.18651459]
 [ 26.11459157  18.19543464   0.           0.        ]]","[-0.60983083  0.64917608  1.27456747  2.83984399  1.11539126  1.60460142
 -0.93865681  2.03503121 -2.02099159 -1.31006871  0.        ]",[ 2.67126513  0.87952203],[-0.52301365 -0.3180218 ]
8,-0.319143359122,[ 2.38286326  1.00870957],-1.17536,"[[  2.49312782   2.15780894   0.12848236   0.18651459]
 [ 29.56141548  19.08188476   0.           0.        ]]","[-1.21864569  0.14442176  0.7920762   2.30112377  1.11538982  1.60459811
 -0.84946988  2.15216276 -1.71431388 -1.9654957   0.        ]",[ 2.77682018  0.71706319],[-0.52301365 -0.3180218 ]
9,-0.281015838932,[ 2.57448553  1.36471247],-0.89537,"[[  3.11825698   2.57535256   0.12848236   0.18651459]
 [ 32.94023494  22.66069001   0.           0.        ]]","[-1.4993681  -0.28453378 -0.056867    1.19744484  1.11538838  1.6045948
 -0.7620427   2.62506532 -1.13589979 -2.04040432  0.        ]",[ 2.83819246  0.57308191],[-0.52301365 -0.3180218 ]
10,-0.220041412006,[ 3.23287516  1.76006174],-0.495642,"[[  3.81028066   3.06377407   0.12848236   0.18651459]
 [ 36.25029948  21.26761753   0.           0.        ]]","[-1.20150257 -0.51088085 -0.99742616 -0.51217894  1.11538693  1.60459149
 -0.67639465  2.4409712  -0.97678619 -1.5789518   0.        ]",[ 2.8837781  0.4966478],[-0.52301365 -0.3180218 ]
11,-0.221576200705,[ 1.6794939   1.63695682],-0.604056,"[[  4.56779955   3.20379971   0.12848236   0.18651459]
 [ 39.49101038  -1.06280487   0.           0.        ]]","[-0.31445641 -0.5124956  -1.53783004 -1.03360052  1.11538549  1.60458819
 -0.5925412  -0.50982176 -1.12028111 -1.48784587  0.        ]",[ 2.81035709  1.15392852],[-0.52301365 -0.3180218 ]
12,-0.224217195469,[ 3.20791313  2.12979432],-0.806598,"[[  5.38949944   3.14302742   0.12848236   0.18651459]
 [ 42.66844677  -3.66260407   0.           0.        ]]","[ 0.75272706 -0.51535427 -1.23052448 -0.80725556  1.11538405  1.60458488
 -0.51032502 -0.8533645  -1.12130226 -1.51336563  0.        ]",[ 2.81130481  1.28420794],[-0.52301365 -0.3180218 ]
