timestep,rewards,obs,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,-0.339403,"[ 0.83925571  2.29733157 -0.32266592  0.39240999  1.46508537 -0.33514457
 -0.53265576  0.37154233  0.04858175  0.44016807  0.        ]",[ 0.2983048   0.73272977],-0.055403396493,[-0.34946394  0.13732088],[-0.78848821 -0.02235888],"[[ 0.03942785 -0.09266391  0.16848538 -0.03886289]
 [-0.00243585 -0.00082176  0.          0.        ]]"
1,-0.294662,"[ 0.83837186  2.30053076 -0.30251079  0.51009124  1.46508455 -0.33514451
 -0.48751298  0.75214811  0.0493344   0.49379479  0.        ]",[-1.32056338 -0.83658426],-0.0593991774717,[-0.68669909 -0.42060214],[-0.78848821 -0.02235888],"[[ 0.05120821 -0.063575    0.16848538 -0.03886289]
 [ 1.17654796  2.90004582  0.          0.        ]]"
2,-0.328415,"[ 0.83953789  2.30228463 -0.33053794  0.60818355  1.46508374 -0.33514444
 -0.63982253  0.31019966  0.04995592  0.48652416  0.        ]",[-0.56458441  0.57154253],-0.0589049525017,[-0.1716204   0.13484311],[-0.78848821 -0.02235888],"[[ 0.03482828 -0.03937031  0.16848538 -0.03886289]
 [-2.80129948 -0.46835531  0.          0.        ]]"
3,-0.321677,"[ 0.83900705  2.30290091 -0.46389903  0.66269713  1.46508293 -0.33514437
 -0.72325127  0.60845193  0.04761536  0.34577928  0.        ]",[-0.24119419  0.68980099],-0.0492127596445,[ 0.16593847  0.09584546],[-0.78848821 -0.02235888],"[[-0.04305929 -0.02592971  0.16848538 -0.03886289]
 [-4.98019891  1.80483685  0.          0.        ]]"
4,-0.272676,"[ 0.82163719  2.30239583 -0.64824509  0.91890222  1.46508211 -0.33514431
 -0.7560527   0.96216866  0.03559626  0.19722155  0.        ]",[ 0.14667941 -2.04837137],-0.0412303444779,[ 0.39809898 -0.15741479],[-0.78848821 -0.02235888],"[[-0.15125856  0.03721617  0.16848538 -0.03886289]
 [-5.83687352  4.50076394  0.          0.        ]]"
5,-0.305805,"[ 0.784467    2.29808355 -0.8321254   1.11892927  1.4650813  -0.33514424
 -0.72935486  0.43092627  0.01000069  0.03348881  0.        ]",[-0.02268837  1.58918065],-0.036954323579,[ 0.78253514  0.38337171],[-0.78848821 -0.02235888],"[[-0.26100019  0.08660679  0.16848538 -0.03886289]
 [-5.13961585  0.45179187  0.          0.        ]]"
6,-0.30061,"[ 0.73224429  2.29048093 -0.99941377  1.31521776  1.46508049 -0.33514418
 -0.72895754  0.94926502 -0.0247527  -0.11404489  0.        ]",[ 0.65318732  0.64340535],-0.038714506919,[ 0.96241879 -0.0018912 ],[-0.78848821 -0.02235888],"[[-0.36368848  0.13528057  0.16848538 -0.03886289]
 [-5.12924425  4.40241874  0.          0.        ]]"
7,-0.266676,"[ 0.68330471  2.26021112 -1.11864631  1.76405071  1.46507967 -0.33514411
 -0.62617098  1.27195069 -0.041611   -0.14219561  0.        ]",[ 0.78950082 -2.41776862],-0.038799553213,[ 0.75826478 -0.69763517],[-0.78848821 -0.02235888],"[[-0.43933958  0.24800503  0.16848538 -0.03886289]
 [-2.44478988  6.86183773  0.          0.        ]]"
8,-0.281982,"[ 0.67107387  2.22066324 -1.14497983  2.13705059  1.46507886 -0.33514404
 -0.50467241  0.73445411 -0.03699674 -0.07538141  0.        ]",[ 0.14649962 -0.42671575],-0.035254789824,[ 0.54269385 -0.69869161],[-0.78848821 -0.02235888],"[[-0.45639817  0.34413878  0.16848538 -0.03886289]
 [ 0.72836338  2.7651992   0.          0.        ]]"
9,-0.26262,"[  6.85540183e-01   2.20172913e+00  -1.11370390e+00   2.28043763e+00
   1.46507805e+00  -3.35143979e-01  -4.83007846e-01   5.05558139e-01
  -2.57542365e-02   2.10742438e-03   0.00000000e+00]",[ 0.24502488 -2.27298274],-0.0333276916637,[ 0.43491113 -0.72036922],[-0.78848821 -0.02235888],"[[-0.43615395  0.38193885  0.16848538 -0.03886289]
 [ 1.29417007  1.02062273  0.          0.        ]]"
10,-0.294691,"[ 0.70933402  2.21173935 -1.05836103  2.20663938  1.46507723 -0.33514391
 -0.44681658 -0.01665465 -0.01360951  0.04916553  0.        ]",[-0.21282697  0.98477002],-0.0337927378048,[ 0.37659967 -0.28174841],[-0.78848821 -0.02235888],"[[-0.40078703  0.36241715  0.16848538 -0.03886289]
 [ 2.23936802 -2.95952802  0.          0.        ]]"
11,-0.288214,"[ 0.73152489  2.22122557 -1.00136083  2.13246544  1.46507642 -0.33514385
 -0.48080682  0.50267855 -0.00244751  0.09770425  0.        ]",[ 0.84216269 -0.49027902],-0.0349121662291,[ 0.22143111 -0.74659085],[-0.78848821 -0.02235888],"[[-0.36490648  0.34294054  0.16848538 -0.03886289]
 [ 1.35164875  0.99867548  0.          0.        ]]"
12,-0.297773,"[ 0.76427019  2.22108811 -0.903999    2.13355186  1.46507561 -0.33514378
 -0.35423778  0.24521253  0.0129338   0.21443175  0.        ]",[ 0.81938595 -0.43523288],-0.039085201032,[-0.22237355 -0.80208242],[-0.78848821 -0.02235888],"[[-0.30470762  0.34322537  0.16848538 -0.03886289]
 [ 4.65722589 -0.96365309  0.          0.        ]]"
13,-0.291898,"[ 0.81380224  2.23747292 -0.6967215   1.99363609  1.46507479 -0.33514372
 -0.23362726  0.02144292  0.0304516   0.42058288  0.        ]",[-0.49644804 -0.95245319],-0.0523347394342,[-0.8567068  -0.88977063],[-0.78848821 -0.02235888],"[[-0.17995852  0.30684048  0.16848538 -0.03886289]
 [ 7.80718584 -2.6691577   0.          0.        ]]"
14,-0.305725,"[ 0.83885932  2.27052606 -0.46731046  1.63826324  1.46507398 -0.33514365
 -0.31468516 -0.46633891  0.03678244  0.59289601  0.        ]",[-1.03414152 -0.82129877],-0.0663573751772,[-0.91365033 -0.31337684],[-0.78848821 -0.02235888],"[[-0.04505508  0.21615608  0.16848538 -0.03886289]
 [ 5.69021156 -6.38688427  0.          0.        ]]"
15,-0.350968,"[ 0.83989301  2.30104902 -0.34232388  0.99938572  1.46507317 -0.33514358
 -0.47041794 -0.87622112  0.04695674  0.57312149  0.        ]",[-0.28929294  1.13677651],-0.0654874972499,[-0.38941139  0.63949609],[-0.78848821 -0.02235888],"[[ 0.02794116  0.05707426  0.16848538 -0.03886289]
 [ 1.62296802 -9.51088427  0.          0.        ]]"
16,-0.339119,"[ 0.83858567  2.29744013 -0.30700252  0.39701558  1.46507235 -0.33514352
 -0.51552744 -0.33194068  0.04869456  0.45951416  0.        ]",[-0.91945654  1.65129196],-0.0567976808677,[-0.19699031  0.71999133],[-0.78848821 -0.02235888],"[[ 0.04858009 -0.09152176  0.16848538 -0.03886289]
 [ 0.44484985 -5.36254444  0.          0.        ]]"
17,-0.357106,"[ 0.84017789  2.2857798  -0.35441515  0.12952644  1.46507154 -0.33514345
 -0.65519413  0.20168916  0.04201802  0.33577999  0.        ]",[ 0.78838802  2.01271833],-0.0480510648826,[ 0.21420568  0.72819114],[-0.78848821 -0.02235888],"[[ 0.0208791  -0.15796541  0.16848538 -0.03886289]
 [-3.20279952 -1.29538007  0.          0.        ]]"
18,-0.285579,"[ 0.84043346  2.28876012 -0.40946456  0.18595494  1.46507073 -0.33514339
 -0.53341028  0.72440878  0.0398209   0.2866923   0.        ]",[-1.12387684 -0.4101254 ],-0.0452189113388,[-0.18151873  0.12712026],[-0.78848821 -0.02235888],"[[-0.01126505 -0.14390016  0.16848538 -0.03886289]
 [-0.02220039  2.68863043  0.          0.        ]]"
19,-0.327765,"[ 0.83835257  2.29527825 -0.47814509  0.33475702  1.46506991 -0.33514332
 -0.68483781  0.50455901  0.03838883  0.24557761  0.        ]",[ 0.76486252  0.68706492],-0.0432332597624,[ 0.3025865   0.47548532],[-0.78848821 -0.02235888],"[[-0.05138878 -0.10693963  0.16848538 -0.03886289]
 [-3.9770044   1.01300375  0.          0.        ]]"
20,-0.287958,"[ 0.83230076  2.30082885 -0.56079966  0.52619263  1.4650691  -0.33514326
 -0.56601257  0.85871106  0.035308    0.19874363  0.        ]",[ 0.55975647 -1.36297469],-0.0412400316486,[-0.02110227 -0.0472073 ],[-0.78848821 -0.02235888],"[[-0.09979226 -0.05959722  0.16848538 -0.03886289]
 [-0.8736755   3.71224374  0.          0.        ]]"
