timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 1.05185237  1.74127223 -0.14332279  0.39170447 -1.68198519  0.64152275
 -0.04792732  0.32509011  2.4891534  -0.71698526  0.        ]",-1.19401,[-0.10346414 -1.19488832],-0.416283122506,[ 0.18372254 -1.65952015],[-0.04938787 -0.19909383],"[[-0.09133957 -0.08517599 -0.19571855  0.07356643]
 [ 0.0044901  -0.00123895  0.          0.        ]]"
1,"[ 1.0513263   1.73602059 -0.14944396  0.29047576 -1.68195989  0.64151919
 -0.0853314  -0.23150612  2.48235901 -0.75639706  0.        ]",-1.10105,[-0.93405994 -2.78368053],-0.416613470727,[ 0.18404022 -1.6467638 ],[-0.04938787 -0.19909383],"[[-0.09534181 -0.12492677 -0.19571855  0.07356643]
 [-0.4033641  -3.96064398  0.          0.        ]]"
2,"[ 1.04397166  1.70891717 -0.21816045 -0.00678218 -1.68193459  0.64151563
 -0.4233417  -0.77690326  2.44230593 -0.9227849   0.        ]",-1.12778,[-2.42383641 -1.66339757],-0.417102677275,[ 0.19152272 -1.63132644],[-0.04938787 -0.19909383],"[[-0.14038787 -0.24306643 -0.19571855  0.07356643]
 [-4.08900373 -7.84039679  0.          0.        ]]"
3,"[ 1.01062361  1.6274018  -0.3996771  -0.47663556 -1.6819093   0.64151208
 -0.77862383 -1.31148169  2.30429333 -1.2422059   0.        ]",-1.11581,[-1.05008331 -2.54606431],-0.413194342451,[ 0.20884024 -1.59208167],[-0.04938787 -0.19909383],"[[ -0.26103574  -0.43802965  -0.19571855   0.07356643]
 [ -7.96299261 -11.64324894   0.           0.        ]]"
4,"[ 0.91441481  1.44423917 -0.68301987 -1.05636347 -1.68188401  0.64150852
 -1.12696852 -1.83544802  1.97749394 -1.61828288  0.        ]",-1.15936,[ 2.281629   -2.25788488],-0.39490754796,[ 0.23286155 -1.49808335],[-0.04938787 -0.19909383],"[[ -0.45840354  -0.70829404  -0.19571855   0.07356643]
 [-11.76138695 -15.3707463    0.           0.        ]]"
5,"[ 0.77342648  1.11335377 -0.93488716 -1.61479503 -1.68185872  0.64150496
 -0.74285834 -2.34936772  1.51322877 -1.80540941  0.        ]",-1.02935,[-0.33819244 -1.38813464],-0.356493794252,[ 0.24167991 -1.33602285],[-0.04938787 -0.19909383],"[[ -0.65160873  -1.05239365  -0.19571855   0.07356643]
 [ -7.57316691 -19.02701412   0.           0.        ]]"
6,"[ 0.62189677  0.619819   -1.12118378 -1.93793511 -1.68183342  0.64150141
 -0.85205689 -2.85284295  1.04732772 -1.69978911  0.        ]",-0.96517,[ 1.59817838 -1.26017151],-0.299474797336,[ 0.22985558 -1.160532  ],[-0.04938787 -0.19909383],"[[ -0.81501578  -1.46887668  -0.19571855   0.07356643]
 [ -8.76390949 -22.60934786   0.           0.        ]]"
7,"[ 0.47867531  0.02097001 -1.25179686 -1.76325036 -1.68180813  0.64149785
 -0.47348478 -3.34640978  0.73812341 -1.32266908  0.        ]",-0.838654,[ 1.37576658 -0.43939247],-0.232891571584,[ 0.20020454 -0.99539697],[-0.04938787 -0.19909383],"[[ -0.94887913  -1.9563046   -0.19571855   0.07356643]
 [ -4.63606268 -26.12170614   0.           0.        ]]"
8,"[ 0.4188556  -0.50508782 -1.29671165 -0.94134056 -1.68178285  0.64149429
 -0.1022812  -3.51810457  0.73342694 -0.85562564  0.        ]",-0.618178,[-0.48512243 -1.38731843],-0.189259911697,[ 0.16530871 -0.92373425],[-0.04938787 -0.19909383],"[[ -1.00099431  -2.49100791  -0.19571855   0.07356643]
 [ -0.58855287 -27.34450107   0.           0.        ]]"
9,"[ 0.38236669 -0.75810335 -1.32171799  0.43203833 -1.68175756  0.64149074
 -0.2774712  -3.19784188  0.99154717 -0.46350381  0.        ]",-0.649057,[-0.38742809 -2.07102385],-0.196719919444,[ 0.14523003 -0.9622978 ],[-0.04938787 -0.19909383],"[[ -1.0319363   -3.07219446  -0.19571855   0.07356643]
 [ -2.49878773 -25.06697329   0.           0.        ]]"
10,"[ 0.30371862 -0.75531544 -1.37002334  0.85568001 -1.68173227  0.64148718
 -0.41350657  0.49560866  1.11306106 -0.39187653  0.        ]",-0.701843,[ 0.61443845 -1.68741125],-0.210658375413,[ 0.15519673 -1.05666983],[-0.04938787 -0.19909383],"[[-1.09679138 -3.23783372 -0.19571855  0.07356643]
 [-3.98209423  1.21130453  0.          0.        ]]"
11,"[ 0.23563106 -0.76070821 -1.40613861  0.67452404 -1.68170699  0.64148362
 -0.18315034  0.92781986  1.06180673 -0.41797932  0.        ]",-0.772235,[ 2.02804276 -0.50658041],-0.204490965592,[ 0.15496953 -1.04368186],[-0.04938787 -0.19909383],"[[-1.15123173 -3.1669478  -0.19571855  0.07356643]
 [-1.47038055  4.28645142  0.          0.        ]]"
12,"[ 0.24903601 -0.75955272 -1.39940424  0.48213487 -1.6816817   0.64148007
  0.18263223  0.75099973  1.00852499 -0.44607347  0.        ]",-0.672209,[-0.51730224 -0.58617603],-0.198280926513,[ 0.1527133  -1.01954389],[-0.04938787 -0.19909383],"[[-1.14062278 -3.09179736 -0.19571855  0.07356643]
 [ 2.51797433  3.02844411  0.          0.        ]]"
13,"[ 0.28572809 -0.75536482 -1.38001434  0.36486832 -1.68165642  0.64147651
 -0.00978823  0.55636623  0.97719428 -0.46809229  0.        ]",-0.645398,[-0.15727639 -1.44283893],-0.194969297759,[ 0.15473567 -1.01537395],[-0.04938787 -0.19909383],"[[-1.11131394 -3.04588    -0.19571855  0.07356643]
 [ 0.41990624  1.64368807  0.          0.        ]]"
