timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 0.88856999  2.45891397 -0.25914725  1.02963814 -0.2471859   1.17134299
 -0.48386798  0.37820548  1.56838855 -1.12993102  0.        ]",-0.941083,[ 2.48163739 -2.22616133],-0.275140478616,[ 1.85494542 -2.66519356],[-0.38043115 -0.16729741],"[[ -4.31989885e-02   5.93050371e-02  -2.80974358e-02   1.35522226e-01]
 [ -1.50133389e-03   6.58159383e-05   0.00000000e+00   0.00000000e+00]]"
1,"[ 0.88995208  2.46122584 -0.19435649  0.87593779 -0.24718573  1.1713412
 -0.26322028 -0.14931469  1.56907975 -1.09469975  0.        ]",-0.905932,[ 2.73430805 -2.75027559],-0.273256887814,[ 1.73899448 -2.64695621],[-0.38043115 -0.16729741],"[[ -3.52276461e-03   1.95630597e-02  -2.80974358e-02   1.35522226e-01]
 [  3.95594133e+00  -3.96105754e+00   0.00000000e+00   0.00000000e+00]]"
2,"[  8.80184771e-01   2.45429446e+00  -1.94327443e-03   4.19132426e-01
  -2.47185560e-01   1.17133941e+00  -4.69381309e-02  -6.66385744e-01
   1.56418007e+00  -9.89974071e-01   0.00000000e+00]",-0.831289,[ 2.3220312  -3.90448428],-0.267098163696,[ 1.57453609 -2.62962842],[-0.38043115 -0.16729741],"[[ 0.11451667 -0.09861422 -0.02809744  0.13552223]
 [ 7.83508575 -7.8437205   0.          0.        ]]"
3,"[ 0.81910492  2.39800618  0.30874186 -0.32022861 -0.24718539  1.17133762
  0.16506954 -1.17320267  1.53354026 -0.82086003  0.        ]",-0.805889,[ 0.27994411 -2.10917448],-0.255201136275,[ 1.37396252 -2.58286309],[-0.38043115 -0.16729741],"[[  0.30936954  -0.29367253  -0.02809744   0.13552223]
 [ 11.6375649  -11.64939324   0.           0.        ]]"
4,"[ 0.66912122  2.23177283  0.66653427 -1.26918673 -0.24718522  1.17133583
  0.21407273 -1.66980849  1.45832394 -0.65408557  0.        ]",-0.703405,[ 0.3640928  -2.96560102],-0.23878692776,[ 1.16612375 -2.50750256],[-0.38043115 -0.16729741],"[[  0.55093895  -0.56407521  -0.02809744   0.13552223]
 [ 12.51646685 -15.37840939   0.           0.        ]]"
5,"[ 0.42301817  1.89071662  0.99820519 -2.25169493 -0.24718505  1.17133404
  0.28067383 -2.15655619  1.33121417 -0.55342325  0.        ]",-0.691699,[-0.52263058 -0.46203672],-0.21895267141,[ 0.83841884 -2.38517857],[-0.38043115 -0.16729741],"[[  0.81325318  -0.90831604  -0.02809744   0.13552223]
 [ 13.71099712 -19.03343397   0.           0.        ]]"
6,"[ 0.12187881  1.37027013  1.2396135  -2.93304095 -0.24718488  1.17133225
  0.15029366 -2.34983819  1.16033753 -0.5612273   0.        ]",-0.556477,[-0.48229594 -1.59846083],-0.197922693426,[ 0.51688027 -2.2687695 ],[-0.38043115 -0.16729741],"[[  1.06401228  -1.30354683  -0.02809744   0.13552223]
 [ 11.37256136 -20.48485691   0.           0.        ]]"
7,"[-0.16041995  0.71601783  1.37161637 -3.00920269 -0.24718472  1.17133046
  0.03135378 -2.82301246  0.94961025 -0.70813815  0.        ]",-0.494129,[ 1.24746451 -1.84626731],-0.179882656053,[ 0.15927528 -2.15003633],[-0.38043115 -0.16729741],"[[  1.27006254  -1.74889357  -0.02809744   0.13552223]
 [  9.23931297 -24.03804146   0.           0.        ]]"
8,"[-0.48612614  0.03051345  1.43995218 -2.17558258 -0.24718455  1.17132868
  0.24185046 -3.28689738  0.64544085 -0.902748    0.        ]",-0.392702,[ 0.47481363 -1.87098148],-0.160714499621,[-0.09529063 -1.97401714],[-0.38043115 -0.16729741],"[[  1.49272685  -2.26460661  -0.02809744   0.13552223]
 [ 13.01468109 -27.52155306   0.           0.        ]]"
9,"[-0.89683894 -0.4411739   1.41284853 -0.31511817 -0.24718438  1.17132689
  0.33228711 -3.74154587  0.23739213 -1.09815513  0.        ]",-0.317842,[-0.2469485  -2.92247164],-0.147368608837,[-0.20252824 -1.79600704],[-0.38043115 -0.16729741],"[[  1.76929472e+00  -2.84929376e+00  -2.80974358e-02   1.35522226e-01]
 [  1.46367116e+01  -3.09358134e+01   0.00000000e+00   0.00000000e+00]]"
