timestep,rewards,obs,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,-0.453342,"[ 0.85505764  2.59567493 -0.2087168   1.06018082  0.77184914  0.82853097
 -0.52105455  0.37871063  0.70052609 -0.56862508  0.        ]",[ 1.587565   -0.44937856],-0.140159682724,[ 2.02150345 -1.16039515],[-0.51883334 -0.05956528],"[[ 0.08149027  0.05326584  0.08848598  0.09503161]
 [ 0.00381997 -0.00312495  0.          0.        ]]"
1,-0.421072,"[ 0.8485922   2.59688803 -0.14226206  0.98497857  0.77184878  0.82853057
 -0.34747145  0.14645069  0.69477318 -0.51044473  0.        ]",[ 1.79267719 -1.11317638],-0.136351596642,[ 1.87535441 -1.32835746],[-0.51883334 -0.05956528],"[[ 0.12126337  0.03533569  0.08848598  0.09503161]
 [ 3.96031321 -1.78395128  0.          0.        ]]"
2,-0.381837,"[ 0.81458143  2.5966289   0.05280963  0.66989497  0.77184842  0.82853016
 -0.17728526 -0.36555854  0.67212353 -0.36087306  0.        ]",[ 1.95896225 -1.32063205],-0.12656145182,[ 1.56934428 -1.63352668],[-0.51883334 -0.05956528],"[[ 0.23938949 -0.03973197  0.08848598  0.09503161]
 [ 7.83938064 -5.70972374  0.          0.        ]]"
3,-0.266722,"[ 0.71125138  2.5694691   0.36133257  0.03332141  0.77184806  0.82852975
 -0.01046427 -0.86741983  0.61507051 -0.15051573  0.        ]",[ 0.98218638 -3.54585997],-0.112231414894,[ 0.90229172 -2.06306481],[-0.51883334 -0.05956528],"[[  0.43432722  -0.19253459   0.08848598   0.09503161]
 [ 11.64174481  -9.55768946   0.           0.        ]]"
4,-0.19504,"[ 0.47866781  2.46345026  0.74152033 -0.88111266  0.7718477   0.82852934
  0.14997377 -1.35930807  0.49529749  0.09706516  0.        ]",[ 0.26566987 -3.49367083],-0.0933962686441,[-0.1484555  -2.69630885],[-0.51883334 -0.05956528],"[[  0.7038521   -0.42152975   0.08848598   0.09503161]
 [ 15.29862188 -13.32919306   0.           0.        ]]"
5,-0.122804,"[ 0.09841152  2.21154433  1.08341509 -1.94799529  0.77184734  0.82852893
  0.18289101 -1.84126793  0.31158202  0.29368284  0.        ]",[-0.85238028 -3.55667174],-0.0727344978433,[-0.84045392 -3.16836309],[-0.51883334 -0.05956528],"[[  1.01735201  -0.72519126   0.08848598   0.09503161]
 [ 16.04890817 -17.02458227   0.           0.        ]]"
6,-0.0468693,"[-0.31825141  1.75627037  1.27353085 -2.90872559  0.77184698  0.82852852
  0.02107483 -2.31348907  0.13187152  0.30672511  0.        ]",[-1.43250911 -5.20152573],-0.0514546204839,[-1.14694464 -3.49897933],[-0.51883334 -0.05956528],"[[  1.3013264   -1.10201025   0.08848598   0.09503161]
 [ 12.36062206 -20.64531835   0.           0.        ]]"
7,-0.0617534,"[-0.64249036  1.09380446  1.33065996 -3.36077583  0.77184662  0.82852812
 -0.16324205 -2.77641213 -0.00690293  0.09323651  0.        ]",[-2.23306838 -3.46484046],-0.0278415333857,[-1.1309005  -3.62152362],[-0.51883334 -0.05956528],"[[  1.50639132  -1.5505284    0.08848598   0.09503161]
 [  8.15947641 -24.19478826   0.           0.        ]]"
8,-0.0923923,"[-0.83809231  0.32867776  1.33137052 -2.85061674  0.77184626  0.82852771
 -0.34402174 -3.23025929 -0.18002051 -0.29333535  0.        ]",[-0.07514291 -4.32265728],-0.0424807771047,[-0.64677924 -3.40947127],[-0.51883334 -0.05956528],"[[  1.62824262  -2.06933816   0.08848598   0.09503161]
 [  4.03895363 -27.674705     0.           0.        ]]"
9,-0.163786,"[-0.9611324  -0.29573356  1.31898899 -1.11887329  0.7718459   0.8285273
 -0.36066041 -3.67519468 -0.51181138 -0.69188439  0.        ]",[ 0.13194319 -4.28274353],-0.0936152152189,[-0.09109379 -2.82984209],[-0.51883334 -0.05956528],"[[  1.70521625  -2.65706217   0.08848598   0.09503161]
 [  3.65970505 -31.08633759   0.           0.        ]]"
10,-0.279302,"[-1.08404277 -0.46824895  1.29649329  1.14654041  0.77184554  0.82852689
 -0.34090556 -1.1600047  -0.86328232 -0.86398024  0.        ]",[ 0.33897454 -1.94702915],-0.133849633335,[-0.12915277 -2.11505151],[-0.51883334 -0.05956528],"[[  1.78291915  -3.21547122   0.08848598   0.09503161]
 [  4.10997555 -11.80121773   0.           0.        ]]"
