timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 0.85367073  2.60345776 -0.52267245  0.53344096 -0.74378514 -1.17489519
 -0.52963852  0.37959096  2.04420135  1.09669972  0.        ]",-0.871286,[-1.5698021 -4.6006674],-0.313438390286,[-1.60212636 -5.22110605],[-0.59686995 -0.04216611],"[[-0.09436696 -0.07290147 -0.08635788 -0.135372  ]
 [ 0.00148442 -0.00393235  0.          0.        ]]"
1,"[ 0.84633664  2.59778045 -0.58894773  0.3651848  -0.74378486 -1.17489451
 -0.69338487 -0.13594644  2.02692131  0.98103511  0.        ]",-0.880603,[ 0.77147701 -4.46549105],-0.307237832024,[-1.27333128 -5.03360701],[-0.59686995 -0.04216611],"[[-0.13401273 -0.11269175 -0.08635788 -0.135372  ]
 [-3.95290557 -3.96190917  0.          0.        ]]"
2,"[ 0.83418054  2.56670874 -0.66810777 -0.12911126 -0.74378458 -1.17489384
 -0.5637121  -0.64163326  1.97577945  0.77764607  0.        ]",-0.797913,[-1.9615845 -4.7202382],-0.294720175594,[-1.05812049 -4.82009077],[-0.59686995 -0.04216611],"[[-0.18165125 -0.23088288 -0.08635788 -0.135372  ]
 [-0.82138453 -7.84425979  0.          0.        ]]"
3,"[ 0.81528216  2.47007256 -0.76017344 -0.91195862 -0.74378431 -1.17489317
 -0.72680106 -1.13695684  1.85829183  0.50789841  0.        ]",-0.831661,[ 0.22959428 -2.88614626],-0.27378626308,[-0.35165063 -4.21965837],[-0.59686995 -0.04216611],"[[ -0.23759429  -0.42592265  -0.08635788  -0.135372  ]
 [ -4.75989816 -11.64705055   0.           0.        ]]"
4,"[ 0.77707426  2.2494014  -0.8978037  -1.88118369 -0.74378403 -1.17489249
 -0.68526382 -1.62270917  1.61709051  0.19183529  0.        ]",-0.686473,[ 0.18984904 -3.7115766 ],-0.239067903993,[ 0.08914908 -3.66510105],[-0.59686995 -0.04216611],"[[ -0.32272686  -0.69628116  -0.08635788  -0.135372  ]
 [ -3.7568032  -15.37636547   0.           0.        ]]"
5,"[ 0.73923469  1.84717495 -1.003224   -2.82098265 -0.74378375 -1.17489182
 -0.6510917  -2.09883077  1.27425657 -0.00741274  0.        ]",-0.576176,[ 0.16171288 -2.63667369],-0.19463639048,[ 0.39082915 -3.36392546],[-0.59686995 -0.04216611],"[[ -0.38958156  -1.04048425  -0.08635788  -0.135372  ]
 [ -2.93157113 -19.03175323   0.           0.        ]]"
6,"[ 0.7054026   1.24356955 -1.08272339 -3.37688048 -0.74378347 -1.17489114
 -0.62224802 -2.56551329  0.86731972 -0.00709819  0.        ]",-0.318244,[ 0.29915327 -4.439191  ],-0.141863959087,[ 0.70621079 -3.12856674],[-0.59686995 -0.04216611],"[[ -0.44122244  -1.45706819  -0.08635788  -0.135372  ]
 [ -2.23501767 -22.61469152   0.           0.        ]]"
7,"[ 0.68217137  0.50715327 -1.1316371  -3.11102648 -0.74378319 -1.17489047
 -0.57148631 -3.02295633  0.49419893  0.25638913  0.        ]",-0.198926,[ 0.39796793 -3.48755622],-0.0944303048321,[ 0.8426398 -2.9842205],[-0.59686995 -0.04216611],"[[ -0.47362256  -1.94459955  -0.08635788  -0.135372  ]
 [ -1.00915579 -26.12672017   0.           0.        ]]"
8,"[ 0.679046   -0.16517178 -1.13792357 -1.69328336 -0.74378291 -1.1748898
 -0.50552823 -3.47132549  0.29189238  0.76309971  0.        ]",-0.315066,[ 1.37413511 -2.94779582],-0.0978099970064,[ 1.11127687 -2.98706055],[-0.59686995 -0.04216611],"[[ -0.47782543  -2.50167292  -0.08635788  -0.135372  ]
 [  0.58369015 -29.56911889   0.           0.        ]]"
9,"[ 0.71540966 -0.46941847 -1.06033507  0.78042642 -0.74378264 -1.17488912
 -0.34210092 -3.09233024  0.36879553  1.37836289  0.        ]",-0.606507,[ 0.57585463 -3.51862436],-0.157860623562,[ 0.97563267 -3.54097891],[-0.59686995 -0.04216611],"[[ -0.4265602   -3.12690858  -0.08635788  -0.135372  ]
 [  4.5303629  -26.65946872   0.           0.        ]]"
10,"[ 0.78152755 -0.45273791 -0.88379005  1.46956136 -0.74378236 -1.17488845
 -0.25135065  0.66814864  0.42309293  1.53380811  0.        ]",-0.556175,[-0.74729558 -3.01792736],-0.175965017571,[-0.03401159 -4.06478977],[-0.59686995 -0.04216611],"[[-0.31396048 -3.28971065 -0.08635788 -0.135372  ]
 [ 6.72192734  2.21141639  0.          0.        ]]"
11,"[ 0.82503941 -0.46715971 -0.71578462  1.08111683 -0.74378208 -1.17488778
 -0.37937324  1.06243395  0.38054018  1.43151625  0.        ]",-0.419835,[-0.80064792 -4.181249  ],-0.16362384898,[ 0.04173732 -3.92192316],[-0.59686995 -0.04216611],"[[-0.21054088 -3.19773803 -0.08635788 -0.135372  ]
 [ 3.63025484  5.23852541  0.          0.        ]]"
12,"[ 0.83735928 -0.46871426 -0.64956776  0.70000707 -0.7437818  -1.1748871
 -0.51361859  0.84353064  0.36376726  1.33592578  0.        ]",-0.400677,[ 0.15956934 -4.12260828],-0.153548079205,[ 0.31084704 -3.68369293],[-0.59686995 -0.04216611],"[[-0.1704632  -3.10796803 -0.08635788 -0.135372  ]
 [ 0.38830568  3.55790934  0.          0.        ]]"
