timestep,logstd_action_dist,avg_action_dist,obs,original_rewards,rewards,actions,human_obs
0,[-0.82301003 -0.64448714],[-4.37043905 -2.80089283],"[ 1.02427321  1.12848025 -0.2067354   1.33808365 -0.4964836  -1.33772398
  0.03522016  0.26777295  2.21804562  2.51661635  0.        ]",-0.316075146853,-4.2112,[-4.00073769 -3.24628643],"[[ 0.03718322  0.06262028 -0.05746783 -0.15471502]
 [ 0.00465294  0.00261711  0.          0.        ]]"
1,[-0.82301003 -0.64448714],[-3.66657066 -2.42112327],"[ 1.02524697  1.13062281 -0.2695555   1.2364173  -0.49648344 -1.33772301
 -0.41442443 -0.40750042  2.22469311  2.32364753  0.        ]",-0.309990961761,-4.1658,[-3.37346201 -2.48051612],"[[ -2.39972014e-03   2.29596873e-02  -5.74678258e-02  -1.54715023e-01]
 [ -3.94978399e+00  -3.95549031e+00   0.00000000e+00   0.00000000e+00]]"
2,[-0.82301003 -0.64448714],[-2.63021922 -1.75794005],"[ 1.01502274  1.12524923 -0.45622897  0.93391822 -0.49648327 -1.33772204
 -0.85518107 -1.06940829  2.18835412  1.75121732  0.        ]",-0.289855250474,-3.90866,[-2.40142942 -1.41312709],"[[-0.120287   -0.09507708 -0.05746783 -0.15471502]
 [-7.82605669 -7.83525794  0.          0.        ]]"
3,[-0.82301003 -0.64448714],[-0.4252111   0.25087827],"[ 0.95563375  1.07822354 -0.75744563  0.44393466 -0.49648311 -1.33772107
 -1.2872535  -1.7182052   1.95087765  0.86621748  0.        ]",-0.250620468629,-3.43346,[-0.07911087 -0.03993787],"[[ -0.31493277  -0.28993837  -0.05746783  -0.15471502]
 [-11.62595953 -11.63818289   0.           0.        ]]"
4,[-0.82301003 -0.64448714],[ 0.83736175  1.34016347],"[ 0.81776641  0.96271981 -1.09314313 -0.10183213 -0.49648295 -1.33772009
 -1.29677215 -1.70582805  1.4187379   0.02568221  0.        ]",-0.195692155442,-2.74889,[ 0.44158683  0.68713909],"[[ -0.54829133  -0.52197444  -0.05746783  -0.15471502]
 [-11.70967999 -11.56564455   0.           0.        ]]"
5,[-0.82301003 -0.64448714],[ 2.11591673  1.85751665],"[ 0.63317652  0.81430876 -1.36238225 -0.52152646 -0.49648279 -1.33771912
 -1.0719949  -1.20265021  0.78434382 -0.4328833   0.        ]",-0.141096391838,-2.29792,[ 1.45864939  1.78450476],"[[-0.76265158 -0.72369542 -0.05746783 -0.15471502]
 [-9.7328634  -8.61627576  0.          0.        ]]"
6,[-0.82301003 -0.64448714],[ 1.66396832  1.1622318 ],"[ 0.47213729  0.69701972 -1.52453113 -0.75796271 -0.49648263 -1.33771815
 -0.60043748 -0.49821917  0.30807541 -0.56138534  0.        ]",-0.101877095176,-1.96253,[ 1.75073355  0.85238157],"[[-0.91570051 -0.85459305 -0.05746783 -0.15471502]
 [-5.5857148  -4.48725879  0.          0.        ]]"
7,[-0.82301003 -0.64448714],[ 0.61402136 -0.10065116],"[ 0.39043106  0.64337624 -1.58989532 -0.84764516 -0.49648247 -1.33771717
 -0.13812508  0.09253689  0.09336564 -0.56940548  0.        ]",-0.0841559488525,-1.8205,[ 0.13866273 -0.1151893 ],"[[-0.98662156 -0.90959564 -0.05746783 -0.15471502]
 [-1.51987144 -1.02454657  0.          0.        ]]"
8,[-0.82301003 -0.64448714],[ 0.63154966  0.18320449],"[ 0.36116363  0.61834507 -1.61101908 -0.88619335 -0.49648231 -1.3377162
 -0.07231067  0.01815516  0.01290462 -0.56124679  0.        ]",-0.0773804004592,-1.82,[ 0.99270662  0.05353482],"[[-1.01121161 -0.93446099 -0.05746783 -0.15471502]
 [-0.9410616  -1.46053439  0.          0.        ]]"
9,[-0.82301003 -0.64448714],[-0.68922061 -0.60276097],"[ 0.38591813  0.59084132 -1.59322449 -0.92631964 -0.49648214 -1.33771523
  0.37640713  0.05905357  0.02557157 -0.54041613  0.        ]",-0.0778530427566,-1.77684,[-1.15714752 -0.20181232],"[[-0.99043871 -0.96126655 -0.05746783 -0.15471502]
 [ 3.00522222 -1.22080869  0.          0.        ]]"
