timestep,logstd_action_dist,avg_action_dist,obs,original_rewards,rewards,actions,human_obs
0,[-0.7688843  -0.61732364],[-1.79133618 -3.1639533 ],"[ 1.02731073  1.14016844 -0.28391383  1.02554259  0.63382963 -0.49162465
  0.03974722  0.26950345  0.75482559  0.67429957  0.        ]",-0.145621349058,-2.22509,[-1.40503495 -4.04810535],"[[-0.00805544 -0.05638299  0.0728067  -0.05735656]
 [-0.00499638  0.00271754  0.          0.        ]]"
1,[-0.7688843  -0.61732364],[ 0.14871961 -1.64048815],"[ 1.02574031  1.13637285 -0.34713076  0.92389775  0.63382939 -0.49162448
 -0.401265   -0.40016586  0.74352546  0.48466152  0.        ]",-0.140838380649,-2.27508,[ 0.1664     -2.20950915],"[[-0.0478295  -0.09604159  0.0728067  -0.05735656]
 [-3.95925368 -3.95539024  0.          0.        ]]"
2,[-0.7688843  -0.61732364],[ 1.74637246 -0.28196752],"[ 1.01726147  1.11346936 -0.46084614  0.62424482  0.63382914 -0.49162431
 -0.3189552  -1.05688294  0.68216313  0.07396077  0.        ]",-0.130749175936,-2.22866,[ 1.49670423 -0.6119595 ],"[[-0.11960965 -0.21409433  0.0728067  -0.05735656]
 [-3.22123879 -7.83694532  0.          0.        ]]"
3,[-0.7688843  -0.61732364],[ 1.17727757  0.11213288],"[ 1.01279383  1.0460559  -0.49881491  0.18452443  0.6338289  -0.49162414
  0.12943426 -1.44085149  0.57402384 -0.26553524  0.        ]",-0.12138935911,-2.15278,[ 0.52383131  0.02938968],"[[ -0.14369656  -0.39360366   0.0728067   -0.05735656]
 [  0.79916245 -10.10641335   0.           0.        ]]"
4,[-0.7688843  -0.61732364],[ 0.54013795  0.43082216],"[ 1.01926207  0.92788392 -0.44105371 -0.26525864  0.63382866 -0.49162398
  0.35876744 -1.38743368  0.46437614 -0.42884702  0.        ]",-0.113382901133,-2.09497,[ 1.14277064 -0.02783849],"[[-0.10708234 -0.59256432  0.0728067  -0.05735656]
 [ 2.85543636 -9.79069181  0.          0.        ]]"
5,[-0.7688843  -0.61732364],[-1.3107754   0.27582487],"[ 1.0272706   0.77212266 -0.28835156 -0.65120639  0.63382841 -0.49162381
  0.79370195 -1.37349851  0.38864416 -0.40413154  0.        ]",-0.106360933908,-2.02292,[-1.59403387  0.0669408 ],"[[-0.01084686 -0.78755225  0.0728067  -0.05735656]
 [ 6.75519713 -9.70833387  0.          0.        ]]"
6,[-0.7688843  -0.61732364],[ 0.44873962  1.56516552],"[ 1.02246392  0.58841126 -0.13892781 -0.96034776  0.63382817 -0.49162364
  0.3375179  -1.29590713  0.29768476 -0.36755002  0.        ]",-0.0978319102045,-1.94864,[ 0.10269233  1.63238869],"[[ 0.08321883 -0.97711717  0.0728067  -0.05735656]
 [ 2.66491092 -9.24973228  0.          0.        ]]"
7,[-0.7688843  -0.61732364],[ 0.09611097  0.65940225],"[ 1.01351953  0.43227889 -0.04912965 -1.14401926  0.63382793 -0.49162347
  0.37682165 -0.5950162   0.20550395 -0.36747024  0.        ]",-0.0897135552974,-1.78263,[ 0.01772487  0.76929255],"[[ 0.14005238 -1.12054734  0.0728067  -0.05735656]
 [ 3.01732139 -5.10708671  0.          0.        ]]"
8,[-0.7688843  -0.61732364],[-0.38620067 -0.19871271],"[ 0.99905107  0.35113332  0.04557868 -1.21713418  0.63382768 -0.49162331
  0.37789907 -0.06253981  0.1838553  -0.28744758  0.        ]",-0.086747615912,-1.65573,[-0.68732883 -0.02147333],"[[ 0.20049562 -1.19111194  0.0728067  -0.05735656]
 [ 3.02698294 -1.9598621   0.          0.        ]]"
9,[-0.7688843  -0.61732364],[ 0.65196162  0.31175229],"[ 0.98912742  0.3044895   0.09628024 -1.25302638  0.63382744 -0.49162314
  0.06789179 -0.0702418   0.16892395 -0.24593211  0.        ]",-0.0849874225916,-1.5849,[ 0.63432646  1.31670674],"[[ 0.23314666 -1.23076581  0.0728067  -0.05735656]
 [ 0.24736399 -2.00538513  0.          0.        ]]"
