timestep,logstd_action_dist,avg_action_dist,obs,original_rewards,rewards,actions,human_obs
16,[-0.70324886 -0.55928731],[-1.22566378 -1.43499339],"[ 0.71350166  1.13674272  0.74353949  1.79638567  1.63064688  1.13583374
  0.24544975  0.82376133 -1.24331689  0.26285189  0.        ]",-0.0521465371463,-2.08603,[-1.45606598 -0.91064106],"[[ 0.69731114  0.25140172  0.18799116  0.13151088]
 [ 1.8358727   3.3149526   0.          0.        ]]"
17,[-0.70324886 -0.55928731],[ 0.58097279 -0.37430716],"[ 0.71649159  1.12712337  0.73948082  1.86998842  1.63064498  1.13583291
 -0.16724869  0.21621838 -1.26648408  0.28267671  0.        ]",-0.054687242756,-2.06856,[ 0.34950551  0.25728523],"[[ 0.69398727  0.28087975  0.18799116  0.13151088]
 [-2.15498284 -0.35492506  0.          0.        ]]"
18,[-0.70324886 -0.55928731],[ 0.11345051 -0.71157873],"[ 0.74190132  1.12602013  0.70384654  1.87790956  1.63064308  1.13583208
 -0.0199023   0.3859431  -1.22203776  0.22786519  0.        ]",-0.0493336780675,-2.05892,[-0.19916661 -0.42104455],"[[ 0.66518366  0.28406766  0.18799116  0.13151088]
 [-0.73012201  0.67030182  0.          0.        ]]"
19,[-0.70324886 -0.55928731],[ 0.71903092 -0.23999529],"[ 0.76099279  1.1272123   0.67562556  1.86932788  1.63064118  1.13583125
 -0.09981977  0.10779788 -1.18279241  0.17875557  0.        ]",-0.044648730962,-2.04817,[ 0.79481943  0.99431737],"[[ 0.64282736  0.2806163   0.18799116  0.13151088]
 [-1.50293553 -1.00984006  0.          0.        ]]"
20,[-0.70324886 -0.55928731],[-0.88335526 -1.44923103],"[ 0.75949969  1.12028739  0.67787939  1.9176653   1.63063928  1.13583043
  0.22825174  0.76268743 -1.20414313  0.20048377  0.        ]",-0.0470558207888,-2.08164,[-1.57259835 -0.70006325],"[[ 0.64459916  0.30011004  0.18799116  0.13151088]
 [ 1.66956226  2.94603515  0.          0.        ]]"
21,[-0.70324886 -0.55928731],[ 0.85062003 -0.54051667],"[ 0.76505903  1.10853502  0.66944084  1.99279986  1.63063738  1.1358296
 -0.18414349  0.29438543 -1.22310901  0.21457941  0.        ]",-0.0490613607472,-2.05586,[ 0.20554737 -0.10227714],"[[ 0.63797855  0.33064868  0.18799116  0.13151088]
 [-2.31835636  0.11724897  0.          0.        ]]"
22,[-0.70324886 -0.55928731],[ 0.80868101 -0.49608088],"[ 0.7958057   1.10923526  0.62054839  1.98852407  1.63063549  1.13582877
 -0.09529777  0.22690358 -1.16145459  0.13486122  0.        ]",-0.0417391743129,-2.02288,[ 1.58702868  0.85095577],"[[ 0.60023153  0.32890381  0.18799116  0.13151088]
 [-1.45920666 -0.29037582  0.          0.        ]]"
23,[-0.70324886 -0.55928731],[-1.0353564  -1.70320296],"[ 0.78718749  1.09753688  0.63465009  2.056869    1.63063359  1.13582794
  0.31664913  0.78541249 -1.20540076  0.1828062   0.        ]",-0.046711529437,-2.07346,[-0.97988897 -0.92248778],"[[ 0.61101571  0.35694551  0.18799116  0.13151088]
 [ 2.52437452  3.08330796  0.          0.        ]]"
24,[-0.70324886 -0.55928731],[ 0.63749456 -0.6776644 ],"[ 0.77817142  1.08660441  0.6490632   2.11580865  1.63063169  1.13582712
 -0.08923771  0.17085324 -1.24748415  0.22645669  0.        ]",-0.0514726465113,-2.07057,[-0.0962289  -1.02948081],"[[ 0.62212287  0.38136547  0.18799116  0.13151088]
 [-1.40060316 -0.6289455   0.          0.        ]]"
25,[-0.70324886 -0.55928731],[ 1.43495762  0.28704345],"[ 0.80339962  1.10912024  0.60784365  1.98920261  1.63062979  1.13582629
 -0.12558443 -0.4825693  -1.14678918  0.11471202  0.        ]",-0.0400123043102,-2.04449,[ 0.90282638  0.78916724],"[[ 0.59058426  0.32918494  0.18799116  0.13151088]
 [-1.7520809  -4.57595345  0.          0.        ]]"
