timestep,original_rewards,logstd_action_dist,avg_action_dist,rewards,obs,human_obs,actions
0,-0.412670473615,[-0.27447599 -0.18231353],[ 2.44728112 -2.61619139],-2.30051,"[ 1.13182096  2.33698032  0.09410491  0.72296114 -1.48140731  1.49404897
 -0.74538602  0.36581529  2.56904034 -1.38211033  0.        ]","[[ 0.05386791 -0.01709386 -0.16968651  0.17160625]
 [ 0.00031207  0.00162548  0.          0.        ]]",[ 2.19665164 -1.8365252 ]
1,-0.41086105259,[-0.27447599 -0.18231353],[ 2.37495136 -2.59716916],-2.30709,"[ 1.12774977  2.33485651  0.1532049   0.58251503 -1.48140353  1.49404512
 -0.60645074 -0.16266292  2.56689274 -1.34799194  0.        ]","[[ 0.09358004 -0.05680496 -0.16968651  0.17160625]
 [ 3.95772011 -3.95952751  0.          0.        ]]",[ 1.9862788  -2.62456389]
2,-0.404842537794,[-0.27447599 -0.18231353],[ 2.24740219 -2.58953857],-2.2368,"[ 1.10278956  2.31519049  0.32726606  0.16739989 -1.48139975  1.49404126
 -0.4702639  -0.68067093  2.55379718 -1.24754198  0.        ]","[[ 0.21165482 -0.17495181 -0.16968651  0.17160625]
 [ 7.83684582 -7.84220427  0.          0.        ]]",[ 2.48462278 -4.67583996]
3,-0.392911864935,[-0.27447599 -0.18231353],[ 2.11449671 -2.56599212],-2.27895,"[ 1.02044048  2.23974197  0.60388804 -0.49635158 -1.48139597  1.4940374
 -0.33676764 -1.18840214  2.5106205  -1.08793043  0.        ]","[[  0.40654294  -0.3699797   -0.16968651   0.17160625]
 [ 11.63933517 -11.64786195   0.           0.        ]]",[ 2.65745707 -1.59432151]
4,-0.372670103277,[-0.27447599 -0.18231353],[ 1.95873094 -2.48494053],-2.19029,"[ 0.82724501  2.05192528  0.9483396  -1.33123873 -1.48139219  1.49403355
 -0.20590083 -1.68602838  2.40933955 -0.88920179  0.        ]","[[  0.6767289   -0.64036154  -0.16968651   0.17160625]
 [ 15.36692845 -15.37780187   0.           0.        ]]",[ 1.42558432 -3.14863737]
5,-0.341962103016,[-0.27447599 -0.18231353],[ 1.82691348 -2.30653191],-2.03234,"[ 0.46986487  1.69391262  1.28597802 -2.16496345 -1.48138841  1.49402969
 -0.0775992  -2.17370083  2.22199368 -0.69443716  0.        ]","[[  1.02073298  -0.98459468  -0.16968651   0.17160625]
 [ 19.0214557  -19.03317532   0.           0.        ]]",[ 0.67078109 -1.93418668]
6,-0.302531319984,[-0.27447599 -0.18231353],[ 1.75736845 -1.9982996 ],-1.78181,"[ -5.39430426e-02   1.14049696e+00   1.49006939e+00  -2.70506182e+00
  -1.48138463e+00   1.49402583e+00   2.46164878e-03  -2.65153749e+00
   1.94771025e+00  -5.89163165e-01   0.00000000e+00]","[[  1.4240413   -1.40119611  -0.16968651   0.17160625]
 [ 21.30189796 -22.61488929   0.           0.        ]]",[ 0.03098798 -1.77670168]
7,-0.264681478694,[-0.27447599 -0.18231353],[ 1.73101985 -1.57772231],-1.58762,"[-0.6369096   0.44749486  1.44950034 -2.57847145 -1.48138085  1.49402198
 -0.00794698 -3.11978078  1.64161468 -0.6736602   0.        ]","[[  1.84710572  -1.88870959  -0.16968651   0.17160625]
 [ 21.0054201  -26.12478684   0.           0.        ]]",[ 0.28657431 -0.99918282]
8,-0.241969546464,[-0.27447599 -0.18231353],[ 1.72963655 -1.143929  ],-1.52944,"[-1.1574924  -0.2073854   1.15165118 -1.48548212 -1.48137708  1.49401812
  0.01734139 -3.57835658  1.3576777  -0.96778158  0.        ]","[[  2.27444251  -2.44569471  -0.16968651   0.17160625]
 [ 21.72572965 -29.56234133   0.           0.        ]]",[ 0.85719202 -1.53710316]
9,-0.247628862105,[-0.27447599 -0.18231353],[ 1.72228599 -0.87325251],-1.59273,"[-1.53718996 -0.53852412  0.59886748  0.53307018 -1.4813733   1.49401426
  0.12142157 -3.22141986  1.1265373  -1.43449927  0.        ]","[[  2.73870058  -3.07078627  -0.16968651   0.17160625]
 [ 24.69033127 -26.88711329   0.           0.        ]]",[ 1.25072585 -1.66998289]
10,-0.257462448241,[-0.27447599 -0.18231353],[ 1.80583417 -0.90299332],-1.5081,"[-1.63759268 -0.53365807 -0.173432    1.16688666 -1.48136952  1.49401041
  0.24330612  0.52340376  1.11771553 -1.5668669   0.        ]","[[  3.26734395  -3.25013927  -0.16968651   0.17160625]
 [ 28.16206891   1.18272263   0.           0.        ]]",[ 1.65556303 -1.16596148]
11,-0.246194107916,[-0.27447599 -0.18231353],[ 1.73425293 -0.99692845],-1.51329,"[-1.30041179 -0.54126835 -0.97380437  0.90592162 -1.48136574  1.49400655
  0.36274268  0.96754884  1.11314955 -1.43333777  0.        ]","[[  3.86471954  -3.17619974  -0.16968651   0.17160625]
 [ 31.56407947   4.51188146   0.           0.        ]]",[ 1.88551018 -1.03532565]
12,-0.231796245279,[-0.27447599 -0.18231353],[ 1.67278826 -1.08900785],-1.48025,"[-0.51044729 -0.54072848 -1.453719    0.62733797 -1.48136196  1.49400269
  0.47980476  0.7874797   1.01767244 -1.37194771  0.        ]","[[  4.52945628  -3.09746693  -0.16968651   0.17160625]
 [ 34.89845785   3.16215733   0.           0.        ]]",[ 1.49383543 -1.25241629]
