timestep,original_rewards,logstd_action_dist,avg_action_dist,rewards,obs,human_obs,actions
15,-0.223145943439,[-0.25102785 -0.17195335],[ 1.48715186 -1.25388527],-1.24894,"[ 0.22242611 -0.53360147  1.40977996  0.32232741 -1.50504818  0.99823276
  0.88830204  0.44641632  1.13181509 -1.08393967  0.        ]","[[  7.50533575  -3.01096647  -0.17252644   0.1144273 ]
 [ 45.75148127   0.61056157   0.           0.        ]]",[ 1.68231724 -1.22071709]
16,-0.221265649688,[-0.25102785 -0.17195335],[ 1.50493765 -1.04954755],-1.27225,"[-1.03283998 -0.53239065  1.24133283  0.30032311 -1.50504409  0.9982311
  0.9971563   0.38205287  1.18355828 -0.9596325   0.        ]","[[  8.4510024   -3.00464357  -0.17252644   0.1144273 ]
 [ 48.80501649   0.12861996   0.           0.        ]]",[ 1.60971506 -1.0087515 ]
17,-0.206293043018,[-0.25102785 -0.17195335],[ 1.2913934  -0.95199716],-1.33771,"[-1.64018055 -0.53217097 -0.04170655  0.29644813 -1.50504     0.99822944
  1.10385626  0.36648227  1.11788951 -0.83583797  0.        ]","[[  9.45713361e+00  -3.00352960e+00  -1.72526437e-01   1.14427299e-01]
 [  5.17981317e+01   1.20321822e-02   0.00000000e+00   0.00000000e+00]]",[ 1.25326596 -1.16923822]
18,-0.191113547095,[-0.25102785 -0.17195335],[ 1.21131277 -1.04882669],-1.29408,"[-0.88480203 -0.53217749 -1.32246346  0.29657268 -1.50503591  0.99822778
  1.20844371  0.36373268  0.98788725 -0.84064501  0.        ]","[[  1.05225327e+01  -3.00356549e+00  -1.72526437e-01   1.14427299e-01]
 [  5.47320015e+01  -8.55382720e-03   0.00000000e+00   0.00000000e+00]]",[ 2.05210873 -2.36763084]
19,-0.193930535013,[-0.25102785 -0.17195335],[ 1.24399114 -1.24848652],-1.28887,"[ 0.5889818  -0.53221188 -1.18155582  0.29718874 -1.50503182  0.99822612
  1.31096017  0.36381642  0.92920603 -0.98596829  0.        ]","[[  1.16460265e+01  -3.00374269e+00  -1.72526437e-01   1.14427299e-01]
 [  5.76077924e+01  -7.92420900e-03   0.00000000e+00   0.00000000e+00]]",[-0.27789532 -1.54293008]
20,-0.212210472962,[-0.25102785 -0.17195335],[ 1.32623804 -1.34641528],-1.21835,"[ 1.10650488 -0.53223608  0.31685065  0.29762547 -1.50502773  0.99822446
  1.23107875  0.36424914  1.01533693 -1.1116456   0.        ]","[[  1.27757007e+01  -3.00386833e+00  -1.72526437e-01   1.14427299e-01]
 [  5.53670953e+01  -4.68148774e-03   0.00000000e+00   0.00000000e+00]]",[ 2.03147976 -0.28736891]
21,-0.22439743169,[-0.25102785 -0.17195335],[ 1.47160137 -1.21757674],-1.25013,"[ 0.05835884 -0.53209978  1.46183834  0.29523487 -1.50502363  0.9982228
  1.33314677  0.37153192  1.14941613 -1.07275301  0.        ]","[[  1.39117702e+01  -3.00318107e+00  -1.72526437e-01   1.14427299e-01]
 [  5.82303130e+01   4.98534176e-02   0.00000000e+00   0.00000000e+00]]",[ 1.86603825 -0.80137881]
22,-0.216759473306,[-0.25102785 -0.17195335],[ 1.38368487 -0.98508573],-1.31164,"[-1.39562704 -0.53202792  0.85382812  0.29398382 -1.50501954  0.99822114
  1.43319339  0.36483101  1.17279075 -0.90439195  0.        ]","[[  1.51045353e+01  -3.00282141e+00  -1.72526437e-01   1.14427299e-01]
 [  6.10368456e+01  -3.19259079e-04   0.00000000e+00   0.00000000e+00]]",[ 0.90548439 -2.0036422 ]
23,-0.196215977879,[-0.25102785 -0.17195335],[ 1.17289078 -0.97045839],-1.36644,"[-1.36508235 -0.53208961 -0.88640878  0.29507575 -1.50501545  0.99821948
  1.51791849  0.36199694  1.04237071 -0.81781236  0.        ]","[[  1.63491190e+01  -3.00313546e+00  -1.72526437e-01   1.14427299e-01]
 [  6.34136078e+01  -2.15377810e-02   0.00000000e+00   0.00000000e+00]]",[ 0.78362983 -0.61227238]
24,-0.190993229908,[-0.25102785 -0.17195335],[ 1.18906271 -1.19137764],-1.22422,"[ 0.23353678 -0.5320841  -1.39219163  0.29498872 -1.50501136  0.99821783
  1.58376663  0.36655561  0.92992854 -0.94208342  0.        ]","[[  1.76359253e+01  -3.00311052e+00  -1.72526437e-01   1.14427299e-01]
 [  6.52608624e+01   1.25993417e-02   0.00000000e+00   0.00000000e+00]]",[ 1.83667827 -2.79683058]
25,-0.210737766166,[-0.25102785 -0.17195335],[ 1.2936517  -1.33031464],-1.21556,"[ 1.12711023 -0.53211177  0.18287983  0.29548443 -1.50500727  0.99821617
  1.67884972  0.36270721  1.00461813 -1.10722725  0.        ]","[[  1.89679050e+01  -3.00325313e+00  -1.72526437e-01   1.14427299e-01]
 [  6.79282179e+01  -1.62142360e-02   0.00000000e+00   0.00000000e+00]]",[ 1.92471512 -1.6753909 ]
26,-0.224606966408,[-0.25102785 -0.17195335],[ 1.46644258 -1.17140424],-1.25694,"[-0.15815529 -0.53217364  1.49618681  0.29658293 -1.50500318  0.99821451
  1.77204955  0.36305048  1.16183052 -1.05419032  0.        ]","[[  2.03527020e+01  -3.00356905e+00  -1.72526437e-01   1.14427299e-01]
 [  7.05427714e+01  -1.36413171e-02   0.00000000e+00   0.00000000e+00]]",[ 1.97402136  0.50838503]
27,-0.20943691114,[-0.25102785 -0.17195335],[ 1.26444232 -0.95818281],-1.28934,"[-1.61269819 -0.52794966  0.30595469  0.2272638  -1.50499909  0.99821285
  1.86340294  0.63236813  1.14311551 -0.83756317  0.        ]","[[ 21.78927105  -2.98360977  -0.17252644   0.1144273 ]
 [ 73.1055572    2.0029607    0.           0.        ]]",[ 1.24913833  0.13818849]
28,-0.183534811269,[-0.25102785 -0.17195335],[ 1.11890531 -1.07600021],-1.27111,"[-0.64300772 -0.51630292 -1.42603662  0.07116321 -1.504995    0.99821119
  1.95293792  0.70073346  0.9170503  -0.85089793  0.        ]","[[ 23.27658422  -2.93841665  -0.17252644   0.1144273 ]
 [ 75.61736447   2.51487285   0.           0.        ]]",[ 1.05327095  0.01616135]
