timestep,original_rewards,logstd_action_dist,avg_action_dist,rewards,obs,human_obs,actions
0,-0.397321817577,[-0.04031254  0.0112153 ],[-0.02287865 -0.28365359],-2.08113,"[ 1.06010004  1.22231055 -0.04827137  0.11208582 -1.37305845  1.09915586
 -0.0088724   0.10390365  2.00588303 -0.96169376  0.        ]","[[-0.03454336 -0.063939   -0.16240806  0.12579482]
 [ 0.00440092  0.00165427  0.          0.        ]]",[ 0.84307576 -0.94631986]
1,-0.396317864136,[-0.04031254  0.0112153 ],[-0.0231937  -0.28464779],-2.0479,"[ 1.0608947   1.21840689  0.00335454  0.04761155 -1.37300666  1.09912414
  0.30346334 -0.37864747  2.00584658 -0.94208587  0.        ]","[[ -9.79479298e-04  -1.01514484e-01  -1.62408063e-01   1.25794821e-01]
 [  3.34087436e+00  -3.74670509e+00   0.00000000e+00   0.00000000e+00]]",[ 0.56307651 -0.75010422]
2,-0.393363197139,[-0.04031254  0.0112153 ],[-0.02338736 -0.28514755],-2.01337,"[ 1.05557264  1.19858606  0.1393584  -0.12927093 -1.37295489  1.09909241
  0.50589927 -0.75155793  2.0021791  -0.89404701  0.        ]","[[ 0.08753521 -0.20551266 -0.16240806  0.12579482]
 [ 5.50339493 -6.643451    0.          0.        ]]",[-0.34953183 -0.9095941 ]
3,-0.390489308492,[-0.04031254  0.0112153 ],[-0.02347506 -0.28582132],-1.99823,"[ 1.03783973  1.13907696  0.28430169 -0.40566182 -1.37290312  1.0990607
  0.36638133 -1.19818416  1.98650299 -0.88368618  0.        ]","[[  0.18265108  -0.37319226  -0.16240806   0.12579482]
 [  4.01312908 -10.11295013   0.           0.        ]]",[-0.55163143 -1.0926391 ]
4,-0.388860346153,[-0.04031254  0.0112153 ],[-0.02345496 -0.28666276],-2.03569,"[ 1.02110629  0.99799966  0.37090396 -0.7687357  -1.37285135  1.09902898
  0.15475954 -1.68197235  1.9443401  -0.97512042  0.        ]","[[  0.24023446  -0.61316174  -0.16240806   0.12579482]
 [  1.7526431  -13.87148654   0.           0.        ]]",[-0.73717263 -2.24015851]
5,-0.384792860734,[-0.04031254  0.0112153 ],[-0.02321702 -0.28725913],-1.86786,"[ 1.01926652  0.72662489  0.3790364  -1.155611   -1.37279959  1.09899726
 -0.12148017 -2.15607757  1.83776456 -1.16801588  0.        ]","[[  0.24568405  -0.92755391  -0.16240806   0.12579482]
 [ -1.19808227 -17.55548005   0.           0.        ]]",[ 0.41740789  0.88293127]
6,-0.373671114963,[-0.04031254  0.0112153 ],[-0.0226841  -0.28634205],-1.84574,"[ 1.02161731  0.38424856  0.36831432 -1.4063724  -1.37274784  1.09896555
  0.03517137 -1.66126539  1.67673578 -1.32940092  0.        ]","[[  0.2385094   -1.24010407  -0.16240806   0.12579482]
 [  0.47520502 -13.71232633   0.           0.        ]]",[-0.53710762  0.09270463]
7,-0.358334263969,[-0.04031254  0.0112153 ],[-0.02210135 -0.28544679],-1.94188,"[ 1.02538929  0.05831815  0.35045614 -1.49620362 -1.37269609  1.09893384
 -0.1647849  -1.57893568  1.50541641 -1.42288716  0.        ]","[[  0.22658466  -1.50793903  -0.16240806   0.12579482]
 [ -1.660635   -13.07331994   0.           0.        ]]",[ 1.2280516  -1.74460686]
8,-0.335463784149,[-0.04031254  0.0112153 ],[-0.02233117 -0.28392404],-1.54396,"[ 1.02321165 -0.31055315  0.36067085 -1.45191914 -1.37264435  1.09890214
  0.20878633 -2.05525383  1.30809067 -1.44911877  0.        ]","[[  0.23340681  -1.80654296  -0.16240806   0.12579482]
 [  2.32961485 -16.77469041   0.           0.        ]]",[-2.11418127  2.00495472]
9,-0.308480404303,[-0.04031254  0.0112153 ],[-0.02118013 -0.28169614],-1.6372,"[ 1.02110909 -0.64706809  0.37024342 -1.26486429 -1.37259261  1.09887044
 -0.16622162 -1.50271883  1.11470637 -1.41435214  0.        ]","[[  0.23981042  -2.09897275  -0.16240806   0.12579482]
 [ -1.67592441 -12.48263528   0.           0.        ]]",[-1.05473428  0.19384762]
