timestep,avg_action_dist,obs,actions,rewards,human_obs,logstd_action_dist,original_rewards
0,[ 0.06529632 -0.99403   ],"[ 1.21394007  2.20650332 -0.12633371  0.88374423  1.60062566 -0.4359124
  0.36473298  0.38416444 -0.03492666  0.47128293  0.        ]",[-1.11816699 -2.0795768 ],-1.21456,"[[-0.04442632  0.03259666  0.18628156 -0.05185909]
 [-0.00347777  0.00438835  0.          0.        ]]",[-0.22532469 -0.21128716],-0.0518100211952
1,[ 0.55867499 -0.7450856 ],"[ 1.21043546  2.20719429 -0.185229    0.75281419  1.60061882 -0.43591178
  0.06711908 -0.18168887 -0.04032435  0.36784215  0.        ]",[ 1.09416454  0.22180401],-1.26764,"[[-0.08417025 -0.00702885  0.18628156 -0.05185909]
 [-3.95775326 -3.95375263  0.          0.        ]]",[-0.22532469 -0.21128716],-0.0405333178606
2,[ 0.46860272 -0.78777331],"[ 1.20495219  2.20313148 -0.2423634   0.52340862  1.60061199 -0.43591115
  0.37071718 -0.04516734 -0.05659235  0.24035206  0.        ]",[ 0.33096084  1.25140878],-1.31066,"[[-0.12285314 -0.07652248  0.18628156 -0.05185909]
 [ 0.07603485 -2.99878708  0.          0.        ]]",[-0.22532469 -0.21128716],-0.0273746393377
3,[ 0.29623425 -0.88554972],"[ 1.20726038  2.20075146 -0.2207879   0.45869067  1.60060515 -0.43591053
  0.46902518  0.52930878 -0.05614979  0.24778996  0.        ]",[-1.66506859 -1.1472099 ],-1.18442,"[[-0.10822716 -0.09617979  0.18628156 -0.05185909]
 [ 1.38222013  1.01966496  0.          0.        ]]",[-0.22532469 -0.21128716],-0.028019368554
4,[ 0.70704913 -0.6759218 ],"[ 1.20533138  2.19785691 -0.23894159  0.39454097  1.60059831 -0.43590991
  0.16934677 -0.039419   -0.06307694  0.21000779  0.        ]",[ 0.75500981 -1.42072391],-1.0567,"[[-0.12053217 -0.11570136  0.18628156 -0.05185909]
 [-2.59947139 -2.95856883  0.          0.        ]]",[-0.22532469 -0.21128716],-0.0244181083788
5,[ 0.8356899  -0.59238863],"[ 1.20147076  2.17534389 -0.27058231  0.07415178  1.60059148 -0.43590929
  0.39812185 -0.59727433 -0.09470042  0.08977694  0.        ]",[-0.12374835 -1.57199192],-1.04517,"[[-0.14202394 -0.21402467  0.18628156 -0.05185909]
 [ 0.4401655  -6.86075193  0.          0.        ]]",[-0.22532469 -0.21128716],-0.0158254411034
6,[ 1.22262931 -0.39066663],"[ 1.20219831  2.10262835 -0.26496745 -0.47913404  1.60058464 -0.43590867
  0.36072228 -1.14388944 -0.15613455 -0.04629518  0.        ]",[ 1.85296408  0.82019103],-1.1308,"[[ -0.13820582  -0.38960283   0.18628156  -0.05185909]
 [ -0.05673845 -10.68432254   0.           0.        ]]",[-0.22532469 -0.21128716],-0.0189903442466
7,[ 1.12246215 -0.44093794],"[ 1.20846616  1.98768278 -0.20811932 -1.00334678  1.60057781 -0.43590804
  0.65845579 -0.649572   -0.21925624 -0.11919958  0.        ]",[ 2.72509355 -1.60599575],-0.998491,"[[-0.09965104 -0.56859705  0.18628156 -0.05185909]
 [ 3.89911722 -7.2266004   0.          0.        ]]",[-0.22532469 -0.21128716],-0.0262548279702
8,[ 1.01025605 -0.47109824],"[ 1.21506006  1.83153264 -0.03473891 -1.47999492  1.60057097 -0.43590742
  0.95051531 -1.19535493 -0.25139646 -0.0691147   0.        ]",[-0.41141478 -0.73385208],-1.10175,"[[  0.01726496  -0.75143424   0.18628156  -0.05185909]
 [  7.77959638 -11.04435094   0.           0.        ]]",[-0.22532469 -0.21128716],-0.0206397990244
9,[ 1.19890618 -0.36209357],"[ 1.19882612  1.5668016   0.16887193 -2.00341055  1.60056414 -0.4359068
  0.81648462 -1.57939458 -0.32631523 -0.02679421  0.        ]",[ 1.48450246  0.20672368],-1.13929,"[[  0.15499066  -0.99927444   0.18628156  -0.05185909]
 [  5.99881881 -13.73073806   0.           0.        ]]",[-0.22532469 -0.21128716],-0.0207467309241
