timestep,avg_action_dist,obs,actions,rewards,human_obs,logstd_action_dist,original_rewards
0,[-0.15526642 -2.23639321],"[ 1.23344514  2.24834777 -0.31844794  0.68280516 -0.92552444  0.53461077
  0.27804691  0.39903048  2.25694221 -0.62486269  0.        ]",[ 0.66639148 -2.80683036],-4.23816,"[[-0.09297084 -0.03301117 -0.10541452  0.06018191]
 [ 0.00368703 -0.00490735  0.          0.        ]]",[-0.31113699 -0.21363521],-0.324965173557
1,[-0.11410677 -2.26625109],"[ 1.23628389  2.24537558 -0.27798849  0.54372426 -0.92552318  0.53461027
  0.49763877 -0.17302642  2.25707429 -0.61471378  0.        ]",[ 0.02666008 -1.50654387],-4.8238,"[[-0.06643297 -0.07284647 -0.10541452  0.06018191]
 [ 2.64131285 -3.96541929  0.          0.        ]]",[-0.31113699 -0.21363521],-0.324678255258
2,[ 0.05317581 -2.24074006],"[ 1.2391331   2.22350588 -0.19642571  0.13409978 -0.92552192  0.53460976
  0.50219345 -0.73361238  2.24905119 -0.62910853  0.        ]",[-1.15791905 -3.016605  ],-4.52696,"[[-0.01305765 -0.19109519 -0.10541452  0.06018191]
 [ 2.6960267  -7.84651674  0.          0.        ]]",[-0.31113699 -0.21363521],-0.324138325554
3,[ 0.36641467 -2.13076091],"[ 1.23924514  2.145563   -0.17545947 -0.51876112 -0.92552066  0.53460926
  0.16851608 -1.28287627  2.20303511 -0.77934695  0.        ]",[ 1.1180926  -1.45996175],-4.69088,"[[  6.50648775e-04  -3.86179338e-01  -1.05414515e-01   6.01819132e-02]
 [ -1.31192200e+00  -1.16492386e+01   0.00000000e+00   0.00000000e+00]]",[-0.31113699 -0.21363521],-0.323661279906
4,[ 0.44324791 -2.14654398],"[ 1.23910418  1.95680351 -0.15446829 -1.33613804 -0.9255194   0.53460875
  0.50012003 -1.82168793  2.09276578 -0.97600414  0.        ]",[ 0.20431461 -2.64094001],-4.44166,"[[  1.43753899e-02  -6.56592528e-01  -1.05414515e-01   6.01819132e-02]
 [  2.67112617e+00  -1.53796213e+01   0.00000000e+00   0.00000000e+00]]",[-0.31113699 -0.21363521],-0.318855923454
5,[ 0.4971385  -2.12794113],"[ 1.23542187  1.601867   -0.06126358 -2.14562161 -0.92551814  0.53460825
  0.5630648  -2.34965013  1.91608426 -1.11101021  0.        ]",[-0.58784255 -0.54538786],-5.17308,"[[  0.0753847   -1.00086002  -0.10541452   0.06018191]
 [  3.42718989 -19.03493421   0.           0.        ]]",[-0.31113699 -0.21363521],-0.30552870377
6,[ 0.56101447 -2.01674032],"[ 1.22958401  1.08308851  0.00649857 -2.64707075 -0.92551688  0.53460775
  0.3636973  -2.60703213  1.6374586  -1.22188912  0.        ]",[-0.53999234 -2.56365403],-4.20866,"[[  0.11990418  -1.39943808  -0.10541452   0.06018191]
 [  1.03250423 -20.81697345   0.           0.        ]]",[-0.31113699 -0.21363521],-0.281814925186
7,[ 0.62496763 -1.83775473],"[ 1.22974361  0.45415275  0.00496384 -2.56154512 -0.92551562  0.53460724
  0.18393626 -3.11934766  1.24520489 -1.24991168  0.        ]",[ 0.04665479 -2.13718497],-3.72831,"[[  0.11889356  -1.85136646  -0.10541452   0.06018191]
 [ -1.1266803  -24.36407892   0.           0.        ]]",[-0.31113699 -0.21363521],-0.24409744873
8,[ 0.59421325 -1.61319137],"[ 1.23272779 -0.16766231 -0.02617732 -1.63092097 -0.92551436  0.53460674
  0.20096179 -3.62155538  0.82097598 -1.05709984  0.        ]",[ 0.36042962 -1.18799274],-3.06134,"[[  0.09841196  -2.37353633  -0.10541452   0.06018191]
 [ -0.92217774 -27.84131649   0.           0.        ]]",[-0.31113699 -0.21363521],-0.189425168222
9,[ 0.28640836 -1.44591928],"[ 1.23323869 -0.54031952 -0.03221183  0.18245215 -0.9255131   0.53460623
  0.32113494 -4.11379356  0.54473538 -0.59905855  0.        ]",[-0.40859547 -0.42968009],-2.39088,"[[  0.09444809  -2.96455999  -0.10541452   0.06018191]
 [  0.52127412 -31.2496762    0.           0.        ]]",[-0.31113699 -0.21363521],-0.127438809193
10,[-0.1344652  -1.31192124],"[ 1.23396072 -0.55501384 -0.04119075  1.15348307 -0.92551184  0.53460573
  0.18569994  0.3151789   0.51344182 -0.3272004   0.        ]",[ 0.27965439 -0.64465153],-1.89563,"[[ 0.0885529  -3.24337647 -0.10541452  0.06018191]
 [-1.10548807 -0.58555721  0.          0.        ]]",[-0.31113699 -0.21363521],-0.106605165476
11,[-0.21218236 -1.35332322],"[ 1.23516229 -0.56103571 -0.05761816  0.94579199 -0.92551058  0.53460522
  0.27972251  1.03690037  0.5142573  -0.39258706  0.        ]",[-1.23266182 -2.22627078],-1.91693,"[[ 0.07777516 -3.18381361 -0.10541452  0.06018191]
 [ 0.02385647  4.4113096   0.          0.        ]]",[-0.31113699 -0.21363521],-0.11039131801
12,[-0.05816314 -1.26030397],"[ 1.23822726 -0.56128408 -0.11755005  0.66609737 -0.92550932  0.53460472
 -0.04995031  0.87660465  0.51813564 -0.46664532  0.        ]",[-0.39183887 -1.60864378],-1.96115,"[[ 0.03852219 -3.10379898 -0.10541452  0.06018191]
 [-3.93597061  3.3015062   0.          0.        ]]",[-0.31113699 -0.21363521],-0.115459375728
13,[ 0.00619987 -1.23032284],"[ 1.23719061 -0.55679155 -0.26050721  0.48932864 -0.92550806  0.53460422
 -0.17262982  0.66459953  0.51550238 -0.50662481  0.        ]",[-0.45717454 -2.61571367],-1.93891,"[[-0.05498189 -3.05313656 -0.10541452  0.06018191]
 [-5.4095217   1.8336887   0.          0.        ]]",[-0.31113699 -0.21363521],-0.117892403438
14,[ 0.04506632 -1.22693932],"[ 1.21743308 -0.55301391 -0.45067043  0.39725811 -0.9255068   0.53460371
 -0.31441484  0.53019649  0.5051769  -0.52000864  0.        ]",[-0.70791112 -0.94905847],-2.10236,"[[-0.18025947 -3.02666679 -0.10541452  0.06018191]
 [-7.11255658  0.90314996  0.          0.        ]]",[-0.31113699 -0.21363521],-0.117788394277
15,[ 0.1134932  -1.20891714],"[ 1.15805463 -0.55085646 -0.69979448  0.35323312 -0.92550554  0.53460321
 -0.53604122  0.46047735  0.48956557 -0.51394915  0.        ]",[ 0.64157861 -1.83239721],-1.90218,"[[-0.34921973 -3.0139824  -0.10541452  0.06018191]
 [-9.7745965   0.42045114  0.          0.        ]]",[-0.31113699 -0.21363521],-0.115794634232
16,[ 0.19968024 -1.19443321],"[ 1.06328901 -0.54980818 -0.9328222   0.33337194 -0.92550428  0.5346027
 -0.30844867  0.42626252  0.47580306 -0.49870967  0.        ]",[ 0.84098765 -0.26457122],-2.06663,"[[-0.51728366 -3.00825345 -0.10541452  0.06018191]
 [-7.04090523  0.18356693  0.          0.        ]]",[-0.31113699 -0.21363521],-0.113332264012
17,[ 0.2779786  -1.17402542],"[ 0.98636466 -0.54919227 -1.06924106  0.32209927 -0.92550302  0.5346022
 -0.01963019  0.41883214  0.46821551 -0.48739816  0.        ]",[-0.36037142 -1.61053021],-1.9831,"[[-0.62329517 -3.00499994 -0.10541452  0.06018191]
 [-3.5718074   0.13212508  0.          0.        ]]",[-0.31113699 -0.21363521],-0.111769275693
18,[ 0.3052904  -1.16124201],"[ 0.9157486  -0.54895455 -1.17149885  0.31782589 -0.92550176  0.5346017
 -0.13253264  0.40242542  0.46338519 -0.47664223  0.        ]",[-0.03089184 -1.12729993],-2.01526,"[[-0.70833763 -3.00376622 -0.10541452  0.06018191]
 [-4.92791773  0.01853546  0.          0.        ]]",[-0.31113699 -0.21363521],-0.110525571831
19,[ 0.35626721 -1.1438818 ],"[ 0.82447141 -0.54893972 -1.28122742  0.31756919 -0.9255005   0.53460119
 -0.13459355  0.39913515  0.45956797 -0.46249952  0.        ]",[ 0.6984542  -1.37175286],-1.90227,"[[ -8.07144363e-01  -3.00369218e+00  -1.05414515e-01   6.01819132e-02]
 [ -4.95267316e+00  -4.24239554e-03   0.00000000e+00   0.00000000e+00]]",[-0.31113699 -0.21363521],-0.109153556494
20,[ 0.37457305 -1.15300953],"[ 0.75392509 -0.54896092 -1.35281735  0.31795857 -0.92549924  0.53460069
  0.1038005   0.39893413  0.45774451 -0.4521156   0.        ]",[ 0.10715703 -1.76003194],-1.89742,"[[-0.87746813 -3.00380468 -0.10541452  0.06018191]
 [-2.08924552 -0.00563177  0.          0.        ]]",[-0.31113699 -0.21363521],-0.10825287112
21,[ 0.38554329 -1.15218925],"[ 0.71495857 -0.54897833 -1.38827419  0.31828    -0.92549798  0.53460018
  0.14256598  0.39923094  0.45708058 -0.44657126  0.        ]",[ 0.49313047 -2.64807499],-1.78804,"[[-0.91458127 -3.00389756 -0.10541452  0.06018191]
 [-1.62362009 -0.00357444  0.          0.        ]]",[-0.31113699 -0.21363521],-0.107806544204
22,[ 0.36996365 -1.16569138],"[ 0.7015118  -0.54898806 -1.39989636  0.31846384 -0.92549672  0.53459968
  0.3077925   0.39947704  0.45691298 -0.44467416  0.        ]",[ 0.84423508 -0.78496545],-1.96878,"[[ -9.27141649e-01  -3.00395072e+00  -1.05414515e-01   6.01819132e-02]
 [  3.60968219e-01  -1.86821113e-03   0.00000000e+00   0.00000000e+00]]",[-0.31113699 -0.21363521],-0.107660483032
23,[ 0.32735282 -1.19074798],"[ 0.74459187 -0.54894864 -1.36154741  0.31776567 -0.92549546  0.53459917
  0.58548277  0.40189392  0.4575262  -0.45081741  0.        ]",[ 0.14692207 -2.00926324],-1.86754,"[[-0.88645687 -3.00374921 -0.10541452  0.06018191]
 [ 3.69639416  0.01486734  0.          0.        ]]",[-0.31113699 -0.21363521],-0.108141930853
24,[ 0.29341328 -1.20132327],"[ 0.82419296 -0.54893988 -1.28151214  0.31761769 -0.9254942   0.53459867
  0.62781987  0.39908765  0.45956545 -0.46244467  0.        ]",[ 0.85847511  0.3698929 ],-2.15574,"[[-0.80742673 -3.00370655 -0.10541452  0.06018191]
 [ 4.20492485 -0.00455943  0.          0.        ]]",[-0.31113699 -0.21363521],-0.109149845738
25,[ 0.21426998 -1.22546482],"[ 0.93156008 -0.5459688  -1.15008527  0.26708399 -0.92549294  0.53459817
  0.90387288  0.61066851  0.4575928  -0.4908888   0.        ]",[ 0.81133903 -1.45133854],-1.92288,"[[-0.69006006 -2.98910017 -0.10541452  0.06018191]
 [ 7.52068973  1.4603195   0.          0.        ]]",[-0.31113699 -0.21363521],-0.110955010918
26,[ 0.15440907 -1.26622283],"[ 1.06880484 -0.54819524 -0.92164407  0.30447166 -0.92549168  0.53459766
  1.15890413  0.03461172  0.47371118 -0.50701335  0.        ]",[ 1.75839439 -1.30431109],-1.88593,"[[ -0.50891151  -2.99990987  -0.10541452   0.06018191]
 [ 10.58396536  -2.52799299   0.           0.        ]]",[-0.31113699 -0.21363521],-0.113717713743
27,[-0.12811077 -1.37078476],"[ 1.19414574 -0.55277122 -0.56905676  0.39220439 -0.92549042  0.53459716
  1.47109805  0.39130942  0.49866517 -0.5120563   0.        ]",[-0.26738501 -2.58037061],-1.9531,"[[ -0.25960826  -3.0252125   -0.10541452   0.06018191]
 [ 14.33385578  -0.05840622   0.           0.        ]]",[-0.31113699 -0.21363521],-0.116572523929
28,[-0.26599222 -1.42624485],"[ 1.23907787 -0.55190352 -0.15563139  0.37416043 -0.92548916  0.53459665
  1.35933376  0.4558738   0.52408373 -0.54267965  0.        ]",[-0.85468105 -2.5898324 ],-2.04244,"[[  0.01360022  -3.02001528  -0.10541452   0.06018191]
 [ 12.99145615   0.38860562   0.           0.        ]]",[-0.31113699 -0.21363521],-0.12129538222
29,[-0.33615363 -1.4461112 ],"[ 1.20164496 -0.55065828  0.18252082  0.34954543 -0.9254879   0.53459615
  1.05619046  0.44221692  0.55181726 -0.5632207   0.        ]",[ 0.74869558 -1.83718849],-2.01365,"[[ 0.23689675 -3.01292001 -0.10541452  0.06018191]
 [ 9.35033063  0.29405543  0.          0.        ]]",[-0.31113699 -0.21363521],-0.125532784701
30,[-0.61703295 -1.57078528],"[ 1.10428574 -0.54982806  0.49130687  0.33387326 -0.92548664  0.53459565
  1.28756936  0.42341854  0.58192976 -0.57370065  0.        ]",[-0.46638264 -2.35053431],-2.10042,"[[  0.4517879   -3.00839916  -0.10541452   0.06018191]
 [ 12.12952251   0.16390828   0.           0.        ]]",[-0.31113699 -0.21363521],-0.129297290784
31,[-0.68514073 -1.57689881],"[ 0.94562999 -0.54938156  0.77748357  0.32566763 -0.92548538  0.53459514
  1.11384199  0.41142429  0.61366581 -0.57493587  0.        ]",[-1.85058525 -2.16455765],-2.26226,"[[  0.67344209  -3.00603109  -0.10541452   0.06018191]
 [ 10.04285161   0.08086916   0.           0.        ]]",[-0.31113699 -0.21363521],-0.132600679307
32,[-0.59842581 -1.5180589 ],"[ 0.79945161 -0.5491652   0.95488797  0.3217478  -0.92548412  0.53459464
  0.76765859  0.40513809  0.63598503 -0.57066164  0.        ]",[-1.08635319 -1.22390741],-2.32094,"[[ 0.8325795  -3.00489963 -0.10541452  0.06018191]
 [ 5.88474647  0.03734937  0.          0.        ]]",[-0.31113699 -0.21363521],-0.134599215259
33,[-0.45395613 -1.4410373 ],"[ 0.7204715  -0.54906633  1.03052587  0.31997254 -0.92548285  0.53459413
  0.42832892  0.40213363  0.64646582 -0.56719046  0.        ]",[ 0.28831787 -2.71710937],-2.05052,"[[ 0.90938073 -3.00438718 -0.10541452  0.06018191]
 [ 1.80895865  0.01655057  0.          0.        ]]",[-0.31113699 -0.21363521],-0.135450817799
34,[-0.50670099 -1.46367836],"[ 0.66940492 -0.54902267  1.0735711   0.31919583 -0.92548159  0.53459363
  0.52038531  0.40077309  0.65271584 -0.5645768   0.        ]",[ 0.61804794 -1.78638251],-2.10266,"[[ 0.95665397 -3.00416301 -0.10541452  0.06018191]
 [ 2.9146812   0.0071333   0.          0.        ]]",[-0.31113699 -0.21363521],-0.135926920719
35,[-0.61760312 -1.51329923],"[ 0.57647893 -0.54900371  1.14176844  0.31886404 -0.92548033  0.53459312
  0.71930817  0.40017756  0.66306947 -0.55916003  0.        ]",[-0.76334204 -1.50227332],-2.28539,"[[  1.03892052e+00  -3.00406729e+00  -1.05414515e-01   6.01819132e-02]
 [  5.30401144e+00   3.01254503e-03   0.00000000e+00   0.00000000e+00]]",[-0.31113699 -0.21363521],-0.136652546078
36,[-0.46933687 -1.44574142],"[ 0.48808309 -0.54899546  1.19598214  0.31872499 -0.92547907  0.53459262
  0.45894494  0.39992232  0.67204804 -0.55344773  0.        ]",[-1.23900342 -1.5902299 ],-2.32839,"[[  1.11362361e+00  -3.00402721e+00  -1.05414515e-01   6.01819132e-02]
 [  2.17671858e+00   1.24777630e-03   0.00000000e+00   0.00000000e+00]]",[-0.31113699 -0.21363521],-0.137225843942
37,[-0.29177243 -1.36518049],"[ 0.48400446 -0.54899176  1.19825224  0.31866759 -0.92547781  0.53459212
  0.12572635  0.39981543  0.67245598 -0.55317614  0.        ]",[-0.76330654 -0.29274626],-2.48383,"[[  1.11700079e+00  -3.00401072e+00  -1.05414515e-01   6.01819132e-02]
 [ -1.82566233e+00   5.10035494e-04   0.00000000e+00   0.00000000e+00]]",[-0.31113699 -0.21363521],-0.137251463848
38,[-0.21926661 -1.32582498],"[ 0.56298    -0.54884493  1.15067697  0.31604632 -0.92547655  0.53459161
 -0.12287399  0.40725725  0.66511483 -0.55858477  0.        ]",[-0.65068487 -2.31187417],-2.16297,"[[ 1.05052797 -3.00325392 -0.10541452  0.06018191]
 [-4.81166987  0.05203531  0.          0.        ]]",[-0.31113699 -0.21363521],-0.136829692626
39,[-0.18526618 -1.30277324],"[ 0.69905976 -0.54880877  1.0490807   0.3154099  -0.92547529  0.53459111
 -0.32942972  0.39777961  0.65008236 -0.56668392  0.        ]",[-0.90517069 -0.47165869],-2.42708,"[[ 0.9294019  -3.00307022 -0.10541452  0.06018191]
 [-7.29266836 -0.01358     0.          0.        ]]",[-0.31113699 -0.21363521],-0.135793098191
40,[-0.19013725 -1.30122781],"[ 0.87928421 -0.54876661  0.86504025  0.31466722 -0.92547403  0.5345906
 -0.61578235  0.40287079  0.62609764 -0.57492964  0.        ]",[-0.29092267 -0.71767881],-2.27865,"[[  0.7490393   -3.00285583  -0.10541452   0.06018191]
 [-10.73213045   0.02167074   0.           0.        ]]",[-0.31113699 -0.21363521],-0.133872450396
41,[-0.19131176 -1.30495739],"[ 1.05811618 -0.54873593  0.59011688  0.31413013 -0.92547277  0.5345901
 -0.69399075  0.39970719  0.59496846 -0.57859344  0.        ]",[ 0.82428915 -1.08212397],-2.0836,"[[  5.24971482e-01  -3.00270081e+00  -1.05414515e-01   6.01819132e-02]
 [ -1.16715203e+01  -2.29812093e-04   0.00000000e+00   0.00000000e+00]]",[-0.31113699 -0.21363521],-0.130957249092
42,[-0.16272748 -1.30226612],"[ 1.16810657 -0.54880265  0.31425661  0.31532792 -0.92547151  0.5345896
 -0.40304202  0.39630397  0.56714781 -0.57519572  0.        ]",[-0.18081172 -0.99561936],-2.13624,"[[ 0.32660406 -3.00304677 -0.10541452  0.06018191]
 [-8.17686762 -0.02378934  0.          0.        ]]",[-0.31113699 -0.21363521],-0.127920802113
43,[-0.0886194  -1.27335858],"[ 1.22254163 -0.54888399  0.06346341  0.31679015 -0.92547025  0.53458909
 -0.44916617  0.39725993  0.54432646 -0.56757109  0.        ]",[-0.57324325 -0.1693697 ],-2.25084,"[[ 0.15750811 -3.00346907 -0.10541452  0.06018191]
 [-8.73088052 -0.0171685   0.          0.        ]]",[-0.31113699 -0.21363521],-0.125099479461
44,[-0.00576974 -1.24185252],"[ 1.23820636 -0.54876427 -0.2347823   0.31466197 -0.92546899  0.53458859
 -0.62373483  0.40712395  0.52003933 -0.55477117  0.        ]",[-0.86509423 -3.16768819],-1.98659,"[[ -0.03814728  -3.00285461  -0.10541452   0.06018191]
 [-10.82767271   0.05112642   0.           0.        ]]",[-0.31113699 -0.21363521],-0.121765778012
45,[ 0.08672602 -1.21108997],"[ 1.18421433 -0.54874991 -0.60929146  0.3144153  -0.92546773  0.53458808
 -0.89105124  0.39672068  0.49323939 -0.53112822  0.        ]",[-0.26854284 -1.10586286],-2.05193,"[[ -0.28691587  -3.00278345  -0.10541452   0.06018191]
 [-14.03848465  -0.02089716   0.           0.        ]]",[-0.31113699 -0.21363521],-0.117398661076
46,[ 0.19753736 -1.16711593],"[ 1.02253535 -0.54884173 -1.00896915  0.31606191 -0.92546647  0.53458758
 -0.95643268  0.39651649  0.47031741 -0.49530879  0.        ]",[-0.30325761  0.72264635],-2.31627,"[[ -0.575565    -3.00325901  -0.10541452   0.06018191]
 [-14.82381181  -0.02230852   0.           0.        ]]",[-0.31113699 -0.21363521],-0.112543923991
47,[ 0.27919012 -1.11069798],"[ 0.75008599 -0.54280621 -1.35640387  0.21836942 -0.92546521  0.53458707
 -1.03195007  0.80988767  0.4408539  -0.4716293   0.        ]",[ 1.72738634 -1.37533226],-1.81635,"[[ -0.88114231  -2.97499055  -0.10541452   0.06018191]
 [-15.73088682   2.83962465   0.           0.        ]]",[-0.31113699 -0.21363521],-0.107909786549
48,[ 0.48415112 -1.08414841],"[ 0.44021752 -0.5387698  -1.57432841  0.16154274 -0.92546395  0.53458657
 -0.67640343  0.22989874  0.42371021 -0.43429608  0.        ]",[ 0.60431344  0.51947747],-2.16626,"[[ -1.15291218  -2.95848657  -0.10541452   0.06018191]
 [-11.46034527  -1.17585773   0.           0.        ]]",[-0.31113699 -0.21363521],-0.103559746743
49,[ 0.53549111 -1.06697941],"[ 0.18134418 -0.53944119 -1.67073598  0.17063481 -0.92546269  0.53458607
 -0.45830667  0.53038544  0.42832091 -0.39621239  0.        ]",[ 1.61483678 -0.97958427],-1.81864,"[[-1.35583581 -2.96113046 -0.10541452  0.06018191]
 [-8.84074217  0.90452782  0.          0.        ]]",[-0.31113699 -0.21363521],-0.101471268298
