timestep,avg_action_dist,obs,actions,rewards,human_obs,logstd_action_dist,original_rewards
0,[-3.68622541 -3.06727409],"[ 1.01612192  1.39700242  0.02386797  0.6918832   0.70090523 -1.64017209
  0.09946482  0.32673657  0.69243835  2.36803524  0.        ]",[-3.64863001 -3.2194049 ],-6.57435,"[[ 0.02539645  0.00289032  0.08244879 -0.19084732]
 [-0.00091752 -0.00095806  0.          0.        ]]",[-0.7803759  -0.54678708],-0.234224801471
1,[-2.85604787 -1.63995504],"[ 1.01642409  1.39621866 -0.03867709  0.58829752  0.70090494 -1.6401704
 -0.35739243 -0.29351316  0.69167242  2.22646286  0.        ]",[-2.65941381 -2.5457049 ],-6.35498,"[[-0.01429678 -0.03684105  0.08244879 -0.19084732]
 [-3.95524539 -3.95899238  0.          0.        ]]",[-0.7803759  -0.54678708],-0.223635051647
2,[-1.54252768  0.2771585 ],"[ 1.00455502  1.38310194 -0.22401251  0.28190618  0.70090465 -1.64016872
 -0.80522334 -0.90148592  0.64008506  1.81056718  0.        ]",[-2.04964227 -0.50337317],-5.58289,"[[-0.13229248 -0.15494711  0.08244879 -0.19084732]
 [-7.8314471  -7.83868434  0.          0.        ]]",[-0.7803759  -0.54678708],-0.190755426014
3,[ 0.52479577  2.17305613],"[ 0.94371329  1.33433149 -0.52239264 -0.16101974  0.70090436 -1.64016704
 -1.24431809 -1.18926223  0.41468734  1.19767168  0.        ]",[ 0.25797489  1.35474451],-4.46353,"[[ -0.32705316  -0.33014622   0.08244879  -0.19084732]
 [-11.63203698  -9.6750917    0.           0.        ]]",[-0.7803759  -0.54678708],-0.135076096444
4,[ 1.26921415  1.79555452],"[ 0.81591098  1.2647871  -0.83600797 -0.52445853  0.70090407 -1.64016536
 -1.10004833 -0.53879158  0.02293389  0.67406601  0.        ]",[ 0.06331815  1.7818241 ],-3.54128,"[[ -0.54716558  -0.48200098   0.08244879  -0.19084732]
 [-10.38331651  -5.52420951   0.           0.        ]]",[-0.7803759  -0.54678708],-0.0744641626497
5,[ 1.97224796  1.38836467],"[ 0.64755079  1.22485005 -1.09061759 -0.68234924  0.70090378 -1.64016368
 -1.04756751  0.09884995 -0.36937364  0.36246002  0.        ]",[ 2.0935279   1.19853322],-2.89692,"[[-0.75027485 -0.55165943  0.08244879 -0.19084732]
 [-9.92907425 -1.45519396  0.          0.        ]]",[-0.7803759  -0.54678708],-0.0259385888855
6,[ 1.44397748  0.26383168],"[ 0.48873971  1.23141981 -1.25757168 -0.65806123  0.70090349 -1.640162
 -0.56797267  0.72364908 -0.63889139  0.20950708  0.        ]",[ 1.13097539 -0.30215453],-2.58053,"[[-0.90720704 -0.54075957  0.08244879 -0.19084732]
 [-5.77794438  2.5318705   0.          0.        ]]",[-0.7803759  -0.54678708],-0.00792943309888
7,[ 0.80980021  0.30704176],"[ 0.40555986  1.25346168 -1.32656046 -0.5718929   0.7009032  -1.64016032
 -0.09765094  0.52808491 -0.73814123  0.15601801  0.        ]",[ 0.63276319  1.47939573],-2.99238,"[[-0.98192156 -0.50264328  0.08244879 -0.19084732]
 [-1.70707713  1.28390825  0.          0.        ]]",[-0.7803759  -0.54678708],-0.0175386266188
8,[ 0.0445491  -0.95945764],"[ 0.39558661  1.28769616 -1.33412558 -0.42047452  0.70090291 -1.64015864
  0.19529267  1.14445042 -0.68443392  0.1585694   0.        ]",[-0.53986559 -1.8125249 ],-2.48881,"[[-0.99062279 -0.43750155  0.08244879 -0.19084732]
 [ 0.82849462  5.21715622  0.          0.        ]]",[-0.7803759  -0.54678708],-0.0121110732414
9,[ 0.76613539  0.00244218],"[ 0.3898205   1.31681377 -1.33843407 -0.26814493  0.70090262 -1.64015696
 -0.05317593  0.50789552 -0.62583635  0.16783494  0.        ]",[ 0.13029239 -0.33846239],-2.63218,"[[-0.99563082 -0.37391458  0.08244879 -0.19084732]
 [-1.32212312  1.15507815  0.          0.        ]]",[-0.7803759  -0.54678708],-0.00611758341399
10,[ 0.82650971  0.26121163],"[ 0.3654356   1.3207593  -1.35614447 -0.24522665  0.70090233 -1.64015528
  0.0094545   0.29426654 -0.65572076  0.1525332   0.        ]",[ 1.93062462  0.10173721],-2.70993,"[[-1.01663424 -0.36449085  0.08244879 -0.19084732]
 [-0.78002616 -0.20816209  0.          0.        ]]",[-0.7803759  -0.54678708],-0.00935243728488
11,[-0.23423916 -0.35007924],"[ 0.39355389  1.32071898 -1.33564683 -0.24545805  0.70090204 -1.6401536
  0.46826949  0.35780778 -0.60986529  0.17295503  0.        ]",[-0.16336985 -0.46621381],-2.60929,"[[-0.99238986 -0.36458586  0.08244879 -0.19084732]
 [ 3.19124184  0.19731727  0.          0.        ]]",[-0.7803759  -0.54678708],-0.00445810500247
12,[-0.2096307   0.04194871],"[ 0.45757709  1.31455632 -1.28469164 -0.28095595  0.70090175 -1.64015192
  0.38638857  0.06795606 -0.51936739  0.22104161  0.        ]",[-0.35491675  0.18270318],-2.66378,"[[-0.93567579 -0.37919758  0.08244879 -0.19084732]
 [ 2.48252388 -1.65232636  0.          0.        ]]",[-0.7803759  -0.54678708],-0.00614627557871
13,[-0.08757836  0.10088211],"[ 0.49586514  1.30327246 -1.25113255 -0.3422986   0.70090146 -1.64015024
  0.21846787  0.186534   -0.48178346  0.24782363  0.        ]",[ 0.17001819 -0.23466016],-2.59239,"[[-0.90060803 -0.40465198  0.08244879 -0.19084732]
 [ 1.02908989 -0.89563951  0.          0.        ]]",[-0.7803759  -0.54678708],-0.0106255320694
14,[-0.28886092  0.20834261],"[ 0.52476798  1.29051928 -1.22412616 -0.40677983  0.70090117 -1.64014856
  0.29386283  0.04367009 -0.46095769  0.26694602  0.        ]",[-0.16720316 -0.63961542],-2.56481,"[[-0.8734787  -0.4317118   0.08244879 -0.19084732]
 [ 1.68167016 -1.80730278  0.          0.        ]]",[-0.7803759  -0.54678708],-0.0133421974411
15,[-0.0678096   0.92024553],"[ 0.5525507   1.25884895 -1.19670808 -0.54958384  0.70090088 -1.64014688
  0.21370297 -0.34756038 -0.47732129  0.27594506  0.        ]",[ 0.05518835  0.86640014],-2.77658,"[[-0.8468065  -0.49290679  0.08244879 -0.19084732]
 [ 0.98784887 -4.303878    0.          0.        ]]",[-0.7803759  -0.54678708],-0.0126145035491
16,[-0.3424902   0.21099669],"[ 0.57471637  1.22964349 -1.17373926 -0.66465055  0.70090059 -1.6401452
  0.23652389  0.20337835 -0.49225646  0.28452636  0.        ]",[-1.05501491 -0.28012889],-2.58112,"[[-0.8250678  -0.54370992  0.08244879 -0.19084732]
 [ 1.18537538 -0.78815134  0.          0.        ]]",[-0.7803759  -0.54678708],-0.012184158009
17,[ 0.7441622   1.08853304],"[ 0.55822173  1.21324832 -1.1909249  -0.72379398  0.7009003  -1.64014352
 -0.22320901  0.03222725 -0.54991915  0.26293202  0.        ]",[ 0.65222133  1.02735504],-2.79637,"[[-0.84128473 -0.57043103  0.08244879 -0.19084732]
 [-2.79383079 -1.880324    0.          0.        ]]",[-0.7803759  -0.54678708],-0.00785872320962
18,[ 0.00970878 -0.06752503],"[ 0.52765721  1.21480209 -1.22133921 -0.71833389  0.70090001 -1.64014184
  0.081123    0.65841117 -0.60091538  0.23658647  0.        ]",[-0.45217578 -0.19507421],-2.58611,"[[-0.87073235 -0.56794543  0.08244879 -0.19084732]
 [-0.15969389  2.11556671  0.          0.        ]]",[-0.7803759  -0.54678708],-0.00639145343124
19,[ 0.51561373  0.25473708],"[ 0.50527507  1.23554269 -1.24249791 -0.6424633   0.70089972 -1.64014016
 -0.12515318  0.53090493 -0.60291201  0.22384529  0.        ]",[ 1.01083825  0.53259643],-2.69353,"[[-0.8918399  -0.53379781  0.08244879 -0.19084732]
 [-1.94511108  1.3019081   0.          0.        ]]",[-0.7803759  -0.54678708],-0.00560871596579
20,[-0.52379882 -0.71143055],"[ 0.50652465  1.26213893 -1.24133933 -0.53570047  0.70089943 -1.64013848
  0.33626733  0.85711424 -0.55059594  0.23457107  0.        ]",[-0.48006469 -1.79419329],-2.46995,"[[-0.89067087 -0.48687376  0.08244879 -0.19084732]
 [ 2.04869926  3.38356071  0.          0.        ]]",[-0.7803759  -0.54678708],-0.00537588201659
21,[-0.03611026  0.27108669],"[ 0.52932523  1.27656547 -1.21972238 -0.47238596  0.70089914 -1.6401368
  0.11233511  0.22623253 -0.48240093  0.26281973  0.        ]",[ 0.13808489 -0.40774814],-2.57233,"[[-0.86914386 -0.45959534  0.08244879 -0.19084732]
 [ 0.11046237 -0.6423044   0.          0.        ]]",[-0.7803759  -0.54678708],-0.0114315678818
22,[-0.0696335   0.57953632],"[ 0.53735437  1.26124471 -1.21188031 -0.53948055  0.70089885 -1.64013512
  0.1752628  -0.0248117  -0.49911836  0.2623774   0.        ]",[ 0.75917497  0.33034485],-2.65024,"[[-0.86146977 -0.48851479  0.08244879 -0.19084732]
 [ 0.655131   -2.24430051  0.          0.        ]]",[-0.7803759  -0.54678708],-0.0102105841137
23,[-0.92073041 -0.15601869],"[ 0.5814578   1.24368198 -1.16654442 -0.61100449  0.70089856 -1.64013344
  0.52070108  0.18696156 -0.45501013  0.29768416  0.        ]",[-0.92363267  1.24643479],-2.86319,"[[-0.81836839 -0.51984191  0.08244879 -0.19084732]
 [ 3.64505942 -0.8929055   0.          0.        ]]",[-0.7803759  -0.54678708],-0.0155939723272
24,[-0.44864649 -0.64847523],"[ 0.61647816  1.2561522  -1.12759326 -0.56076485  0.70089827 -1.64013176
  0.09004523  0.81043891 -0.36943794  0.34350847  0.        ]",[-0.69087659 -0.3968849 ],-2.67219,"[[-0.78286656 -0.49778119  0.08244879 -0.19084732]
 [-0.08246363  3.08570953  0.          0.        ]]",[-0.7803759  -0.54678708],-0.0248785330782
