timestep,avg_action_dist,logstd_action_dist,actions,rewards,human_obs,obs,original_rewards
0,[-3.01944661 -3.88085938],[-0.86577016 -0.64769185],[-3.15384363 -4.10192143],-7.93047,"[[ 0.08973581 -0.04116618 -0.15017291 -0.07369574]
 [ 0.00171414  0.00301038  0.          0.        ]]","[ 1.00845801  1.37430967  0.13672017  0.62198595 -1.31038464 -0.63233108
  0.07818503  0.32305149  3.07764222  1.20296947  0.        ]",-0.370250119239
1,[-3.03547025 -3.51311469],[-0.86577016 -0.64769185],[-2.95653928 -2.91512799],-7.94201,"[[ 0.05009465 -0.08081897 -0.15017291 -0.07369574]
 [-3.95267242 -3.9551027   0.          0.        ]]","[ 1.01227448  1.37146063  0.07449372  0.52468334 -1.31038376 -0.63233086
 -0.39705874 -0.30825602  3.08124567  1.05653379  0.        ]",-0.367792486159
2,[-2.85568857 -3.25580812],[-0.86577016 -0.64769185],[-3.28625439 -4.17545889],-7.65524,"[[-0.06785037 -0.19884799 -0.15017291 -0.07369574]
 [-7.82895768 -7.83486893  0.          0.        ]]","[ 1.01083148  1.35208532 -0.11100038  0.23749704 -1.31038288 -0.63233064
 -0.86291603 -0.92706724  3.04112045  0.62424659  0.        ]",-0.358069643442
3,[-2.29115582 -2.47057223],[-0.86577016 -0.64769185],[-2.67102587 -1.98305884],-7.38843,"[[ -0.26255522  -0.39370138  -0.15017291  -0.07369574]
 [-11.62898877 -11.63777982   0.           0.        ]]","[ 0.96676392  1.28515172 -0.41275672 -0.21997134 -1.31038199 -0.63233042
 -1.31960849 -1.53361942  2.81556034 -0.03811006  0.        ]",-0.334460924472
4,[-0.83531725 -0.26367661],[-0.86577016 -0.64769185],[-0.70609961 -0.49917682],-6.88468,"[[ -0.53251604  -0.66385609  -0.15017291  -0.07369574]
 [-15.3549508  -15.36522341   0.           0.        ]]","[ 0.82313488  1.1250368  -0.80327356 -0.79171565 -1.31038111 -0.6323302
 -1.76739822 -2.12813294  2.23182622 -0.73255843  0.        ]",-0.287747309209
5,[ 0.75014985  2.1616869 ],[-0.86577016 -0.64769185],[ 0.47354732  2.17718202],-5.86949,"[[ -0.86461416  -0.98792349  -0.15017291  -0.07369574]
 [-17.8468517  -17.03588453   0.           0.        ]]","[ 0.53008292  0.84552107 -1.20164085 -1.32947407 -1.31038023 -0.63232998
 -2.06687564 -2.39459431  1.2944555  -1.06315051  0.        ]",-0.213799268252
6,[ 1.55210984  2.88374138],[-0.86577016 -0.64769185],[ 1.79557565  3.44558192],-4.42633,"[[ -1.19925041  -1.28552415  -0.15017291  -0.07369574]
 [-15.62392962 -12.7385029    0.           0.        ]]","[ 0.13602159  0.528522   -1.47061863 -1.63606003 -1.31037935 -0.63232977
 -1.7997201  -1.70917415  0.42786345 -0.81571222  0.        ]",-0.131834269859
7,[ 1.73672795  2.66213274],[-0.86577016 -0.64769185],[ 0.95625583  3.52625806],-3.506,"[[ -1.46895147  -1.49803668  -0.15017291  -0.07369574]
 [-11.36007922  -8.52682826   0.           0.        ]]","[-0.22428203  0.2825608  -1.56984022 -1.72891718 -1.31037847 -0.63232955
 -1.28728447 -1.03742543 -0.05420851 -0.33308719  0.        ]",-0.0687042822305
8,[ 1.6367197   2.05690551],[-0.86577016 -0.64769185],[ 2.29641703  2.96078598],-3.33176,"[[-1.65594315 -1.62715435 -0.15017291 -0.07369574]
 [-7.3522463  -4.39873087  0.          0.        ]]","[-0.48165213  0.13051817 -1.57229211 -1.73151695 -1.31037758 -0.63232933
 -0.80561794 -0.37900745 -0.25011154  0.06531429  0.        ]",-0.0343851321115
9,[ 0.94312656  1.09344304],[-0.86577016 -0.64769185],[ 1.1105789   0.83942801],-3.17594,"[[-1.76182759 -1.67453215 -0.15017291 -0.07369574]
 [-3.24978147 -0.35255627  0.          0.        ]]","[-0.62614915  0.07487171 -1.54936489 -1.72220201 -1.3103767  -0.63232911
 -0.31257863  0.26634409 -0.31971897  0.27222059  0.        ]",-0.0269856153036
