timestep,avg_action_dist,obs,actions,rewards,human_obs,logstd_action_dist,original_rewards
0,[ 0.0631915 -1.0775001],"[ 1.16074565  2.05226633  0.08694511  0.80622469  1.29937651 -0.41324071
  0.47317747  0.36213607  0.23427418  0.54410746  0.        ]",[ 1.86690473 -0.23430777],-1.43579,"[[ 0.0193521   0.02408829  0.1484408  -0.04984052]
 [ 0.00200337  0.00219051  0.          0.        ]]",[-0.19087593 -0.22266234],-0.0835024527789
1,[-0.07079298 -1.14283466],"[ 1.15859562  2.0524889   0.14636623  0.77844065  1.29936989 -0.4132398
  0.76421937  0.22998026  0.23166023  0.6020234   0.        ]",[-1.78166082  0.19545803],-1.67456,"[[ 0.05908589  0.01480767  0.1484408  -0.04984052]
 [ 3.95820194 -0.92714957  0.          0.        ]]",[-0.19087593 -0.22266234],-0.0883736007938
2,[-0.00723211 -1.10745764],"[ 1.15441771  2.0526041   0.20408553  0.74676863  1.29936326 -0.41323888
  0.46741522  0.3428684   0.22738937  0.65701835  0.        ]",[-0.03247984 -0.77842311],-1.47564,"[[ 0.09777082  0.00422972  0.1484408  -0.04984052]
 [-0.07627458 -0.13329631  0.          0.        ]]",[-0.19087593 -0.22266234],-0.0931389930262
3,[ 0.08899149 -1.03967762],"[ 1.15478192  2.05201695  0.19993235  0.64628553  1.29935664 -0.41323796
  0.45816059 -0.09505505  0.23007539  0.62324124  0.        ]",[-1.18181104 -0.36772337],-1.5531,"[[ 0.09498334 -0.0293343   0.1484408  -0.04984052]
 [-0.20205928 -3.21284281  0.          0.        ]]",[-0.19087593 -0.22266234],-0.090184288435
4,[ 0.34953773 -0.89451289],"[ 1.15917183  2.04480138  0.13472489  0.41271744  1.29935002 -0.41323704
  0.16747106 -0.2928452   0.23291385  0.48258956  0.        ]",[-0.41038339  0.57190904],-1.56305,"[[ 0.05129708 -0.10754639  0.1484408  -0.04984052]
 [-4.15341752 -4.60373528  0.          0.        ]]",[-0.19087593 -0.22266234],-0.0783088887433
5,[ 0.52983004 -0.81852323],"[ 1.15944146  2.03177359 -0.01270754  0.20991518  1.29934339 -0.41323613
  0.05401462  0.04222802  0.21408787  0.26060482  0.        ]",[ 0.35856559  0.84966773],-1.3556,"[[-0.04724482 -0.17597978  0.1484408  -0.04984052]
 [-5.69563451 -2.24745669  0.          0.        ]]",[-0.19087593 -0.22266234],-0.0622824239728
6,[ 0.54829878 -0.83588135],"[ 1.14636269  2.02914419 -0.15948667  0.17824748  1.29933677 -0.41323521
  0.16655707  0.52689749  0.18255082  0.09133125  0.        ]",[ 1.10900961 -0.9709174 ],-0.774156,"[[-0.14580872 -0.18673272  0.1484408  -0.04984052]
 [-4.16583859  1.160804    0.          0.        ]]",[-0.19087593 -0.22266234],-0.0544742816447
7,[ 0.59283626 -0.79455793],"[ 1.13655498  2.02506617 -0.22262595  0.13241313  1.29933015 -0.41323429
  0.46375241 -0.02328764  0.16039352  0.01034047  0.        ]",[ 1.40672592  0.5241863 ],-1.0017,"[[-0.18859303 -0.20233522  0.1484408  -0.04984052]
 [-0.12604986 -2.70815641  0.          0.        ]]",[-0.19087593 -0.22266234],-0.0526123512684
8,[ 0.4268105  -0.89736545],"[ 1.14521162  2.01546519 -0.16777165  0.03650465  1.29932353 -0.41323337
  0.75490076  0.27927724  0.16641032  0.04287875  0.        ]",[ 0.29748553 -2.30299043],-0.521809,"[[-0.1514063  -0.23515085  0.1484408  -0.04984052]
 [ 3.83155214 -0.58048814  0.          0.        ]]",[-0.19087593 -0.22266234],-0.0527268313928
9,[ 0.42095375 -0.87364644],"[ 1.15816404  1.99767695 -0.03731596 -0.11167195  1.2993169  -0.41323246
  0.83601104 -0.28221941  0.18413405  0.14161151  0.        ]",[-0.71530404 -0.82678388],-0.903756,"[[-0.06371288 -0.28637718  0.1484408  -0.04984052]
 [ 4.93411769 -4.52898168  0.          0.        ]]",[-0.19087593 -0.22266234],-0.0549854036576
10,[ 0.59575152 -0.75154066],"[ 1.16093078  1.94153313  0.0663808  -0.45633854  1.29931028 -0.41323154
  0.62074132 -0.73484985  0.16965486  0.1534227   0.        ]",[ 0.88236398  0.1216398 ],-1.0554,"[[  5.61106073e-03  -4.08892205e-01   1.48440801e-01  -4.98405243e-02]
 [  2.00798845e+00  -7.71192480e+00   0.00000000e+00   0.00000000e+00]]",[-0.19087593 -0.22266234],-0.0532286295302
11,[ 0.53880197 -0.77813137],"[ 1.15650046  1.8492115   0.17818174 -0.84815226  1.29930366 -0.41323062
  0.87460212 -0.64481718  0.14183668  0.15491254  0.        ]",[-0.96275732 -0.00795514],-1.1058,"[[ 0.08039289 -0.5567788   0.1484408  -0.04984052]
 [ 5.45874234 -7.07882167  0.          0.        ]]",[-0.19087593 -0.22266234],-0.0495474118373
12,[ 0.68870807 -0.68479896],"[ 1.14542651  1.73838915  0.2820534  -1.18845596  1.29929704 -0.41322971
  0.58644455 -0.62916758  0.10765029  0.15630975  0.        ]",[ 1.2644136  -0.24225162],-0.985202,"[[ 0.15026891 -0.69725093  0.1484408  -0.04984052]
 [ 1.54185646 -6.96878455  0.          0.        ]]",[-0.19087593 -0.22266234],-0.0450300139053
13,[ 0.64959937 -0.68998706],"[ 1.12760248  1.6000702   0.38534634 -1.50516153  1.29929042 -0.41322879
  0.87527777 -0.74612836  0.0630963   0.15474121  0.        ]",[ 0.3713982  -0.64272263],-0.924835,"[[ 0.22049752 -0.84487926  0.1484408  -0.04984052]
 [ 5.46798171 -7.79127365  0.          0.        ]]",[-0.19087593 -0.22266234],-0.0390908563494
14,[ 0.65507996 -0.6539107 ],"[ 1.08048955  1.40568191  0.56210143 -1.82451361  1.2992838  -0.41322787
  0.97548172 -1.08613072  0.00952925  0.2090075   0.        ]",[ 1.42141354  0.15591709],-1.0899,"[[  0.34352355  -1.02469405   0.1484408   -0.04984052]
 [  6.83009386 -10.18221543   0.           0.        ]]",[-0.19087593 -0.22266234],-0.0342735876444
15,[ 0.46125472 -0.72969133],"[ 0.97998346  1.16908015  0.79970387 -2.0777605   1.29927717 -0.41322695
  1.25663702 -0.96976718 -0.05534915  0.32099035  0.        ]",[-0.09038788  0.27843546],-1.22947,"[[  0.51846963  -1.22012937   0.1484408   -0.04984052]
 [ 10.65189544  -9.36396715   0.           0.        ]]",[-0.19087593 -0.22266234],-0.0361816776491
16,[ 0.30435327 -0.77794385],"[ 0.81391546  0.94286128  1.05143769 -2.21352679  1.29927055 -0.41322604
  1.21482359 -0.78653846 -0.12785778  0.47650881  0.        ]",[ 1.43846008 -2.9423936 ],-0.891176,"[[  0.72580577  -1.39448114   0.1484408   -0.04984052]
 [ 10.08360631  -8.07551215   0.           0.        ]]",[-0.19087593 -0.22266234],-0.0496624503437
17,[ 0.08108786 -0.83596092],"[ 0.56786209  0.67546945  1.28855246 -2.25910458  1.29926393 -0.41322512
  1.4913734  -1.32688648 -0.24092136  0.62960734  0.        ]",[ 0.37034877 -0.32483814],-1.51408,"[[  0.96519467  -1.59411694   0.1484408   -0.04984052]
 [ 13.84285372 -11.87530799   0.           0.        ]]",[-0.19087593 -0.22266234],-0.0673942298558
18,[-0.14965147 -0.90559328],"[ 0.21297887  0.34617281  1.48025734 -2.1503303   1.29925731 -0.4132242
  1.57911882 -1.4762499  -0.41327322  0.76023744  0.        ]",[ 1.49047791 -0.58411765],-1.74155,"[[  1.25401981  -1.84216234   0.1484408   -0.04984052]
 [ 15.03571638 -12.92570114   0.           0.        ]]",[-0.19087593 -0.22266234],-0.0877071136192
19,[-0.42173511 -0.98972076],"[-0.24438282  0.00295545  1.55439985 -1.8175338   1.29925069 -0.41322329
  1.84850379 -1.7686321  -0.63466453  0.84255319  0.        ]",[-0.47178694 -1.52393908],-1.68887,"[[  1.59147473  -2.12130731   0.1484408   -0.04984052]
 [ 18.69767802 -14.98184835   0.           0.        ]]",[-0.19087593 -0.22266234],-0.109401384922
20,[-0.51901704 -1.01336765],"[-0.71661344 -0.33610581  1.45223104 -1.15755704  1.29924407 -0.41322237
  1.6839484  -2.28934563 -0.88317073  0.79993161  0.        ]",[ 0.29422315 -0.05696371],-2.17446,"[[  1.94298893  -2.45768413   0.1484408   -0.04984052]
 [ 16.461032   -18.64374367   0.           0.        ]]",[-0.19087593 -0.22266234],-0.12579693023
21,[-0.58941466 -1.04866934],"[-1.11321151 -0.5735482   1.19318914 -0.18627514  1.29923745 -0.41322145
  1.74570017 -2.26882008 -1.1110405   0.63743094  0.        ]",[-1.9476943   0.09525742],-1.93963,"[[  2.2806338   -2.82911215   0.1484408   -0.04984052]
 [ 17.30061294 -18.49959094   0.           0.        ]]",[-0.19087593 -0.22266234],-0.137872625843
22,[-0.58702344 -1.06779456],"[-1.38382521 -0.63767198  0.85059039  0.61675142  1.29923083 -0.41322053
  1.42928358 -0.2654933  -1.24999682  0.46852109  0.        ]",[ 0.77095905 -1.37970189],-1.69706,"[[  2.58349159  -3.10237304   0.1484408   -0.04984052]
 [ 12.99962137  -4.41179476   0.           0.        ]]",[-0.19087593 -0.22266234],-0.146225503717
23,[-0.64323092 -1.1050396 ],"[-1.54283029 -0.6379737   0.45726027  0.63544622  1.2992242  -0.41321962
  1.63491896  0.61724427 -1.24639122  0.49487557  0.        ]",[-0.56182723 -1.20759127],-1.66829,"[[  2.87153209  -3.10862172   0.1484408   -0.04984052]
 [ 15.79501776   1.79579515   0.           0.        ]]",[-0.19087593 -0.22266234],-0.146873286944
24,[-0.61762542 -1.09542239],"[-1.59243748 -0.63503312  0.02743064  0.51315591  1.29921758 -0.4132187
  1.44826324  0.63487069 -1.25325296  0.55623496  0.        ]",[-0.65837635 -1.26128715],-1.70701,"[[  3.16197668  -3.0677162    0.1484408   -0.04984052]
 [ 13.25787799   1.91975921   0.           0.        ]]",[-0.19087593 -0.22266234],-0.150557815795
25,[-0.57641083 -1.07823908],"[-1.5475801  -0.63131312 -0.32215297  0.42081289  1.29921096 -0.41321778
  1.23718098  0.52831174 -1.27829192  0.59799601  0.        ]",[ 0.38873448 -1.0725518 ],-1.92264,"[[  3.39834644  -3.03674939   0.1484408   -0.04984052]
 [ 10.38866139   1.17042712   0.           0.        ]]",[-0.19087593 -0.22266234],-0.15574421921
26,[-0.53802884 -1.0628581 ],"[-1.43844502 -0.62868128 -0.63045359  0.36945889  1.29920434 -0.41321686
  1.33526805  0.44746056 -1.30931805  0.61865954  0.        ]",[-1.04613547 -1.67316529],-1.7517,"[[  3.61949828  -3.01948634   0.1484408   -0.04984052]
 [ 11.72208214   0.60187545   0.           0.        ]]",[-0.19087593 -0.22266234],-0.160624763336
27,[-0.43670723 -1.0258112 ],"[-1.29480631 -0.62723511 -0.87187379  0.34415798  1.29919772 -0.41321595
  1.02692344  0.40235438 -1.33744777  0.62449249  0.        ]",[ 0.00414791  0.97894012],-2.64449,"[[ 3.81188656 -3.01096822  0.1484408  -0.04984052]
 [ 7.53071589  0.28468815  0.          0.        ]]",[-0.19087593 -0.22266234],-0.164384675931
28,[-0.36084238 -1.00790429],"[-1.15559026 -0.61810935 -1.03597892  0.21240259  1.2991911  -0.41321503
  1.01717075  0.95276528 -1.38591561  0.64270422  0.        ]",[-0.32681616 -0.96057592],-2.17846,"[[ 3.96117139 -2.96643956  0.1484408  -0.04984052]
 [ 7.39819798  4.15528032  0.          0.        ]]",[-0.19087593 -0.22266234],-0.171285349035
29,[-0.24339837 -0.95501924],"[-1.01327609 -0.60647705 -1.16222621  0.08288044  1.29918448 -0.41321411
  0.91118888  0.40019156 -1.4372126   0.64826983  0.        ]",[ 0.57897617 -1.11742259],-2.29949,"[[ 4.09468121 -2.92232115  0.1484408  -0.04984052]
 [ 5.95759738  0.26950999  0.          0.        ]]",[-0.19087593 -0.22266234],-0.177905524555
30,[-0.17071947 -0.91772187],"[-0.84766595 -0.61576238 -1.27191371  0.1837453   1.29917786 -0.4132132
  1.07113399 -0.16361877 -1.42976792  0.6216171   0.        ]",[-1.30592476 -1.07072706],-2.08478,"[[ 4.23564795 -2.95671102  0.1484408  -0.04984052]
 [ 8.13183805 -3.69527992  0.          0.        ]]",[-0.19087593 -0.22266234],-0.175686820062
31,[-0.04688026 -0.872082  ],"[-0.69500215 -0.63031979 -1.34524372  0.40066757  1.29917124 -0.41321228
  0.76803069  0.17078377 -1.38235736  0.59309552  0.        ]",[-0.56387894 -2.42284986],-1.76472,"[[ 4.35694508 -3.02998193  0.1484408  -0.04984052]
 [ 4.01169518 -1.34371972  0.          0.        ]]",[-0.19087593 -0.22266234],-0.16841849757
32,[ 0.02279045 -0.84788668],"[-0.6206384  -0.63075566 -1.37264846  0.40947096  1.29916462 -0.41321136
  0.59795257  0.42927627 -1.38752332  0.58934131  0.        ]",[-0.00307392 -0.19386943],-2.43065,"[[ 4.4139832  -3.03294043  0.1484408  -0.04984052]
 [ 1.69979476  0.47403328  0.          0.        ]]",[-0.19087593 -0.22266234],-0.168890110796
