timestep,avg_action_dist,logstd_action_dist,actions,rewards,human_obs,obs,original_rewards
0,[-2.47001719 -4.25558996],[-0.32016027 -0.24647422],[-4.2029357  -4.89314677],-5.4741,"[[-0.06631611  0.05751453 -0.15263678 -0.09521365]
 [ 0.00075961 -0.0047098   0.          0.        ]]","[ 1.1742866   2.04095401 -0.24331918  0.92064698 -1.33287718 -0.80640531
  0.2381678   0.3896276   2.68054469  0.84206738  0.        ]",-0.372853875537
1,[-1.91986334 -4.04962873],[-0.32016027 -0.24647422],[-2.56933991 -5.18667765],-5.10714,"[[-0.10597614  0.01770885 -0.15263678 -0.09521365]
 [-3.9536001  -3.96267187  0.          0.        ]]","[ 1.16973644  2.04292825 -0.30462408  0.78610315 -1.33287484 -0.80640446
 -0.10349579 -0.1862081   2.67424121  0.73260987  0.        ]",-0.369331751021
2,[-1.0298332  -3.68523788],[-0.32016027 -0.24647422],[-1.30396808 -1.95024506],-5.6371,"[[-0.22393901 -0.10047012 -0.15263678 -0.09521365]
 [-7.82980035 -7.84229665  0.          0.        ]]","[ 1.14392816  2.03645481 -0.48506812  0.38692379 -1.3328725  -0.80640362
 -0.4384062  -0.75064639  2.61464194  0.41311626  0.        ]",-0.356429591584
3,[ 0.02400991 -3.12333894],[-0.32016027 -0.24647422],[-0.19996316 -2.87539449],-4.68016,"[[ -0.41865899  -0.29547077  -0.15263678  -0.09521365]
 [-11.6296387  -11.64508083   0.           0.        ]]","[ 1.06208554  1.98576862 -0.77128521 -0.25878016 -1.33287016 -0.80640278
 -0.76671854 -1.30390396  2.39027155 -0.06558462  0.        ]",-0.327592948237
4,[ 0.37511665 -2.80669832],[-0.32016027 -0.24647422],[ 0.43625971 -2.72864419],-3.89726,"[[ -0.6568744   -0.5657827   -0.15263678  -0.09521365]
 [-12.19021181 -15.37365941   0.           0.        ]]","[ 0.89981579  1.8368738  -1.08798389 -1.08713562 -1.33286782 -0.80640194
 -0.81515226 -1.84636233  1.91509752 -0.5126693   0.        ]",-0.278115367889
5,[ 0.87393039 -2.22465944],[-0.32016027 -0.24647422],[ 1.46924291 -2.86474743],-2.83698,"[[ -0.88094759  -0.90993307  -0.15263678  -0.09521365]
 [-10.22385125 -19.02917352   0.           0.        ]]","[ 0.69255165  1.53197253 -1.33732357 -1.94423709 -1.33286548 -0.8064011
 -0.64525438 -2.37818503  1.28101518 -0.68553675  0.        ]",-0.211977473467
6,[ 1.32438862 -1.70422697],[-0.32016027 -0.24647422],[-0.07737674 -1.13880705],-2.50373,"[[ -1.04371467  -1.32647323  -0.15263678  -0.09521365]
 [ -6.06676533 -22.61287379   0.           0.        ]]","[ 0.51471666  1.03975929 -1.48152274 -2.55593149 -1.33286314 -0.80640026
 -0.28607392 -2.89955091  0.72014032 -0.50100654  0.        ]",-0.141438414373
7,[ 1.61104524 -1.28283191],[-0.32016027 -0.24647422],[ 2.88329911 -0.69113477],-1.64975,"[[ -1.16694809  -1.81396476  -0.15263678  -0.09521365]
 [ -6.25617789 -26.12457729   0.           0.        ]]","[ 0.36801306  0.40092929 -1.56728807 -2.55686191 -1.3328608  -0.80639941
 -0.30243934 -3.41042978  0.38518295 -0.03847322  0.        ]",-0.0845749941031
8,[ 1.37343073 -1.35383272],[-0.32016027 -0.24647422],[ 0.47325027  0.10572677],-2.20644,"[[ -1.2511515   -2.35872666  -0.15263678  -0.09521365]
 [ -2.17741167 -28.34416956   0.           0.        ]]","[ 0.26306343 -0.21862679 -1.61350942 -1.65957298 -1.33285846 -0.80639857
  0.04997433 -3.73331347  0.40616237  0.51657391  0.        ]",-0.0993568290611
9,[ 1.10926175 -1.72112453],[-0.32016027 -0.24647422],[ 1.27450199 -0.5690422 ],-2.76482,"[[ -1.27549005  -2.9157793   -0.15263678  -0.09521365]
 [ -0.2624242  -27.36434362   0.           0.        ]]","[ 0.2321418  -0.57030605 -1.62493484 -0.03114743 -1.33285612 -0.80639773
  0.21543311 -3.5907324   0.74401609  0.90531073  0.        ]",-0.158546573122
10,[ 0.32007873 -2.22864509],[-0.32016027 -0.24647422],[-0.90746466 -2.99883223],-2.86608,"[[-1.24095063 -3.17299279 -0.15263678 -0.09521365]
 [ 3.70310683 -1.50589565  0.          0.        ]]","[ 0.27595031 -0.603254   -1.60845191  0.83240566 -1.33285378 -0.80639689
  0.55806301  0.17124312  0.96610009  1.00194596  0.        ]",-0.187010765581
11,[ 0.22863056 -2.24961782],[-0.32016027 -0.24647422],[ 0.07878971 -3.39837743],-2.78133,"[[-1.20367014 -3.13921652 -0.15263678 -0.09521365]
 [ 0.03707707  3.09420498  0.          0.        ]]","[ 0.32265598 -0.60390216 -1.58869691  0.71817133 -1.33285143 -0.80639605
  0.24130989  0.84048103  0.92600205  0.98844717  0.        ]",-0.182115938174
12,[ 0.30618978 -2.18483567],[-0.32016027 -0.24647422],[-0.08626363 -2.52138128],-2.83676,"[[-1.1998062  -3.08068147 -0.15263678 -0.09521365]
 [ 0.34826643  2.48233735  0.          0.        ]]","[ 0.32745966 -0.6014509  -1.58653064  0.52029843 -1.33284909 -0.8063952
  0.26819717  0.75146361  0.87493668  0.96573262  0.        ]",-0.175528531128
13,[ 0.41646451 -2.09794688],[-0.32016027 -0.24647422],[ 0.17096166 -2.14991369],-2.83994,"[[ -1.19633738e+00  -3.04215323e+00  -1.52636778e-01  -9.52136475e-02]
 [ -2.21111364e-04   1.40885221e+00   0.00000000e+00   0.00000000e+00]]","[ 0.33176595 -0.59736667 -1.58456715  0.39039966 -1.33284675 -0.80639436
  0.23808689  0.59528864  0.84299732  0.94915588  0.        ]",-0.171254155531
14,[ 0.44477153 -2.07236218],[-0.32016027 -0.24647422],[ 0.20483181 -2.7666649 ],-2.71024,"[[-1.18955068 -3.02170973 -0.15263678 -0.09521365]
 [ 0.67663895  0.70125334  0.          0.        ]]","[ 0.34017438 -0.59440503 -1.58067876  0.32166404 -1.33284441 -0.80639352
  0.29656897  0.49234419  0.82637214  0.93917288  0.        ]",-0.168938643333
15,[ 0.42631075 -2.07813501],[-0.32016027 -0.24647422],[ 1.60671767 -2.21946591],-2.82185,"[[-1.16801557 -3.01187361 -0.15263678 -0.09521365]
 [ 1.47421582  0.32558282  0.          0.        ]]","[ 0.36670282 -0.59278405 -1.56790975  0.28865115 -1.33284207 -0.80639268
  0.36548125  0.43768992  0.81808724  0.93156318  0.        ]",-0.167606415539
16,[ 0.21936172 -2.21271014],[-0.32016027 -0.24647422],[ 0.78870031 -4.00140921],-2.49431,"[[-1.09909931 -3.00739917 -0.15263678 -0.09521365]
 [ 5.40431367  0.14478273  0.          0.        ]]","[ 0.44991079 -0.59200437 -1.52263671  0.27364736 -1.33283973 -0.80639184
  0.70505059  0.41138613  0.81353187  0.9192056   0.        ]",-0.16632282333
17,[-0.02857561 -2.35041332],[-0.32016027 -0.24647422],[ 0.32748051 -1.49178927],-2.84755,"[[-0.96075552 -3.00543641 -0.15263678 -0.09521365]
 [ 8.42001645  0.06252046  0.          0.        ]]","[ 0.60787712 -0.59165378 -1.41220035  0.26706849 -1.33283739 -0.806391
  0.96561354  0.399418    0.81207207  0.89734707  0.        ]",-0.164720795692
18,[-0.25966224 -2.45631862],[-0.32016027 -0.24647422],[-1.70932819 -3.11760538],-2.57697,"[[-0.78101852 -3.00459706 -0.15263678 -0.09521365]
 [ 9.54991825  0.02642948  0.          0.        ]]","[ 0.79089575 -0.59150203 -1.23279952  0.26425559 -1.33283505 -0.80639015
  1.0632384   0.39416706  0.81567789  0.87003999  0.        ]",-0.163300905546
19,[-0.2618809  -2.39779186],[-0.32016027 -0.24647422],[-1.07754217 -2.22093562],-2.6869,"[[-0.63164185 -3.00424488 -0.15263678 -0.09521365]
 [ 5.40157329  0.01099025  0.          0.        ]]","[ 0.92001488 -0.59143779 -1.05664059  0.26307531 -1.33283271 -0.80638931
  0.70481055  0.39192061  0.82241183  0.84838366  0.        ]",-0.162605930774
20,[-0.1757483  -2.30511594],[-0.32016027 -0.24647422],[ 0.18419593 -1.9965808 ],-2.70912,"[[-0.56440811 -3.00409925 -0.15263678 -0.09521365]
 [ 1.3353514   0.00451324  0.          0.        ]]","[ 0.97046381 -0.59141088 -0.97044034  0.26258718 -1.33283037 -0.80638847
  0.35347864  0.39097802  0.82644892  0.83903519  0.        ]",-0.162434217349
21,[-0.24628313 -2.34654045],[-0.32016027 -0.24647422],[-0.7940909 -1.9443582],-2.71826,"[[ -5.30649161e-01  -3.00403966e+00  -1.52636778e-01  -9.52136475e-02]
 [  2.03820111e+00   1.83879340e-03   0.00000000e+00   0.00000000e+00]]","[ 0.99388836 -0.59139956 -0.92571817  0.26238734 -1.33282803 -0.80638763
  0.41420632  0.39058865  0.8287052   0.83446653  0.        ]",-0.162382594129
22,[-0.12682959 -2.24987054],[-0.32016027 -0.24647422],[ 0.44404539 -1.1355342 ],-2.84344,"[[ -5.21835109e-01  -3.00401552e+00  -1.52636778e-01  -9.52136475e-02]
 [ -1.14618392e+00   7.39680692e-04   0.00000000e+00   0.00000000e+00]]","[ 0.99978864 -0.59139467 -0.91389157  0.26230627 -1.33282569 -0.80638679
  0.13906717  0.39042846  0.82931662  0.83327603  0.        ]",-0.162372020729
23,[-0.19324781 -2.30394673],[-0.32016027 -0.24647422],[ 0.92048038 -1.70790426],-2.75816,"[[ -5.26891496e-01  -3.00400578e+00  -1.52636778e-01  -9.52136475e-02]
 [  6.34610700e-01   2.99625485e-04   0.00000000e+00   0.00000000e+00]]","[ 0.99641277 -0.5913924  -0.9206819   0.26227345 -1.33282334 -0.80638594
  0.2929323   0.39036415  0.82895444  0.83393798  0.        ]",-0.162375825038
24,[-0.40425238 -2.44834018],[-0.32016027 -0.24647422],[ 1.65583181 -3.77446258],-2.46483,"[[ -4.77759397e-01  -3.00400183e+00  -1.52636778e-01  -9.52136475e-02]
 [  4.26649602e+00   1.22061868e-04   0.00000000e+00   0.00000000e+00]]","[ 1.02794159 -0.59139118 -0.85387159  0.26226002 -1.332821   -0.8063851
  0.6067364   0.39033804  0.83255163  0.82752079  0.        ]",-0.162351414761
