timestep,avg_action_dist,logstd_action_dist,actions,rewards,human_obs,obs,original_rewards
0,[-0.10264179 -1.91181087],[-0.29535151 -0.1868578 ],[ 0.3335552  -1.26610296],-5.24807,"[[-0.01339064  0.06247011 -0.10575376  0.1437258 ]
 [-0.0034184   0.0016893   0.          0.        ]]","[ 1.24384486  2.27334461 -0.15097625  1.01909465 -0.92626818  1.24413324
  0.30397143  0.39885026  2.25452263 -1.06429745  0.        ]",-0.345135283915
1,[-0.08093706 -1.89744282],[-0.29535151 -0.1868578 ],[-0.03799848 -1.87769572],-5.15045,"[[ -2.03916606e-04   2.27705746e-02  -1.05753756e-01   1.43725798e-01]
 [  1.31768729e+00  -3.95844360e+00   0.00000000e+00   0.00000000e+00]]","[ 1.24396324  2.27572916 -0.13107199  0.88061252 -0.92626666  1.24413045
  0.40773542 -0.17108911  2.25540293 -1.0776153   0.        ]",-0.345887379079
2,[-0.00485793 -1.87446308],[-0.29535151 -0.1868578 ],[ 0.5804025  -1.31460697],-5.24903,"[[ 0.02439527 -0.09533915 -0.10575376  0.1437258 ]
 [ 1.14280535 -7.83959395  0.          0.        ]]","[ 1.24355824  2.26964853 -0.0939442   0.46872854 -0.92626515  1.24412765
  0.39399915 -0.72966102  2.2532006  -1.14289868  0.        ]",-0.348901823592
3,[ 0.05148563 -1.85061383],[-0.29535151 -0.1868578 ],[ 0.05767239 -2.20329803],-5.09797,"[[  0.07007559  -0.2903104   -0.10575376   0.1437258 ]
 [  3.41763911 -11.6448412    0.           0.        ]]","[ 1.24063993  2.21677276 -0.02507465 -0.19836297 -0.92626363  1.24412486
  0.5726724  -1.27730724  2.23275861 -1.24036649  0.        ]",-0.351736000951
4,[ 0.17493302 -1.79642165],[-0.29535151 -0.1868578 ],[-0.24377416 -2.56156981],-5.02092,"[[  0.14005193  -0.56062235  -0.10575376   0.1437258 ]
 [  3.57940105 -15.37392265   0.           0.        ]]","[ 1.23071894  2.05913492  0.0799477  -1.05542871 -0.92626212  1.24412207
  0.5853771  -1.81398753  2.17244317 -1.35660756  0.        ]",-0.351642263564
5,[ 0.35744497 -1.69372749],[-0.29535151 -0.1868578 ],[-0.24811513 -1.51220548],-5.17271,"[[  0.20126099  -0.90477096  -0.10575376   0.1437258 ]
 [  2.54479584 -19.02876772   0.           0.        ]]","[ 1.21666617  1.73452387  0.17098374 -1.94428475 -0.9262606   1.24411928
  0.5041147  -2.33997622  2.03415437 -1.52541235  0.        ]",-0.347430813808
6,[ 0.55905622 -1.52156985],[-0.29535151 -0.1868578 ],[ 0.2914254  -1.60765498],-4.83368,"[[  0.24179992  -1.32129119  -0.10575376   0.1437258 ]
 [  1.51229429 -22.61133278   0.           0.        ]]","[ 1.20462328  1.20885184  0.23067594 -2.58236419 -0.92625908  1.24411648
  0.42301759 -2.85555071  1.77538349 -1.70807726  0.        ]",-0.334487531784
7,[ 0.50609696 -1.42290616],[-0.29535151 -0.1868578 ],[ 0.61826537 -2.45152503],-4.26359,"[[  0.28330322  -1.80875619  -0.10575376   0.1437258 ]
 [  2.63419986 -26.1234383    0.           0.        ]]","[ 1.19005999  0.52488424  0.29117206 -2.59207474 -0.92625757  1.24411369
  0.51113589 -3.3609682   1.39770301 -1.78231991  0.        ]",-0.306055709619
8,[ 0.31951886 -1.3192575 ],[-0.29535151 -0.1868578 ],[ 1.51654958 -1.11979535],-3.76128,"[[  0.35999937  -2.36576521  -0.10575376   0.1437258 ]
 [  5.02755472 -29.5659401    0.           0.        ]]","[ 1.15728911 -0.1526726   0.40097738 -1.64405609 -0.92625605  1.2441109
  0.69911858 -3.85634649  0.97456893 -1.63699197  0.        ]",-0.258413332853
9,[ 0.08710085 -1.17191362],[-0.29535151 -0.1868578 ],[ 0.24155033 -1.06125755],-3.11162,"[[  0.49926072  -2.99093766  -0.10575376   0.1437258 ]
 [  8.88600957 -32.94002479   0.           0.        ]]","[ 1.07893521 -0.54214203  0.59192831  0.27708371 -0.92625453  1.2441081
  1.00217534 -4.34185048  0.60451126 -1.25418373  0.        ]",-0.193928208988
