timestep,avg_action_dist,obs,actions,rewards,human_obs,logstd_action_dist,original_rewards
0,[-1.20165753 -1.26169264],"[ 1.01457944  1.45322202  0.10948867  0.61200382  0.96837715 -0.11279487
  0.12056099  0.33561802  0.37525041  0.49738346  0.        ]",[-2.03803242 -1.2228051 ],-3.22904,"[[ 0.08987666 -0.0104299   0.11349376 -0.01492436]
 [ 0.00341888  0.00200267  0.          0.        ]]",[-0.63632017 -0.43567616],-0.101162513894
1,[ 0.28760308  0.28238991],"[ 1.018339    1.45184161  0.04657519  0.49830533  0.96837654 -0.11279483
 -0.31024748 -0.26951616  0.38117349  0.36457784  0.        ]",[-0.05214116  0.84125785],-3.23146,"[[ 0.05026929 -0.05010264  0.11349376 -0.01492436]
 [-3.95099623 -3.95609012  0.          0.        ]]",[-0.63632017 -0.43567616],-0.0984275555073
2,[ 0.68262655 -0.17187496],"[ 1.01943913  1.44810035 -0.08128667  0.36986801  0.96837593 -0.11279479
 -0.32434928  0.25173294  0.37378956  0.13609337  0.        ]",[ 0.88788357  0.29301428],-3.17885,"[[-0.03004943 -0.0950167   0.11349376 -0.01492436]
 [-4.08043837 -0.54667816  0.          0.        ]]",[-0.63632017 -0.43567616],-0.095618740225
3,[ 0.18578766 -0.81299728],"[ 1.0161761   1.44818592 -0.15373542  0.37215696  0.96837532 -0.11279476
  0.06704449  0.43055544  0.36463971  0.03723599  0.        ]",[-0.17001435 -1.21940673],-3.19986,"[[-0.07561237 -0.0942148   0.11349376 -0.01492436]
 [-0.48781583  0.62297342  0.          0.        ]]",[-0.63632017 -0.43567616],-0.0953008995804
4,[ 0.78767794  0.12602612],"[ 1.01431472  1.44479621 -0.1797468   0.29407913  0.96837471 -0.11279472
 -0.00500843 -0.17665427  0.35463893 -0.02944203  0.        ]",[ 1.20159722  0.50521175],-3.17544,"[[-0.09200441 -0.12160434  0.11349376 -0.01492436]
 [-1.14919289 -3.3486914   0.          0.        ]]",[-0.63632017 -0.43567616],-0.0952205270989
5,[-0.18274191 -0.82837629],"[ 1.01622934  1.43713292 -0.1528861   0.16285083  0.9683741  -0.11279468
  0.42835147  0.1390841   0.34903984 -0.04478274  0.        ]",[-0.10943778 -0.07534123],-3.18732,"[[-0.07507759 -0.16785745  0.11349376 -0.01492436]
 [ 2.82863753 -1.28349605  0.          0.        ]]",[-0.63632017 -0.43567616],-0.0949231740434
6,[-0.25122675 -0.79619062],"[ 1.01967711  1.43122405 -0.07071532  0.08274756  0.96837349 -0.11279464
  0.37510329  0.09738965  0.35702796  0.03554473  0.        ]",[-1.1213874  -0.96412475],-3.19914,"[[-0.02340877 -0.19626362  0.11349376 -0.01492436]
 [ 2.33987164 -1.55621261  0.          0.        ]]",[-0.63632017 -0.43567616],-0.0945237424699
7,[ 1.04291534  0.5643127 ],"[ 1.01985768  1.41306777 -0.06011702 -0.11010391  0.96837288 -0.11279461
 -0.06075625 -0.48131199  0.34098274 -0.02723003  0.        ]",[ 1.33271085  0.11906994],-3.17442,"[[-0.01675205 -0.2653659   0.11349376 -0.01492436]
 [-1.6608996  -5.34140786  0.          0.        ]]",[-0.63632017 -0.43567616],-0.0937673469121
8,[  4.55803126e-01   1.07973814e-04],"[ 1.01998012  1.377022   -0.04928885 -0.38540676  0.96837227 -0.11279457
  0.37377414 -0.39329327  0.30925244 -0.12308956  0.        ]",[ 0.19969656  0.17207941],-3.17253,"[[-0.00995172 -0.36641782  0.11349376 -0.01492436]
 [ 2.32767107 -4.76569273  0.          0.        ]]",[-0.63632017 -0.43567616],-0.0926721005373
9,[ 0.26300973 -0.1881464 ],"[ 1.01873039  1.33693828  0.03670397 -0.615507    0.96837166 -0.11279453
  0.45479379 -0.27473764  0.29498025 -0.10213474  0.        ]",[ 0.56626621 -1.0983894 ],-3.17274,"[[ 0.04406323 -0.45395135  0.11349376 -0.01492436]
 [ 3.0713547  -3.9902405   0.          0.        ]]",[-0.63632017 -0.43567616],-0.0906719266165
10,[-0.1125609   0.17713913],"[ 1.00906092  1.26999402  0.16884277 -0.91194618  0.96837105 -0.1127945
  0.69238702 -0.86813815  0.27288028 -0.05227918  0.        ]",[ 0.48066416 -0.36628896],-3.13451,"[[ 0.12737171 -0.57269903  0.11349376 -0.01492436]
 [ 5.25223295 -7.87157743  0.          0.        ]]",[-0.63632017 -0.43567616],-0.0872347701379
11,[-0.58702207  0.2161105 ],"[ 0.97773539  1.15043827  0.36124295 -1.29815509  0.96837044 -0.11279446
  0.88829564 -1.06612849  0.22862208  0.02575248  0.        ]",[ 0.30644605  0.88792004],-3.06112,"[[ 0.25045859 -0.74312423  0.11349376 -0.01492436]
 [ 7.0504884  -9.16660396  0.          0.        ]]",[-0.63632017 -0.43567616],-0.0812438863037
