timestep,avg_action_dist,obs,actions,rewards,human_obs,logstd_action_dist,original_rewards
0,[ 3.13323951  0.17221999],"[ 1.01409998  1.37248923  0.08316759  0.53010517  0.76044967  0.8680976
  0.09056398  0.32240927  0.63831761 -0.9071147   0.        ]",[ 3.24020466 -0.52885889],-4.37441,"[[ 0.05764501 -0.07313711  0.08918997  0.09914109]
 [-0.00470387 -0.00027416  0.          0.        ]]",[-0.83408463 -0.61376518],-0.153599184271
1,[ 2.48638105 -0.06524068],"[ 1.00986749  1.37042862  0.14513449  0.47778277  0.76044936  0.86809721
  0.56169976 -0.01020416  0.63536127 -0.83822559  0.        ]",[ 3.51487222 -0.49682069],-4.31339,"[[ 0.09725058 -0.09416837  0.08918997  0.09914109]
 [ 3.9520847  -2.09586161  0.          0.        ]]",[-0.83408463 -0.61376518],-0.149729480342
2,[ 1.26019216 -0.38926613],"[ 0.98453327  1.36149286  0.32789439  0.32606973  0.76044906  0.86809682
  1.02351101 -0.31608925  0.61491969 -0.6325782   0.        ]",[ 1.70306885 -1.05114352],-4.17398,"[[ 0.21520617 -0.15542184  0.08918997  0.09914109]
 [ 7.83056442 -4.02305072  0.          0.        ]]",[-0.83408463 -0.61376518],-0.138088179258
3,[-0.28331262 -0.65152657],"[ 0.90194082  1.33163506  0.61828634  0.03500959  0.76044875  0.86809643
  1.47628571 -0.93213335  0.54658538 -0.32485602  0.        ]",[-0.41194448 -0.50147975],-3.94949,"[[  0.40996983  -0.27482555   0.08918997   0.09914109]
 [ 11.63315715  -7.90435695   0.           0.        ]]",[-0.83408463 -0.61376518],-0.120058071267
4,[-0.73586422 -0.53239101],"[ 0.75612633  1.25829508  0.90970931 -0.3762259   0.76044844  0.86809604
  1.25494484 -1.22232136  0.43388005 -0.06423801  0.        ]",[-0.47929852 -0.01700367],-3.85793,"[[ 0.62398214 -0.45125655  0.08918997  0.09914109]
 [ 9.77425461 -9.73265255  0.          0.        ]]",[-0.83408463 -0.61376518],-0.102670722753
5,[-0.92932439 -0.4212631 ],"[ 0.59898021  1.14040227  1.11693582 -0.78770715  0.76044813  0.86809565
  1.00616051 -1.2022785   0.32270577  0.06408299  0.        ]",[-1.34997702 -0.05740343],-3.79647,"[[ 0.798504   -0.64464252  0.08918997  0.09914109]
 [ 7.6848679  -9.60637991  0.          0.        ]]",[-0.83408463 -0.61376518],-0.089920642885
6,[ 0.08655152  0.49614978],"[ 0.4818459   0.98836709  1.23274686 -1.14175077  0.76044783  0.86809526
  0.51698458 -1.20793684  0.24736462  0.04843221  0.        ]",[ 0.70818911 -0.23743427],-3.74963,"[[ 0.91098237 -0.83712742  0.08918997  0.09914109]
 [ 3.57657271 -9.64203429  0.          0.        ]]",[-0.83408463 -0.61376518],-0.0826826895572
7,[-0.54223317  0.54520929],"[ 0.36991674  0.79940847  1.32170391 -1.4373729   0.76044752  0.86809487
  0.84222147 -1.32697316  0.16838299 -0.01466633  0.        ]",[-0.2195219  -0.23245394],-3.63725,"[[  1.00991897  -1.03749325   0.08918997   0.09914109]
 [  6.30804575 -10.39201284   0.           0.        ]]",[-0.83408463 -0.61376518],-0.076003403003
8,[-0.16569933  1.36590004],"[ 0.22937194  0.57035017  1.40952556 -1.65866438  0.76044721  0.86809448
  0.72396031 -1.44034466  0.05748988 -0.07487282  0.        ]",[ 1.06807318  2.13409026],-3.62277,"[[  1.12611516  -1.25250007   0.08918997   0.09914109]
 [  5.31484348 -11.10630235   0.           0.        ]]",[-0.83408463 -0.61376518],-0.0669276720814
9,[-1.88565254  0.17925441],"[ 0.04306259  0.36489916  1.49217601 -1.76029879  0.76044691  0.8680941
  1.18253924 -0.77707308 -0.08393633 -0.05850545  0.        ]",[-1.54048468  0.48851494],-3.32324,"[[ 1.27105226 -1.43269899  0.08918997  0.09914109]
 [ 9.16617875 -6.92744721  0.          0.        ]]",[-0.83408463 -0.61376518],-0.0533448571078
10,[-1.41536057  0.22210759],"[-0.14751369  0.22739564  1.54261554 -1.78354875  0.7604466   0.86809371
  0.68970594 -0.44812947 -0.21893601  0.00860323  0.        ]",[-2.15781999 -0.27204322],-3.16749,"[[ 1.41284852 -1.55045358  0.08918997  0.09914109]
 [ 5.02716949 -4.85498142  0.          0.        ]]",[-0.83408463 -0.61376518],-0.0387237267788
11,[-0.01007821  1.30202961],"[-0.22947225  0.10218895  1.55460301 -1.77470914  0.76044629  0.86809332
  0.20664343 -0.60373107 -0.28705617 -0.0414076   0.        ]",[ 0.25423433  1.09994954],-3.38404,"[[ 1.47268796 -1.65738901  0.08918997  0.09914109]
 [ 0.97021798 -5.83533025  0.          0.        ]]",[-0.83408463 -0.61376518],-0.0349065194238
12,[-0.63258117  0.39334536],"[-0.26979887  0.0140309   1.55843487 -1.75120594  0.76044599  0.86809293
  0.3240953   0.0430539  -0.32708363 -0.09623982  0.        ]",[-0.47412377  0.26423815],-3.23466,"[[ 1.50198889 -1.73321002  0.08918997  0.09914109]
 [ 1.95662627 -1.76034675  0.          0.        ]]",[-0.83408463 -0.61376518],-0.0348931861684
