timestep,avg_action_dist,logstd_action_dist,actions,rewards,human_obs,obs,original_rewards
0,[-3.04633689 -3.62023902],[-0.5370968  -0.32241157],[-2.33622584 -4.56540261],-4.49985,"[[ 0.02857475  0.08883904  0.03696037 -0.14143208]
 [-0.00495207 -0.00341611  0.          0.        ]]","[ 1.03224865  1.52696632  0.00642832  0.89851268  0.32121238 -1.22524055
  0.13463987  0.3449226   1.08384505  1.72728776  0.        ]",-0.233176127232
1,[-2.51469398 -2.4239068 ],[-0.5370968  -0.32241157],[-3.41791739 -2.04688108],-4.26802,"[[-0.01119842  0.04905896  0.03696037 -0.14143208]
 [-3.95920145 -3.96140615  0.          0.        ]]","[ 1.03270995  1.53013503 -0.05738413  0.77684512  0.32121225 -1.22523941
 -0.27048712 -0.25000423  1.0904248   1.59998394  0.        ]",-0.225362044847
2,[-1.78667176 -0.89753675],[-0.5370968  -0.32241157],[-1.15560129 -1.14426039],-3.77993,"[[-0.12927209 -0.06909499  0.03696037 -0.14143208]
 [-7.83527465 -7.84106043  0.          0.        ]]","[ 1.0216342   1.52876448 -0.2462654   0.41481613  0.32121212 -1.22523827
 -0.66760456 -0.83315616  1.06360715  1.22277748  0.        ]",-0.200842024644
3,[-0.21262273  0.92931056],[-0.5370968  -0.32241157],[-0.39168308  1.33398652],-3.46502,"[[ -0.32410002  -0.26407124   0.03696037  -0.14143208]
 [-11.63495272 -11.64387739   0.           0.        ]]","[ 0.96316706  1.49141727 -0.55040225 -0.17376875  0.32121198 -1.22523712
 -1.05689465 -1.40475768  0.87256533  0.63800796  0.        ]",-0.157046707596
4,[ 1.12882733  1.56665194],[-0.5370968  -0.32241157],[ 1.64985565  2.23031358],-2.98541,"[[ -0.5700573   -0.45490092   0.03696037  -0.14143208]
 [-12.95636724  -7.45303516   0.           0.        ]]","[ 0.82131742  1.41386293 -0.90537351 -0.72061847  0.32121185 -1.22523598
 -1.19227732 -0.77483012  0.45702752  0.0853219   0.        ]",-0.104536171212
5,[ 1.35424197  1.44612551],[-0.5370968  -0.32241157],[ 1.54843539  1.69423282],-2.54936,"[[-0.7869393  -0.56276589  0.03696037 -0.14143208]
 [-8.74577163 -3.34715623  0.          0.        ]]","[ 0.63963348  1.35309514 -1.17576854 -1.00929305  0.32121172 -1.22523484
 -0.76088603 -0.15767374  0.02716959 -0.21713864  0.        ]",-0.0684385582043
6,[ 0.94460225  0.84139526],[-0.5370968  -0.32241157],[ 0.62400254  0.40303005],-2.40746,"[[-0.92044082 -0.58932964  0.03696037 -0.14143208]
 [-4.61808365  0.67735356  0.          0.        ]]","[ 0.50516735  1.33635328 -1.31644518 -1.07759092  0.32121159 -1.22523369
 -0.33798917  0.44725197 -0.22636419 -0.32985305  0.        ]",-0.0567170040154
7,[ 0.56792599  0.40149751],[-0.5370968  -0.32241157],[ 0.59791112  0.89298785],-2.46707,"[[-0.98712265 -0.55991434  0.03696037 -0.14143208]
 [-2.05862469  2.25890087  0.          0.        ]]","[ 0.43244727  1.35484853 -1.37834048 -1.00189028  0.32121146 -1.22523255
 -0.07576313  0.68497476 -0.31433234 -0.37027434  0.        ]",-0.0559738358927
8,[-0.00736706 -0.5461517 ],[-0.5370968  -0.32241157],[ 0.38238192 -1.90160145],-2.32555,"[[-1.00416637 -0.47971715  0.03696037 -0.14143208]
 [ 0.34622318  5.74918311  0.          0.        ]]","[ 0.41332119  1.40092322 -1.39321502 -0.78854235  0.32121132 -1.22523141
  0.17062243  1.20959984 -0.26352856 -0.37572065  0.        ]",-0.0587252191712
9,[-0.2955845  -0.36956573],[-0.5370968  -0.32241157],[ 0.46258082  0.51087541],-2.45174,"[[-0.98211854 -0.40560888  0.03696037 -0.14143208]
 [ 1.85354714  1.67522231  0.          0.        ]]","[ 0.43802195  1.43764013 -1.37389574 -0.58327462  0.32121119 -1.22523026
  0.32505331  0.59724042 -0.14974013 -0.34937019  0.        ]",-0.0630799549857
