timestep,avg_action_dist,logstd_action_dist,actions,rewards,human_obs,obs,original_rewards
0,[ 1.82827783 -2.22687244],[-0.88446563 -0.69684404],[ 1.92765766 -2.09577371],-8.35152,"[[-0.05057505  0.0097735  -0.1676521   0.14823089]
 [-0.00204467 -0.00063534  0.          0.        ]]","[ 1.01263313  1.36171092 -0.07165305  0.76561881 -1.46250852  1.28326592
  0.07661036  0.3205901   3.29858037 -1.66189763  0.        ]",-0.409081662687
1,[ 1.55395067 -2.38047576],[-0.88446563 -0.69684404],[ 1.26644609 -2.01690401],-8.34667,"[[-0.01090959 -0.02998237 -0.1676521   0.14823089]
 [ 3.95540897 -3.9617446   0.          0.        ]]","[ 1.01432103  1.36123471 -0.00951265  0.66910826 -1.46250743  1.28326511
  0.55551018 -0.31645432  3.29982358 -1.61494706  0.        ]",-0.407685977038
2,[ 1.44763207 -2.82430053],[-0.88446563 -0.69684404],[ 1.34974381 -2.14427122],-8.2027,"[[ 0.10711937 -0.14817318 -0.1676521   0.14823089]
 [ 7.83457404 -7.84438382  0.          0.        ]]","[ 1.00646497  1.34879981  0.17517125  0.38346167 -1.46250634  1.28326431
  1.02493588 -0.94087861  3.29396079 -1.47521263  0.        ]",-0.40286297012
3,[ 1.17904472 -3.39705777],[-0.88446563 -0.69684404],[ 1.08759101 -3.0032134 ],-7.92967,"[[  0.30196237  -0.34324437  -0.1676521    0.14823089]
 [ 11.63709203 -11.65001466   0.           0.        ]]","[ 0.95174219  1.29274182  0.47373975 -0.07519093 -1.46250525  1.2832635
  1.48508572 -1.55291722  3.25320698 -1.24926859  0.        ]",-0.392799763579
4,[ 0.86877924 -3.76909113],[-0.88446563 -0.69684404],[ 0.54911    -4.07386222],-7.62142,"[[  0.57210364  -0.61366911  -0.1676521    0.14823089]
 [ 15.36470092 -15.37994076   0.           0.        ]]","[ 0.79387559  1.14586493  0.85621064 -0.65624296 -1.46250415  1.28326269
  1.93616946 -2.15277881  3.13566834 -0.95981858  0.        ]",-0.374851631603
5,[ 0.52540642 -3.72100377],[-0.88446563 -0.69684404],[ 0.01170735 -3.75361475],-7.29184,"[[  0.89816459  -0.9579396   -0.1676521    0.14823089]
 [ 17.23523865 -19.03483126   0.           0.        ]]","[ 0.49235796  0.85911746  1.23362647 -1.24411727 -1.46250306  1.28326189
  2.16252416 -2.74056964  2.91015456 -0.69757225  0.        ]",-0.3482851257
6,[ 0.00626314 -3.41520286],[-0.88446563 -0.69684404],[-0.38046082 -3.82759655],-6.87321,"[[  1.23993357  -1.37457093  -0.1676521    0.14823089]
 [ 16.94258061 -22.61634147   0.           0.        ]]","[ 0.07939681  0.40919207  1.49002632 -1.63937458 -1.46250197  1.28326108
  2.12710625 -3.31655432  2.59448554 -0.60059159  0.        ]",-0.316623177719
7,[-0.43618625 -2.85359144],[-0.88446563 -0.69684404],[-0.28061613 -3.06322066],-6.47051,"[[  1.56032989  -1.86211827  -0.1676521    0.14823089]
 [ 15.10294106 -26.12677214   0.           0.        ]]","[-0.35600714 -0.16136699  1.57495418 -1.58366734 -1.46250088  1.28326027
  1.90448597 -3.88110098  2.22936401 -0.74918804  0.        ]",-0.285440410058
8,[-0.50495654 -2.41995645],[-0.88446563 -0.69684404],[-0.50733633 -2.3017349 ],-6.19186,"[[  1.84824948  -2.41918245  -0.1676521    0.14823089]
 [ 13.69349956 -29.5682698    0.           0.        ]]","[-0.74983684 -0.70921694  1.51509333 -0.86339389 -1.46249979  1.28325947
  1.7339253  -4.43455275  1.80757766 -1.11228283  0.        ]",-0.258138133685
9,[-0.72912645 -2.14811039],[-0.88446563 -0.69684404],[-1.03833616 -2.53940272],-6.03325,"[[  2.09924371  -3.04439895  -0.1676521    0.14823089]
 [ 11.41372092 -27.00245904   0.           0.        ]]","[-1.06876052 -0.99919663  1.36122283  0.50629154 -1.4624987   1.28325866
  1.45804428 -4.02189562  1.28009739 -1.58186486  0.        ]",-0.236239557624
