timestep,avg_action_dist,logstd_action_dist,actions,rewards,human_obs,obs,original_rewards
0,[-1.97396696 -2.04094601],[-0.15872642 -0.20151047],[-1.45699935 -2.4257022 ],-5.6849,"[[-0.01763259 -0.02484448 -0.14957999 -0.16422551]
 [ 0.00185828  0.00103562  0.          0.        ]]","[ 1.14831094  1.91251571  0.07024546  0.62771333 -1.30122496 -1.40824898
  0.52798429  0.35013735  2.42290886  1.31376553  0.        ]",-0.392572713169
1,[-1.79955637 -1.91720796],[-0.15872642 -0.20151047],[-1.27622176 -1.83008352],-5.74066,"[[-0.05727087 -0.06453637 -0.14957999 -0.16422551]
 [-3.9525281  -3.95703809  0.          0.        ]]","[ 1.14626078  1.91018521  0.01059833  0.51684791 -1.30121639 -1.40823871
  0.22957316 -0.21278075  2.41656493  1.21697859  0.        ]",-0.386860466179
2,[-1.55372357 -1.74660254],[-0.15872642 -0.20151047],[-0.97742857 -3.03340589],-5.23856,"[[-0.17521293 -0.18260372 -0.14957999 -0.16422551]
 [-7.82880359 -7.83676682  0.          0.        ]]","[ 1.12742853  1.89122648 -0.16571444  0.18942798 -1.30120783 -1.40822844
 -0.06294342 -0.76455547  2.36165699  0.93491881  0.        ]",-0.367399959631
3,[-1.17061365 -1.49869013],[-0.15872642 -0.20151047],[-1.22781561 -2.20127185],-4.99634,"[[ -0.36901857  -0.37749507  -0.14957999  -0.16422551]
 [-11.53951478 -11.63967801   0.           0.        ]]","[ 1.05580486  1.82117718 -0.44639517 -0.33344802 -1.30119926 -1.40821818
 -0.34296585 -1.30540002  2.16102729  0.51557136  0.        ]",-0.327984008141
4,[-0.53978056 -1.1240952 ],[-0.15872642 -0.20151047],[ 0.56337672 -1.53723176],-4.17069,"[[ -0.63720714  -0.64768745  -0.14957999  -0.16422551]
 [-15.26718933 -15.36709313   0.           0.        ]]","[ 0.87826736  1.64914619 -0.79916482 -0.98983041 -1.30119069 -1.40820791
 -0.62426783 -1.83549558  1.70403002  0.10043549  0.        ]",-0.260983946568
5,[-0.0105941 -0.8127135],[-0.15872642 -0.20151047],[-0.02611861 -0.36786023],-3.46909,"[[ -0.91716779  -0.99170685  -0.14957999  -0.16422551]
 [-12.73749801 -19.02264178   0.           0.        ]]","[ 0.60878698  1.32333593 -1.09873722 -1.64303407 -1.30118213 -1.40819764
 -0.43336643 -2.35534914  1.06849303 -0.03830189  0.        ]",-0.174930492101
6,[ 0.26722139 -0.64310253],[-0.15872642 -0.20151047],[-0.53347385 -0.57847805],-2.60511,"[[ -1.1704572   -1.38298945  -0.14957999  -0.16422551]
 [-12.59207483 -20.1020042    0.           0.        ]]","[ 0.30811547  0.85386439 -1.29005418 -2.04971282 -1.30117356 -1.40818737
 -0.42239101 -2.50880937  0.5075058   0.19151143  0.        ]",-0.0976694771681
7,[ 0.20528036 -0.66149545],[-0.15872642 -0.20151047],[-0.04380689 -0.77471817],-2.22152,"[[ -1.44102012  -1.80400719  -0.14957999  -0.16422551]
 [-14.45823203 -21.99346028   0.           0.        ]]","[-0.05036279  0.30985205 -1.3964574  -2.02316219 -1.301165   -1.40817711
 -0.56321708 -2.77774616  0.18691748  0.69124383  0.        ]",-0.0930645886975
8,[ 0.09579398 -0.71568924],[-0.15872642 -0.20151047],[ 0.17863094 -0.77351717],-2.80867,"[[ -1.72909845  -2.27027727  -0.14957999  -0.16422551]
 [-14.34993899 -24.62481018   0.           0.        ]]","[-0.44565776 -0.22753323 -1.39028132 -1.4422642  -1.30115643 -1.40816684
 -0.55504306 -3.15187673  0.25079443  1.24403478  0.        ]",-0.161034838892
9,[-0.01110656 -0.7670486 ],[-0.15872642 -0.20151047],[ 0.52744892 -1.24886399],-3.20026,"[[ -2.00618963  -2.78860675  -0.14957999  -0.16422551]
 [-13.36211336 -27.19961582   0.           0.        ]]","[-0.80937673 -0.61102174 -1.26860505 -0.26939338 -1.30114787 -1.40815657
 -0.48049598 -3.51792715  0.64923844  1.50799307  0.        ]",-0.217066404109
10,[-0.35352105 -0.98661268],[-0.15872642 -0.20151047],[-0.28100554 -0.97667994],-3.24478,"[[ -2.24983055  -3.20545583  -0.14957999  -0.16422551]
 [-11.00901542  -6.18380538   0.           0.        ]]","[-1.09342841 -0.68864451 -1.07504921  0.87564268 -1.30113931 -1.40814631
 -0.3029198  -0.52933127  0.98825157  1.37503277  0.        ]",-0.23244384952
11,[-0.48743314 -1.09127069],[-0.15872642 -0.20151047],[-1.69982523 -2.08196112],-2.98457,"[[ -2.47898111  -3.19733207  -0.14957999  -0.16422551]
 [-11.90322159   3.68360526   0.           0.        ]]","[-1.3142302  -0.6892742  -0.8295752   0.8529653  -1.30113074 -1.40813604
 -0.37039975  0.87388177  0.9774831   1.36853736  0.        ]",-0.230805944894
12,[-0.38551986 -1.04976046],[-0.15872642 -0.20151047],[-0.35745414 -1.55863514],-3.10558,"[[ -2.75440615  -3.11906619  -0.14957999  -0.16422551]
 [-15.62689657   3.54809779   0.           0.        ]]","[-1.50368618 -0.69096353 -0.47177288  0.63421378 -1.30112218 -1.40812577
 -0.65140398  0.85460801  0.95185831  1.4085042   0.        ]",-0.232167045621
