timestep,avg_action_dist,logstd_action_dist,actions,rewards,human_obs,obs,original_rewards
0,[-2.07125068 -1.77070653],[-0.41431692 -0.26271871],[-1.83349377 -1.81767986],-3.72923,"[[  7.73402005e-02   5.52370323e-02   1.87430240e-01  -1.33140616e-01]
 [ -2.53038689e-03   1.83324512e-04   0.00000000e+00   0.00000000e+00]]","[ 1.08339119  1.7366222   0.03597989  0.81608967  1.624243   -1.15489459
  0.18243993  0.36652792 -0.22371467  1.57100967  0.        ]",-0.156861375027
1,[-0.9999125  -0.56621099],[-0.41431692 -0.26271871],[-0.51064722 -0.31892351],-3.73693,"[[ 0.03761502  0.01552825  0.18743024 -0.13314062]
 [-3.95682489 -3.95787551  0.          0.        ]]","[ 1.08640414  1.7383228  -0.02731369  0.68708854  1.62424014 -1.15489329
 -0.18726574 -0.21679681 -0.21464642  1.45322528  0.        ]",-0.144487572283
2,[-0.22050191  0.36035275],[-0.41431692 -0.26271871],[-0.93552389  1.66561021],-3.39728,"[[-0.0609995  -0.07550562  0.18743024 -0.13314062]
 [-5.8981709  -5.14156695  0.          0.        ]]","[ 1.08488066  1.73500925 -0.18463059  0.39137999  1.62423728 -1.15489199
 -0.36877127 -0.39124496 -0.22323196  1.16782877  0.        ]",-0.114095110793
3,[ 0.71341276  0.69816399],[-0.41431692 -0.26271871],[-0.08269795  0.39148912],-2.53976,"[[-0.21493999 -0.13757361  0.18743024 -0.13314062]
 [-9.48393178 -1.07877075  0.          0.        ]]","[ 1.05694201  1.72700033 -0.42774878  0.19077821  1.62423442 -1.15489068
 -0.70402086  0.20751612 -0.29186662  0.81198391  0.        ]",-0.0750595153236
4,[ 1.34223771  1.05174422],[-0.41431692 -0.26271871],[ 2.14748946  0.63189793],-2.05462,"[[-0.40602501 -0.14338062  0.18743024 -0.13314062]
 [-9.62409797  0.49283252  0.          0.        ]]","[ 0.97994615  1.72601065 -0.7177018   0.17208599  1.62423157 -1.15488938
 -0.71712515  0.43913355 -0.4251325   0.46184004  0.        ]",-0.0362464155921
5,[ 1.09664011  0.71968579],[-0.41431692 -0.26271871],[ 1.54939046  0.02878576],-1.96048,"[[-0.55691594 -0.10853362  0.18743024 -0.13314062]
 [-5.47879488  2.98356389  0.          0.        ]]","[ 0.88773722  1.73131765 -0.93094654  0.28446755  1.62422871 -1.15488808
 -0.32956039  0.8062088  -0.54975952  0.24001397  0.        ]",-0.0202315698591
6,[ 0.6030004   0.32253689],[-0.41431692 -0.26271871],[ 0.99133191 -0.35314154],-1.96485,"[[-0.62571413 -0.04832716  0.18743024 -0.13314062]
 [-1.41456022  3.03690681  0.          0.        ]]","[ 0.83708888  1.73703593 -1.02208772  0.47956267  1.62422585 -1.15488677
  0.05042486  0.81406965 -0.58837949  0.17999349  0.        ]",-0.0212728215507
7,[-0.16846633 -0.07029498],[-0.41431692 -0.26271871],[-1.25721794  0.70400273],-2.05216,"[[ -6.14372466e-01  -2.23723533e-03   1.87430240e-01  -1.33140616e-01]
 [  2.53557260e+00   1.57695588e+00   0.00000000e+00   0.00000000e+00]]","[ 0.84579306  1.73844587 -1.00735474  0.62933592  1.62422299 -1.15488547
  0.41974212  0.59890637 -0.54942441  0.23554288  0.        ]",-0.0199108283008
8,[ 0.26446819 -0.31986839],[-0.41431692 -0.26271871],[-0.05228341 -1.33777509],-1.89751,"[[-0.60386545  0.05697279  0.18743024 -0.13314062]
 [-1.47152557  4.33484943  0.          0.        ]]","[ 0.85373276  1.73647723 -0.9936003   0.8217224   1.62422013 -1.15488417
  0.04509847  1.00535504 -0.50733859  0.30320684  0.        ]",-0.0221686992227
9,[ 0.62978411  0.20789874],[-0.41431692 -0.26271871],[ 1.63023644  0.17778203],-1.95733,"[[-0.63506334  0.10308155  0.18743024 -0.13314062]
 [-1.64768292  0.28950827  0.          0.        ]]","[ 0.82980754  1.7320027  -1.03413835  0.97112465  1.62421728 -1.15488286
  0.02862862  0.4091652  -0.5158042   0.29266561  0.        ]",-0.0217231966251
10,[-0.2265868  -0.36547124],[-0.41431692 -0.26271871],[-0.0718733  -1.20592724],-1.90335,"[[-0.62800213  0.11586157  0.18743024 -0.13314062]
 [ 2.34052691  0.98617764  0.          0.        ]]","[ 0.8353133   1.73030554 -1.02504115  1.01242159  1.62421442 -1.15488156
  0.40150642  0.51183786 -0.50268003  0.31552499  0.        ]",-0.0230718374937
11,[-0.01767117  0.19771248],[-0.41431692 -0.26271871],[-0.14063433  0.3483724 ],-2.00521,"[[-0.58449331  0.09566265  0.18743024 -0.13314062]
 [ 2.01144531 -2.99280911  0.          0.        ]]","[ 0.86805538  1.73288887 -0.96797841  0.94712355  1.62421156 -1.15488026
  0.37073869 -0.07457306 -0.47024677  0.36977084  0.        ]",-0.0272025286531
12,[-0.03036897  0.1481607 ],[-0.41431692 -0.26271871],[-0.32984395  0.58382005],-2.032,"[[-0.55025104  0.05024335  0.18743024 -0.13314062]
 [ 1.41476969 -1.55391659  0.          0.        ]]","[ 0.89236059  1.73690122 -0.9218912   0.79987357  1.6242087  -1.15487895
  0.31495223  0.13748658 -0.45927603  0.3865504   0.        ]",-0.0286763875157
13,[ 0.02740015 -0.06203783],[-0.41431692 -0.26271871],[-0.49909244 -0.13228625],-1.99391,"[[-0.53533723  0.0426728   0.18743024 -0.13314062]
 [ 0.08105599  0.7890511   0.          0.        ]]","[ 0.90253495  1.73732436 -0.90150893  0.77528827  1.62420584 -1.15487765
  0.19025631  0.48278606 -0.44918389  0.40504351  0.        ]",-0.0304351485294
14,[ 0.4984498   0.23405498],[-0.41431692 -0.26271871],[ 0.76957178 -1.221215  ],-1.87693,"[[-0.55353933  0.05304935  0.18743024 -0.13314062]
 [-1.89468857  0.25039609  0.          0.        ]]","[ 0.89008178  1.73671874 -0.92635859  0.80898224  1.62420299 -1.15487634
  0.00553358  0.40340039 -0.46099494  0.38352854  0.        ]",-0.02839804433
15,[ 0.22104238  0.60247004],[-0.41431692 -0.26271871],[-0.07656565  2.66590147],-2.16944,"[[-0.56049693  0.01826766  0.18743024 -0.13314062]
 [ 1.18865694 -3.71534399  0.          0.        ]]","[ 0.88522262  1.73821955 -0.93578365  0.69598658  1.62420013 -1.15487504
  0.29381171 -0.18105922 -0.48419814  0.34096718  0.        ]",-0.0247246805087
16,[ 0.02711607  0.16024107],[-0.41431692 -0.26271871],[ 0.7779407  -0.92277086],-1.89427,"[[-0.54001434 -0.01557209  0.18743024 -0.13314062]
 [ 0.86069895  0.3179267   0.          0.        ]]","[ 0.89936869  1.73827149 -0.90791798  0.58598095  1.62419727 -1.15487374
  0.26314903  0.413353   -0.48154129  0.34554373  0.        ]",-0.0250859596025
17,[-0.44221029  0.34460038],[-0.41431692 -0.26271871],[-0.46022267  1.09389767],-2.07854,"[[-0.49208003 -0.04594835  0.18743024 -0.13314062]
 [ 3.92253297 -3.34334581  0.          0.        ]]","[ 0.93060739  1.73713483 -0.84138175  0.48728011  1.62419441 -1.15487243
  0.54941601 -0.12623553 -0.45210123  0.39968846  0.        ]",-0.0299183472036
18,[-0.50579494 -0.09088269],[-0.41431692 -0.26271871],[ 0.04888666 -1.74001343],-1.88721,"[[-0.43268996 -0.07241587  0.18743024 -0.13314062]
 [ 2.02280439  0.68317126  0.          0.        ]]","[ 0.9655951   1.73523241 -0.7565589   0.40138896  1.62419156 -1.15487113
  0.37179991  0.46718184 -0.41319203  0.4783622   0.        ]",-0.0379819644174
19,[-0.35382599  0.45988435],[-0.41431692 -0.26271871],[ 0.50349123  1.06757731],-2.13379,"[[-0.39067949 -0.09861658  0.18743024 -0.13314062]
 [ 2.17772218 -3.28999992  0.          0.        ]]","[ 0.98779721  1.73251437 -0.69511507  0.31652578  1.6241887  -1.15486983
  0.3862838  -0.11837399 -0.39125084  0.52842089  0.        ]",-0.043412133522
