timestep,avg_action_dist,logstd_action_dist,actions,rewards,human_obs,obs,original_rewards
0,[ 1.39466321  0.14646819],[-0.40017155 -0.26585805],[ 1.22662734  0.79745306],-3.21632,"[[-0.07749708 -0.05849859  0.06731196  0.08231619]
 [ 0.00080543  0.00121239  0.          0.        ]]","[ 1.09222188  1.78758316 -0.22042358  0.45179449  0.57524258  0.72062919
  0.19106096  0.37140893  0.83011078 -0.8545015   0.        ]",-0.176082796032
1,[ 0.62449557 -0.31369621],[-0.40017155 -0.26585805],[ 0.37180435 -1.35458269],-2.99626,"[[-0.03780292 -0.02680893  0.06731196  0.08231619]
 [ 3.95544537  3.15724154  0.          0.        ]]","[ 1.09524718  1.78924208 -0.15743675  0.55491471  0.57524219  0.72062863
  0.55838688  0.83543801  0.83884808 -0.74763999  0.        ]",-0.170178650582
2,[ 0.40156707 -0.35402238],[-0.40017155 -0.26585805],[ 1.5301676  -0.23638852],-2.91046,"[[  5.52937900e-02  -4.02451656e-03   6.73119560e-02   8.23161901e-02]
 [  5.34957957e+00  -8.65392634e-01   0.00000000e+00   0.00000000e+00]]","[ 1.09416889  1.78967048 -0.0095142   0.62911667  0.5752418   0.72062808
  0.6878804   0.24399137  0.83888049 -0.54741501  0.        ]",-0.15917814517
3,[-0.48328093 -0.76348877],[-0.40017155 -0.26585805],[ 0.0959558  -0.49336505],-2.87013,"[[ 0.20091784 -0.03056668  0.06731196  0.08231619]
 [ 9.20000438 -1.78574964  0.          0.        ]]","[ 1.06956879  1.78910181  0.21986252  0.54267925  0.57524141  0.72062752
  1.04552579  0.10867148  0.81040692 -0.29827802  0.        ]",-0.145792632033
4,[-1.03687418 -0.94216669],[-0.40017155 -0.26585805],[-1.06896184 -0.25748663],-2.88115,"[[ 0.38690825 -0.08552788  0.06731196  0.08231619]
 [ 9.39837691 -3.70397372  0.          0.        ]]","[ 0.99836464  1.78517484  0.5024176   0.36398463  0.57524103  0.72062696
  1.06395046 -0.17336453  0.73507143 -0.00968117  0.        ]",-0.130882786374
5,[-0.80079353 -0.69743121],[-0.40017155 -0.26585805],[-0.13505196 -0.92720944],-2.74372,"[[ 0.53332395 -0.16908457  0.06731196  0.08231619]
 [ 5.25697696 -4.64855652  0.          0.        ]]","[ 0.91239905  1.7721206   0.71076162  0.09410641  0.57524064  0.72062641
  0.67927629 -0.31224625  0.6596581   0.16868912  0.        ]",-0.121826416907
6,[-0.494638   -0.45223552],[-0.40017155 -0.26585805],[-0.12783492 -0.25381531],-2.83686,"[[ 0.63207389 -0.29796566  0.06731196  0.08231619]
 [ 4.62012643 -8.22762454  0.          0.        ]]","[ 0.84051462  1.73544258  0.84177284 -0.31400541  0.57524025  0.72062585
  0.62012202 -0.83847567  0.62264863  0.21523485  0.        ]",-0.117985709213
7,[-0.21180753 -0.34140426],[-0.40017155 -0.26585805],[-0.62688167 -0.9985471 ],-2.77174,"[[ 0.71848875 -0.47096482  0.06731196  0.08231619]
 [ 4.02333615 -9.06948654  0.          0.        ]]","[ 0.76904768  1.65569453  0.94895291 -0.83570814  0.57523986  0.72062529
  0.56468878 -0.96225367  0.59965455  0.19362533  0.        ]",-0.115091576931
8,[ 0.68359214  0.05775139],[-0.40017155 -0.26585805],[ 0.48553758 -0.64001443],-2.72642,"[[  0.77328675  -0.69021369   0.06731196   0.08231619]
 [  1.46488381 -12.84284348   0.           0.        ]]","[ 0.71984016  1.50800153  1.01292063 -1.43162613  0.57523947  0.72062474
  0.3270467  -1.51704766  0.59323174  0.06835839  0.        ]",-0.11391845214
9,[ 1.12924135  0.17502126],[-0.40017155 -0.26585805],[ 1.49972149  0.60112369],-2.67589,"[[  0.82157089  -0.9699519    0.06731196   0.08231619]
 [  3.35722028 -15.12335544   0.           0.        ]]","[ 0.67412065  1.25479102  1.06652794 -2.04448076  0.57523908  0.72062418
  0.50281617 -1.85234687  0.55634726 -0.13159493  0.        ]",-0.112482502519
