timestep,avg_action_dist,logstd_action_dist,actions,rewards,human_obs,obs,original_rewards
0,[-2.52401876 -3.72922087],[-0.52782601 -0.33888692],[-1.67754593 -4.11361324],-4.78931,"[[-0.03109473 -0.07205815 -0.06237589 -0.07924838]
 [-0.00313138 -0.00220789  0.          0.        ]]","[ 1.02320506  1.51541969 -0.09521223  0.40334697 -0.54611591 -0.67539513
  0.12765049  0.34337291  2.01027087  0.78376333  0.        ]",-0.279365098905
1,[-2.2631979  -3.42160034],[-0.52782601 -0.33888692],[-1.56285061 -2.84324039],-4.80284,"[[-0.0708319  -0.11181429 -0.06237589 -0.07924838]
 [-3.95742982 -3.96021883  0.          0.        ]]","[ 1.02049285  1.51120098 -0.15905275  0.28395071 -0.54611565 -0.67539477
 -0.28503828 -0.25324861  1.99685965  0.65757384  0.        ]",-0.275289950366
2,[-1.46919823 -2.67489028],[-0.52782601 -0.33888692],[-1.47113343 -2.10247878],-4.68739,"[[-0.18887133 -0.22994461 -0.06237589 -0.07924838]
 [-7.83364712 -7.83988283  0.          0.        ]]","[ 1.00002931  1.4880025  -0.34724238 -0.06695462 -0.54611539 -0.67539441
 -0.68957803 -0.83806006  1.91155032  0.29295436  0.        ]",-0.26156636877
3,[ 0.06337938 -1.11659241],[-0.52782601 -0.33888692],[-0.10249633 -2.70278634],-4.36545,"[[ -0.38366958  -0.42489725  -0.06237589  -0.07924838]
 [-11.63364588 -11.64268975   0.           0.        ]]","[ 0.9264604   1.41567344 -0.64739817 -0.62284169 -0.54611513 -0.67539405
 -1.08616283 -1.41128528  1.63327305 -0.2420389   0.        ]",-0.234129898212
4,[ 1.13348567  0.28693148],[-0.52782601 -0.33888692],[ 0.62475939  0.28467122],-3.96715,"[[ -0.6180985   -0.69516266  -0.06237589  -0.07924838]
 [-11.80884579 -15.37140093   0.           0.        ]]","[ 0.77600601  1.25029384 -0.97745322 -1.31137709 -0.54611488 -0.6753937
 -1.10444662 -1.9733393   1.0848217  -0.71544026  0.        ]",-0.191792371266
5,[ 1.52963281  1.02606821],[-0.52782601 -0.33888692],[ 2.43461207  1.30665797],-3.27645,"[[ -0.82715285  -0.98823305  -0.06237589  -0.07924838]
 [ -9.10552818 -13.94039851   0.           0.        ]]","[ 0.59113515  0.9986599  -1.22925688 -1.89815038 -0.54611462 -0.67539334
 -0.82231528 -1.75763083  0.4503221  -0.87554384  0.        ]",-0.144621337332
6,[ 1.27597141  1.06332123],[-0.52782601 -0.33888692],[ 1.97131308  1.46340824],-2.79473,"[[-0.96778153 -1.2245532  -0.06237589 -0.07924838]
 [-4.97086598 -9.70572778  0.          0.        ]]","[  4.43989087e-01   7.55095065e-01  -1.37021984e+00  -2.21664823e+00
  -5.46114361e-01  -6.75392981e-01  -3.90802413e-01  -1.11930633e+00
   1.73272045e-03  -7.90151625e-01   0.00000000e+00]",-0.107668609719
7,[ 0.70711517  0.65999663],[-0.52782601 -0.33888692],[ 0.92906846  1.08537533],-2.66467,"[[-1.02652442 -1.37702091 -0.06237589 -0.07924838]
 [-0.91675594 -5.55486806  0.          0.        ]]","[ 0.37790437  0.58547627 -1.42149759 -2.33918837 -0.5461141  -0.67539262
  0.03230361 -0.49361605 -0.20455516 -0.6678377   0.        ]",-0.0867433429653
8,[ 0.1326037  -0.16040257],[-0.52782601 -0.33888692],[-1.64782165  0.19384197],-2.68831,"[[-1.00779814 -1.44729466 -0.06237589 -0.07924838]
 [ 2.77714567 -1.48605054  0.          0.        ]]","[ 0.39924175  0.50531571 -1.40565647 -2.37265919 -0.54611384 -0.67539226
  0.41781655  0.11970731 -0.22413088 -0.61506683  0.        ]",-0.0810605969189
9,[ 0.7182554   0.24728754],[-0.52782601 -0.33888692],[ 0.84995195 -0.50080866],-2.59172,"[[-0.99251381 -1.46901151 -0.06237589 -0.07924838]
 [-1.23535808 -0.68830386  0.          0.        ]]","[  4.16471748e-01   4.80382707e-01  -1.39237290e+00  -2.38001592e+00
  -5.46113586e-01  -6.75391907e-01  -9.47532524e-04   2.39957600e-01
  -2.16295240e-01  -6.01341560e-01   0.00000000e+00]",-0.0801207617777
10,[ 0.18848297  0.0818269 ],[-0.52782601 -0.33888692],[ 0.30160641  0.53214765],-2.59432,"[[-0.98322369 -1.50254341 -0.06237589 -0.07924838]
 [ 2.15309278 -2.65831224  0.          0.        ]]","[ 0.42686108  0.44178049 -1.38414435 -2.38859784 -0.54611333 -0.67539155
  0.35268739 -0.05699673 -0.22445036 -0.57528672  0.        ]",-0.0773800761536
