timestep,avg_action_dist,logstd_action_dist,actions,rewards,human_obs,obs,original_rewards
0,[ 1.38700879  1.25879991],[-0.34588715 -0.26393464],[ 0.5991835   0.36793131],-2.61588,"[[ 0.09616241  0.04797063  0.14774248  0.16795815]
 [ 0.00192657  0.00465264  0.          0.        ]]","[ 1.14464387  1.96212936  0.02203368  0.85568225  1.27195619  1.45795352
  0.22544735  0.38533746  0.17850373 -1.16038524  0.        ]",-0.154924156351
1,[ 1.03941905  1.11107743],[-0.34588715 -0.26393464],[ 1.84105154  1.56771414],-2.67943,"[[ 0.11997679  0.06267063  0.14774248  0.16795815]
 [ 2.37162378  1.46049784  0.          0.        ]]","[ 1.14122717  1.96107271  0.05902877  0.90470443  1.27195421  1.45795081
  0.43441656  0.59766754  0.17062967 -1.10310589  0.        ]",-0.148541388405
2,[-0.03027114  0.40406674],[-0.34588715 -0.26393464],[-0.90435342  0.77459352],-2.44732,"[[ 0.20661398  0.13130302  0.14774248  0.16795815]
 [ 6.27910088  5.38964973  0.          0.        ]]","[ 1.12250451  1.95247507  0.19256793  1.13281645  1.27195223  1.4579481
  0.77899317  1.17072088  0.12234531 -0.88403516  0.        ]",-0.123382361214
3,[-0.09629799 -0.17609495],[-0.34588715 -0.26393464],[ 0.57216311  0.01526277],-1.6337,"[[ 0.29504474  0.2688125   0.14774248  0.16795815]
 [ 2.57631635  8.351421    0.          0.        ]]","[ 1.09332892  1.91716235  0.32638469  1.58258658  1.27195025  1.45794539
  0.45246604  1.60268282  0.01405519 -0.61366969  0.        ]",-0.0899312385035
4,[-0.79560608 -0.79659051],[-0.34588715 -0.26393464],[-0.67050209 -1.34194408],-1.20545,"[[ 0.36877187  0.43477981  0.14774248  0.16795815]
 [ 4.78906107  8.24566419  0.          0.        ]]","[ 1.06139269  1.84329235  0.4352804   2.10237098  1.27194827  1.45794268
  0.64759454  1.5872552  -0.1442978  -0.37424731  0.        ]",-0.057095791067
5,[-0.54339969 -0.66157597],[-0.34588715 -0.26393464],[-0.02581794 -0.6923091 ],-1.293,"[[ 0.43700584  0.55833707  0.14774248  0.16795815]
 [ 2.04341951  4.12379564  0.          0.        ]]","[ 1.02582749  1.76722293  0.53334851  2.4649748   1.27194629  1.45793997
  0.40547207  0.98609315 -0.30395891 -0.20460778  0.        ]",-0.0334592942628
6,[-0.54732305 -0.57136267],[-0.34588715 -0.26393464],[-1.04724153 -0.66702289],-1.32434,"[[ 0.47645443  0.6124903   0.14774248  0.16795815]
 [ 1.90189396  1.30093497  0.          0.        ]]","[ 1.00269611  1.72853253  0.58866968  2.61569918  1.27194431  1.45793726
  0.39299148  0.57438779 -0.39244191 -0.1282092   0.        ]",-0.025857030417
7,[ 0.08954934 -0.12203398],[-0.34588715 -0.26393464],[ 0.77199534  0.2902209 ],-1.61106,"[[ 0.47443056  0.61176516  0.14774248  0.16795815]
 [-2.090988   -1.36457025  0.          0.        ]]","[ 1.00392665  1.72906721  0.5858574   2.6137048   1.27194233  1.45793455
  0.04088202  0.18563239 -0.38945893 -0.13099407  0.        ]",-0.0260541998545
8,[-0.33331409 -0.33590308],[-0.34588715 -0.26393464],[ 1.18941726  0.08401917],-1.57662,"[[ 0.46366498  0.59626374  0.14774248  0.16795815]
 [ 1.00412006 -0.18948479  0.          0.        ]]","[ 1.01039583  1.74044707  0.57085121  2.57107965  1.27194035  1.45793184
  0.31382186  0.35701465 -0.36421622 -0.15151502  0.        ]",-0.0276532425333
9,[-0.99575651 -0.67657357],[-0.34588715 -0.26393464],[-2.19598249 -0.69636384],-1.31685,"[[ 0.52324037  0.59583554  0.14774248  0.16795815]
 [ 4.94031332  0.14554321  0.          0.        ]]","[ 0.97288015  1.74075373  0.6528273   2.56988446  1.27193837  1.45792913
  0.66093207  0.40587717 -0.43572971 -0.07924796  0.        ]",-0.0231003726129
10,[-0.49170756 -0.27744335],[-0.34588715 -0.26393464],[-1.097978    0.20094625],-1.64839,"[[ 0.58138238  0.57106645  0.14774248  0.16795815]
 [ 0.8873853  -2.61325096  0.          0.        ]]","[ 0.93232589  1.75839334  0.73016178  2.50083312  1.27193639  1.45792642
  0.3035268   0.00351535 -0.48890492 -0.02235172  0.        ]",-0.023165386565
11,[ 0.08074898 -0.04367644],[-0.34588715 -0.26393464],[ 0.82892959 -0.14820082],-1.65932,"[[ 0.55925802  0.52731787  0.14774248  0.16795815]
 [-3.08657796 -1.76444016  0.          0.        ]]","[ 0.94820657  1.78791556  0.70106121  2.3762019   1.27193441  1.45792371
 -0.04691498  0.12731185 -0.42465148 -0.06630724  0.        ]",-0.0211296791376
12,[-0.25121471 -0.02855417],[-0.34588715 -0.26393464],[ 1.26378351 -1.1420728 ],-1.44409,"[[ 0.53104375  0.48647966  0.14774248  0.16795815]
 [ 0.25401911 -2.31753248  0.          0.        ]]","[ 0.96765745  1.81354474  0.6633639   2.25695533  1.27193243  1.457921
  0.24767379  0.04664488 -0.35751186 -0.12040703  0.        ]",-0.0240160323348
13,[-0.67553955  0.20263875],[-0.34588715 -0.26393464],[-0.50448652 -0.4398461 ],-1.36622,"[[ 0.57578043  0.40084695  0.14774248  0.16795815]
 [ 4.20647251 -6.23269628  0.          0.        ]]","[ 0.93639569  1.86105508  0.72283093  1.99870873  1.27193045  1.45791829
  0.59621868 -0.52437058 -0.34563618 -0.10846414  0.        ]",-0.0224794420723
14,[-0.36868149  0.58637106],[-0.34588715 -0.26393464],[-1.69307018 -1.06943627],-1.21327,"[[ 0.63905726  0.25996458  0.14774248  0.16795815]
 [ 2.12814734 -7.85014508  0.          0.        ]]","[ 0.88838385  1.92010093  0.8040084   1.55398459  1.27192847  1.45791558
  0.41294213 -0.76027042 -0.31842567 -0.10715483  0.        ]",-0.0222351882629
