timestep,avg_action_dist,obs,actions,rewards,human_obs,logstd_action_dist,original_rewards
0,[-2.648247   -4.57085514],"[ 1.05268167  1.6372973  -0.19550471  0.32279296 -1.42827897 -0.64489405
  0.1708274   0.35686599  2.86168312  0.60846786  0.        ]",[-2.26999801 -5.09173941],-6.09956,"[[-0.07015724 -0.09115598 -0.16318609 -0.07606961]
 [ 0.00114636  0.004427    0.          0.        ]]",[-0.44889671 -0.26804033],-0.375049720668
1,[-2.27864814 -4.38639116],"[ 1.04795181  1.63209968 -0.2589133   0.19801969 -1.42827708 -0.64489365
 -0.21727383 -0.230654    2.84306234  0.48936533  0.        ]",[-2.8495654  -4.62322007],-6.09214,"[[-0.10980975 -0.13078075 -0.16318609 -0.07606961]
 [-3.95324253 -3.95371639  0.          0.        ]]",[-0.44889671 -0.26804033],-0.371459587228
2,[-1.62228382 -4.03294706],"[ 1.02166701  1.60575694 -0.44551759 -0.16894973 -1.42827518 -0.64489325
 -0.59771263 -0.80654388  2.74476659  0.14722097  0.        ]",[-2.71948266 -3.8660248 ],-5.95133,"[[-0.22776641 -0.24878231 -0.16318609 -0.07606961]
 [-7.82955938 -7.83350896  0.          0.        ]]",[-0.44889671 -0.26804033],-0.358362429459
3,[-0.83931345 -3.48384976],"[ 0.93924627  1.52760779 -0.74132963 -0.74872624 -1.42827328 -0.64489286
 -0.97067239 -1.37102387  2.45440555 -0.34652043  0.        ]",[-1.93530783 -4.42560382],-5.47763,"[[ -0.42248404  -0.44360872  -0.16318609  -0.07606961]
 [-11.62967555 -11.63643979   0.           0.        ]]",[-0.44889671 -0.26804033],-0.329280983499
4,[-0.17234875 -2.45802021],"[ 0.75025641  1.35322221 -1.10808154 -1.46311358 -1.42827139 -0.64489246
 -1.33636819 -1.92429864  1.85517827 -0.80014321  0.        ]",[-1.73817337 -1.38740905],-5.10054,"[[ -0.69246     -0.71373677  -0.16318609  -0.07606961]
 [-15.35578705 -15.3638972    0.           0.        ]]",[-0.44889671 -0.26804033],-0.275552231803
5,[ 0.9954592  -0.29541063],"[ 0.40489172  1.03944933 -1.46464649 -2.14926449 -1.42826949 -0.64489206
 -1.69504317 -2.46656013  0.97596734 -0.88584623  0.        ]",[ 0.71272428 -0.01417137],-3.92209,"[[ -1.03623872  -1.05767015  -0.16318609  -0.07606961]
 [-19.0103768  -19.01718691   0.           0.        ]]",[-0.44889671 -0.26804033],-0.190842648132
6,[ 1.44220591  0.77380991],"[-0.02533859  0.6187617  -1.66084216 -2.52806367 -1.4282676  -0.64489166
 -1.38174401 -2.41892696  0.2494944  -0.42588007  0.        ]",[ 0.85283044  1.17181832],-2.58915,"[[ -1.38441883  -1.43479456  -0.16318609  -0.07606961]
 [-15.81816847 -18.69632831   0.           0.        ]]",[-0.44889671 -0.26804033],-0.0961368590508
7,[ 1.34166503  0.719172  ],"[-0.39455714  0.22942644 -1.68170466 -2.49758131 -1.4282657  -0.64489126
 -1.02014664 -1.77621416 -0.00778058  0.19168893  0.        ]",[ 1.9199438   0.58133078],-1.90025,"[[ -1.66382042  -1.76527672  -0.16318609  -0.07606961]
 [-12.13383628 -14.36634828   0.           0.        ]]",[-0.44889671 -0.26804033],-0.0490197321447
8,[ 1.2517693  -0.09658593],"[-0.65537009 -0.06298558 -1.61993277 -2.23374726 -1.4282638  -0.64489086
 -0.60830939 -1.39232957  0.03936373  0.64563519  0.        ]",[ 1.26063394  0.8815941 ],-2.36067,"[[ -1.86439783  -2.02665476  -0.16318609  -0.07606961]
 [ -7.93760071 -11.78010021   0.           0.        ]]",[-0.44889671 -0.26804033],-0.0770886347193
9,[ 0.89500302 -1.03912795],"[-0.80161736 -0.2621407  -1.55487508 -1.90330876 -1.42826191 -0.64489046
 -0.20448512 -0.8395861   0.18349366  0.88743676  0.        ]",[ 0.01767251 -1.84415662],-2.6078,"[[-1.98186897 -2.22489386 -0.16318609 -0.07606961]
 [-3.82300832 -8.05622747  0.          0.        ]]",[-0.44889671 -0.26804033],-0.106749651248
