timestep,avg_action_dist,logstd_action_dist,actions,rewards,human_obs,obs,original_rewards
0,[-2.04467225 -2.24964285],[-0.20011036 -0.21401781],[-2.01545197 -1.55238813],-7.03504,"[[-0.01382799  0.00329147 -0.19890355  0.06529512]
 [ 0.00456316  0.00424843  0.          0.        ]]","[ 1.16568778  2.09027353  0.01276488  0.75735924 -1.73995116  0.57473648
  0.39371076  0.37611269  2.87996139 -0.434798    0.        ]",-0.414476954378
1,[-1.93327546 -2.15901446],[-0.20011036 -0.21401781],[-2.28398229 -2.07119209],-7.01978,"[[-0.05341269 -0.03633681 -0.19890355  0.06529512]
 [-3.94987303 -3.95388893  0.          0.        ]]","[ 1.16384963  2.08936692 -0.04626181  0.63474794 -1.73993935  0.5747352
  0.10836478 -0.18953912  2.87562026 -0.53490533  0.        ]",-0.416175906206
2,[-1.71856236 -2.01164794],[-0.20011036 -0.21401781],[-1.88185537 -2.7304229 ],-6.84665,"[[-0.17130201 -0.15434181 -0.19890355  0.06529512]
 [-7.8261805  -7.83368196  0.          0.        ]]","[ 1.14564067  2.07412568 -0.22095305  0.27143536 -1.73992753  0.57473391
 -0.17134354 -0.74399413  2.82532758 -0.82800648  0.        ]",-0.418501799445
3,[-1.39100325 -1.80204916],[-0.20011036 -0.21401781],[-0.92414381 -1.92405517],-6.68242,"[[ -0.36595114  -0.34917177  -0.19890355   0.06529512]
 [-11.62618403 -11.63662453   0.           0.        ]]","[ 1.07455669  2.00840654 -0.50052937 -0.31156132 -1.73991571  0.57473262
 -0.44554573 -1.28746311  2.62662965 -1.26856754  0.        ]",-0.413372098545
4,[-0.93994045 -1.51834917],[-0.20011036 -0.21401781],[-1.05774269 -0.70545311],-6.56862,"[[ -0.63284414  -0.6193049   -0.19890355   0.06529512]
 [-15.05195536 -15.36422289   0.           0.        ]]","[ 0.8989407   1.83839922 -0.84908544 -1.04916286 -1.73990389  0.57473133
 -0.69274334 -1.82015667  2.16374675 -1.70929326  0.        ]",-0.388578393139
5,[-0.39416227 -1.19801593],[-0.20011036 -0.21401781],[-1.59613152 -0.58979629],-5.97271,"[[ -0.97060528  -0.95154357  -0.19890355   0.06529512]
 [-18.712347   -17.85127782   0.           0.        ]]","[ 0.56607119  1.52130983 -1.19791423 -1.7728096  -1.73989207  0.57473004
 -0.95686972 -2.1755564   1.43567687 -1.88493671  0.        ]",-0.332218286632
6,[-0.03359988 -0.97043288],[-0.20011036 -0.21401781],[ 0.05624522 -0.58031325],-4.46679,"[[ -1.38087321  -1.32842939  -0.19890355   0.06529512]
 [-22.30292335 -19.83061089   0.           0.        ]]","[ 0.04789699  1.05972886 -1.43185446 -2.25697199 -1.73988026  0.57472875
 -1.21595636 -2.45838853  0.68383404 -1.55642132  0.        ]",-0.240471452486
7,[ 0.01860479 -0.91018915],[-0.20011036 -0.21401781],[-0.38696389 -0.50094313],-3.29489,"[[ -1.8203238   -1.74413738  -0.19890355   0.06529512]
 [-21.64445131 -21.73384946   0.           0.        ]]","[-0.55256475  0.50046006 -1.4124657  -2.30101901 -1.73986844  0.57472746
 -1.16843718 -2.73033415  0.35173661 -0.82424742  0.        ]",-0.138431179797
8,[-0.02067002 -0.94237351],[-0.20011036 -0.21401781],[ 0.09592148 -0.68884135],-2.60585,"[[ -2.26434137  -2.19437753  -0.19890355   0.06529512]
 [-22.75360149 -23.28504321   0.           0.        ]]","[-1.09320487 -0.05744763 -1.11397636 -1.76495865 -1.73985662  0.57472617
 -1.24846664 -2.95195854  0.60434456 -0.1805772   0.        ]",-0.113154602285
9,[-0.13292335 -0.98860735],[-0.20011036 -0.21401781],[ 0.13874781 -1.05239546],-2.89654,"[[ -2.71113478  -2.68280391  -0.19890355   0.06529512]
 [-21.92812156 -25.55018759   0.           0.        ]]","[-1.4645959  -0.48135544 -0.58920962 -0.62327775 -1.73984481  0.57472488
 -1.18889629 -3.27558913  1.13226585 -0.06886773  0.        ]",-0.17863550285
10,[-0.16214405 -1.10039973],[-0.20011036 -0.21401781],[ 1.41105409 -1.00731878],-2.87526,"[[ -3.13984962  -3.1486285   -0.19890355   0.06529512]
 [-20.94550847 -10.31862284   0.           0.        ]]","[-1.59029836 -0.62153332  0.03082092  0.76896282 -1.73983299  0.57472359
 -1.11798807 -1.09898807  1.36828733 -0.35147937  0.        ]",-0.216330632406
