timestep,avg_action_dist,logstd_action_dist,actions,rewards,human_obs,obs,original_rewards
0,[-2.05038738 -3.30415869],[-0.31158823 -0.19489138],[-2.03249412 -3.10846062],-5.2962,"[[-0.06398785  0.01916775 -0.17424493 -0.05971024]
 [ 0.00069736  0.00353323  0.          0.        ]]","[ 1.24024919  2.26566357 -0.24961555  0.86870992 -1.52092502 -0.50229642
  0.27264524  0.40190603  2.80970735  0.48699637  0.        ]",-0.386966954204
1,[-1.69668651 -3.14791489],[-0.31158823 -0.19489138],[-1.26699488 -4.1728513 ],-4.80144,"[[-0.10364909 -0.02047468 -0.17424493 -0.05971024]
 [-3.95366121 -3.95459033  0.          0.        ]]","[ 1.23578553  2.26561639 -0.3098453   0.72951331 -1.52092118 -0.50229594
 -0.05125458 -0.1701317   2.80122101  0.38142812  0.        ]",-0.384528107774
2,[-1.0526365  -2.87124157],[-0.31158823 -0.19489138],[-1.93933694 -2.98104109],-5.07104,"[[-0.22161334 -0.13849359 -0.17424493 -0.05971024]
 [-7.82988315 -7.83437088  0.          0.        ]]","[ 1.21013387  2.25237991 -0.48715452  0.31663616 -1.52091734 -0.50229546
 -0.36875421 -0.7308468   2.73680109  0.0741907   0.        ]",-0.374746861483
3,[-0.40980652 -2.56711388],[-0.31158823 -0.19489138],[-0.9237564  -2.75804527],-4.59874,"[[ -0.41633554  -0.33333722  -0.17424493  -0.05971024]
 [-11.62978523 -11.63730309   0.           0.        ]]","[ 1.1282127   2.18815689 -0.76850776 -0.34755657 -1.52091349 -0.50229498
 -0.68000228 -1.28045404  2.51043219 -0.38239676  0.        ]",-0.35066485943
4,[ 0.25255206 -2.1494236 ],[-0.31158823 -0.19489138],[ 0.42628048 -1.85857755],-4.01379,"[[ -0.68328401  -0.60348384  -0.17424493  -0.05971024]
 [-15.05390348 -15.36489404   0.           0.        ]]","[ 0.94134349  2.01643321 -1.11436382 -1.19142848 -1.52090965 -0.5022945
 -0.96046948 -1.81916911  2.00588428 -0.82795246  0.        ]",-0.302920108368
5,[ 0.81898111 -1.70052946],[-0.31158823 -0.19489138],[ 0.4351407 -1.2459665],-3.35463,"[[ -0.96446228  -0.94745834  -0.17424493  -0.05971024]
 [-13.07074904 -19.02034583   0.           0.        ]]","[ 0.66502552  1.67803831 -1.40454142 -2.04970561 -1.52090581 -0.50229402
 -0.79802883 -2.34745183  1.30615397 -0.97090289  0.        ]",-0.231756693446
6,[ 1.18443418 -1.37078404],[-0.31158823 -0.19489138],[ 1.24100434 -2.10157576],-2.06983,"[[ -1.20603278  -1.36381448  -0.17424493  -0.05971024]
 [-11.09310124 -22.60331105   0.           0.        ]]","[ 0.3786496   1.14387501 -1.57594169 -2.63513254 -1.52090196 -0.50229354
 -0.63603949 -2.86524837  0.69508637 -0.69610347  0.        ]",-0.149926267515
7,[ 1.16285479 -1.32306075],[-0.31158823 -0.19489138],[ 0.72738436 -0.90910051],-1.75476,"[[ -1.38602337  -1.85112219  -0.17424493  -0.05971024]
 [ -6.9197855  -26.115733     0.           0.        ]]","[ 0.14618876  0.46293495 -1.65026521 -2.57299827 -1.52089812 -0.50229306
 -0.29420381 -3.37283537  0.422992   -0.15191956  0.        ]",-0.0877365421442
8,[ 0.8524996 -1.4655087],[-0.31158823 -0.19489138],[ 0.86718025 -1.05247168],-1.99871,"[[ -1.49419513  -2.40436675  -0.17424493  -0.05971024]
 [ -3.90717719 -29.19842376   0.           0.        ]]","[  2.15177299e-03  -1.91866863e-01  -1.67173370e+00  -1.55913013e+00
  -1.52089428e+00  -5.02292585e-01  -4.74414706e-02  -3.81830012e+00
   5.72290916e-01   3.79696930e-01   0.00000000e+00]",-0.107953834081
9,[ 0.34528187 -1.68343902],[-0.31158823 -0.19489138],[ 0.28306437 -2.26112585],-2.39446,"[[ -1.53714047  -3.02226245  -0.17424493  -0.05971024]
 [ -0.39831988 -26.79214916   0.           0.        ]]","[-0.05546031 -0.54852687 -1.67533496  0.38338018 -1.52089043 -0.5022921
  0.23996854 -3.47051467  1.03968684  0.65487512  0.        ]",-0.174817298884
10,[ 0.00532375 -1.88998663],[-0.31158823 -0.19489138],[-0.4658264  -2.27222456],-2.72652,"[[-1.53376832 -3.2137869  -0.17424493 -0.05971024]
 [ 0.73147673  0.29375889  0.          0.        ]]","[-0.05093206 -0.55489055 -1.6751485   1.05469811 -1.52088659 -0.50229163
  0.33250987  0.44386375  1.21625013  0.66469809  0.        ]",-0.195902449011
11,[ 0.0114189  -1.89732552],[-0.31158823 -0.19489138],[-0.40111358 -2.75404814],-2.59892,"[[-1.53778666 -3.15600269 -0.17424493 -0.05971024]
 [-1.12719142  3.84443238  0.          0.        ]]","[-0.05632802 -0.55842204 -1.67535805  0.85200755 -1.52088275 -0.50229115
  0.18026616  0.95699595  1.15829879  0.66547292  0.        ]",-0.189127929638
12,[ 0.16371617 -1.82336199],[-0.31158823 -0.19489138],[ 0.71908745 -0.71641678],-2.84336,"[[-1.57604122 -3.0875177  -0.17424493 -0.05971024]
 [-2.69305536  2.79105742  0.          0.        ]]","[-0.10772133 -0.55650387 -1.67616248  0.61161773 -1.52087891 -0.50229067
  0.05200607  0.80476407  1.09958061  0.66406695  0.        ]",-0.182205164414
13,[ 0.16260669 -1.82819021],[-0.31158823 -0.19489138],[ 0.13801381 -2.50725441],-2.52381,"[[-1.60080227 -3.04461315 -0.17424493 -0.05971024]
 [ 0.20728593  1.55536873  0.          0.        ]]","[-0.14098591 -0.55193175 -1.67549253  0.46139994 -1.52087506 -0.50229019
  0.28957323  0.626185    1.06373342  0.66344605  0.        ]",-0.178009005473
14,[ 0.17961732 -1.81896126],[-0.31158823 -0.19489138],[-0.43236075 -1.95164348],-2.61041,"[[-1.59121555 -3.02244347 -0.17424493 -0.05971024]
 [ 0.74958309  0.74655044  0.          0.        ]]","[-0.12810854 -0.54855451 -1.675856    0.3840069  -1.52087122 -0.50228971
  0.33399262  0.50929621  1.04366008  0.66082025  0.        ]",-0.175558707728
15,[ 0.23242667 -1.7897836 ],[-0.31158823 -0.19489138],[-1.1765252  -2.83796121],-2.48394,"[[-1.59354845 -3.01208081 -0.17424493 -0.05971024]
 [-0.97711658  0.33909437  0.          0.        ]]","[-0.13124237 -0.54673915 -1.67577439  0.34789933 -1.52086738 -0.50228923
  0.19255804  0.45041129  1.03487759  0.66010747  0.        ]",-0.174508332815
16,[ 0.30045983 -1.74727821],[-0.31158823 -0.19489138],[ 0.63524493 -1.02103682],-2.71877,"[[-1.65262165 -3.00745249 -0.17424493 -0.05971024]
 [-4.91707158  0.1485936   0.          0.        ]]","[-0.21049728 -0.54587946 -1.67106483  0.33178781 -1.52086353 -0.50228875
 -0.13016486  0.4228802   1.03546752  0.66666454  0.        ]",-0.174889031681
17,[ 0.25885734 -1.77212155],[-0.31158823 -0.19489138],[ 1.27664918 -1.42763246],-2.652,"[[-1.72475146 -3.00544766 -0.17424493 -0.05971024]
 [-2.30461531  0.06350239  0.          0.        ]]","[-0.30672244 -0.54549745 -1.65813337  0.3248118  -1.52085969 -0.50228827
  0.08382238  0.41058266  1.03984584  0.67486632  0.        ]",-0.175788785969
18,[ 0.18079957 -1.81676066],[-0.31158823 -0.19489138],[ 1.71770298 -2.50929121],-2.46803,"[[-1.73066119 -3.00459812 -0.17424493 -0.05971024]
 [ 1.70029612  0.02663864  0.          0.        ]]","[-0.31456537 -0.54533357 -1.6567212   0.32185613 -1.52085585 -0.50228779
  0.4118661   0.40525483  1.03963705  0.67554302  0.        ]",-0.175797610702
