timestep,avg_action_dist,logstd_action_dist,actions,rewards,human_obs,obs,original_rewards
0,[-3.55230927 -4.11971235],[-0.82050276 -0.56679517],[-3.16781626 -3.51205084],-8.39793,"[[ -9.07001022e-03   1.05743155e-02  -1.77262092e-01  -1.45548860e-01]
 [  3.47376077e-03   5.16579130e-05   0.00000000e+00   0.00000000e+00]]","[ 1.0156113   1.39302028 -0.01944117  0.72129012 -1.54199615 -1.26842282
  0.09106004  0.32701821  3.28272232  1.83123788  0.        ]",-0.413446263997
1,[-3.35313201 -3.60966039],[-0.82050276 -0.56679517],[-3.02268024 -3.5054279 ],-8.3096,"[[-0.04867628 -0.02913706 -0.17726209 -0.14554886]
 [-3.9509403  -3.95800275  0.          0.        ]]","[ 1.01404145  1.39259037 -0.08191138  0.6187824  -1.54199474 -1.26842193
 -0.36435047 -0.29603207  3.27825525  1.68831453  0.        ]",-0.4087581411
2,[-3.16413784 -3.29548097],[-0.82050276 -0.56679517],[-3.52696041 -3.18448032],-7.99321,"[[-0.16658669 -0.14722353 -0.17726209 -0.14554886]
 [-7.82722187 -7.83771494  0.          0.        ]]","[ 0.99666549  1.38049691 -0.26679508  0.31529179 -1.54199332 -1.26842103
 -0.8107627  -0.90675004  3.21535181  1.26957064  0.        ]",-0.392191158676
3,[-2.51423073 -2.31148171],[-0.82050276 -0.56679517],[-2.25136623 -3.17514525],-7.49588,"[[ -0.36125633  -0.34213336  -0.17726209  -0.14554886]
 [-11.62719231 -11.6405791    0.           0.        ]]","[ 0.92707169  1.32564867 -0.56288698 -0.17212699 -1.54199191 -1.26842013
 -1.24838608 -1.50537025  2.95789324  0.63834011  0.        ]",-0.356846303489
4,[-0.8367278   0.04961115],[-0.82050276 -0.56679517],[-0.78116989  0.58345781],-6.74701,"[[ -0.63118004  -0.61234365  -0.17726209  -0.14554886]
 [-15.35302383 -15.36798332   0.           0.        ]]","[  7.51215388e-01   1.18168262e+00  -9.36327410e-01  -7.89874849e-01
  -1.54199050e+00  -1.26841923e+00  -1.67747031e+00  -2.09211014e+00
   2.34589400e+00  -1.03383549e-03   0.00000000e+00]",-0.29388884672
5,[ 0.63211447  1.84248936],[-0.82050276 -0.56679517],[ 0.32877398  1.38456408],-5.48199,"[[ -0.96622969  -0.89345414  -0.17726209  -0.14554886]
 [-18.14272762 -12.75171914   0.           0.        ]]","[ 0.4232726   0.95878581 -1.30345923 -1.31769235 -1.54198908 -1.26841833
 -1.99874411 -1.68027403  1.44205941 -0.27793745  0.        ]",-0.207104330506
6,[ 1.54787493  2.51317191],[-0.82050276 -0.56679517],[ 1.84665004  2.52915964],-4.20477,"[[ -1.31246272  -1.10622151  -0.17726209  -0.14554886]
 [-16.48591381  -8.53905542   0.           0.        ]]","[-0.00625346  0.7508951  -1.53080416 -1.61398297 -1.54198767 -1.26841743
 -1.80793505 -1.01714517  0.61950725 -0.0719144   0.        ]",-0.122670779592
7,[ 2.10631227  2.26551628],[-0.82050276 -0.56679517],[ 2.25352056  2.26317499],-3.42859,"[[ -1.59922909  -1.2355807   -0.17726209  -0.14554886]
 [-12.20477893  -4.41067483   0.           0.        ]]","[-0.39592418  0.61236065 -1.58252896 -1.74390559 -1.54198625 -1.26841653
 -1.31489746 -0.36728404  0.11301587  0.337313    0.        ]",-0.0706442723206
8,[ 1.93446386  1.69152439],[-0.82050276 -0.56679517],[ 1.62309987  1.27949213],-3.36696,"[[-1.80121234 -1.28319542 -0.17726209 -0.14554886]
 [-8.00741853 -0.36432999  0.          0.        ]]","[-0.67037429  0.55963164 -1.54146004 -1.7815632  -1.54198484 -1.26841564
 -0.83150844  0.26966356 -0.13590844  0.6704865   0.        ]",-0.0612019362413
9,[ 1.12904119  0.52193582],[-0.82050276 -0.56679517],[ 1.28320154  0.91813318],-3.43576,"[[-1.92007728 -1.25068962 -0.17726209 -0.14554886]
 [-3.89277655  3.60165683  0.          0.        ]]","[-0.82662691  0.59571686 -1.4878804  -1.7564545  -1.54198342 -1.26841474
 -0.35764591  0.89396155 -0.25080633  0.81590373  0.        ]",-0.0640130148599
10,[ 0.20547679 -0.81565285],[-0.82050276 -0.56679517],[ 0.72972267 -1.02501   ],-3.20435,"[[-1.95746707 -1.14290613 -0.17726209 -0.14554886]
 [ 0.14028002  7.16479497  0.          0.        ]]","[-0.87450832  0.71239434 -1.46665552 -1.65484505 -1.54198201 -1.26841384
  0.10682081  1.4548451  -0.28514687  0.74374403  0.        ]",-0.0567589809962
11,[-0.41548586 -0.42015788],[-0.82050276 -0.56679517],[-0.51491683  0.60210233],-3.19613,"[[-1.92571004 -1.04076903 -0.17726209 -0.14554886]
 [ 3.02582143  3.06258593  0.          0.        ]]","[-0.83388315  0.81780992 -1.48481242 -1.53337998 -1.5419806  -1.26841294
  0.43913398  0.8091033  -0.23975986  0.56566555  0.        ]",-0.0472544071856
12,[-0.07384356 -0.98411715],[-0.82050276 -0.56679517],[-0.4836557  -0.65432088],-3.06961,"[[-1.88624359 -0.9561992  -0.17726209 -0.14554886]
 [ 0.92781212  5.38664922  0.          0.        ]]","[-0.78273017  0.90050026 -1.50529599 -1.41517451 -1.54197918 -1.26841204
  0.19751667  1.17494058 -0.17060343  0.40151264  0.        ]",-0.0449170194707
13,[ 0.44991082 -0.32119343],[-0.82050276 -0.56679517],[ 0.20263004 -1.2777583 ],-3.03932,"[[-1.887064   -0.8755251  -0.17726209 -0.14554886]
 [-1.00338751  2.68975196  0.          0.        ]]","[-0.78380019  0.97492033 -1.5048925  -1.28835094 -1.54197777 -1.26841114
 -0.02488999  0.75041332 -0.14223274  0.30835601  0.        ]",-0.0450482126457
14,[ 0.15575993  0.28054747],[-0.82050276 -0.56679517],[-0.14827228  0.4917353 ],-3.13867,"[[-1.89887631 -0.86199475 -0.17726209 -0.14554886]
 [-0.1805868  -1.32334247  0.          0.        ]]","[-0.7991788   0.98693931 -1.49898915 -1.26579349 -1.54197635 -1.26841024
  0.06986789  0.11869959 -0.15272544  0.31060618  0.        ]",-0.0440671823237
15,[ 0.38830817  0.08976242],[-0.82050276 -0.56679517],[ 0.47652796 -0.38401621],-3.06179,"[[-1.90834432 -0.86866132 -0.17726209 -0.14554886]
 [-0.76426667  0.65010828  0.          0.        ]]","[-0.8114608   0.98103382 -1.49410662 -1.27695156 -1.54197494 -1.26840935
  0.00264834  0.42934656 -0.16810199  0.33276181  0.        ]",-0.0430716603589
16,[-0.11927918  0.05658832],[-0.82050276 -0.56679517],[-0.54145087 -0.21572773],-3.08898,"[[-1.90455662 -0.87105037 -0.17726209 -0.14554886]
 [ 1.13670532 -0.88389899  0.          0.        ]]","[-0.80655167  0.97890903 -1.49607409 -1.28092833 -1.54197352 -1.26840845
  0.22157396  0.18787353 -0.16399374  0.32973219  0.        ]",-0.0433941745413
