timestep,avg_action_dist,obs,actions,rewards,human_obs,logstd_action_dist,original_rewards
0,[ 1.35221922 -2.42440796],"[ 1.01542863  1.37126134 -0.09253854  0.73387809 -1.59871821  1.16989545
  0.08855255  0.32157097  3.40385267 -1.49664782  0.        ]",[ 1.58946711 -2.05065506],-8.87296,"[[-0.05634074  0.00497966 -0.18387946  0.13411265]
 [-0.00240645  0.00116962  0.          0.        ]]",[-0.84305745 -0.6333679 ],-0.419571678604
1,[ 1.06644976 -2.57842684],"[ 1.01742886  1.37056564 -0.03041722  0.63565217 -1.59871679  1.16989476
  0.56343697 -0.30897746  3.40530288 -1.45078705  0.        ]",[ 1.10568542 -1.41713753],-8.85714,"[[-0.01668244 -0.03474046 -0.18387946  0.13411265]
 [ 3.95505448 -3.95997524  0.          0.        ]]",[-0.84305745 -0.6333679 ],-0.418353689248
2,[ 0.93754923 -2.99907804],"[ 1.01052965  1.3575607   0.15431649  0.34486214 -1.59871537  1.16989407
  1.02892679 -0.92703429  3.40023591 -1.31428949  0.        ]",[ 0.83160889 -2.59334935],-8.68485,"[[ 0.10133952 -0.15289623 -0.18387946  0.13411265]
 [ 7.83422765 -7.84264842  0.          0.        ]]",[-0.84305745 -0.6333679 ],-0.414047899322
3,[ 0.78029996 -3.36239028],"[ 0.9601079   1.30083738  0.44321696 -0.12174605 -1.59871394  1.16989337
  1.40528238 -1.53279233  3.36289339 -1.10931706  0.        ]",[ 1.21849544 -3.34317763],-8.42851,"[[  0.28949203  -0.34793051  -0.18387946   0.13411265]
 [ 10.97060322 -11.64806511   0.           0.        ]]",[-0.84305745 -0.6333679 ],-0.405310381779
4,[ 0.4554629  -3.69809008],"[ 0.81635536  1.15363434  0.81030795 -0.71217079 -1.59871252  1.16989268
  1.85416154 -2.12654333  3.25667321 -0.85485789  0.        ]",[ 1.25384175 -3.98552679],-8.13078,"[[  0.54643553  -0.61831695  -0.18387946   0.13411265]
 [ 14.71136474 -15.3780645    0.           0.        ]]",[-0.84305745 -0.6333679 ],-0.389584431127
5,[ 0.04600088 -3.890764  ],"[ 0.51881654  0.86748018  1.20136916 -1.30823165 -1.5987111   1.16989198
  2.29423514 -2.7084275   3.03768871 -0.58235336  0.        ]",[-0.18642698 -4.42429087],-7.73047,"[[  0.87745751  -0.96255625  -0.18387946   0.13411265]
 [ 18.37876004 -19.03353596   0.           0.        ]]",[-0.84305745 -0.6333679 ],-0.363537030204
6,[-0.39786497 -3.40293527],"[ 0.09222012  0.41966425  1.47522671 -1.70654028 -1.59870967  1.16989129
  2.16233518 -3.27848827  2.71768397 -0.45580493  0.        ]",[-0.34733408 -3.54675156],-7.26917,"[[  1.23400535  -1.37915855  -0.18387946   0.13411265]
 [ 17.27959261 -22.61476275   0.           0.        ]]",[-0.84305745 -0.6333679 ],-0.33048582779
7,[-0.70901102 -2.82115746],"[-0.3529057  -0.14698272  1.56323566 -1.64434037 -1.59870825  1.1698906
  1.95652277 -3.83727234  2.35238191 -0.58837708  0.        ]",[-0.70811373 -3.30842832],-6.78768,"[[  1.56239107  -1.86667432  -0.18387946   0.13411265]
 [ 15.56446556 -26.12519136   0.           0.        ]]",[-0.84305745 -0.6333679 ],-0.297330410997
8,[-0.47411692 -1.96589923],"[-0.73541379 -0.68961531  1.50579615 -0.90541201 -1.59870683  1.1698899
  1.58322262 -4.38507041  1.94070518 -0.94908016  0.        ]",[-0.33230855 -2.41650002],-6.42549,"[[  1.84247095  -2.42370606  -0.18387946   0.13411265]
 [ 12.45356183 -29.56666133   0.           0.        ]]",[-0.84305745 -0.6333679 ],-0.26763805237
9,[-0.65291768 -1.76814818],"[-1.03329495 -0.97468444  1.36756593  0.49260611 -1.5987054   1.16988921
  1.39574178 -3.97369547  1.41879265 -1.40539666  0.        ]",[ 0.05815805 -2.11381168],-6.15915,"[[  2.07586389  -3.0488912   -0.18387946   0.13411265]
 [ 10.89118895 -26.98244978   0.           0.        ]]",[-0.84305745 -0.6333679 ],-0.240582819877
10,[-1.54513907 -0.73186082],"[-1.27905461 -0.97463434  1.17106614  0.95164168 -1.59870398  1.16988852
  1.39764692  0.44577329  1.25712833 -1.53621286  0.        ]",[-1.743512   -0.89989253],-6.21899,"[[  2.29385048  -3.23474906  -0.18387946   0.13411265]
 [ 10.90707412   0.78139132   0.           0.        ]]",[-0.84305745 -0.6333679 ],-0.234643274408
