timestep,avg_action_dist,logstd_action_dist,actions,rewards,human_obs,obs,original_rewards
15,[ 0.23806176 -2.82618237],[-0.43049693 -0.26970896],[ 0.3565673  -2.68510986],-3.79735,"[[-0.96832519 -3.01613476 -0.17924006 -0.08876906]
 [ 6.64371659  0.49837386  0.          0.        ]]","[ 0.50811657 -0.68503508 -1.39987608  0.22901703 -1.56559064 -0.77096017
  0.80371628  0.43838437  1.00863946  0.95528796  0.        ]",-0.185220385274
16,[-0.05294544 -2.92324448],[-0.43049693 -0.26970896],[ 0.10794521 -3.34116196],-3.70524,"[[-0.82260604 -3.00926395 -0.17924006 -0.08876906]
 [ 7.92393359  0.22312271  0.          0.        ]]","[ 0.65826936 -0.68396845 -1.25439342  0.20692583 -1.56558809 -0.77095959
  0.92439424  0.39776961  1.00631422  0.9274302   0.        ]",-0.183583705722
17,[-0.31954655 -3.00249553],[-0.43049693 -0.26970896],[-0.80848619 -3.99536921],-3.6255,"[[-0.66141322 -3.00623253 -0.17924006 -0.08876906]
 [ 8.19444736  0.09680656  0.          0.        ]]","[ 0.80205062 -0.68347963 -1.06468021  0.19718546 -1.56558554 -0.77095901
  0.94989318  0.37913089  1.01134756  0.89990897  0.        ]",-0.182744901877
18,[-0.3534421  -2.92527056],[-0.43049693 -0.26970896],[-0.37554366 -3.09465497],-3.6955,"[[-0.53126891 -3.00493084 -0.17924006 -0.08876906]
 [ 4.83119223  0.04106528  0.          0.        ]]","[ 0.89856375 -0.68326609 -0.89268347  0.1930041  -1.56558299 -0.77095843
  0.63285783  0.3709058   1.01912768  0.87946022  0.        ]",-0.182564105721
19,[-0.40712789 -2.90979719],[-0.43049693 -0.26970896],[-0.25926669 -2.67395767],-3.73141,"[[-0.45052308 -3.00438285 -0.17924006 -0.08876906]
 [ 3.24866444  0.01713017  0.          0.        ]]","[ 0.94884764 -0.68317531 -0.77889054  0.19124401 -1.56558044 -0.77095785
  0.48368161  0.36737387  1.02533406  0.86760407  0.        ]",-0.182647222841
20,[-0.44018182 -2.89972472],[-0.43049693 -0.26970896],[ 0.05802444 -1.8890874 ],-3.79793,"[[-0.39649439 -3.0041556  -0.17924006 -0.08876906]
 [ 2.15784004  0.0070531   0.          0.        ]]","[ 0.97818285 -0.68313728 -0.70016964  0.19051409 -1.56557789 -0.77095727
  0.38085553  0.36588675  1.03003563  0.86011569  0.        ]",-0.182786111257
21,[-0.52649552 -2.94191623],[-0.43049693 -0.26970896],[ 0.33008094 -2.06829404],-3.78723,"[[ -3.51461181e-01  -3.00406246e+00  -1.79240061e-01  -8.87690606e-02]
 [  2.34485784e+00   2.87481286e-03   0.00000000e+00   0.00000000e+00]]","[ 0.99991896 -0.6831214  -0.63316887  0.19021486 -1.56557534 -0.77095669
  0.39848443  0.36527003  1.03426711  0.8541824   0.        ]",-0.182951910227
22,[-0.69386518 -3.04471135],[-0.43049693 -0.26970896],[-1.34960459 -2.23331672],-3.768,"[[ -2.91917359e-01  -3.00402463e+00  -1.79240061e-01  -8.87690606e-02]
 [  3.60532392e+00   1.16266616e-03   0.00000000e+00   0.00000000e+00]]","[ 1.02479063 -0.68311466 -0.54288902  0.19009327 -1.56557279 -0.77095611
  0.51730126  0.3650172   1.04025741  0.84674494  0.        ]",-0.183235308663
23,[-0.52803653 -2.88745475],[-0.43049693 -0.26970896],[-1.42915799 -2.57567484],-3.74247,"[[ -2.60251824e-01  -3.00400944e+00  -1.79240061e-01  -8.87690606e-02]
 [ -4.25338303e-01   4.62496673e-04   0.00000000e+00   0.00000000e+00]]","[ 1.03619498 -0.68311167 -0.49419319  0.1900444  -1.56557024 -0.77095553
  0.13735291  0.36491369  1.0436127   0.84294998  0.        ]",-0.183413040152
24,[-0.23213211 -2.66400003],[-0.43049693 -0.26970896],[-1.09683611 -3.77796902],-3.6206,"[[ -3.08398947e-01  -3.00400341e+00  -1.79240061e-01  -8.87690606e-02]
 [ -4.37620770e+00   1.83284634e-04   0.00000000e+00   0.00000000e+00]]","[ 1.01834942 -0.6831102  -0.56805451  0.19002493 -1.56556769 -0.77095495
 -0.2350738   0.3648723   1.03855235  0.84872957  0.        ]",-0.183148441221
