timestep,avg_action_dist,obs,actions,rewards,human_obs,logstd_action_dist,original_rewards
0,[-3.30474663 -2.77686906],"[ 1.01311399  1.40456805  0.09933087  0.68156834  1.19611482 -1.30216846
  0.10379334  0.32777461  0.1205139   2.02363439  0.        ]",[-3.37739661 -2.08868341],-5.74422,"[[ 0.07448797  0.00281107  0.13983351 -0.15185037]
 [ 0.00309651 -0.00236157  0.          0.        ]]",[-0.75548017 -0.52032036],-0.181634454355
1,[-2.13672376 -1.23181868],"[ 1.01608343  1.40378171  0.03691795  0.57629092  1.19611399 -1.30216746
 -0.34825363 -0.28973841  0.12585053  1.88390861  0.        ]",[-2.51385833 -0.85483209],-5.55384,"[[ 0.03487423 -0.03694809  0.13983351 -0.15185037]
 [-3.95131077 -3.96036807  0.          0.        ]]",[-0.75548017 -0.52032036],-0.170221030147
2,[-0.72664177  0.63156712],"[ 1.01218901  1.39169563 -0.14899788  0.28014217  1.19611316 -1.30216645
 -0.7913941  -0.80534981  0.09411672  1.47723038  0.        ]",[-0.49337022  1.55548199],-4.978,"[[-0.08304578 -0.14931418  0.13983351 -0.15185037]
 [-7.82780727 -7.26522786  0.          0.        ]]",[-0.75548017 -0.52032036],-0.13582878427
3,[ 0.22751588  0.67159641],"[ 0.97163281  1.36760634 -0.42018666  0.01006605  1.19611233 -1.30216545
 -0.99699705 -0.16503059 -0.0436206   0.97374696  0.        ]",[ 0.14108536  1.47635193],-3.99379,"[[-0.25764765 -0.2534402   0.13983351 -0.15185037]
 [-9.6263804  -3.16104529  0.          0.        ]]",[-0.75548017 -0.52032036],-0.0897470743839
4,[ 0.82793391  0.23009863],"[ 0.88467368  1.36067867 -0.694059   -0.0483824   1.1961115  -1.30216445
 -0.9116059   0.46246447 -0.23479048  0.57679693  0.        ]",[ 0.88604696  0.14297957],-3.28572,"[[-0.44268083 -0.27630721  0.13983351 -0.15185037]
 [-8.87940203  0.86093986  0.          0.        ]]",[-0.75548017 -0.52032036],-0.0494531852706
5,[ 0.79563963  0.30450544],"[ 0.79004062  1.3675599  -0.88728714  0.00967548  1.19611067 -1.30216345
 -0.49086017  0.54792278 -0.39154608  0.33993739  0.        ]",[ 0.26243317  1.3862585 ],-3.00012,"[[-0.58334043 -0.25359255  0.13983351 -0.15185037]
 [-5.19881503  1.40869356  0.          0.        ]]",[-0.75548017 -0.52032036],-0.0229496267614
6,[ 0.7675916  -0.82259834],"[ 0.71530881  1.38461331 -1.00527669  0.18441559  1.19610984 -1.30216244
 -0.360597    1.16126657 -0.46508723  0.23753858  0.        ]",[ 0.99380977 -0.91811095],-2.59944,"[[-0.67588369 -0.1859748   0.13983351 -0.15185037]
 [-4.05930357  5.33997719  0.          0.        ]]",[-0.75548017 -0.52032036],-0.0113785044453
7,[ 0.241559   -0.28208709],"[ 0.67930218  1.39669079 -1.05481266  0.36568367  1.19610901 -1.30216144
  0.09816486  0.5773589  -0.46790369  0.22566609  0.        ]",[ 0.08297702 -0.81857411],-2.59813,"[[-0.71680462 -0.11672605  0.13983351 -0.15185037]
 [-0.04616012  1.59737286  0.          0.        ]]",[-0.75548017 -0.52032036],-0.0106115297922
8,[ 0.34835848  0.40873751],"[ 0.68145495  1.39656905 -1.05196328  0.36333916  1.19610818 -1.30216044
  0.13593724  0.06672227 -0.46514858  0.22890494  0.        ]",[ 0.59424376 -0.00950266],-2.66443,"[[-0.71441253 -0.11761736  0.13983351 -0.15185037]
 [ 0.28426423 -1.67559521  0.          0.        ]]",[-0.75548017 -0.52032036],-0.0109948486803
9,[-0.41646147  0.04342604],"[ 0.70726792  1.3913639  -1.0166982   0.27524822  1.19610735 -1.30215943
  0.40402225  0.06588653 -0.45020937  0.24997471  0.        ]",[-0.30493181 -0.21321687],-2.64772,"[[-0.68519772 -0.15118305  0.13983351 -0.15185037]
 [ 2.62941003 -1.68095185  0.          0.        ]]",[-0.75548017 -0.52032036],-0.0132611419483
10,[-0.13920507  0.48829195],"[ 0.74110811  1.3830922  -0.96708062  0.16631413  1.19610652 -1.30215843
  0.26021684 -0.06056239 -0.42744531  0.28322207  0.        ]",[ 0.38602114  0.46989239],-2.74955,"[[-0.64523113 -0.19293392  0.13983351 -0.15185037]
 [ 1.3714351  -2.49143643  0.          0.        ]]",[-0.75548017 -0.52032036],-0.0168716671959
