timestep,avg_action_dist,obs,actions,rewards,human_obs,logstd_action_dist,original_rewards
0,[-2.61443543 -2.05695558],"[ 1.04619775  1.61320252  0.02106411  0.47845358  1.39772557 -1.67365055
  0.16401723  0.353323   -0.04019908  2.08073344  0.        ]",[-2.26919096 -1.66799083],-4.90229,"[[  6.13177704e-02  -4.19465505e-02   1.63802330e-01  -1.94841243e-01]
 [  4.71233777e-03  -3.08083051e-05   0.00000000e+00   0.00000000e+00]]",[-0.46518791 -0.26025492],-0.208241585609
1,[-1.63440347 -0.81025338],"[ 1.04838067  1.61031505 -0.04249856  0.35374649  1.39772383 -1.67364787
 -0.22901517 -0.23563325 -0.04030918  1.95862496  0.        ]",[-1.7073975  -1.01376733],-4.67683,"[[ 0.02173598 -0.08165956  0.16380233 -0.19484124]
 [-3.94973372 -3.95808368  0.          0.        ]]",[-0.46518791 -0.26025492],-0.195903876037
2,[-0.51371199  0.77476209],"[ 1.04255477  1.59084397 -0.23174283 -0.0139223   1.39772209 -1.67364519
 -0.61428491 -0.81293146 -0.0852401   1.599447    0.        ]",[-1.23799706  0.79836948],-4.03481,"[[-0.09615086 -0.19974761  0.16380233 -0.19484124]
 [-7.82607785 -7.83779085  0.          0.        ]]",[-0.46518791 -0.26025492],-0.158551235739
3,[ 0.76228935  1.42983198],"[ 0.99288173  1.55332175 -0.5383277  -0.38895444  1.39772035 -1.67364251
 -0.99222275 -0.31922259 -0.25574461  1.11382363  0.        ]",[ 0.90831304  0.81915973],-3.10619,"[[ -0.29082478  -0.32321354   0.16380233  -0.19484124]
 [-11.62865669  -4.51984692   0.           0.        ]]",[-0.46518791 -0.26025492],-0.105097833955
4,[ 0.80681735  1.27915192],"[ 0.89538395  1.53023792 -0.82686476 -0.55720643  1.39771861 -1.67363983
 -0.612359    0.1765378  -0.48767472  0.74450473  0.        ]",[ 0.29042921  2.17532853],-2.49666,"[[-0.48505158 -0.38018205  0.16380233 -0.19484124]
 [-7.80671248 -1.1881156   0.          0.        ]]",[-0.46518791 -0.26025492],-0.0645997122907
5,[ 0.86953342  0.88791555],"[ 0.79501196  1.53716247 -1.02195379 -0.5097298   1.39771687 -1.67363715
 -0.48296413  0.76916293 -0.65521405  0.54701474  0.        ]",[ 1.08388517  1.04098822],-2.23617,"[[-0.62812378 -0.36398452  0.16380233 -0.19484124]
 [-6.50482629  2.79459128  0.          0.        ]]",[-0.46518791 -0.26025492],-0.0495123926114
6,[ 0.25435382 -0.02475059],"[ 0.72122521  1.57194126 -1.13396688 -0.22562144  1.39771513 -1.67363447
 -0.0771356   1.34988994 -0.70004571  0.48327485  0.        ]",[ 0.49440338  0.90287957],-2.21974,"[[-0.7172523  -0.26893501  0.16380233 -0.19484124]
 [-2.42164006  6.69734416  0.          0.        ]]",[-0.46518791 -0.26025492],-0.0465433406739
7,[-0.44243911 -1.32546592],"[ 0.6960651   1.60829068 -1.16786861  0.29485053  1.39771339 -1.67363179
  0.1218793   1.86200599 -0.60762521  0.55335414  0.        ]",[-0.21034398 -0.90980449],-2.06579,"[[ -0.74559474  -0.10045671   0.16380233  -0.19484124]
 [ -0.41928009  10.13901506   0.           0.        ]]",[-0.46518791 -0.26025492],-0.0479200068781
8,[-0.10298638 -1.14946342],"[ 0.68092988  1.61179762 -1.18736141  0.81216008  1.39771165 -1.67362911
  0.04014703  1.29614025 -0.51623738  0.65402538  0.        ]",[-0.09440961 -1.73555012],-2.03882,"[[-0.76223112  0.06416823  0.16380233 -0.19484124]
 [-1.2416169   6.33615185  0.          0.        ]]",[-0.46518791 -0.26025492],-0.0555572770208
9,[ 0.26285467 -0.6935125 ],"[ 0.65455863  1.60102423 -1.21983203  1.08030107  1.39770992 -1.67362643
  0.00562524  0.68830925 -0.49892691  0.68229016  0.        ]",[-0.63417969 -0.72978787],-2.11543,"[[-0.7905483   0.14990617  0.16380233 -0.19484124]
 [-1.58895256  2.25125496  0.          0.        ]]",[-0.46518791 -0.26025492],-0.0582595125607
10,[ 1.11774528  0.09255803],"[ 0.59960022  1.598141   -1.2819895   1.12875776  1.39770818 -1.67362375
 -0.24048457  0.25183821 -0.56072515  0.61068831  0.        ]",[ 1.30473732 -1.62229107],-2.00324,"[[-0.84717172  0.16550075  0.16380233 -0.19484124]
 [-4.0651487  -0.6820268   0.          0.        ]]",[-0.46518791 -0.26025492],-0.0520363796812
11,[ 0.5527274   0.49603051],"[ 0.55825104  1.60680816 -1.3243842   0.96284691  1.39770644 -1.67362107
  0.16083707 -0.33556958 -0.65022604  0.51086679  0.        ]",[ 0.93441929  0.39486031],-2.10188,"[[-0.88796187  0.11225213  0.16380233 -0.19484124]
 [-0.02731527 -4.62967187  0.          0.        ]]",[-0.46518791 -0.26025492],-0.04594158976
12,[-0.44255367  0.0251475 ],"[ 0.59535871  1.613436   -1.28649843  0.72443046  1.3977047  -1.67361839
  0.52821898 -0.08949817 -0.65299489  0.50428462  0.        ]",[-0.25983828 -1.26027868],-2.00437,"[[-0.85142153  0.03625087  0.16380233 -0.19484124]
 [ 3.66903982 -2.97596245  0.          0.        ]]",[-0.46518791 -0.26025492],-0.0454968455752
13,[-0.04288827  1.01057649],"[ 0.65595577  1.61191698 -1.21815001  0.41418255  1.39770296 -1.67361571
  0.41899367 -0.66985279 -0.63859182  0.51943814  0.        ]",[-0.353792    0.66202424],-2.1357,"[[-0.78906677 -0.06240079  0.16380233 -0.19484124]
 [ 2.57008985 -6.8762057   0.          0.        ]]",[-0.46518791 -0.26025492],-0.0461197507961
14,[ 0.06103381  1.00817418],"[ 0.69006019  1.59679647 -1.17566853  0.0710908   1.39770122 -1.67361303
  0.27473159 -0.25945712 -0.67139626  0.49605851  0.        ]",[ 0.55289209  0.43848969],-2.14044,"[[-0.752228   -0.17225256  0.16380233 -0.19484124]
 [ 1.11862309 -4.11816611  0.          0.        ]]",[-0.46518791 -0.26025492],-0.0458242842691
15,[-0.55112821  0.65764028],"[ 0.72914109  1.58149024 -1.12287364 -0.12646893  1.39769948 -1.67361035
  0.48984972  0.01090392 -0.66096907  0.51507128  0.        ]",[ 0.05360369  0.48615021],-2.16416,"[[-0.7081398  -0.23638594  0.16380233 -0.19484124]
 [ 3.28299876 -2.30122109  0.          0.        ]]",[-0.46518791 -0.26025492],-0.0469106647588
16,[-0.83957583  0.29851949],"[ 0.78485355  1.57386241 -1.03862257 -0.20651497  1.39769774 -1.67360767
  0.50439756  0.30410945 -0.59132925  0.59171885  0.        ]",[-0.80731738  0.4327759 ],-2.17984,"[[-0.64101123 -0.26263999  0.16380233 -0.19484124]
 [ 3.42937196 -0.33075101  0.          0.        ]]",[-0.46518791 -0.26025492],-0.0510636085665
