timestep,avg_action_dist,obs,actions,rewards,human_obs,logstd_action_dist,original_rewards
17,[-0.08780457 -0.1756418 ],"[-0.81893661 -0.77299108 -1.49420928 -0.64248969 -1.07835615  0.44765773
 -0.20282131  0.27477568  0.09051832 -0.24149642  0.        ]",[-0.22388765 -0.37600342],-3.56625,"[[-1.90860457 -2.58542912 -0.12338586  0.05042797]
 [-2.53218864 -0.31409155  0.          0.        ]]",[-0.80981183 -0.59119111],-0.0762158017395
18,[ 0.16461748 -0.0398905 ],"[-0.89486121 -0.78579905 -1.46087726 -0.59650185 -1.07835553  0.44765759
 -0.30111011  0.04077511  0.12215734 -0.19970053  0.        ]",[ 0.49297505 -0.1074871 ],-3.55298,"[[-1.96763911 -2.6065863  -0.12338586  0.05042797]
 [-3.3684845  -1.79668324  0.          0.        ]]",[-0.80981183 -0.59119111],-0.0773178407736
19,[ 0.06441831 -0.4406648 ],"[-0.95414142 -0.80869712 -1.430641   -0.50833159 -1.07835491  0.44765745
 -0.0638928  -0.02077729  0.17426261 -0.1676143   0.        ]",[-0.08543817 -0.82944862],-3.5921,"[[-2.01475784 -2.6464328  -0.12338586  0.05042797]
 [-1.35011005 -2.18666969  0.          0.        ]]",[-0.80981183 -0.59119111],-0.0809266512864
20,[ 0.27955434 -0.51089418],"[-0.99136603 -0.84794387 -1.40965009 -0.33438087 -1.0783543   0.4476573
 -0.10052172 -0.5323089   0.2640405  -0.15273538  0.        ]",[ 0.2829775   0.06361639],-3.60686,"[[-2.04488687 -2.72268406 -0.12338586  0.05042797]
 [-1.66176906 -5.42765506  0.          0.        ]]",[-0.80981183 -0.59119111],-0.088861243226
21,[ 0.32220384 -1.07995188],"[-1.01778201 -0.89179138 -1.39376982 -0.08535036 -1.07835368  0.44765716
  0.03501367 -0.47558561  0.38288312 -0.15994454  0.        ]",[ 0.06470052 -1.65916642],-3.74511,"[[-2.06655184 -2.8276313  -0.12338586  0.05042797]
 [-0.50856039 -5.06826622  0.          0.        ]]",[-0.80981183 -0.59119111],-0.10035618761
22,[ 0.43140271 -1.54647613],"[-1.02685768 -0.93122876 -1.38811852  0.26003663 -1.07835306  0.44765702
  0.06627962 -1.08469682  0.53294046 -0.20239279  0.        ]",[ 0.71780546 -0.54416879],-3.84134,"[[-2.07405383 -2.9677176  -0.12338586  0.05042797]
 [-0.24253265 -8.92750192  0.          0.        ]]",[-0.80981183 -0.59119111],-0.11582164288
23,[ 0.28742263 -2.29732776],"[-0.99803908 -0.94434793 -1.40571314  0.47752787 -1.07835244  0.44765688
  0.40090287  0.22917423  0.62213197 -0.24455744  0.        ]",[-0.41005506 -2.14351403],-3.99606,"[[-2.05033778 -3.05401212 -0.12338586  0.05042797]
 [ 2.604623   -0.60302317  0.          0.        ]]",[-0.80981183 -0.59119111],-0.125456910694
24,[ 0.44339496 -2.08504844],"[-0.9545038  -0.94339969 -1.43043728  0.45513783 -1.07835182  0.44765673
  0.20403862  0.46884203  0.60542607 -0.24098675  0.        ]",[ 0.2819778  -1.98078211],-3.97402,"[[-2.01505114 -3.04516954 -0.12338586  0.05042797]
 [ 0.9295969   0.91547456  0.          0.        ]]",[-0.80981183 -0.59119111],-0.123766239622
25,[ 0.25849137 -2.14542437],"[-0.91740227 -0.94123904 -1.44982025  0.41056332 -1.0783512   0.44765659
  0.33308805  0.44363525  0.5823486  -0.23585748  0.        ]",[ 1.07627204 -1.98693721],-3.9547,"[[-1.98544234 -3.02754228 -0.12338586  0.05042797]
 [ 2.02761916  0.75576937  0.          0.        ]]",[-0.80981183 -0.59119111],-0.121426036051
26,[-0.20705588 -2.74859238],"[-0.81498152 -0.93959382 -1.49577433  0.38081812 -1.07835059  0.44765645
  0.79370031  0.39261907  0.55899272 -0.2401357   0.        ]",[-1.20592978 -3.62857989],-4.01032,"[[-1.90556798 -3.01575989 -0.12338586  0.05042797]
 [ 5.9467561   0.4325399   0.          0.        ]]",[-0.80981183 -0.59119111],-0.119316235232
27,[ 0.02323987 -2.08032942],"[-0.712134   -0.93864968 -1.53152429  0.36495953 -1.07834997  0.44765631
  0.31453088  0.35846541  0.54218265 -0.24847107  0.        ]",[-0.24019374 -2.56514806],-3.93898,"[[-1.82753901 -3.00947107 -0.12338586  0.05042797]
 [ 1.86972901  0.2161486   0.          0.        ]]",[-0.80981183 -0.59119111],-0.117952289092
28,[ 0.07585382 -1.91485798],"[-0.6753716  -0.9381774  -1.54192007  0.35731027 -1.07834935  0.44765616
  0.19841016  0.34022631  0.53551129 -0.25181717  0.        ]",[ 0.03758197 -2.02169558],-3.91443,"[[-1.80005753 -3.00643587 -0.12338586  0.05042797]
 [ 0.88171294  0.10058933  0.          0.        ]]",[-0.80981183 -0.59119111],-0.117415666641
29,[ 0.0308374  -1.92242777],"[-0.64987962 -0.93795835 -1.54841559  0.3538249  -1.07834873  0.44765602
  0.21384645  0.33142073  0.53173383 -0.25437825  0.        ]",[ 0.31655825 -1.18255935],-3.88512,"[[-1.78110549 -3.0050525  -0.12338586  0.05042797]
 [ 1.01305359  0.04479926  0.          0.        ]]",[-0.80981183 -0.59119111],-0.117132061518
30,[-0.12201828 -2.14836645],"[-0.60574607 -0.93786118 -1.55830611  0.35229411 -1.07834811  0.44765588
  0.3587939   0.32740662  0.5272638  -0.25914693  0.        ]",[ 0.00398527 -1.4717166 ],-3.89175,"[[-1.74847042 -3.00444485 -0.12338586  0.05042797]
 [ 2.24634338  0.01936717  0.          0.        ]]",[-0.80981183 -0.59119111],-0.116848672169
31,[-0.17521307 -2.1456871 ],"[-0.54496859 -0.93781919 -1.56916429  0.35163885 -1.07834749  0.44765574
  0.35542173  0.32564293  0.52199634 -0.26597194  0.        ]",[ 0.04305156 -3.113537  ],-3.9458,"[[-1.70383142 -3.00418476 -0.12338586  0.05042797]
 [ 2.21765209  0.00819336  0.          0.        ]]",[-0.80981183 -0.59119111],-0.11655400053
32,[-0.24396659 -2.17114258],"[-0.48247625 -0.93780126 -1.57705325  0.35136361 -1.07834688  0.44765559
  0.37029515  0.32488797  0.51706628 -0.27322056  0.        ]",[ 0.19425351 -2.49592244],-3.92155,"[[-1.65820865 -3.00407552 -0.12338586  0.05042797]
 [ 2.34420384  0.00341063  0.          0.        ]]",[-0.80981183 -0.59119111],-0.116308701634
33,[-0.35348767 -2.31756258],"[-0.40800972 -0.93779356 -1.58218467  0.35124961 -1.07834626  0.44765545
  0.45523328  0.32457091  0.51169294 -0.28213902  0.        ]",[-1.22706475 -1.02504981],-3.88157,"[[ -1.60407350e+00  -3.00403031e+00  -1.23385863e-01   5.04279685e-02]
 [  3.06690276e+00   1.40239592e-03   0.00000000e+00   0.00000000e+00]]",[-0.80981183 -0.59119111],-0.11607879123
34,[-0.03266377 -1.60356593],"[-0.37906898 -0.93779014 -1.58293531  0.35120303 -1.07834564  0.44765531
 -0.01723489  0.32443895  0.50972084 -0.28569069  0.        ]",[ 0.82634197 -1.63056458],-3.89032,"[[ -1.58306944e+00  -3.00401185e+00  -1.23385863e-01   5.04279685e-02]
 [ -9.53100640e-01   5.66918997e-04   0.00000000e+00   0.00000000e+00]]",[-0.80981183 -0.59119111],-0.116005000069
35,[-0.32526609 -2.18974543],"[-0.35983787 -0.93778847 -1.58305004  0.35118398 -1.07834502  0.44765517
  0.36950643  0.32438621  0.50845618 -0.2880678   0.        ]",[-0.5145248  -2.26663335],-3.91254,"[[ -1.56911584e+00  -3.00400433e+00  -1.23385863e-01   5.04279685e-02]
 [  2.33749449e+00   2.33403909e-04   0.00000000e+00   0.00000000e+00]]",[-0.80981183 -0.59119111],-0.115961421967
36,[-0.18714738 -1.80162978],"[-0.32422025 -0.93778752 -1.58245511  0.35117627 -1.0783444   0.44765502
  0.1246426   0.32436361  0.50619616 -0.29253479  0.        ]",[-0.49176873 -1.65302709],-3.88823,"[[ -1.54326965e+00  -3.00400131e+00  -1.23385863e-01   5.04279685e-02]
 [  2.54067712e-01   9.07807949e-05   0.00000000e+00   0.00000000e+00]]",[-0.80981183 -0.59119111],-0.115891749083
37,[ 0.0152561 -1.5046891],"[-0.34420664 -0.93778686 -1.582916    0.35117321 -1.07834379  0.44765488
 -0.10478466  0.32435476  0.50744755 -0.29002225  0.        ]",[-0.2399011  -2.93136454],-3.93295,"[[ -1.55777419e+00  -3.00400014e+00  -1.23385863e-01   5.04279685e-02]
 [ -1.69801672e+00   3.53492915e-05   0.00000000e+00   0.00000000e+00]]",[-0.80981183 -0.59119111],-0.11592890209
38,[ 0.18169512 -1.41652548],"[-0.40367518 -0.93778632 -1.58233414  0.35117192 -1.07834317  0.44765474
 -0.21246778  0.3243514   0.51136217 -0.28267191  0.        ]",[ 0.16451389 -1.31753419],-3.87806,"[[ -1.60092729e+00  -3.00399967e+00  -1.23385863e-01   5.04279685e-02]
 [ -2.61423993e+00   1.46151573e-05   0.00000000e+00   0.00000000e+00]]",[-0.80981183 -0.59119111],-0.116064468499
39,[ 0.16743176 -1.51867139],"[-0.46592132 -0.93778582 -1.57858346  0.35117129 -1.07834255  0.4476546
 -0.12983152  0.32435014  0.51576114 -0.27518101  0.        ]",[ 0.7477183  -1.69157792],-3.89334,"[[ -1.64615755e+00  -3.00399946e+00  -1.23385863e-01   5.04279685e-02]
 [ -1.91112912e+00   7.26206942e-06   0.00000000e+00   0.00000000e+00]]",[-0.80981183 -0.59119111],-0.116246010963
40,[-0.13143876 -1.94336903],"[-0.47710466 -0.93778533 -1.57756642  0.35117086 -1.07834193  0.44765445
  0.22255315  0.32434971  0.51658487 -0.27385585  0.        ]",[ 0.02271554 -2.22737605],-3.91142,"[[ -1.65429755e+00  -3.00399933e+00  -1.23385863e-01   5.04279685e-02]
 [  1.08713770e+00   5.15565144e-06   0.00000000e+00   0.00000000e+00]]",[-0.80981183 -0.59119111],-0.116282955773
41,[-0.16508843 -1.95709264],"[-0.446273   -0.93778485 -1.58011203  0.35117064 -1.07834131  0.44765431
  0.23059398  0.32434888  0.51433855 -0.27752292  0.        ]",[ 0.46055896 -2.12212128],-3.90817,"[[ -1.63186836e+00  -3.00399929e+00  -1.23385863e-01   5.04279685e-02]
 [  1.15555365e+00   4.73166386e-07   0.00000000e+00   0.00000000e+00]]",[-0.80981183 -0.59119111],-0.116184302987
42,[-0.35641304 -2.30025935],"[-0.38957118 -0.93778438 -1.58273082  0.35117049 -1.07834069  0.44765417
  0.44221874  0.32434888  0.51040828 -0.28439561  0.        ]",[-0.22977118 -2.00464205],-3.90268,"[[ -1.59069117e+00  -3.00399927e+00  -1.23385863e-01   5.04279685e-02]
 [  2.95616409e+00   1.08937318e-06   0.00000000e+00   0.00000000e+00]]",[-0.80981183 -0.59119111],-0.116028965163
43,[-0.3209545  -2.13035512],"[-0.32148182 -0.93778392 -1.58235575  0.35117042 -1.07834008  0.44765403
  0.32842039  0.32434838  0.50602407 -0.29287964  0.        ]",[-0.19964669 -2.6124313 ],-3.9231,"[[ -1.54128268e+00  -3.00399928e+00  -1.23385863e-01   5.04279685e-02]
 [  1.98791189e+00  -1.48284705e-06   0.00000000e+00   0.00000000e+00]]",[-0.80981183 -0.59119111],-0.115886793668
44,[-0.28231415 -1.98051429],"[-0.27820621 -0.93778346 -1.5801197   0.35117038 -1.07833946  0.44765388
  0.23089279  0.32434833  0.50342957 -0.2983996   0.        ]",[ 0.58491275 -2.247738  ],-3.91036,"[[ -1.50985022e+00  -3.00399931e+00  -1.23385863e-01   5.04279685e-02]
 [  1.15809925e+00  -1.16682477e-06   0.00000000e+00   0.00000000e+00]]",[-0.80981183 -0.59119111],-0.115821743438
45,[-0.50456309 -2.41975021],"[-0.21480613 -0.93778299 -1.57402599  0.35117023 -1.07833884  0.44765374
  0.50037778  0.32434872  0.49989942 -0.3066666   0.        ]",[-1.21545372 -1.4646668 ],-3.8958,"[[ -1.46368270e+00  -3.00399929e+00  -1.23385863e-01   5.04279685e-02]
 [  3.45101198e+00   1.90583993e-06   0.00000000e+00   0.00000000e+00]]",[-0.80981183 -0.59119111],-0.115762208255
46,[-0.2208757  -1.66905129],"[-0.17566619 -0.93778253 -1.56857604  0.35117022 -1.07833822  0.4476536
  0.02701453  0.32434777  0.49787924 -0.31188557  0.        ]",[-0.2168724  -1.48829664],-3.883,"[[ -1.43507275e+00  -3.00399933e+00  -1.23385863e-01   5.04279685e-02]
 [ -5.76595380e-01  -3.56383767e-06   0.00000000e+00   0.00000000e+00]]",[-0.80981183 -0.59119111],-0.115746874015
47,[-0.14490473 -1.50419176],"[-0.20305767 -0.93778206 -1.57252375  0.3511702  -1.0783376   0.44765346
 -0.07256201  0.32434818  0.49927939 -0.30822511  0.        ]",[-0.48946347 -1.57032048],-3.88464,"[[ -1.45510536e+00  -3.00399936e+00  -1.23385863e-01   5.04279685e-02]
 [ -1.42384149e+00  -3.39102920e-07   0.00000000e+00   0.00000000e+00]]",[-0.80981183 -0.59119111],-0.115755874547
48,[ 0.12153704 -1.28723812],"[-0.26843124 -0.9377816  -1.57939362  0.35117012 -1.07833698  0.44765331
 -0.29701317  0.32434805  0.50286326 -0.29966082  0.        ]",[-0.15587741 -1.38385091],-3.87776,"[[ -1.50274323e+00  -3.00399937e+00  -1.23385863e-01   5.04279685e-02]
 [ -3.33358209e+00  -5.41064519e-07   0.00000000e+00   0.00000000e+00]]",[-0.80981183 -0.59119111],-0.115809781038
49,[ 0.28828076 -1.25583744],"[-0.36787049 -0.93778113 -1.58301823  0.35116999 -1.07833637  0.44765317
 -0.36179201  0.32434817  0.50896952 -0.28707298  0.        ]",[ 0.63541166 -1.08100704],-3.86998,"[[ -1.57494495e+00  -3.00399936e+00  -1.23385863e-01   5.04279685e-02]
 [ -3.88475283e+00   8.10497233e-07   0.00000000e+00   0.00000000e+00]]",[-0.80981183 -0.59119111],-0.115978374734
