timestep,logstd_action_dist,obs,actions,rewards,original_rewards,human_obs,avg_action_dist
0,[-0.3356604  -0.21920455],"[ 0.92803879  1.86505714 -0.08059537  0.9934773  -1.07019667  1.62208296
 -0.52723844  0.34921212  2.3331052  -1.50865425  0.        ]",[ 1.49867358 -1.48033854],-3.662,-0.376795435871,"[[ 0.02112981  0.05747293 -0.12348395  0.18683128]
 [-0.0024541   0.00315745  0.          0.        ]]",[ 1.51200128 -1.66453004]
1,[-0.3356604  -0.21920455],"[ 0.92562905  1.86698893 -0.01797148  0.8821773  -1.07019491  1.62207842
 -0.30026677 -0.22432347  2.33178078 -1.47137871  0.        ]",[ 2.56655383 -1.06893194],-3.60573,-0.374818193313,"[[ 0.06078717  0.01779217 -0.12348395  0.18683128]
 [ 3.95500741 -3.95802715  0.          0.        ]]",[ 1.46367383 -1.44800305]
2,[-0.3356604  -0.21920455],"[ 0.90471894  1.86065948  0.16712245  0.55109316 -1.07019314  1.62207389
 -0.07778575 -0.78649824  2.32035867 -1.36119475  0.        ]",[ 1.70757706 -1.14658323],-3.53695,-0.368322903637,"[[ 0.17880811 -0.1003251  -0.12348395  0.18683128]
 [ 7.83417064 -7.84074979  0.          0.        ]]",[ 1.3561362  -1.27087712]
3,[-0.3356604  -0.21920455],"[ 0.82602777  1.81097353  0.46292699  0.01524959 -1.07019137  1.62206936
  0.1402983  -1.33752369  2.27738671 -1.18511975  0.        ]",[ 1.1671348  -0.42985462],-3.35432,-0.355701740444,"[[  0.37364287  -0.29532458  -0.12348395   0.18683128]
 [ 11.63666884 -11.64648042   0.           0.        ]]",[ 1.1658988  -1.14314795]
4,[-0.3356604  -0.21920455],"[ 0.63147926  1.68040618  0.8346777  -0.61824443 -1.07018961  1.62206483
  0.35403636 -1.55072364  2.16934692 -0.94050482  0.        ]",[-0.31181187 -1.90794058],-3.2044,-0.333633868606,"[[  0.64376678  -0.54302919  -0.12348395   0.18683128]
 [ 15.36339123 -13.11899551   0.           0.        ]]",[ 0.89339012 -1.00119948]
5,[-0.3356604  -0.21920455],"[ 0.32514838  1.4329859   1.15830824 -1.26271115 -1.07018784  1.6220603
  0.26595927 -2.08625418  2.00268788 -0.75550263  0.        ]",[ 2.26201973 -2.25427376],-2.92061,-0.307729855959,"[[  0.93562686  -0.84252     -0.12348395   0.18683128]
 [ 13.82769215 -16.81775482   0.           0.        ]]",[ 0.85152215 -0.69464231]
6,[-0.3356604  -0.21920455],"[-0.08599009  1.02076519  1.38550358 -1.7992382  -1.07018608  1.62205577
  0.4773077  -2.61135126  1.78151504 -0.6813778   0.        ]",[-0.21886648 -0.50158879],-2.60293,-0.279335962801,"[[  1.24915252  -1.21526507  -0.12348395   0.18683128]
 [ 17.51274652 -20.44451278   0.           0.        ]]",[ 0.67197943 -0.38595074]
7,[-0.3356604  -0.21920455],"[-0.57929764  0.47903909  1.46634146 -1.96805731 -1.07018431  1.62205124
  0.40784143 -2.84007666  1.51136149 -0.72290848  0.        ]",[ 1.24770268  1.22407746],-2.20563,-0.249520662747,"[[  1.58725609  -1.64000626  -0.12348395   0.18683128]
 [ 16.30154791 -22.02437758   0.           0.        ]]",[ 0.76916742 -0.22935744]
8,[-0.3356604  -0.21920455],"[-1.10363551 -0.0140625   1.35440508 -1.67598904 -1.07018254  1.62204671
  0.61639206 -2.2034995   1.2229171  -0.82463086  0.        ]",[-0.15014307  0.20563902],-2.0777,-0.221690789784,"[[  1.94976841  -2.03638271  -0.12348395   0.18683128]
 [ 19.93781928 -17.62780183   0.           0.        ]]",[ 0.92750722 -0.1631619 ]
9,[-0.3356604  -0.21920455],"[-1.58509814 -0.36837165  1.02309094 -1.11037884 -1.07018078  1.62204218
  0.55974123 -2.03487387  0.96264031 -0.97240651  0.        ]",[ 1.42707437  1.38813707],-1.85969,-0.202661701468,"[[  2.33861528  -2.37725312  -0.12348395   0.18683128]
 [ 18.95007353 -16.4632081    0.           0.        ]]",[ 1.02764642 -0.01486993]
